Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,treatment,genotype,cell line,GEO Accession
SRR13761760,32068326,4810248900,150,1691,SRX10148463,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300880,SAMN18025001,simple,7227,Drosophila melanogaster,GSM5098881,GEO,SRA1198635,02,2021,Makar,oenocytes,"Drosophila Pex5 knockdown samples, rep2",oenocytes,oenocytes,RU feeding,Pex5 knockdown,,GSM5098881
SRR13761761,32421993,4863298950,150,1698,SRX10148464,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300881,SAMN18025000,simple,7227,Drosophila melanogaster,GSM5098882,GEO,SRA1198635,02,2021,Makar,oenocytes,"Drosophila Pex5 knockdown samples, rep3",oenocytes,oenocytes,RU feeding,Pex5 knockdown,,GSM5098882
SRR13761762,31724968,4758745200,150,1657,SRX10148465,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300882,SAMN18024999,simple,7227,Drosophila melanogaster,GSM5098883,GEO,SRA1198635,02,2021,Makar,oenocytes,"Drosophila control samples for Pex12 knockdown, rep1",oenocytes,oenocytes,no RU feeding,control for Pex12 knockdown,,GSM5098883
SRR13761763,34875312,5231296800,150,1824,SRX10148466,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300883,SAMN18024998,simple,7227,Drosophila melanogaster,GSM5098884,GEO,SRA1198635,02,2021,Makar,oenocytes,"Drosophila control samples for Pex12 knockdown, rep2",oenocytes,oenocytes,no RU feeding,control for Pex12 knockdown,,GSM5098884
SRR13761764,21036976,3155546400,150,1099,SRX10148467,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300884,SAMN18024997,simple,7227,Drosophila melanogaster,GSM5098885,GEO,SRA1198635,02,2021,Makar,oenocytes,"Drosophila control samples for Pex12 knockdown, rep3",oenocytes,oenocytes,no RU feeding,control for Pex12 knockdown,,GSM5098885
SRR13761765,37293914,5594087100,150,1937,SRX10148468,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300885,SAMN18024996,simple,7227,Drosophila melanogaster,GSM5098886,GEO,SRA1198635,02,2021,Makar,oenocytes,"Drosophila Pex12 knockdown samples, rep1",oenocytes,oenocytes,RU feeding,Pex12 knockdown,,GSM5098886
SRR13761766,27079937,4061990550,150,1417,SRX10148469,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300886,SAMN18024995,simple,7227,Drosophila melanogaster,GSM5098887,GEO,SRA1198635,02,2021,Makar,oenocytes,"Drosophila Pex12 knockdown samples, rep2",oenocytes,oenocytes,RU feeding,Pex12 knockdown,,GSM5098887
SRR13761767,30299386,4544907900,150,1587,SRX10148470,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300887,SAMN18024994,simple,7227,Drosophila melanogaster,GSM5098888,GEO,SRA1198635,02,2021,Makar,oenocytes,"Drosophila Pex12 knockdown samples, rep3",oenocytes,oenocytes,RU feeding,Pex12 knockdown,,GSM5098888
SRR13761768,26312014,2631201400,100,973,SRX10148471,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300888,SAMN18024993,simple,7227,Drosophila melanogaster,GSM5098889,GEO,SRA1198635,02,2021,Makar,oenocytes,"Drosophila control samples for yw, rep1",oenocytes,oenocytes,no RU feeding,control for yw,,GSM5098889
SRR13761769,31134857,3113485700,100,1113,SRX10148472,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300889,SAMN18024992,simple,7227,Drosophila melanogaster,GSM5098890,GEO,SRA1198635,02,2021,Makar,oenocytes,"Drosophila control samples for yw, rep2",oenocytes,oenocytes,no RU feeding,control for yw,,GSM5098890
SRR13761770,24575965,2457596500,100,884,SRX10148473,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300890,SAMN18024991,simple,7227,Drosophila melanogaster,GSM5098891,GEO,SRA1198635,02,2021,Makar,oenocytes,"Drosophila control samples for yw, rep3",oenocytes,oenocytes,no RU feeding,control for yw,,GSM5098891
SRR13761771,30189825,3018982500,100,1084,SRX10148474,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300891,SAMN18025026,simple,7227,Drosophila melanogaster,GSM5098892,GEO,SRA1198635,02,2021,Makar,oenocytes,"Drosophila yw samples, rep1",oenocytes,oenocytes,RU feeding,yw,,GSM5098892
SRR13761772,30489232,3048923200,100,1092,SRX10148475,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300892,SAMN18025025,simple,7227,Drosophila melanogaster,GSM5098893,GEO,SRA1198635,02,2021,Makar,oenocytes,"Drosophila yw samples, rep2",oenocytes,oenocytes,RU feeding,yw,,GSM5098893
SRR13761773,31766186,3176618600,100,1138,SRX10148476,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300893,SAMN18025024,simple,7227,Drosophila melanogaster,GSM5098894,GEO,SRA1198635,02,2021,Makar,oenocytes,"Drosophila yw samples, rep3",oenocytes,oenocytes,RU feeding,yw,,GSM5098894
SRR13761774,23752839,2375283900,100,882,SRX10148477,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300894,SAMN18025023,simple,9606,Homo sapiens,GSM5098895,GEO,SRA1198635,02,2021,Makar,HepG2,"Human cells control for PEX5 knockdown, rep1",HepG2,,non-targeting siRNA,control for PEX5 knockdown,HepG2,GSM5098895
SRR13761775,30362407,3036240700,100,1092,SRX10148478,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300895,SAMN18025022,simple,9606,Homo sapiens,GSM5098896,GEO,SRA1198635,02,2021,Makar,HepG2,"Human cells control for PEX5 knockdown, rep2",HepG2,,non-targeting siRNA,control for PEX5 knockdown,HepG2,GSM5098896
SRR13761776,21717168,2171716800,100,782,SRX10148479,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300896,SAMN18025021,simple,9606,Homo sapiens,GSM5098897,GEO,SRA1198635,02,2021,Makar,HepG2,"Human cells control for PEX5 knockdown, rep3",HepG2,,non-targeting siRNA,control for PEX5 knockdown,HepG2,GSM5098897
SRR13761777,29975328,2997532800,100,1074,SRX10148480,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300897,SAMN18025020,simple,9606,Homo sapiens,GSM5098898,GEO,SRA1198635,02,2021,Makar,HepG2,"Human cells with PEX5 knockdown, rep1",HepG2,,PEX5-targeting siRNA,PEX5 knockdown,HepG2,GSM5098898
SRR13761778,28406938,2840693800,100,1026,SRX10148481,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300898,SAMN18025019,simple,9606,Homo sapiens,GSM5098899,GEO,SRA1198635,02,2021,Makar,HepG2,"Human cells with PEX5 knockdown, rep2",HepG2,,PEX5-targeting siRNA,PEX5 knockdown,HepG2,GSM5098899
SRR13761779,31722796,3172279600,100,1141,SRX10148482,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300899,SAMN18025018,simple,9606,Homo sapiens,GSM5098900,GEO,SRA1198635,02,2021,Makar,HepG2,"Human cells with PEX5 knockdown, rep3",HepG2,,PEX5-targeting siRNA,PEX5 knockdown,HepG2,GSM5098900
SRR13761780,30001451,3000145100,100,1075,SRX10148483,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300900,SAMN18025017,simple,9606,Homo sapiens,GSM5098901,GEO,SRA1198635,02,2021,Makar,HEK293,"Human cells control for PEX5 C11A, rep1",HEK293,,No Doxycycline,control for PEX5 C11A,HEK293,GSM5098901
SRR13761781,25758925,2575892500,100,924,SRX10148484,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300901,SAMN18025016,simple,9606,Homo sapiens,GSM5098902,GEO,SRA1198635,02,2021,Makar,HEK293,"Human cells control for PEX5 C11A, rep2",HEK293,,No Doxycycline,control for PEX5 C11A,HEK293,GSM5098902
SRR13761782,25586264,2558626400,100,919,SRX10148485,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300902,SAMN18025015,simple,9606,Homo sapiens,GSM5098903,GEO,SRA1198635,02,2021,Makar,HEK293,"Human cells control for PEX5 C11A, rep3",HEK293,,No Doxycycline,control for PEX5 C11A,HEK293,GSM5098903
SRR13761783,34118834,3411883400,100,1219,SRX10148486,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300903,SAMN18025014,simple,9606,Homo sapiens,GSM5098904,GEO,SRA1198635,02,2021,Makar,HEK293,"Human cells with PEX5 C11A, rep1",HEK293,,Doxycycline,PEX5 C11A,HEK293,GSM5098904
SRR13761784,30290820,3029082000,100,1087,SRX10148487,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300904,SAMN18025013,simple,9606,Homo sapiens,GSM5098905,GEO,SRA1198635,02,2021,Makar,HEK293,"Human cells with PEX5 C11A, rep2",HEK293,,Doxycycline,PEX5 C11A,HEK293,GSM5098905
SRR13761785,29639861,2963986100,100,1063,SRX10148488,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300905,SAMN18025012,simple,9606,Homo sapiens,GSM5098906,GEO,SRA1198635,02,2021,Makar,HEK293,"Human cells with PEX5 C11A, rep3",HEK293,,Doxycycline,PEX5 C11A,HEK293,GSM5098906
