Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,ethanol treatment,ribosome-protected,substrain,GEO Accession
SRR1211045,9964224,508175424,51,373,SRX505565,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040770,PRJNA243254,24927582,"",SRS584889,SAMN02713621,simple,562,Escherichia coli,GSM1360040,GEO,SRA150440,06,2014,Haft,Aerobic culture,Mutant (EP61) T2 RNA rep 1,Aerobic culture,EP61,"40 g EtOH/L, 70 min",No,,GSM1360040
SRR1211046,16699004,851649204,51,623,SRX505566,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040770,PRJNA243254,24927582,"",SRS584890,SAMN02713617,simple,562,Escherichia coli,GSM1360041,GEO,SRA150440,06,2014,Haft,Aerobic culture,Mutant (EP61) T2 RNA rep 2,Aerobic culture,EP61,"40 g EtOH/L, 70 min",No,,GSM1360041
SRR1211047,15659953,798657603,51,564,SRX505567,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040770,PRJNA243254,24927582,"",SRS584891,SAMN02713613,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1360042,GEO,SRA150440,06,2014,Haft,Aerobic culture,Wild-type (MG1655) T0 RP rep 1,Aerobic culture,K-12,no ethanol exposure,Yes,MG1655,GSM1360042
SRR1211048,9637240,491499240,51,350,SRX505568,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040770,PRJNA243254,24927582,"",SRS584892,SAMN02713623,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1360043,GEO,SRA150440,06,2014,Haft,Aerobic culture,Wild-type (MG1655) T0 RP rep 2,Aerobic culture,K-12,no ethanol exposure,Yes,MG1655,GSM1360043
SRR1211049,12686047,646988397,51,460,SRX505569,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040770,PRJNA243254,24927582,"",SRS584893,SAMN02713630,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1360044,GEO,SRA150440,06,2014,Haft,Aerobic culture,Wild-type (MG1655) T1 RP rep 1,Aerobic culture,K-12,"40 g EtOH/L, 10 min",Yes,MG1655,GSM1360044
SRR1211050,14171313,722736963,51,512,SRX505570,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040770,PRJNA243254,24927582,"",SRS584894,SAMN02713616,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1360045,GEO,SRA150440,06,2014,Haft,Aerobic culture,Wild-type (MG1655) T1 RP rep 2,Aerobic culture,K-12,"40 g EtOH/L, 10 min",Yes,MG1655,GSM1360045
SRR1211051,15742461,802865511,51,567,SRX505571,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040770,PRJNA243254,24927582,"",SRS584895,SAMN02713626,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1360046,GEO,SRA150440,06,2014,Haft,Aerobic culture,Wild-type (MG1655) T2 RP rep 1,Aerobic culture,K-12,"40 g EtOH/L, 70 min",Yes,MG1655,GSM1360046
SRR1211052,17713725,903399975,51,638,SRX505572,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040770,PRJNA243254,24927582,"",SRS584896,SAMN02713620,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1360047,GEO,SRA150440,06,2014,Haft,Aerobic culture,Wild-type (MG1655) T2 RP rep 2,Aerobic culture,K-12,"40 g EtOH/L, 70 min",Yes,MG1655,GSM1360047
SRR1211053,18065099,921320049,51,650,SRX505573,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040770,PRJNA243254,24927582,"",SRS584897,SAMN02713622,simple,562,Escherichia coli,GSM1360048,GEO,SRA150440,06,2014,Haft,Aerobic culture,Mutant (EP61) T0 RP rep 1,Aerobic culture,EP61,no ethanol exposure,Yes,,GSM1360048
SRR1211054,10271390,523840890,51,370,SRX505574,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040770,PRJNA243254,24927582,"",SRS584898,SAMN02713625,simple,562,Escherichia coli,GSM1360049,GEO,SRA150440,06,2014,Haft,Aerobic culture,Mutant (EP61) T0 RP rep 2,Aerobic culture,EP61,no ethanol exposure,Yes,,GSM1360049
SRR1211055,17856792,910696392,51,646,SRX505575,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040770,PRJNA243254,24927582,"",SRS584899,SAMN02713627,simple,562,Escherichia coli,GSM1360050,GEO,SRA150440,06,2014,Haft,Aerobic culture,Mutant (EP61) T1 RP rep 1,Aerobic culture,EP61,"40 g EtOH/L, 10 min",Yes,,GSM1360050
SRR1211056,10449434,532921134,51,378,SRX505576,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040770,PRJNA243254,24927582,"",SRS584900,SAMN02713624,simple,562,Escherichia coli,GSM1360051,GEO,SRA150440,06,2014,Haft,Aerobic culture,Mutant (EP61) T1 RP rep 2,Aerobic culture,EP61,"40 g EtOH/L, 10 min",Yes,,GSM1360051
SRR1211057,15375820,784166820,51,554,SRX505577,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040770,PRJNA243254,24927582,"",SRS584901,SAMN02713628,simple,562,Escherichia coli,GSM1360052,GEO,SRA150440,06,2014,Haft,Aerobic culture,Mutant (EP61) T2 RP rep 1,Aerobic culture,EP61,"40 g EtOH/L, 70 min",Yes,,GSM1360052
SRR1211058,10769349,549236799,51,390,SRX505578,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040770,PRJNA243254,24927582,"",SRS584902,SAMN02713629,simple,562,Escherichia coli,GSM1360053,GEO,SRA150440,06,2014,Haft,Aerobic culture,Mutant (EP61) T2 RP rep 2,Aerobic culture,EP61,"40 g EtOH/L, 70 min",Yes,,GSM1360053
