Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,mouse line,tissue,age,GEO Accession
SRR3232766,58302723,3031741596,52,2566,SRX1638470,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344946,SAMN04558554,simple,10090,Mus musculus,GSM2091177,GEO,SRA385947,07,2017,Hupe,brain,Brain_E135_Transcriptome_2,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,forebrain,E13.5,GSM2091177
SRR3232767,43365336,2254997472,52,1971,SRX1638471,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344945,SAMN04558555,simple,10090,Mus musculus,GSM2091178,GEO,SRA385947,07,2017,Hupe,brain,Brain_E135_Transcriptome_3,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,forebrain,E13.5,GSM2091178
SRR3232768,50816846,2642475992,52,2349,SRX1638472,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344944,SAMN04558557,simple,10090,Mus musculus,GSM2091179,GEO,SRA385947,07,2017,Hupe,brain,Brain_E145_Ctnnb1KO_Transcriptome_1,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-;Ctnnb1-/-,forebrain,E14.5,GSM2091179
SRR3232769,47802676,2485739152,52,2233,SRX1638473,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344943,SAMN04558558,simple,10090,Mus musculus,GSM2091180,GEO,SRA385947,07,2017,Hupe,brain,Brain_E145_Ctnnb1KO_Transcriptome_2,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-;Ctnnb1-/-,forebrain,E14.5,GSM2091180
SRR3232770,44095922,2292987944,52,2083,SRX1638474,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344942,SAMN04558559,simple,10090,Mus musculus,GSM2091181,GEO,SRA385947,07,2017,Hupe,brain,Brain_E145_Ctnnb1KO_Transcriptome_3,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-;Ctnnb1-/-,forebrain,E14.5,GSM2091181
SRR3232771,52546848,2732436096,52,2119,SRX1638475,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344941,SAMN04558560,simple,10090,Mus musculus,GSM2091182,GEO,SRA385947,07,2017,Hupe,brain,Brain_E145_EC_Ctnnb1KO_Translatome_1,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-;Ctnnb1-/-,forebrain EC,E14.5,GSM2091182
SRR3232772,52898339,2750713628,52,2123,SRX1638476,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344940,SAMN04558561,simple,10090,Mus musculus,GSM2091183,GEO,SRA385947,07,2017,Hupe,brain,Brain_E145_EC_Ctnnb1KO_Translatome_2,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-;Ctnnb1-/-,forebrain EC,E14.5,GSM2091183
SRR3232773,24571283,1277706716,52,1097,SRX1638477,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344939,SAMN04558562,simple,10090,Mus musculus,GSM2091184,GEO,SRA385947,07,2017,Hupe,brain,Brain_E145_EC_Ctnnb1KO_Translatome_3,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-;Ctnnb1-/-,forebrain EC,E14.5,GSM2091184
SRR3232774,56167616,2920716032,52,2343,SRX1638478,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344938,SAMN04558567,simple,10090,Mus musculus,GSM2091185,GEO,SRA385947,07,2017,Hupe,brain,Head_E145_EC_Translatome_1,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,head (without brain),E14.5,GSM2091185
SRR3232775,56161064,2920375328,52,2331,SRX1638479,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344937,SAMN04558568,simple,10090,Mus musculus,GSM2091186,GEO,SRA385947,07,2017,Hupe,brain,Head_E145_EC_Translatome_2,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,head (without brain),E14.5,GSM2091186
SRR3232776,60147174,3127653048,52,2464,SRX1638480,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344936,SAMN04558569,simple,10090,Mus musculus,GSM2091187,GEO,SRA385947,07,2017,Hupe,brain,Head_E145_EC_Translatome_3,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,head (without brain),E14.5,GSM2091187
SRR3232777,70291871,3655177292,52,2755,SRX1638481,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344935,SAMN04558570,simple,10090,Mus musculus,GSM2091188,GEO,SRA385947,07,2017,Hupe,brain,Head_E145_Transcriptome_1,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,head (without brain),E14.5,GSM2091188
SRR3232778,71949823,3741390796,52,2794,SRX1638483,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344933,SAMN04558571,simple,10090,Mus musculus,GSM2091189,GEO,SRA385947,07,2017,Hupe,brain,Head_E145_Transcriptome_2,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,head (without brain),E14.5,GSM2091189
SRR3232779,46670025,2426841300,52,1762,SRX1638484,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344932,SAMN04558572,simple,10090,Mus musculus,GSM2091190,GEO,SRA385947,07,2017,Hupe,brain,Head_E145_Transcriptome_3,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,head (without brain),E14.5,GSM2091190
SRR3232780,34340747,1785718844,52,1639,SRX1638485,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344931,SAMN04558563,simple,10090,Mus musculus,GSM2091191,GEO,SRA385947,07,2017,Hupe,brain,Heart_E145_EC_Translatome_1,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,heart,E14.5,GSM2091191
SRR3232781,42756641,2223345332,52,1998,SRX1638486,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344930,SAMN04558564,simple,10090,Mus musculus,GSM2091192,GEO,SRA385947,07,2017,Hupe,brain,Heart_E145_EC_Translatome_2,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,heart,E14.5,GSM2091192
SRR3232782,38650723,2009837596,52,1828,SRX1638487,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344929,SAMN04558565,simple,10090,Mus musculus,GSM2091193,GEO,SRA385947,07,2017,Hupe,brain,Heart_E145_EC_Translatome_3,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,heart,E14.5,GSM2091193
SRR3232783,47205852,2454704304,52,2201,SRX1638488,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344928,SAMN04558566,simple,10090,Mus musculus,GSM2091194,GEO,SRA385947,07,2017,Hupe,brain,Heart_E145_Transcriptome_1,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,heart,E14.5,GSM2091194
SRR3232784,45363459,2358899868,52,2124,SRX1638489,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344927,SAMN04558573,simple,10090,Mus musculus,GSM2091195,GEO,SRA385947,07,2017,Hupe,brain,Heart_E145_Transcriptome_2,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,heart,E14.5,GSM2091195
SRR3232785,35838417,1863597684,52,1718,SRX1638490,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344926,SAMN04558574,simple,10090,Mus musculus,GSM2091196,GEO,SRA385947,07,2017,Hupe,brain,Heart_E145_Transcriptome_3,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,heart,E14.5,GSM2091196
SRR3232786,75944649,3949121748,52,3044,SRX1638491,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344925,SAMN04558575,simple,10090,Mus musculus,GSM2091197,GEO,SRA385947,07,2017,Hupe,brain,Limb_E145_EC_Translatome_1,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,limb,E14.5,GSM2091197
SRR3232787,51569769,2681627988,52,2163,SRX1638492,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344924,SAMN04558576,simple,10090,Mus musculus,GSM2091198,GEO,SRA385947,07,2017,Hupe,brain,Limb_E145_EC_Translatome_2,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,limb,E14.5,GSM2091198
SRR3232788,51602102,2683309304,52,2146,SRX1638493,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344922,SAMN04558577,simple,10090,Mus musculus,GSM2091199,GEO,SRA385947,07,2017,Hupe,brain,Limb_E145_EC_Translatome_3,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,limb,E14.5,GSM2091199
SRR3232789,56187931,2921772412,52,2179,SRX1638494,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344923,SAMN04558578,simple,10090,Mus musculus,GSM2091200,GEO,SRA385947,07,2017,Hupe,brain,Limb_E145_Transcriptome_1,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,limb,E14.5,GSM2091200
SRR3232790,80414732,4181566064,52,3080,SRX1638495,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344921,SAMN04558579,simple,10090,Mus musculus,GSM2091201,GEO,SRA385947,07,2017,Hupe,brain,Limb_E145_Transcriptome_2,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,limb,E14.5,GSM2091201
SRR3232791,58674878,3051093656,52,2275,SRX1638496,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344920,SAMN04558580,simple,10090,Mus musculus,GSM2091202,GEO,SRA385947,07,2017,Hupe,brain,Limb_E145_Transcriptome_3,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,limb,E14.5,GSM2091202
SRR3232792,22519203,1170998556,52,1013,SRX1638497,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344919,SAMN04558581,simple,10090,Mus musculus,GSM2091203,GEO,SRA385947,07,2017,Hupe,brain,Liver_E145_EC_Translatome_1,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,liver,E14.5,GSM2091203
SRR3232793,43521364,2263110928,52,1827,SRX1638498,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344917,SAMN04558582,simple,10090,Mus musculus,GSM2091204,GEO,SRA385947,07,2017,Hupe,brain,Liver_E145_EC_Translatome_2,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,liver,E14.5,GSM2091204
SRR3232794,25968576,1350365952,52,1149,SRX1638499,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344918,SAMN04558583,simple,10090,Mus musculus,GSM2091205,GEO,SRA385947,07,2017,Hupe,brain,Liver_E145_EC_Translatome_3,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,liver,E14.5,GSM2091205
SRR3232795,26266107,1365837564,52,1231,SRX1638500,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344857,SAMN04558584,simple,10090,Mus musculus,GSM2091206,GEO,SRA385947,07,2017,Hupe,brain,Liver_E145_Transcriptome_1,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,liver,E14.5,GSM2091206
SRR3232796,37384112,1943973824,52,1694,SRX1638501,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344916,SAMN04558585,simple,10090,Mus musculus,GSM2091207,GEO,SRA385947,07,2017,Hupe,brain,Liver_E145_Transcriptome_2,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,liver,E14.5,GSM2091207
SRR3232797,34103884,1773401968,52,1556,SRX1638502,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344915,SAMN04558586,simple,10090,Mus musculus,GSM2091208,GEO,SRA385947,07,2017,Hupe,brain,Liver_E145_Transcriptome_3,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,liver,E14.5,GSM2091208
SRR3232798,49594672,2578922944,52,2285,SRX1638503,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344914,SAMN04558587,simple,10090,Mus musculus,GSM2091209,GEO,SRA385947,07,2017,Hupe,brain,Lung_E145_EC_Translatome_1,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,lung EC,E14.5,GSM2091209
SRR3232799,53429022,2778309144,52,2426,SRX1638504,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344913,SAMN04558588,simple,10090,Mus musculus,GSM2091210,GEO,SRA385947,07,2017,Hupe,brain,Lung_E145_EC_Translatome_2,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,lung EC,E14.5,GSM2091210
SRR3232800,26892979,1398434908,52,1328,SRX1638505,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344912,SAMN04558589,simple,10090,Mus musculus,GSM2091211,GEO,SRA385947,07,2017,Hupe,brain,Lung_E145_EC_Translatome_3,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,lung EC,E14.5,GSM2091211
SRR3232801,50412751,2621463052,52,2331,SRX1638506,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344911,SAMN04558590,simple,10090,Mus musculus,GSM2091212,GEO,SRA385947,07,2017,Hupe,brain,Lung_E145_Transcriptome_1,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,lung,E14.5,GSM2091212
SRR3232802,25232059,1312067068,52,1119,SRX1638507,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344910,SAMN04558591,simple,10090,Mus musculus,GSM2091213,GEO,SRA385947,07,2017,Hupe,brain,Lung_E145_Transcriptome_2,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,lung,E14.5,GSM2091213
SRR3232803,47078272,2448070144,52,1943,SRX1638508,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344909,SAMN04558592,simple,10090,Mus musculus,GSM2091214,GEO,SRA385947,07,2017,Hupe,brain,Lung_E145_Transcriptome_3,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,lung,E14.5,GSM2091214
SRR3232804,31255982,1625311064,52,1527,SRX1638509,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344908,SAMN04558593,simple,10090,Mus musculus,GSM2091215,GEO,SRA385947,07,2017,Hupe,brain,Brain_E155_EC_Translatome_1,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,forebrain EC,E15.5,GSM2091215
SRR3232805,35141112,1827337824,52,1508,SRX1638510,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344907,SAMN04558594,simple,10090,Mus musculus,GSM2091216,GEO,SRA385947,07,2017,Hupe,brain,Brain_E155_EC_Translatome_2,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,forebrain EC,E15.5,GSM2091216
SRR3232806,38079242,1980120584,52,1619,SRX1638511,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344906,SAMN04558595,simple,10090,Mus musculus,GSM2091217,GEO,SRA385947,07,2017,Hupe,brain,Brain_E155_EC_Translatome_3,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,forebrain EC,E15.5,GSM2091217
