Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell_line,cell_type,time_point,tissue source,disease,disease_stage,ethinicity,GEO Accession
SRR10533446,42441837,12817434774,151,4671,SRX7217412,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720060,SAMN13387530,simple,9606,Homo sapiens,GSM4192418,GEO,SRA1003111,11,2019,Choudhary,U343_RNAseq_T24,U343_RNAseq_T24_replicate_1 [U343_L1_T24_S24],U343_RNAseq_T24,U343,glioblastoma cell line,T24,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192418
SRR10533447,41454684,12519314568,151,4599,SRX7217413,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720061,SAMN13387529,simple,9606,Homo sapiens,GSM4192419,GEO,SRA1003111,11,2019,Choudhary,U343_RNAseq_T0,U343_RNAseq_T0_replicate_2 [U343_L2_T0_S25],U343_RNAseq_T0,U343,glioblastoma cell line,T0,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192419
SRR10533448,45154766,13636739332,151,5011,SRX7217414,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720062,SAMN13387528,simple,9606,Homo sapiens,GSM4192420,GEO,SRA1003111,11,2019,Choudhary,U343_RNAseq_T1,U343_RNAseq_T1_replicate_2 [U343_L2_T1_S26],U343_RNAseq_T1,U343,glioblastoma cell line,T1,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192420
SRR10533449,41451046,12518215892,151,4611,SRX7217415,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720063,SAMN13387527,simple,9606,Homo sapiens,GSM4192421,GEO,SRA1003111,11,2019,Choudhary,U343_RNAseq_T24,U343_RNAseq_T24_replicate_2 [U343_L2_T24_S27],U343_RNAseq_T24,U343,glioblastoma cell line,T24,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192421
SRR10533450,45731668,13810963736,151,5093,SRX7217416,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720064,SAMN13387526,simple,9606,Homo sapiens,GSM4192422,GEO,SRA1003111,11,2019,Choudhary,U343_RNAseq_T0,U343_RNAseq_T0_replicate_3 [U343_L3_T0_S28],U343_RNAseq_T0,U343,glioblastoma cell line,T0,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192422
SRR10533451,38297322,11565791244,151,4276,SRX7217417,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720065,SAMN13387525,simple,9606,Homo sapiens,GSM4192423,GEO,SRA1003111,11,2019,Choudhary,U343_RNAseq_T1,U343_RNAseq_T1_replicate_3 [U343_L3_T1_S29],U343_RNAseq_T1,U343,glioblastoma cell line,T1,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192423
SRR10533452,31744157,9586735414,151,3528,SRX7217418,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720066,SAMN13387524,simple,9606,Homo sapiens,GSM4192424,GEO,SRA1003111,11,2019,Choudhary,U343_RNAseq_T24,U343_RNAseq_T24_replicate_3 [U343_L3_T24_S30],U343_RNAseq_T24,U343,glioblastoma cell line,T24,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192424
SRR10533453,41217014,2102067714,51,801,SRX7217419,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720067,SAMN13387523,simple,9606,Homo sapiens,GSM4192425,GEO,SRA1003111,11,2019,Choudhary,U251_Riboseq_T0,U251_Riboseq_T0_replicate_1 [U251_TC1_0GY_T0_S1_L001],U251_Riboseq_T0,U251,glioblastoma cell line,T0,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192425
SRR10533454,47597202,2427457302,51,916,SRX7217420,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720068,SAMN13387522,simple,9606,Homo sapiens,GSM4192426,GEO,SRA1003111,11,2019,Choudhary,U251_Riboseq_T1,U251_Riboseq_T1_replicate_1 [U251_TC1_5GY_T1_S2_L001],U251_Riboseq_T1,U251,glioblastoma cell line,T1,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192426
SRR10533455,46398998,2366348898,51,902,SRX7217421,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720069,SAMN13387521,simple,9606,Homo sapiens,GSM4192427,GEO,SRA1003111,11,2019,Choudhary,U251_Riboseq_T24,U251_Riboseq_T24_replicate_1 [U251_TC1_5GY_T24_S3_L001],U251_Riboseq_T24,U251,glioblastoma cell line,T24,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192427
SRR10533456,43737586,2230616886,51,841,SRX7217422,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720070,SAMN13387520,simple,9606,Homo sapiens,GSM4192428,GEO,SRA1003111,11,2019,Choudhary,U251_Riboseq_T0,U251_Riboseq_T0_replicate_2 [U251_L2_0GY_T0_S4_L001],U251_Riboseq_T0,U251,glioblastoma cell line,T0,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192428
SRR10533457,41566224,2119877424,51,794,SRX7217423,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720071,SAMN13387519,simple,9606,Homo sapiens,GSM4192429,GEO,SRA1003111,11,2019,Choudhary,U251_Riboseq_T1,U251_Riboseq_T1_replicate_2 [U251_L2_5GY_T1_S5_L001],U251_Riboseq_T1,U251,glioblastoma cell line,T1,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192429
SRR10533458,45522297,2321637147,51,873,SRX7217424,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720072,SAMN13387518,simple,9606,Homo sapiens,GSM4192430,GEO,SRA1003111,11,2019,Choudhary,U251_Riboseq_T24,U251_Riboseq_T24_replicate_2 [U251_L2_5GY_T24_S6_L001],U251_Riboseq_T24,U251,glioblastoma cell line,T24,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192430
SRR10533459,44324902,2260570002,51,867,SRX7217425,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720073,SAMN13387517,simple,9606,Homo sapiens,GSM4192431,GEO,SRA1003111,11,2019,Choudhary,U251_Riboseq_T1,U251_Riboseq_T1_replicate_3 [U251_L3_5GY_T1_S8_L001],U251_Riboseq_T1,U251,glioblastoma cell line,T1,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192431
SRR10533460,43738781,2230677831,51,858,SRX7217426,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720074,SAMN13387516,simple,9606,Homo sapiens,GSM4192432,GEO,SRA1003111,11,2019,Choudhary,U251_Riboseq_T24,U251_Riboseq_T24_replicate_3 [U251_L3_5GY_T24_S9_L001],U251_Riboseq_T24,U251,glioblastoma cell line,T24,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192432
SRR10533461,26501322,1351567422,51,463,SRX7217427,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720075,SAMN13387515,simple,9606,Homo sapiens,GSM4192433,GEO,SRA1003111,11,2019,Choudhary,U343_Riboseq_T0,U343_Riboseq_T0_replicate_1 [U343_L1_0GY_T0_S10_L002],U343_Riboseq_T0,U343,glioblastoma cell line,T0,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192433
SRR10533462,42924997,2189174847,51,756,SRX7217428,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720076,SAMN13387514,simple,9606,Homo sapiens,GSM4192434,GEO,SRA1003111,11,2019,Choudhary,U343_Riboseq_T1,U343_Riboseq_T1_replicate_1 [U343_L1_5GY_T1_S11_L002],U343_Riboseq_T1,U343,glioblastoma cell line,T1,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192434
SRR10533463,64580404,3293600604,51,1119,SRX7217429,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720077,SAMN13387513,simple,9606,Homo sapiens,GSM4192435,GEO,SRA1003111,11,2019,Choudhary,U343_Riboseq_T24,U343_Riboseq_T24_replicate_1 [U343_L1_5GY_T24_S12_L002],U343_Riboseq_T24,U343,glioblastoma cell line,T24,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192435
SRR10533464,41378873,2110322523,51,723,SRX7217430,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720078,SAMN13387512,simple,9606,Homo sapiens,GSM4192436,GEO,SRA1003111,11,2019,Choudhary,U343_Riboseq_T0,U343_Riboseq_T0_replicate_2 [U343_L2_0GY_T0_S13_L002],U343_Riboseq_T0,U343,glioblastoma cell line,T0,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192436
SRR10533465,52438781,2674377831,51,910,SRX7217431,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720079,SAMN13387511,simple,9606,Homo sapiens,GSM4192437,GEO,SRA1003111,11,2019,Choudhary,U343_Riboseq_T1,U343_Riboseq_T1_replicate_2 [U343_L2_5GY_T1_S14_L002],U343_Riboseq_T1,U343,glioblastoma cell line,T1,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192437
SRR10533466,46232582,2357861682,51,800,SRX7217432,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720080,SAMN13387563,simple,9606,Homo sapiens,GSM4192438,GEO,SRA1003111,11,2019,Choudhary,U343_Riboseq_T24,U343_Riboseq_T24_replicate_2 [U343_L2_5GY_T24_S15_L002],U343_Riboseq_T24,U343,glioblastoma cell line,T24,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192438
SRR10533467,40303232,2055464832,51,701,SRX7217433,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720081,SAMN13387562,simple,9606,Homo sapiens,GSM4192439,GEO,SRA1003111,11,2019,Choudhary,U343_Riboseq_T0,U343_Riboseq_T0_replicate_3 [U343_L3_0GY_T0_S16_L002],U343_Riboseq_T0,U343,glioblastoma cell line,T0,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192439
SRR10533468,38841828,1980933228,51,684,SRX7217434,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720082,SAMN13387561,simple,9606,Homo sapiens,GSM4192440,GEO,SRA1003111,11,2019,Choudhary,U343_Riboseq_T1,U343_Riboseq_T1_replicate_3 [U343_L3_5GY_T1_S17_L002],U343_Riboseq_T1,U343,glioblastoma cell line,T1,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192440
SRR10533469,58391812,2977982412,51,1022,SRX7217435,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720083,SAMN13387543,simple,9606,Homo sapiens,GSM4192441,GEO,SRA1003111,11,2019,Choudhary,U343_Riboseq_T24,U343_Riboseq_T24_replicate_3 [U343_L3_5GY_T24_S18_L002],U343_Riboseq_T24,U343,glioblastoma cell line,T24,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192441
