Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,treatment,material,cell type,GEO Accession
SRR12333538,38530377,1965049227,51,678,SRX8833513,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273780,PRJNA649003,34480152,"",SRS7097616,SAMN15654978,simple,10090,Mus musculus,GSM4697836,GEO,SRA1104215,06,2021,Schott,RAW264.7,LPS16_RPF,RAW264.7,RAW264.7,"LPS, 16 h",ribosome-protected fragments,,GSM4697836
SRR12333539,34717168,1770575568,51,609,SRX8833514,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273780,PRJNA649003,34480152,"",SRS7097617,SAMN15654977,simple,10090,Mus musculus,GSM4697837,GEO,SRA1104215,06,2021,Schott,RAW264.7,LPS0_IN,RAW264.7,RAW264.7,untreated,Input,,GSM4697837
SRR12333540,37009137,1887465987,51,647,SRX8833515,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273780,PRJNA649003,34480152,"",SRS7097618,SAMN15654976,simple,10090,Mus musculus,GSM4697838,GEO,SRA1104215,06,2021,Schott,RAW264.7,LPS15_IN,RAW264.7,RAW264.7,"LPS, 15 min",Input,,GSM4697838
SRR12333541,36333113,1852988763,51,634,SRX8833516,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273780,PRJNA649003,34480152,"",SRS7097619,SAMN15654975,simple,10090,Mus musculus,GSM4697839,GEO,SRA1104215,06,2021,Schott,RAW264.7,LPS30_IN,RAW264.7,RAW264.7,"LPS, 30 min",Input,,GSM4697839
SRR12333542,39582473,2018706123,51,695,SRX8833517,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273780,PRJNA649003,34480152,"",SRS7097620,SAMN15654974,simple,10090,Mus musculus,GSM4697840,GEO,SRA1104215,06,2021,Schott,RAW264.7,LPS45_IN,RAW264.7,RAW264.7,"LPS, 45 min",Input,,GSM4697840
SRR12333543,40078367,2043996717,51,699,SRX8833518,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273780,PRJNA649003,34480152,"",SRS7097621,SAMN15654973,simple,10090,Mus musculus,GSM4697841,GEO,SRA1104215,06,2021,Schott,RAW264.7,LPS60_IN,RAW264.7,RAW264.7,"LPS, 60 min",Input,,GSM4697841
SRR12333544,37565787,1915855137,51,658,SRX8833519,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273780,PRJNA649003,34480152,"",SRS7097622,SAMN15654972,simple,10090,Mus musculus,GSM4697842,GEO,SRA1104215,06,2021,Schott,RAW264.7,LPS75_IN,RAW264.7,RAW264.7,LPS 75 min,Input,,GSM4697842
SRR12333545,35126346,1791443646,51,625,SRX8833520,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273780,PRJNA649003,34480152,"",SRS7097623,SAMN15655009,simple,10090,Mus musculus,GSM4697843,GEO,SRA1104215,06,2021,Schott,RAW264.7,LPS90_IN,RAW264.7,RAW264.7,LPS 90 min,Input,,GSM4697843
SRR12333546,36366393,1854686043,51,637,SRX8833521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273780,PRJNA649003,34480152,"",SRS7097624,SAMN15655008,simple,10090,Mus musculus,GSM4697844,GEO,SRA1104215,06,2021,Schott,RAW264.7,LPS16_IN,RAW264.7,RAW264.7,"LPS, 16 h",Input,,GSM4697844
SRR12333531,36404094,1856608794,51,639,SRX8833522,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273780,PRJNA649003,34480152,"",SRS7097625,SAMN15654985,simple,10090,Mus musculus,GSM4697829,GEO,SRA1104215,06,2021,Schott,RAW264.7,LPS0_RPF,RAW264.7,RAW264.7,untreated,ribosome-protected fragments,,GSM4697829
SRR12333547,45986884,2345331084,51,805,SRX8833523,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097626,SAMN15655007,simple,10090,Mus musculus,GSM4697845,GEO,SRA1104216,06,2021,Schott,RAW264.7,IN_4sU0_exp1,RAW264.7,RAW264.7,untreated,Input,,GSM4697845
SRR12333548,49109894,2504604594,51,857,SRX8833524,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097627,SAMN15655006,simple,10090,Mus musculus,GSM4697846,GEO,SRA1104216,06,2021,Schott,RAW264.7,IN_4sU20_exp1,RAW264.7,RAW264.7,"4sU, 20 min",Input,,GSM4697846
SRR12333549,48724026,2484925326,51,868,SRX8833525,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097628,SAMN15655005,simple,10090,Mus musculus,GSM4697847,GEO,SRA1104216,06,2021,Schott,RAW264.7,IN_4sU40_exp1,RAW264.7,RAW264.7,"4sU, 40 min",Input,,GSM4697847
SRR12333550,51608658,2632041558,51,902,SRX8833526,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097629,SAMN15655004,simple,10090,Mus musculus,GSM4697848,GEO,SRA1104216,06,2021,Schott,RAW264.7,IN_4sU60_exp1,RAW264.7,RAW264.7,"4sU, 60 min",Input,,GSM4697848
SRR12333551,48927883,2495322033,51,852,SRX8833527,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097630,SAMN15655003,simple,10090,Mus musculus,GSM4697849,GEO,SRA1104216,06,2021,Schott,RAW264.7,IN_4sU90_exp1,RAW264.7,RAW264.7,"4sU, 90 min",Input,,GSM4697849
SRR12333552,50689997,2585189847,51,889,SRX8833528,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097631,SAMN15655002,simple,10090,Mus musculus,GSM4697850,GEO,SRA1104216,06,2021,Schott,RAW264.7,IN_4sU120_exp1,RAW264.7,RAW264.7,"4sU, 120 min",Input,,GSM4697850
SRR12333553,51398032,2621299632,51,895,SRX8833529,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097632,SAMN15655001,simple,10090,Mus musculus,GSM4697851,GEO,SRA1104216,06,2021,Schott,RAW264.7,RPF_4sU0_exp1,RAW264.7,RAW264.7,untreated,ribosome-protected fragments,,GSM4697851
SRR12333554,50071775,2553660525,51,871,SRX8833530,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097633,SAMN15655000,simple,10090,Mus musculus,GSM4697852,GEO,SRA1104216,06,2021,Schott,RAW264.7,RPF_4sU20_exp1,RAW264.7,RAW264.7,"4sU, 20 min",ribosome-protected fragments,,GSM4697852
SRR12333555,46020721,2347056771,51,803,SRX8833531,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097634,SAMN15654999,simple,10090,Mus musculus,GSM4697853,GEO,SRA1104216,06,2021,Schott,RAW264.7,RPF_4sU40_exp1,RAW264.7,RAW264.7,"4sU, 40 min",ribosome-protected fragments,,GSM4697853
SRR12333556,42525017,2168775867,51,747,SRX8833532,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097635,SAMN15654998,simple,10090,Mus musculus,GSM4697854,GEO,SRA1104216,06,2021,Schott,RAW264.7,RPF_4sU60_exp1,RAW264.7,RAW264.7,"4sU, 60 min",ribosome-protected fragments,,GSM4697854
SRR12333557,50284266,2564497566,51,875,SRX8833533,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097636,SAMN15654997,simple,10090,Mus musculus,GSM4697855,GEO,SRA1104216,06,2021,Schott,RAW264.7,RPF_4sU90_exp1,RAW264.7,RAW264.7,"4sU, 90 min",ribosome-protected fragments,,GSM4697855
SRR12333558,50307014,2565657714,51,880,SRX8833534,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097637,SAMN15654996,simple,10090,Mus musculus,GSM4697856,GEO,SRA1104216,06,2021,Schott,RAW264.7,RPF_4sU120_exp1,RAW264.7,RAW264.7,"4sU, 120 min",ribosome-protected fragments,,GSM4697856
SRR12333559,48425631,2469707181,51,849,SRX8833535,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097638,SAMN15654995,simple,10090,Mus musculus,GSM4697857,GEO,SRA1104216,06,2021,Schott,RAW264.7,IN_4sU20_exp2,RAW264.7,RAW264.7,"4sU, 20 min",Input,,GSM4697857
SRR12333560,93344631,4760576181,51,1612,SRX8833535,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097638,SAMN15654995,simple,10090,Mus musculus,GSM4697857,GEO,SRA1104216,06,2021,Schott,RAW264.7,IN_4sU20_exp2,RAW264.7,RAW264.7,"4sU, 30 min",Input,,GSM4697858
SRR12333561,109268079,5572672029,51,1957,SRX8833535,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097638,SAMN15654995,simple,10090,Mus musculus,GSM4697857,GEO,SRA1104216,06,2021,Schott,RAW264.7,IN_4sU20_exp2,RAW264.7,RAW264.7,"4sU, 40 min",Input,,GSM4697859
SRR12333562,49756994,2537606694,51,870,SRX8833536,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097639,SAMN15654994,simple,10090,Mus musculus,GSM4697858,GEO,SRA1104216,06,2021,Schott,RAW264.7,IN_4sU30_exp2,RAW264.7,RAW264.7,"4sU, 20 min",ribosome-protected fragments,,GSM4697860
SRR12333563,92796453,4732619103,51,1600,SRX8833536,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097639,SAMN15654994,simple,10090,Mus musculus,GSM4697858,GEO,SRA1104216,06,2021,Schott,RAW264.7,IN_4sU30_exp2,RAW264.7,RAW264.7,"4sU, 30 min",ribosome-protected fragments,,GSM4697861
SRR12333564,61853771,3154542321,51,1115,SRX8833536,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097639,SAMN15654994,simple,10090,Mus musculus,GSM4697858,GEO,SRA1104216,06,2021,Schott,RAW264.7,IN_4sU30_exp2,RAW264.7,RAW264.7,"4sU, 40 min",ribosome-protected fragments,,GSM4697862
SRR12333565,28653036,1461304836,51,504,SRX8833537,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097640,SAMN15654993,simple,10090,Mus musculus,GSM4697859,GEO,SRA1104216,06,2021,Schott,RAW264.7,IN_4sU40_exp2,mESCs,,untreated,,mESCs,GSM5221535
SRR12333566,76306596,3891636396,51,1324,SRX8833537,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097640,SAMN15654993,simple,10090,Mus musculus,GSM4697859,GEO,SRA1104216,06,2021,Schott,RAW264.7,IN_4sU40_exp2,mESCs,,"ActD, 2h",,mESCs,GSM5221536
SRR12333567,32341207,1649401557,51,579,SRX8833537,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097640,SAMN15654993,simple,10090,Mus musculus,GSM4697859,GEO,SRA1104216,06,2021,Schott,RAW264.7,IN_4sU40_exp2,mESCs,,"ActD, 4h",,mESCs,GSM5221537
SRR12333568,43470643,2217002793,51,758,SRX8833538,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097641,SAMN15654992,simple,10090,Mus musculus,GSM4697860,GEO,SRA1104216,06,2021,Schott,RAW264.7,RPF_4sU20_exp2,mESCs,,"ActD, 6h",,mESCs,GSM5221538
SRR12333569,85942273,4383055923,51,1479,SRX8833538,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097641,SAMN15654992,simple,10090,Mus musculus,GSM4697860,GEO,SRA1104216,06,2021,Schott,RAW264.7,RPF_4sU20_exp2,mESCs,,"4sU, 60 min",Input,mESCs,GSM5233895
SRR12333570,204328200,10420738200,51,3655,SRX8833538,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097641,SAMN15654992,simple,10090,Mus musculus,GSM4697860,GEO,SRA1104216,06,2021,Schott,RAW264.7,RPF_4sU20_exp2,mESCs,,"4sU, 90 min",Input,mESCs,GSM5233896
SRR12333571,48318406,2464238706,51,841,SRX8833539,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097642,SAMN15654991,simple,10090,Mus musculus,GSM4697861,GEO,SRA1104216,06,2021,Schott,RAW264.7,RPF_4sU30_exp2,mESCs,,"4sU, 120 min",Input,mESCs,GSM5233897
SRR12333572,94467254,4817829954,51,1621,SRX8833539,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097642,SAMN15654991,simple,10090,Mus musculus,GSM4697861,GEO,SRA1104216,06,2021,Schott,RAW264.7,RPF_4sU30_exp2,mESCs,,"4sU, 60 min",ribosome-protected fragments,mESCs,GSM5233898
SRR12333573,30705887,1566000237,51,544,SRX8833539,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097642,SAMN15654991,simple,10090,Mus musculus,GSM4697861,GEO,SRA1104216,06,2021,Schott,RAW264.7,RPF_4sU30_exp2,mESCs,,"4sU, 90 min",ribosome-protected fragments,mESCs,GSM5233899
SRR12333574,43353665,2211036915,51,755,SRX8833540,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097643,SAMN15654990,simple,10090,Mus musculus,GSM4697862,GEO,SRA1104216,06,2021,Schott,RAW264.7,RPF_4sU40_exp2,mESCs,,"4sU, 120 min",ribosome-protected fragments,mESCs,GSM5233900
SRR12333575,85744650,4372977150,51,1475,SRX8833540,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097643,SAMN15654990,simple,10090,Mus musculus,GSM4697862,GEO,SRA1104216,06,2021,Schott,RAW264.7,RPF_4sU40_exp2,mESCs,,"4sU, 60 min",Input,mESCs,GSM5233901
SRR12333576,41156099,2098961049,51,733,SRX8833540,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273781,PRJNA649002,34480152,"",SRS7097643,SAMN15654990,simple,10090,Mus musculus,GSM4697862,GEO,SRA1104216,06,2021,Schott,RAW264.7,RPF_4sU40_exp2,mESCs,,"4sU, 90 min",Input,mESCs,GSM5233902
SRR14119935,158868646,13503834910,85,5121,SRX10490271,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP312928,PRJNA718868,34480152,"",SRS8616508,SAMN18577984,simple,10090,Mus musculus,GSM5221535,GEO,SRA1213868,06,2021,Schott,mESCs,ActD0_mESC,mESCs,,"4sU, 120 min",Input,mESCs,GSM5233903
SRR14119936,71317228,6061964380,85,2270,SRX10490272,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP312928,PRJNA718868,34480152,"",SRS8616509,SAMN18577983,simple,10090,Mus musculus,GSM5221536,GEO,SRA1213868,06,2021,Schott,mESCs,ActD2_mESC,mESCs,,"4sU, 60 min",ribosome-protected fragments,mESCs,GSM5233904
SRR14119937,70990331,6034178135,85,2267,SRX10490273,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP312928,PRJNA718868,34480152,"",SRS8616511,SAMN18577982,simple,10090,Mus musculus,GSM5221537,GEO,SRA1213868,06,2021,Schott,mESCs,ActD4_mESC,mESCs,,"4sU, 90 min",ribosome-protected fragments,mESCs,GSM5233905
SRR14119938,51776775,4401025875,85,1651,SRX10490274,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP312928,PRJNA718868,34480152,"",SRS8616510,SAMN18577981,simple,10090,Mus musculus,GSM5221538,GEO,SRA1213868,06,2021,Schott,mESCs,ActD6_mESC,mESCs,,"4sU, 120 min",ribosome-protected fragments,mESCs,GSM5233906
SRR14195986,33511685,2546888060,76,882,SRX10562789,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314203,PRJNA720892,34480152,"",SRS8669246,SAMN18681389,simple,10090,Mus musculus,GSM5233895,GEO,SRA1216713,06,2021,Schott,mESCs,mESCs_IN_4sU60_rep1,RAW264.7,RAW264.7,untreated,,,GSM4697825
SRR14195987,27800490,2112837240,76,718,SRX10562790,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314203,PRJNA720892,34480152,"",SRS8669245,SAMN18681388,simple,10090,Mus musculus,GSM5233896,GEO,SRA1216713,06,2021,Schott,mESCs,mESCs_IN_4sU90_rep1,RAW264.7,RAW264.7,"ActD, 2h",,,GSM4697826
SRR14195988,31737762,2412069912,76,833,SRX10562791,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314203,PRJNA720892,34480152,"",SRS8669247,SAMN18681387,simple,10090,Mus musculus,GSM5233897,GEO,SRA1216713,06,2021,Schott,mESCs,mESCs_IN_4sU120_rep1,RAW264.7,RAW264.7,"ActD, 4h",,,GSM4697827
SRR14195989,26320718,2000374568,76,676,SRX10562792,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314203,PRJNA720892,34480152,"",SRS8669248,SAMN18681386,simple,10090,Mus musculus,GSM5233898,GEO,SRA1216713,06,2021,Schott,mESCs,mESCs_RPF_4sU60_rep1,RAW264.7,RAW264.7,"ActD, 6h",,,GSM4697828
SRR14195990,30978501,2354366076,76,794,SRX10562793,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314203,PRJNA720892,34480152,"",SRS8669252,SAMN18681385,simple,10090,Mus musculus,GSM5233899,GEO,SRA1216713,06,2021,Schott,mESCs,mESCs_RPF_4sU90_rep1,RAW264.7,RAW264.7,"LPS, 15 min",ribosome-protected fragments,,GSM4697830
SRR14195991,36751766,2793134216,76,944,SRX10562794,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314203,PRJNA720892,34480152,"",SRS8669250,SAMN18681384,simple,10090,Mus musculus,GSM5233900,GEO,SRA1216713,06,2021,Schott,mESCs,mESCs_RPF_4sU120_rep1,RAW264.7,RAW264.7,"LPS, 30 min",ribosome-protected fragments,,GSM4697831
SRR14195992,38088182,2856613650,75,956,SRX10562795,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314203,PRJNA720892,34480152,"",SRS8669249,SAMN18681383,simple,10090,Mus musculus,GSM5233901,GEO,SRA1216713,06,2021,Schott,mESCs,mESCs_IN_4sU60_rep2,RAW264.7,RAW264.7,"LPS, 45 min",ribosome-protected fragments,,GSM4697832
SRR14195993,23791820,1784386500,75,623,SRX10562796,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314203,PRJNA720892,34480152,"",SRS8669251,SAMN18681382,simple,10090,Mus musculus,GSM5233902,GEO,SRA1216713,06,2021,Schott,mESCs,mESCs_IN_4sU90_rep2,RAW264.7,RAW264.7,"LPS, 60 min",ribosome-protected fragments,,GSM4697833
SRR14195994,40430272,3032270400,75,1025,SRX10562797,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314203,PRJNA720892,34480152,"",SRS8669254,SAMN18681381,simple,10090,Mus musculus,GSM5233903,GEO,SRA1216713,06,2021,Schott,mESCs,mESCs_IN_4sU120_rep2,RAW264.7,RAW264.7,LPS 75 min,ribosome-protected fragments,,GSM4697834
SRR14195995,42974041,3223053075,75,1086,SRX10562798,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314203,PRJNA720892,34480152,"",SRS8669253,SAMN18681380,simple,10090,Mus musculus,GSM5233904,GEO,SRA1216713,06,2021,Schott,mESCs,mESCs_RPF_4sU60_rep2,RAW264.7,RAW264.7,LPS 90 min,ribosome-protected fragments,,GSM4697835
