Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,cell line,genetic modification,GEO Accession
SRR5806771,34799419,3479941900,100,1153,SRX2985755,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP111133,PRJNA393189,29622725,"",SRS2338329,SAMN07322735,simple,9606,Homo sapiens,GSM2691858,GEO,SRA584228,04,2018,Muhar,K562_AID-BRD4_clone-2_IAA_rep-1,K562_AID-BRD4_clone-2_IAA_rep-1,K562_AID-BRD4_clone-2_IAA_rep-1,"100µM indole-3-acetic acid, 90 min",K562,AID-BRD4 / SFFV-OsTir1-T2A-BlastR,GSM2691858
SRR5806772,57847103,5784710300,100,1913,SRX2985756,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP111133,PRJNA393189,29622725,"",SRS2338330,SAMN07322734,simple,9606,Homo sapiens,GSM2691859,GEO,SRA584228,04,2018,Muhar,K562_AID-BRD4_clone-2_IAA_rep-2,K562_AID-BRD4_clone-2_IAA_rep-2,K562_AID-BRD4_clone-2_IAA_rep-2,"100µM indole-3-acetic acid, 90 min",K562,AID-BRD4 / SFFV-OsTir1-T2A-BlastR,GSM2691859
SRR5806773,54927920,5492792000,100,1815,SRX2985757,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP111133,PRJNA393189,29622725,"",SRS2338331,SAMN07322733,simple,9606,Homo sapiens,GSM2691860,GEO,SRA584228,04,2018,Muhar,K562_AID-BRD4_clone-2_IAA_rep-3,K562_AID-BRD4_clone-2_IAA_rep-3,K562_AID-BRD4_clone-2_IAA_rep-3,"100µM indole-3-acetic acid, 90 min",K562,AID-BRD4 / SFFV-OsTir1-T2A-BlastR,GSM2691860
SRR5806774,51644873,5164487300,100,1849,SRX2985758,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP111133,PRJNA393189,29622725,"",SRS2338332,SAMN07322732,simple,9606,Homo sapiens,GSM2691861,GEO,SRA584228,04,2018,Muhar,K562_DMSO_rep-1_exp-3,K562_DMSO_rep-1_exp-3,K562_DMSO_rep-1_exp-3,"DMSO (1:1000), 90 min",K562,,GSM2691861
SRR5806775,47962618,4796261800,100,1689,SRX2985759,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP111133,PRJNA393189,29622725,"",SRS2338333,SAMN07322731,simple,9606,Homo sapiens,GSM2691862,GEO,SRA584228,04,2018,Muhar,K562_DMSO_rep-2_exp-3,K562_DMSO_rep-2_exp-3,K562_DMSO_rep-2_exp-3,"DMSO (1:1000), 90 min",K562,,GSM2691862
SRR5806776,46520122,4652012200,100,1653,SRX2985760,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP111133,PRJNA393189,29622725,"",SRS2338334,SAMN07322730,simple,9606,Homo sapiens,GSM2691863,GEO,SRA584228,04,2018,Muhar,K562_DMSO_rep-3_exp-3,K562_DMSO_rep-3_exp-3,K562_DMSO_rep-3_exp-3,"DMSO (1:1000), 90 min",K562,,GSM2691863
SRR5806777,53009562,5300956200,100,1858,SRX2985761,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP111133,PRJNA393189,29622725,"",SRS2338335,SAMN07322729,simple,9606,Homo sapiens,GSM2691864,GEO,SRA584228,04,2018,Muhar,K562_JQ1_rep-1_exp-3,K562_JQ1_rep-1_exp-3,K562_JQ1_rep-1_exp-3,"200nM JQ1, 90 min",K562,,GSM2691864
SRR5806778,51111581,5111158100,100,1802,SRX2985762,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP111133,PRJNA393189,29622725,"",SRS2338336,SAMN07322728,simple,9606,Homo sapiens,GSM2691865,GEO,SRA584228,04,2018,Muhar,K562_JQ1_rep-2_exp-3,K562_JQ1_rep-2_exp-3,K562_JQ1_rep-2_exp-3,"200nM JQ1, 90 min",K562,,GSM2691865
SRR5806779,41048491,4104849100,100,1479,SRX2985763,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP111133,PRJNA393189,29622725,"",SRS2338337,SAMN07322727,simple,9606,Homo sapiens,GSM2691866,GEO,SRA584228,04,2018,Muhar,K562_JQ1_rep-3_exp-3,K562_JQ1_rep-3_exp-3,K562_JQ1_rep-3_exp-3,"200nM JQ1, 90 min",K562,,GSM2691866
SRR5806780,42763875,4276387500,100,1442,SRX2985764,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP111133,PRJNA393189,29622725,"",SRS2338338,SAMN07322726,simple,9606,Homo sapiens,GSM2691867,GEO,SRA584228,04,2018,Muhar,MV4-11_DMSO_rep-1,MV4-11_DMSO_rep-1,MV4-11_DMSO_rep-1,"DMSO (1:1000), 90 min",MV4-11,,GSM2691867
SRR5806781,33213148,3321314800,100,1120,SRX2985765,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP111133,PRJNA393189,29622725,"",SRS2338339,SAMN07322725,simple,9606,Homo sapiens,GSM2691868,GEO,SRA584228,04,2018,Muhar,MV4-11_DMSO_rep-2,MV4-11_DMSO_rep-2,MV4-11_DMSO_rep-2,"DMSO (1:1000), 90 min",MV4-11,,GSM2691868
SRR5806782,55541797,5554179700,100,1839,SRX2985766,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP111133,PRJNA393189,29622725,"",SRS2338341,SAMN07322724,simple,9606,Homo sapiens,GSM2691869,GEO,SRA584228,04,2018,Muhar,MV4-11_DMSO_rep-3,MV4-11_DMSO_rep-3,MV4-11_DMSO_rep-3,"DMSO (1:1000), 90 min",MV4-11,,GSM2691869
SRR5806783,34765844,3476584400,100,1175,SRX2985767,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP111133,PRJNA393189,29622725,"",SRS2338340,SAMN07322723,simple,9606,Homo sapiens,GSM2691870,GEO,SRA584228,04,2018,Muhar,MV4-11_JQ1_rep-1,MV4-11_JQ1_rep-1,MV4-11_JQ1_rep-1,"200nM JQ1, 90 min",MV4-11,,GSM2691870
SRR5806784,55279255,5527925500,100,1829,SRX2985768,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP111133,PRJNA393189,29622725,"",SRS2338342,SAMN07322688,simple,9606,Homo sapiens,GSM2691871,GEO,SRA584228,04,2018,Muhar,MV4-11_JQ1_rep-2,MV4-11_JQ1_rep-2,MV4-11_JQ1_rep-2,"200nM JQ1, 90 min",MV4-11,,GSM2691871
SRR5806785,42538215,4253821500,100,1428,SRX2985769,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP111133,PRJNA393189,29622725,"",SRS2338343,SAMN07322746,simple,9606,Homo sapiens,GSM2691872,GEO,SRA584228,04,2018,Muhar,MV4-11_JQ1_rep-3,MV4-11_JQ1_rep-3,MV4-11_JQ1_rep-3,"200nM JQ1, 90 min",MV4-11,,GSM2691872
SRR5806786,51078595,5107859500,100,1662,SRX2985770,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP111133,PRJNA393189,29622725,"",SRS2338344,SAMN07322703,simple,9606,Homo sapiens,GSM2691873,GEO,SRA584228,04,2018,Muhar,MOLM-13_DMSO_rep-1_exp-1,MOLM-13_DMSO_rep-1_exp-1,MOLM-13_DMSO_rep-1_exp-1,"DMSO (1:1000), 90 min",MOLM-13,,GSM2691873
SRR5806787,45330626,4533062600,100,1473,SRX2985771,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP111133,PRJNA393189,29622725,"",SRS2338345,SAMN07322702,simple,9606,Homo sapiens,GSM2691874,GEO,SRA584228,04,2018,Muhar,MOLM-13_DMSO_rep-2_exp-1,MOLM-13_DMSO_rep-2_exp-1,MOLM-13_DMSO_rep-2_exp-1,"DMSO (1:1000), 90 min",MOLM-13,,GSM2691874
SRR5806788,46343785,4634378500,100,1513,SRX2985772,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP111133,PRJNA393189,29622725,"",SRS2338346,SAMN07322701,simple,9606,Homo sapiens,GSM2691875,GEO,SRA584228,04,2018,Muhar,MOLM-13_DMSO_rep-3_exp-1,MOLM-13_DMSO_rep-3_exp-1,MOLM-13_DMSO_rep-3_exp-1,"DMSO (1:1000), 90 min",MOLM-13,,GSM2691875
SRR5806789,45645396,4564539600,100,1490,SRX2985773,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP111133,PRJNA393189,29622725,"",SRS2338348,SAMN07322700,simple,9606,Homo sapiens,GSM2691876,GEO,SRA584228,04,2018,Muhar,MOLM-13_JQ1_rep-1_exp-1,MOLM-13_JQ1_rep-1_exp-1,MOLM-13_JQ1_rep-1_exp-1,"200nM JQ1, 90 min",MOLM-13,,GSM2691876
SRR5806790,43664836,4366483600,100,1416,SRX2985774,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP111133,PRJNA393189,29622725,"",SRS2338347,SAMN07322699,simple,9606,Homo sapiens,GSM2691877,GEO,SRA584228,04,2018,Muhar,MOLM-13_JQ1_rep-2_exp-1,MOLM-13_JQ1_rep-2_exp-1,MOLM-13_JQ1_rep-2_exp-1,"200nM JQ1, 90 min",MOLM-13,,GSM2691877
SRR5806791,40235336,4023533600,100,1314,SRX2985775,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP111133,PRJNA393189,29622725,"",SRS2338349,SAMN07322698,simple,9606,Homo sapiens,GSM2691878,GEO,SRA584228,04,2018,Muhar,MOLM-13_JQ1_rep-3_exp-1,MOLM-13_JQ1_rep-3_exp-1,MOLM-13_JQ1_rep-3_exp-1,"200nM JQ1, 90 min",MOLM-13,,GSM2691878
SRR5806792,13121888,997263488,76,364,SRX2985776,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP111133,PRJNA393189,29622725,"",SRS2338350,SAMN07322697,simple,9606,Homo sapiens,GSM2691879,GEO,SRA584228,04,2018,Muhar,MOLM-13_unlabeled_rep-1,MOLM-13_unlabeled_rep-1,MOLM-13_unlabeled_rep-1,"DMSO (1:1000), 90 min",MOLM-13,,GSM2691879
SRR5806793,11124391,845453716,76,306,SRX2985777,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP111133,PRJNA393189,29622725,"",SRS2338351,SAMN07322696,simple,9606,Homo sapiens,GSM2691880,GEO,SRA584228,04,2018,Muhar,MOLM-13_unlabeled_rep-2,MOLM-13_unlabeled_rep-2,MOLM-13_unlabeled_rep-2,"DMSO (1:1000), 90 min",MOLM-13,,GSM2691880
SRR5806794,8370034,636122584,76,232,SRX2985778,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP111133,PRJNA393189,29622725,"",SRS2338352,SAMN07322695,simple,9606,Homo sapiens,GSM2691881,GEO,SRA584228,04,2018,Muhar,MOLM-13_unlabeled_rep-3,MOLM-13_unlabeled_rep-3,MOLM-13_unlabeled_rep-3,"DMSO (1:1000), 90 min",MOLM-13,,GSM2691881
SRR5806795,25771277,1932845775,75,978,SRX2985779,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP111133,PRJNA393189,29622725,"",SRS2338353,SAMN07322694,simple,9606,Homo sapiens,GSM2691882,GEO,SRA584228,04,2018,Muhar,MOLM-13_DMSO_rep-1_exp-2,MOLM-13_DMSO_rep-1_exp-2,MOLM-13_DMSO_rep-1_exp-2,"DMSO (1:1000), 90 min",MOLM-13,,GSM2691882
SRR5806796,25463603,1909770225,75,965,SRX2985780,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP111133,PRJNA393189,29622725,"",SRS2338354,SAMN07322693,simple,9606,Homo sapiens,GSM2691883,GEO,SRA584228,04,2018,Muhar,MOLM-13_DMSO_rep-2_exp-2,MOLM-13_DMSO_rep-2_exp-2,MOLM-13_DMSO_rep-2_exp-2,"DMSO (1:1000), 90 min",MOLM-13,,GSM2691883
SRR5806797,17217428,1291307100,75,656,SRX2985781,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP111133,PRJNA393189,29622725,"",SRS2338355,SAMN07322692,simple,9606,Homo sapiens,GSM2691884,GEO,SRA584228,04,2018,Muhar,MOLM-13_DMSO_rep-3_exp-2,MOLM-13_DMSO_rep-3_exp-2,MOLM-13_DMSO_rep-3_exp-2,"DMSO (1:1000), 90 min",MOLM-13,,GSM2691884
SRR5806798,23716239,1778717925,75,890,SRX2985782,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP111133,PRJNA393189,29622725,"",SRS2338357,SAMN07322691,simple,9606,Homo sapiens,GSM2691885,GEO,SRA584228,04,2018,Muhar,MOLM-13_JQ1_rep-1_exp-2,MOLM-13_JQ1_rep-1_exp-2,MOLM-13_JQ1_rep-1_exp-2,"200nM JQ1, 90 min",MOLM-13,,GSM2691885
SRR5806799,15393598,1154519850,75,577,SRX2985783,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP111133,PRJNA393189,29622725,"",SRS2338356,SAMN07322690,simple,9606,Homo sapiens,GSM2691886,GEO,SRA584228,04,2018,Muhar,MOLM-13_JQ1_rep-2_exp-2,MOLM-13_JQ1_rep-2_exp-2,MOLM-13_JQ1_rep-2_exp-2,"200nM JQ1, 90 min",MOLM-13,,GSM2691886
SRR5806800,24784999,1858874925,75,941,SRX2985784,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP111133,PRJNA393189,29622725,"",SRS2338358,SAMN07322689,simple,9606,Homo sapiens,GSM2691887,GEO,SRA584228,04,2018,Muhar,MOLM-13_JQ1_rep-3_exp-2,MOLM-13_JQ1_rep-3_exp-2,MOLM-13_JQ1_rep-3_exp-2,"200nM JQ1, 90 min",MOLM-13,,GSM2691887
SRR5806801,18014675,1351100625,75,676,SRX2985785,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP111133,PRJNA393189,29622725,"",SRS2338359,SAMN07322761,simple,9606,Homo sapiens,GSM2691888,GEO,SRA584228,04,2018,Muhar,MOLM-13_6nM_NVP-2_rep-1_exp-2,MOLM-13_6nM_NVP-2_rep-1_exp-2,MOLM-13_6nM_NVP-2_rep-1_exp-2,"6nM NVP-2, 90 min",MOLM-13,,GSM2691888
SRR5806802,12884550,966341250,75,492,SRX2985786,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP111133,PRJNA393189,29622725,"",SRS2338360,SAMN07322760,simple,9606,Homo sapiens,GSM2691889,GEO,SRA584228,04,2018,Muhar,MOLM-13_6nM_NVP-2_rep-2_exp-2,MOLM-13_6nM_NVP-2_rep-2_exp-2,MOLM-13_6nM_NVP-2_rep-2_exp-2,"6nM NVP-2, 90 min",MOLM-13,,GSM2691889
SRR5806803,28084483,2106336225,75,1034,SRX2985787,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP111133,PRJNA393189,29622725,"",SRS2338361,SAMN07322759,simple,9606,Homo sapiens,GSM2691890,GEO,SRA584228,04,2018,Muhar,MOLM-13_6nM_NVP-2_rep-3_exp-2,MOLM-13_6nM_NVP-2_rep-3_exp-2,MOLM-13_6nM_NVP-2_rep-3_exp-2,"6nM NVP-2, 90 min",MOLM-13,,GSM2691890
SRR5806804,19903995,1492799625,75,739,SRX2985788,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP111133,PRJNA393189,29622725,"",SRS2338363,SAMN07322758,simple,9606,Homo sapiens,GSM2691891,GEO,SRA584228,04,2018,Muhar,MOLM-13_60nM_NVP-2_rep-1_exp-2,MOLM-13_60nM_NVP-2_rep-1_exp-2,MOLM-13_60nM_NVP-2_rep-1_exp-2,"60nM NVP-2, 90 min",MOLM-13,,GSM2691891
SRR5806805,25702739,1927705425,75,963,SRX2985789,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP111133,PRJNA393189,29622725,"",SRS2338362,SAMN07322757,simple,9606,Homo sapiens,GSM2691892,GEO,SRA584228,04,2018,Muhar,MOLM-13_60nM_NVP-2_rep-2_exp-2,MOLM-13_60nM_NVP-2_rep-2_exp-2,MOLM-13_60nM_NVP-2_rep-2_exp-2,"60nM NVP-2, 90 min",MOLM-13,,GSM2691892
SRR5806806,27559248,2066943600,75,1019,SRX2985790,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP111133,PRJNA393189,29622725,"",SRS2338365,SAMN07322756,simple,9606,Homo sapiens,GSM2691893,GEO,SRA584228,04,2018,Muhar,MOLM-13_JQ1+6nM_NVP-2_rep-1_exp-2,MOLM-13_JQ1+6nM_NVP-2_rep-1_exp-2,MOLM-13_JQ1+6nM_NVP-2_rep-1_exp-2,"200nM JQ1 + 6nM NVP-2, 90 min",MOLM-13,,GSM2691893
SRR5806807,23198841,1739913075,75,859,SRX2985791,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP111133,PRJNA393189,29622725,"",SRS2338364,SAMN07322755,simple,9606,Homo sapiens,GSM2691894,GEO,SRA584228,04,2018,Muhar,MOLM-13_JQ1+6nM_NVP-2_rep-2_exp-2,MOLM-13_JQ1+6nM_NVP-2_rep-2_exp-2,MOLM-13_JQ1+6nM_NVP-2_rep-2_exp-2,"200nM JQ1 + 6nM NVP-2, 90 min",MOLM-13,,GSM2691894
SRR5806808,17342539,1300690425,75,651,SRX2985792,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP111133,PRJNA393189,29622725,"",SRS2338367,SAMN07322754,simple,9606,Homo sapiens,GSM2691895,GEO,SRA584228,04,2018,Muhar,MOLM-13_JQ1+6nM_NVP-2_rep-3_exp-2,MOLM-13_JQ1+6nM_NVP-2_rep-3_exp-2,MOLM-13_JQ1+6nM_NVP-2_rep-3_exp-2,"200nM JQ1 + 6nM NVP-2, 90 min",MOLM-13,,GSM2691895
SRR5806809,12954323,971574225,75,479,SRX2985793,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP111133,PRJNA393189,29622725,"",SRS2338366,SAMN07322753,simple,9606,Homo sapiens,GSM2691896,GEO,SRA584228,04,2018,Muhar,OCI/AML-3_DMSO_rep-1,OCI/AML-3_DMSO_rep-1,OCI/AML-3_DMSO_rep-1,"DMSO (1:1000), 90 min",OCI/AML-3,,GSM2691896
SRR5806810,10006669,750500175,75,367,SRX2985794,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP111133,PRJNA393189,29622725,"",SRS2338369,SAMN07322752,simple,9606,Homo sapiens,GSM2691897,GEO,SRA584228,04,2018,Muhar,OCI/AML-3_DMSO_rep-2,OCI/AML-3_DMSO_rep-2,OCI/AML-3_DMSO_rep-2,"DMSO (1:1000), 90 min",OCI/AML-3,,GSM2691897
SRR5806811,16863009,1264725675,75,616,SRX2985795,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP111133,PRJNA393189,29622725,"",SRS2338368,SAMN07322751,simple,9606,Homo sapiens,GSM2691898,GEO,SRA584228,04,2018,Muhar,OCI/AML-3_JQ1_rep-1,OCI/AML-3_JQ1_rep-1,OCI/AML-3_JQ1_rep-1,"200nM JQ1, 90 min",OCI/AML-3,,GSM2691898
SRR5806812,24795851,1859688825,75,894,SRX2985796,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP111133,PRJNA393189,29622725,"",SRS2338370,SAMN07322750,simple,9606,Homo sapiens,GSM2691899,GEO,SRA584228,04,2018,Muhar,OCI/AML-3_JQ1_rep-2,OCI/AML-3_JQ1_rep-2,OCI/AML-3_JQ1_rep-2,"200nM JQ1, 90 min",OCI/AML-3,,GSM2691899
SRR5806813,17896380,1342228500,75,657,SRX2985797,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP111133,PRJNA393189,29622725,"",SRS2338371,SAMN07322749,simple,9606,Homo sapiens,GSM2691900,GEO,SRA584228,04,2018,Muhar,OCI/AML-3_JQ1_rep-3,OCI/AML-3_JQ1_rep-3,OCI/AML-3_JQ1_rep-3,"200nM JQ1, 90 min",OCI/AML-3,,GSM2691900
SRR5806814,20814108,1561058100,75,786,SRX2985798,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP111133,PRJNA393189,29622725,"",SRS2338372,SAMN07322748,simple,9606,Homo sapiens,GSM2691901,GEO,SRA584228,04,2018,Muhar,OCI/AML-3_6nM_NVP-2_rep-1,OCI/AML-3_6nM_NVP-2_rep-1,OCI/AML-3_6nM_NVP-2_rep-1,"6nM NVP-2, 90 min",OCI/AML-3,,GSM2691901
