Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,sample type,tissue,genotype,development stage,genetic background,GEO Accession
SRR392977,24694844,1778028768,72,1147,SRX113345,GSM854427: Input mRNA-Seq Wild type 2hpf-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284289,SAMN00769033,simple,7955,Danio rerio,GSM854427,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, wild type",Input mRNA-Seq Wild type 2hpf-2,"Whole embryo, MZdicer",ribosome protected fragments,whole embryo,MZdicer mutant,2hpf,,GSM854433
SRR392978,3606003,259632216,72,164,SRX113346,GSM854428: Input mRNA-Seq Wild type 4hpf,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284290,SAMN00769034,simple,7955,Danio rerio,GSM854428,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, wild type",Input mRNA-Seq Wild type 4hpf,"Whole embryo, MZdicer",ribosome protected fragments,whole embryo,MZdicer mutant,4hpf,,GSM854434
SRR392979,15440923,1111746456,72,714,SRX113346,GSM854428: Input mRNA-Seq Wild type 4hpf,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284290,SAMN00769034,simple,7955,Danio rerio,GSM854428,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, wild type",Input mRNA-Seq Wild type 4hpf,"Whole embryo, MZdicer",ribosome protected fragments,whole embryo,MZdicer mutant,4hpf,,GSM854435
SRR392980,3783159,272387448,72,164,SRX113347,GSM854429: Input mRNA-Seq Wild type 4hpf-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284291,SAMN00769035,simple,7955,Danio rerio,GSM854429,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, wild type",Input mRNA-Seq Wild type 4hpf-2,"Whole embryo, MZdicer",ribosome protected fragments,whole embryo,MZdicer mutant,6hpf,,GSM854436
SRR392981,15690559,1129720248,72,721,SRX113347,GSM854429: Input mRNA-Seq Wild type 4hpf-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284291,SAMN00769035,simple,7955,Danio rerio,GSM854429,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, wild type",Input mRNA-Seq Wild type 4hpf-2,"Whole embryo, MZdicer",ribosome protected fragments,whole embryo,MZdicer mutant,6hpf,,GSM854437
SRR392982,4095137,294849864,72,184,SRX113348,GSM854430: Input mRNA-Seq Wild type 6hpf,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284292,SAMN00769036,simple,7955,Danio rerio,GSM854430,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, wild type",Input mRNA-Seq Wild type 6hpf,"Whole embryo, wild type",ribosome protected fragments,whole embryo,wild type,2hpf,,GSM854438
SRR392983,20119718,1448619696,72,894,SRX113348,GSM854430: Input mRNA-Seq Wild type 6hpf,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284292,SAMN00769036,simple,7955,Danio rerio,GSM854430,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, wild type",Input mRNA-Seq Wild type 6hpf,"Whole embryo, wild type",ribosome protected fragments,whole embryo,wild type,2hpf,,GSM854439
SRR392984,2865982,206350704,72,131,SRX113349,GSM854431: Input mRNA-Seq Wild type 6hpf-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284293,SAMN00769037,simple,7955,Danio rerio,GSM854431,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, wild type",Input mRNA-Seq Wild type 6hpf-2,"Whole embryo, wild type",ribosome protected fragments,whole embryo,wild type,4hpf,,GSM854440
SRR392985,14948961,1076325192,72,676,SRX113349,GSM854431: Input mRNA-Seq Wild type 6hpf-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284293,SAMN00769037,simple,7955,Danio rerio,GSM854431,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, wild type",Input mRNA-Seq Wild type 6hpf-2,"Whole embryo, wild type",ribosome protected fragments,whole embryo,wild type,4hpf,,GSM854441
SRR392986,3003575,216257400,72,145,SRX113350,GSM854432: Ribosome protected fragments MZdicer 2hpf,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284294,SAMN00769038,simple,7955,Danio rerio,GSM854432,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, MZdicer",Ribosome protected fragments MZdicer 2hpf,"Whole embryo, wild type",ribosome protected fragments,whole embryo,wild type,6hpf,,GSM854442
SRR392987,13248077,953861544,72,653,SRX113350,GSM854432: Ribosome protected fragments MZdicer 2hpf,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284294,SAMN00769038,simple,7955,Danio rerio,GSM854432,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, MZdicer",Ribosome protected fragments MZdicer 2hpf,"Whole embryo, wild type",ribosome protected fragments,whole embryo,wild type,6hpf,,GSM854443
SRR392988,1013291,72956952,72,49,SRX113351,GSM854433: Ribosome protected fragments MZdicer 2hpf-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284295,SAMN00769039,simple,7955,Danio rerio,GSM854433,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, MZdicer",Ribosome protected fragments MZdicer 2hpf-2,"Whole embryo, MZdicer",input mRNA,whole embryo,MZdicer mutant,2hpf,TUAB,GSM854422
SRR392989,6307324,454127328,72,309,SRX113351,GSM854433: Ribosome protected fragments MZdicer 2hpf-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284295,SAMN00769039,simple,7955,Danio rerio,GSM854433,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, MZdicer",Ribosome protected fragments MZdicer 2hpf-2,"Whole embryo, MZdicer",input mRNA,whole embryo,MZdicer mutant,4hpf,TUAB,GSM854423
SRR392990,2405865,173222280,72,114,SRX113352,GSM854434: Ribosome protected fragments MZdicer 4hpf,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284296,SAMN00769040,simple,7955,Danio rerio,GSM854434,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, MZdicer",Ribosome protected fragments MZdicer 4hpf,"Whole embryo, MZdicer",input mRNA,whole embryo,MZdicer mutant,4hpf,TUAB,GSM854424
SRR392991,12960930,933186960,72,600,SRX113352,GSM854434: Ribosome protected fragments MZdicer 4hpf,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284296,SAMN00769040,simple,7955,Danio rerio,GSM854434,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, MZdicer",Ribosome protected fragments MZdicer 4hpf,"Whole embryo, MZdicer",input mRNA,whole embryo,MZdicer mutant,6hpf,TUAB,GSM854425
SRR392992,1386837,99852264,72,68,SRX113353,GSM854435: Ribosome protected fragments MZdicer 4hpf-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284297,SAMN00769041,simple,7955,Danio rerio,GSM854435,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, MZdicer",Ribosome protected fragments MZdicer 4hpf-2,"Whole embryo, wild type",input mRNA,whole embryo,wild type,2hpf,TUAB,GSM854426
SRR392993,15334813,1104106536,72,718,SRX113353,GSM854435: Ribosome protected fragments MZdicer 4hpf-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284297,SAMN00769041,simple,7955,Danio rerio,GSM854435,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, MZdicer",Ribosome protected fragments MZdicer 4hpf-2,"Whole embryo, wild type",input mRNA,whole embryo,wild type,2hpf,TUAB,GSM854427
SRR392994,3844975,276838200,72,175,SRX113354,GSM854436: Ribosome protected fragments MZdicer 6hpf,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284298,SAMN00769042,simple,7955,Danio rerio,GSM854436,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, MZdicer",Ribosome protected fragments MZdicer 6hpf,"Whole embryo, wild type",input mRNA,whole embryo,wild type,4hpf,TUAB,GSM854428
SRR392995,6431605,463075560,72,304,SRX113354,GSM854436: Ribosome protected fragments MZdicer 6hpf,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284298,SAMN00769042,simple,7955,Danio rerio,GSM854436,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, MZdicer",Ribosome protected fragments MZdicer 6hpf,"Whole embryo, wild type",input mRNA,whole embryo,wild type,4hpf,TUAB,GSM854429
SRR392996,1616709,116403048,72,70,SRX113355,GSM854437: Ribosome protected fragments MZdicer 6hpf-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284299,SAMN00769043,simple,7955,Danio rerio,GSM854437,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, MZdicer",Ribosome protected fragments MZdicer 6hpf-2,"Whole embryo, wild type",input mRNA,whole embryo,wild type,6hpf,TUAB,GSM854430
SRR392997,8965169,645492168,72,418,SRX113355,GSM854437: Ribosome protected fragments MZdicer 6hpf-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284299,SAMN00769043,simple,7955,Danio rerio,GSM854437,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, MZdicer",Ribosome protected fragments MZdicer 6hpf-2,"Whole embryo, wild type",input mRNA,whole embryo,wild type,6hpf,TUAB,GSM854431
SRR392998,3956621,284876712,72,194,SRX113356,GSM854438: Ribosome protected fragments Wild type 2hpf,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284300,SAMN00769044,simple,7955,Danio rerio,GSM854438,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, wild type",Ribosome protected fragments Wild type 2hpf,"Whole embryo, MZdicer",ribosome protected fragments,whole embryo,MZdicer mutant,2hpf,,GSM854432
SRR392999,16638716,1197987552,72,804,SRX113356,GSM854438: Ribosome protected fragments Wild type 2hpf,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284300,SAMN00769044,simple,7955,Danio rerio,GSM854438,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, wild type",Ribosome protected fragments Wild type 2hpf,"Whole embryo, MZdicer",ribosome protected fragments,whole embryo,MZdicer mutant,2hpf,,GSM854433
SRR393000,3014109,217015848,72,149,SRX113357,GSM854439: Ribosome protected fragments Wild type 2hpf-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284301,SAMN00769045,simple,7955,Danio rerio,GSM854439,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, wild type",Ribosome protected fragments Wild type 2hpf-2,"Whole embryo, MZdicer",ribosome protected fragments,whole embryo,MZdicer mutant,4hpf,,GSM854434
SRR393001,13566734,976804848,72,659,SRX113357,GSM854439: Ribosome protected fragments Wild type 2hpf-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284301,SAMN00769045,simple,7955,Danio rerio,GSM854439,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, wild type",Ribosome protected fragments Wild type 2hpf-2,"Whole embryo, MZdicer",ribosome protected fragments,whole embryo,MZdicer mutant,4hpf,,GSM854435
SRR393002,4037991,290735352,72,195,SRX113358,GSM854440: Ribosome protected fragments Wild type 4hpf,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284302,SAMN00769046,simple,7955,Danio rerio,GSM854440,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, wild type",Ribosome protected fragments Wild type 4hpf,"Whole embryo, MZdicer",ribosome protected fragments,whole embryo,MZdicer mutant,6hpf,,GSM854436
SRR393003,11517656,829271232,72,526,SRX113358,GSM854440: Ribosome protected fragments Wild type 4hpf,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284302,SAMN00769046,simple,7955,Danio rerio,GSM854440,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, wild type",Ribosome protected fragments Wild type 4hpf,"Whole embryo, MZdicer",ribosome protected fragments,whole embryo,MZdicer mutant,6hpf,,GSM854437
SRR393004,2459729,177100488,72,121,SRX113359,GSM854441: Ribosome protected fragments Wild type 4hpf-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284303,SAMN00769047,simple,7955,Danio rerio,GSM854441,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, wild type",Ribosome protected fragments Wild type 4hpf-2,"Whole embryo, wild type",ribosome protected fragments,whole embryo,wild type,2hpf,,GSM854438
SRR393005,9836111,708199992,72,489,SRX113359,GSM854441: Ribosome protected fragments Wild type 4hpf-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284303,SAMN00769047,simple,7955,Danio rerio,GSM854441,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, wild type",Ribosome protected fragments Wild type 4hpf-2,"Whole embryo, wild type",ribosome protected fragments,whole embryo,wild type,2hpf,,GSM854439
SRR393006,4492941,323491752,72,206,SRX113360,GSM854442: Ribosome protected fragments Wild type 6hpf,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284304,SAMN00769048,simple,7955,Danio rerio,GSM854442,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, wild type",Ribosome protected fragments Wild type 6hpf,"Whole embryo, wild type",ribosome protected fragments,whole embryo,wild type,4hpf,,GSM854440
SRR393007,15572852,1121245344,72,755,SRX113360,GSM854442: Ribosome protected fragments Wild type 6hpf,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284304,SAMN00769048,simple,7955,Danio rerio,GSM854442,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, wild type",Ribosome protected fragments Wild type 6hpf,"Whole embryo, wild type",ribosome protected fragments,whole embryo,wild type,4hpf,,GSM854441
SRR393008,3067332,220847904,72,148,SRX113361,GSM854443: Ribosome protected fragments Wild type 6hpf-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284305,SAMN00769049,simple,7955,Danio rerio,GSM854443,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, wild type",Ribosome protected fragments Wild type 6hpf-2,"Whole embryo, wild type",ribosome protected fragments,whole embryo,wild type,6hpf,,GSM854442
SRR393009,14143962,1018365264,72,661,SRX113361,GSM854443: Ribosome protected fragments Wild type 6hpf-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284305,SAMN00769049,simple,7955,Danio rerio,GSM854443,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, wild type",Ribosome protected fragments Wild type 6hpf-2,"Whole embryo, wild type",ribosome protected fragments,whole embryo,wild type,6hpf,,GSM854443
