Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,common name,sample name,sex,strain,tissue type
ERR3367717,46925827,9346776102,99,5780,ERX3391871,mm_heart_001_B_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508248,SAMEA5704593,simple,10090,Mus musculus,SAMEA5704593,ERA2000406,06,2019,Makar,"",mm_heart_001_B,2019-06-13,2019-06-11,SAMEA5704593,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,mm_heart_001_B,house mouse,mm_heart_001_B,male,C57BL/6,left ventricle
ERR3367718,55993785,11165010844,99,7020,ERX3391872,mm_heart_002_B_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508249,SAMEA5704594,simple,10090,Mus musculus,SAMEA5704594,ERA2000406,06,2019,Makar,"",mm_heart_002_B,2019-06-13,2019-06-11,SAMEA5704594,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,mm_heart_002_B,house mouse,mm_heart_002_B,male,C57BL/6,left ventricle
ERR3367719,55078023,10932490318,99,6831,ERX3391873,mm_heart_003_B_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508250,SAMEA5704595,simple,10090,Mus musculus,SAMEA5704595,ERA2000406,06,2019,Makar,"",mm_heart_003_B,2019-06-13,2019-06-11,SAMEA5704595,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,mm_heart_003_B,house mouse,mm_heart_003_B,male,C57BL/6,left ventricle
ERR3367720,57726820,11535827369,99,7176,ERX3391874,mm_heart_004_S_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508251,SAMEA5704596,simple,10090,Mus musculus,SAMEA5704596,ERA2000406,06,2019,Makar,"",mm_heart_004_S,2019-06-13,2019-06-11,SAMEA5704596,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,mm_heart_004_S,house mouse,mm_heart_004_S,male,C57BL/6,left ventricle
ERR3367721,52760207,10077944070,95,6239,ERX3391875,mm_heart_005_S_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508252,SAMEA5704597,simple,10090,Mus musculus,SAMEA5704597,ERA2000406,06,2019,Makar,"",mm_heart_005_S,2019-06-13,2019-06-11,SAMEA5704597,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,mm_heart_005_S,house mouse,mm_heart_005_S,male,C57BL/6,left ventricle
ERR3367722,52071094,10229195312,98,6264,ERX3391876,mm_heart_006_S_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508253,SAMEA5704598,simple,10090,Mus musculus,SAMEA5704598,ERA2000406,06,2019,Makar,"",mm_heart_006_S,2019-06-13,2019-06-11,SAMEA5704598,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,mm_heart_006_S,house mouse,mm_heart_006_S,male,C57BL/6,left ventricle
ERR3367723,93976707,18808991010,100,6891,ERX3391877,hs_iPScm_01_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508254,SAMEA5704599,simple,9606,Homo sapiens,SAMEA5704599,ERA2000406,06,2019,Makar,"",hs_iPScm_01,2019-06-13,2019-06-11,SAMEA5704599,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,hs_iPScm_01,human,hs_iPScm_01,,,iPS cardio myocyte
ERR3367724,90802069,18166759840,100,6824,ERX3391878,hs_iPScm_02_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508255,SAMEA5704600,simple,9606,Homo sapiens,SAMEA5704600,ERA2000406,06,2019,Makar,"",hs_iPScm_02,2019-06-13,2019-06-11,SAMEA5704600,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,hs_iPScm_02,human,hs_iPScm_02,,,iPS cardio myocyte
ERR3367781,44648249,2277060699,51,1310,ERX3391933,rn_lv_001_B_Ri,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508238,SAMEA5704583,simple,10116,Rattus norvegicus,SAMEA5704583,ERA2001755,06,2019,Makar,"",rn_lv_001_B,2019-06-13,2019-06-11,SAMEA5704583,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,rn_lv_001_B,Norway rat,rn_lv_001_B,male,BN/Lx,left ventricle
ERR3367782,57070245,2910582495,51,1887,ERX3391934,rn_lv_002_B_Ri,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508239,SAMEA5704584,simple,10116,Rattus norvegicus,SAMEA5704584,ERA2001755,06,2019,Makar,"",rn_lv_002_B,2019-06-13,2019-06-11,SAMEA5704584,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,rn_lv_002_B,Norway rat,rn_lv_002_B,male,BN/Lx,left ventricle
ERR3367783,58503493,2983678143,51,1939,ERX3391935,rn_lv_003_B_Ri,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508240,SAMEA5704585,simple,10116,Rattus norvegicus,SAMEA5704585,ERA2001755,06,2019,Makar,"",rn_lv_003_B,2019-06-13,2019-06-11,SAMEA5704585,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,rn_lv_003_B,Norway rat,rn_lv_003_B,male,BN/Lx,left ventricle
ERR3367784,58160357,2966178207,51,1924,ERX3391936,rn_lv_004_B_Ri,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508241,SAMEA5704586,simple,10116,Rattus norvegicus,SAMEA5704586,ERA2001755,06,2019,Makar,"",rn_lv_004_B,2019-06-13,2019-06-11,SAMEA5704586,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,rn_lv_004_B,Norway rat,rn_lv_004_B,male,BN/Lx,left ventricle
ERR3367785,69242445,3531364695,51,2268,ERX3391937,rn_lv_005_B_Ri,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508242,SAMEA5704587,simple,10116,Rattus norvegicus,SAMEA5704587,ERA2001755,06,2019,Makar,"",rn_lv_005_B,2019-06-13,2019-06-11,SAMEA5704587,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,rn_lv_005_B,Norway rat,rn_lv_005_B,male,BN/Lx,left ventricle
ERR3367786,51994648,2651727048,51,1549,ERX3391938,rn_lv_006_S_Ri,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508243,SAMEA5704588,simple,10116,Rattus norvegicus,SAMEA5704588,ERA2001755,06,2019,Makar,"",rn_lv_006_S,2019-06-13,2019-06-11,SAMEA5704588,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,rn_lv_006_S,Norway rat,rn_lv_006_S,male,SHR,left ventricle
ERR3367787,61871751,3155459301,51,2073,ERX3391939,rn_lv_007_S_Ri,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508244,SAMEA5704589,simple,10116,Rattus norvegicus,SAMEA5704589,ERA2001755,06,2019,Makar,"",rn_lv_007_S,2019-06-13,2019-06-11,SAMEA5704589,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,rn_lv_007_S,Norway rat,rn_lv_007_S,male,SHR,left ventricle
ERR3367788,58984986,3008234286,51,1965,ERX3391940,rn_lv_008_S_Ri,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508245,SAMEA5704590,simple,10116,Rattus norvegicus,SAMEA5704590,ERA2001755,06,2019,Makar,"",rn_lv_008_S,2019-06-13,2019-06-11,SAMEA5704590,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,rn_lv_008_S,Norway rat,rn_lv_008_S,male,SHR,left ventricle
ERR3367789,49479108,2523434508,51,1634,ERX3391941,rn_lv_009_S_Ri,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508246,SAMEA5704591,simple,10116,Rattus norvegicus,SAMEA5704591,ERA2001755,06,2019,Makar,"",rn_lv_009_S,2019-06-13,2019-06-11,SAMEA5704591,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,rn_lv_009_S,Norway rat,rn_lv_009_S,male,SHR,left ventricle
ERR3367790,67907158,3463265058,51,2245,ERX3391942,rn_lv_010_S_Ri,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508247,SAMEA5704592,simple,10116,Rattus norvegicus,SAMEA5704592,ERA2001755,06,2019,Makar,"",rn_lv_010_S,2019-06-13,2019-06-11,SAMEA5704592,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,rn_lv_010_S,Norway rat,rn_lv_010_S,male,SHR,left ventricle
ERR3367791,349526161,17825834211,51,10576,ERX3391943,mm_heart_001_B_Ri,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508248,SAMEA5704593,simple,10090,Mus musculus,SAMEA5704593,ERA2001755,06,2019,Makar,"",mm_heart_001_B,2019-06-13,2019-06-11,SAMEA5704593,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,mm_heart_001_B,house mouse,mm_heart_001_B,male,C57BL/6,left ventricle
ERR3367792,349526161,17825834211,51,10576,ERX3391944,mm_heart_002_B_Ri,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508249,SAMEA5704594,simple,10090,Mus musculus,SAMEA5704594,ERA2001755,06,2019,Makar,"",mm_heart_002_B,2019-06-13,2019-06-11,SAMEA5704594,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,mm_heart_002_B,house mouse,mm_heart_002_B,male,C57BL/6,left ventricle
ERR3367793,349526161,17825834211,51,10576,ERX3391945,mm_heart_003_B_Ri,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508250,SAMEA5704595,simple,10090,Mus musculus,SAMEA5704595,ERA2001755,06,2019,Makar,"",mm_heart_003_B,2019-06-13,2019-06-11,SAMEA5704595,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,mm_heart_003_B,house mouse,mm_heart_003_B,male,C57BL/6,left ventricle
ERR3367794,351791306,17941356606,51,10481,ERX3391946,mm_heart_004_S_Ri,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508251,SAMEA5704596,simple,10090,Mus musculus,SAMEA5704596,ERA2001755,06,2019,Makar,"",mm_heart_004_S,2019-06-13,2019-06-11,SAMEA5704596,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,mm_heart_004_S,house mouse,mm_heart_004_S,male,C57BL/6,left ventricle
ERR3367795,351791306,17941356606,51,10481,ERX3391947,mm_heart_005_S_Ri,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508252,SAMEA5704597,simple,10090,Mus musculus,SAMEA5704597,ERA2001755,06,2019,Makar,"",mm_heart_005_S,2019-06-13,2019-06-11,SAMEA5704597,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,mm_heart_005_S,house mouse,mm_heart_005_S,male,C57BL/6,left ventricle
ERR3367796,351791306,17941356606,51,10481,ERX3391948,mm_heart_006_S_Ri,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508253,SAMEA5704598,simple,10090,Mus musculus,SAMEA5704598,ERA2001755,06,2019,Makar,"",mm_heart_006_S,2019-06-13,2019-06-11,SAMEA5704598,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,mm_heart_006_S,house mouse,mm_heart_006_S,male,C57BL/6,left ventricle
ERR3367797,86023240,2586897526,30,1819,ERX3391949,hs_iPScm_01_Ri,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508254,SAMEA5704599,simple,9606,Homo sapiens,SAMEA5704599,ERA2001755,06,2019,Makar,"",hs_iPScm_01,2019-06-13,2019-06-11,SAMEA5704599,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,hs_iPScm_01,human,hs_iPScm_01,,,iPS cardio myocyte
ERR3367798,109262755,3303213347,30,2298,ERX3391950,hs_iPScm_02_Ri,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508255,SAMEA5704600,simple,9606,Homo sapiens,SAMEA5704600,ERA2001755,06,2019,Makar,"",hs_iPScm_02,2019-06-13,2019-06-11,SAMEA5704600,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,hs_iPScm_02,human,hs_iPScm_02,,,iPS cardio myocyte
