Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,experiment type,genotype,timepoint after treatment,treatment,GEO Accession
SRR1758382,7961058,406013958,51,222,SRX842632,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818806,SAMN03284289,simple,9606,Homo sapiens,GSM1585214,GEO,SRA231648,01,2016,Xu,Human fibroblast,5_corr d-leucine rep2 total RNA,Human fibroblast,RNA-seq,corrected,24 hours,d-leucine,GSM1585214
SRR1758383,10874375,554593125,51,305,SRX842633,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818807,SAMN03284314,simple,9606,Homo sapiens,GSM1585215,GEO,SRA231648,01,2016,Xu,Human fibroblast,6_corr l-leucine rep2 total RNA,Human fibroblast,RNA-seq,corrected,24 hours,l-leucine,GSM1585215
SRR1758384,14840689,756875139,51,428,SRX842634,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818808,SAMN03284295,simple,9606,Homo sapiens,GSM1585216,GEO,SRA231648,01,2016,Xu,Human fibroblast,7_corr d-leucine rep2 total RNA,Human fibroblast,RNA-seq,corrected,24 hours,d-leucine,GSM1585216
SRR1758385,15669451,799142001,51,453,SRX842635,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818809,SAMN03284316,simple,9606,Homo sapiens,GSM1585217,GEO,SRA231648,01,2016,Xu,Human fibroblast,8_corr l-leucine rep2 total RNA,Human fibroblast,RNA-seq,corrected,24 hours,l-leucine,GSM1585217
SRR1758386,10125622,516406722,51,284,SRX842636,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818810,SAMN03284309,simple,9606,Homo sapiens,GSM1585218,GEO,SRA231648,01,2016,Xu,Human fibroblast,9_mut d-leucine rep2 total RNA,Human fibroblast,RNA-seq,esco2 mutant,24 hours,d-leucine,GSM1585218
SRR1758387,8074753,411812403,51,225,SRX842637,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818811,SAMN03284302,simple,9606,Homo sapiens,GSM1585219,GEO,SRA231648,01,2016,Xu,Human fibroblast,10_mut l-leucine rep2 total RNA,Human fibroblast,RNA-seq,esco2 mutant,24 hours,l-leucine,GSM1585219
SRR1758388,14200705,724235955,51,410,SRX842638,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818812,SAMN03284307,simple,9606,Homo sapiens,GSM1585220,GEO,SRA231648,01,2016,Xu,Human fibroblast,11_mut d-leucine rep2 total RNA,Human fibroblast,RNA-seq,esco2 mutant,24 hours,d-leucine,GSM1585220
SRR1758389,15034523,766760673,51,435,SRX842639,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818813,SAMN03284303,simple,9606,Homo sapiens,GSM1585221,GEO,SRA231648,01,2016,Xu,Human fibroblast,12_mut l-leucine rep2 total RNA,Human fibroblast,RNA-seq,esco2 mutant,24 hours,l-leucine,GSM1585221
SRR1758390,11301453,576374103,51,313,SRX842640,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818814,SAMN03284318,simple,9606,Homo sapiens,GSM1585222,GEO,SRA231648,01,2016,Xu,Human fibroblast,5_corr d-leucine rep2 RPF,Human fibroblast,Ribosomal profiling,corrected,24 hours,d-leucine,GSM1585222
SRR1758391,12737175,649595925,51,356,SRX842641,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818815,SAMN03284291,simple,9606,Homo sapiens,GSM1585223,GEO,SRA231648,01,2016,Xu,Human fibroblast,6_corr l-leucine rep2 RPF,Human fibroblast,Ribosomal profiling,corrected,24 hours,l-leucine,GSM1585223
SRR1758392,14477549,738354999,51,424,SRX842642,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818816,SAMN03284311,simple,9606,Homo sapiens,GSM1585224,GEO,SRA231648,01,2016,Xu,Human fibroblast,7_corr d-leucine rep2 RPF,Human fibroblast,Ribosomal profiling,corrected,24 hours,d-leucine,GSM1585224
SRR1758393,14192874,723836574,51,413,SRX842643,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818817,SAMN03284292,simple,9606,Homo sapiens,GSM1585225,GEO,SRA231648,01,2016,Xu,Human fibroblast,8_corr l-leucine rep2 RPF,Human fibroblast,Ribosomal profiling,corrected,24 hours,l-leucine,GSM1585225
SRR1758394,9726832,496068432,51,273,SRX842644,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818818,SAMN03284293,simple,9606,Homo sapiens,GSM1585226,GEO,SRA231648,01,2016,Xu,Human fibroblast,9_mut d-leucine rep2 RPF,Human fibroblast,Ribosomal profiling,esco2 mutant,24 hours,d-leucine,GSM1585226
SRR1758395,11836302,603651402,51,331,SRX842645,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818819,SAMN03284296,simple,9606,Homo sapiens,GSM1585227,GEO,SRA231648,01,2016,Xu,Human fibroblast,10_mut l-leucine rep2 RPF,Human fibroblast,Ribosomal profiling,esco2 mutant,24 hours,l-leucine,GSM1585227
SRR1758396,13998002,713898102,51,409,SRX842646,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818820,SAMN03284306,simple,9606,Homo sapiens,GSM1585228,GEO,SRA231648,01,2016,Xu,Human fibroblast,11_mut d-leucine rep2 RPF,Human fibroblast,Ribosomal profiling,esco2 mutant,24 hours,d-leucine,GSM1585228
SRR1758397,10843555,553021305,51,314,SRX842647,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818821,SAMN03284315,simple,9606,Homo sapiens,GSM1585229,GEO,SRA231648,01,2016,Xu,Human fibroblast,12_mut l-leucine rep2 RPF,Human fibroblast,Ribosomal profiling,esco2 mutant,24 hours,l-leucine,GSM1585229
SRR1758398,17495850,892288350,51,560,SRX842648,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818822,SAMN03284300,simple,9606,Homo sapiens,GSM1585230,GEO,SRA231648,01,2016,Xu,Human fibroblast,5_corr d-leucine rep3 total RNA,Human fibroblast,RNA-seq,corrected,3 hours,d-leucine,GSM1585230
SRR1758399,20665495,1053940245,51,663,SRX842649,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818823,SAMN03284288,simple,9606,Homo sapiens,GSM1585231,GEO,SRA231648,01,2016,Xu,Human fibroblast,6_corr l-leucine rep3 total RNA,Human fibroblast,RNA-seq,corrected,3 hours,l-leucine,GSM1585231
SRR1758400,22117613,1127998263,51,716,SRX842650,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818824,SAMN03284317,simple,9606,Homo sapiens,GSM1585232,GEO,SRA231648,01,2016,Xu,Human fibroblast,7_corr d-leucine rep3 total RNA,Human fibroblast,RNA-seq,corrected,3 hours,d-leucine,GSM1585232
SRR1758401,21673162,1105331262,51,692,SRX842651,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818825,SAMN03284313,simple,9606,Homo sapiens,GSM1585233,GEO,SRA231648,01,2016,Xu,Human fibroblast,8_corr l-leucine rep3 total RNA,Human fibroblast,RNA-seq,corrected,3 hours,l-leucine,GSM1585233
SRR1758402,20119570,1026098070,51,631,SRX842652,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818826,SAMN03284279,simple,9606,Homo sapiens,GSM1585234,GEO,SRA231648,01,2016,Xu,Human fibroblast,9_mut d-leucine rep3 total RNA,Human fibroblast,RNA-seq,esco2 mutant,3 hours,d-leucine,GSM1585234
SRR1758403,23056662,1175889762,51,722,SRX842653,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818827,SAMN03284277,simple,9606,Homo sapiens,GSM1585235,GEO,SRA231648,01,2016,Xu,Human fibroblast,10_mut l-leucine rep3 total RNA,Human fibroblast,RNA-seq,esco2 mutant,3 hours,l-leucine,GSM1585235
SRR1758404,23631494,1205206194,51,756,SRX842654,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818828,SAMN03284285,simple,9606,Homo sapiens,GSM1585236,GEO,SRA231648,01,2016,Xu,Human fibroblast,11_mut d-leucine rep3 total RNA,Human fibroblast,RNA-seq,esco2 mutant,3 hours,d-leucine,GSM1585236
SRR1758405,23451973,1196050623,51,747,SRX842655,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818829,SAMN03284280,simple,9606,Homo sapiens,GSM1585237,GEO,SRA231648,01,2016,Xu,Human fibroblast,12_mut l-leucine rep3 total RNA,Human fibroblast,RNA-seq,esco2 mutant,3 hours,l-leucine,GSM1585237
SRR1758406,23304966,1188553266,51,719,SRX842656,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818830,SAMN03284284,simple,9606,Homo sapiens,GSM1585238,GEO,SRA231648,01,2016,Xu,Human fibroblast,5_corr d-leucine rep3 RPF,Human fibroblast,Ribosomal profiling,corrected,3 hours,d-leucine,GSM1585238
SRR1758407,24196897,1234041747,51,766,SRX842657,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818831,SAMN03284287,simple,9606,Homo sapiens,GSM1585239,GEO,SRA231648,01,2016,Xu,Human fibroblast,6_corr l-leucine rep3 RPF,Human fibroblast,Ribosomal profiling,corrected,3 hours,l-leucine,GSM1585239
SRR1758408,23008871,1173452421,51,730,SRX842658,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818832,SAMN03284281,simple,9606,Homo sapiens,GSM1585240,GEO,SRA231648,01,2016,Xu,Human fibroblast,7_corr d-leucine rep3 RPF,Human fibroblast,Ribosomal profiling,corrected,3 hours,d-leucine,GSM1585240
SRR1758409,21699415,1106670165,51,690,SRX842659,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818833,SAMN03284282,simple,9606,Homo sapiens,GSM1585241,GEO,SRA231648,01,2016,Xu,Human fibroblast,8_corr l-leucine rep3 RPF,Human fibroblast,Ribosomal profiling,corrected,3 hours,l-leucine,GSM1585241
SRR1758410,26814468,1367537868,51,854,SRX842660,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818834,SAMN03284283,simple,9606,Homo sapiens,GSM1585242,GEO,SRA231648,01,2016,Xu,Human fibroblast,9_mut d-leucine rep3 RPF,Human fibroblast,Ribosomal profiling,esco2 mutant,3 hours,d-leucine,GSM1585242
SRR1758411,17523953,893721603,51,558,SRX842661,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818835,SAMN03284278,simple,9606,Homo sapiens,GSM1585243,GEO,SRA231648,01,2016,Xu,Human fibroblast,10_mut l-leucine rep3 RPF,Human fibroblast,Ribosomal profiling,esco2 mutant,3 hours,l-leucine,GSM1585243
SRR1758412,24313880,1240007880,51,786,SRX842662,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818836,SAMN03284286,simple,9606,Homo sapiens,GSM1585244,GEO,SRA231648,01,2016,Xu,Human fibroblast,11_mut d-leucine rep3 RPF,Human fibroblast,Ribosomal profiling,esco2 mutant,3 hours,d-leucine,GSM1585244
SRR1758413,27094448,1381816848,51,870,SRX842663,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818837,SAMN03284294,simple,9606,Homo sapiens,GSM1585245,GEO,SRA231648,01,2016,Xu,Human fibroblast,12_mut l-leucine rep3 RPF,Human fibroblast,Ribosomal profiling,esco2 mutant,3 hours,l-leucine,GSM1585245
