Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,batch,molecule subtype
SRR16220054,5997290,448442427,74,159,SRX12501941,GSM5615638,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340281,PRJNA769126,34900236,"",SRS10463527,SAMN22091612,simple,4932,Saccharomyces cerevisiae,GSM5615638,Lomonosov Moscow State University,SRA1307061,10,2021,Egorov,yeast cell,rna_stm1_1_b6_s1,yeast cell,stm1-delta,6,Total RNA
SRR16220052,6401086,478617516,74,170,SRX12501943,GSM5615639,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340281,PRJNA769126,34900236,"",SRS10463530,SAMN22091611,simple,4932,Saccharomyces cerevisiae,GSM5615639,Lomonosov Moscow State University,SRA1307061,10,2021,Egorov,yeast cell,rna_stm1_2_b7_s1,yeast cell,stm1-delta,7,Total RNA
SRR16220050,6093696,455622520,74,161,SRX12501944,GSM5615640,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340281,PRJNA769126,34900236,"",SRS10463529,SAMN22091610,simple,4932,Saccharomyces cerevisiae,GSM5615640,Lomonosov Moscow State University,SRA1307061,10,2021,Egorov,yeast cell,rna_stm1_3_b7_s1,yeast cell,stm1-delta,7,Total RNA
SRR16220048,5735113,434429837,75,159,SRX12501945,GSM5615641,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340281,PRJNA769126,34900236,"",SRS10463531,SAMN22091609,simple,4932,Saccharomyces cerevisiae,GSM5615641,Lomonosov Moscow State University,SRA1307061,10,2021,Egorov,yeast cell,rna_stm1_4_b7_s1,yeast cell,stm1-delta,7,Total RNA
SRR16220046,32173389,2433696212,75,820,SRX12501946,GSM5615642,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340281,PRJNA769126,34900236,"",SRS10463532,SAMN22091608,simple,4932,Saccharomyces cerevisiae,GSM5615642,Lomonosov Moscow State University,SRA1307061,10,2021,Egorov,yeast cell,ribo_wt_1_b1_s1,yeast cell,wt,1,Ribosome-bound RNA
SRR16220044,33695760,2544250324,75,833,SRX12501947,GSM5615643,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340281,PRJNA769126,34900236,"",SRS10463533,SAMN22091607,simple,4932,Saccharomyces cerevisiae,GSM5615643,Lomonosov Moscow State University,SRA1307061,10,2021,Egorov,yeast cell,ribo_wt_2_b2_s1,yeast cell,wt,2,Ribosome-bound RNA
SRR16220086,39398314,2979491611,75,1006,SRX12501948,GSM5615644,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340281,PRJNA769126,34900236,"",SRS10463534,SAMN22091606,simple,4932,Saccharomyces cerevisiae,GSM5615644,Lomonosov Moscow State University,SRA1307061,10,2021,Egorov,yeast cell,ribo_wt_3_b3_s1,yeast cell,wt,3,Ribosome-bound RNA
SRR16220085,34206425,2585754721,75,866,SRX12501949,GSM5615645,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340281,PRJNA769126,34900236,"",SRS10463535,SAMN22091605,simple,4932,Saccharomyces cerevisiae,GSM5615645,Lomonosov Moscow State University,SRA1307061,10,2021,Egorov,yeast cell,ribo_wt_4_b4_s1,yeast cell,wt,4,Ribosome-bound RNA
SRR16220084,29084413,2199271479,75,734,SRX12501950,GSM5615646,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340281,PRJNA769126,34900236,"",SRS10463536,SAMN22091604,simple,4932,Saccharomyces cerevisiae,GSM5615646,Lomonosov Moscow State University,SRA1307061,10,2021,Egorov,yeast cell,ribo_tma46_1_b1_s1,yeast cell,tma46-delta,1,Ribosome-bound RNA
SRR16220083,38343445,2900342224,75,967,SRX12501951,GSM5615647,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340281,PRJNA769126,34900236,"",SRS10463537,SAMN22091603,simple,4932,Saccharomyces cerevisiae,GSM5615647,Lomonosov Moscow State University,SRA1307061,10,2021,Egorov,yeast cell,ribo_tma46_2_b2_s1,yeast cell,tma46-delta,2,Ribosome-bound RNA
SRR16220082,26636318,2012736567,75,675,SRX12501952,GSM5615648,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340281,PRJNA769126,34900236,"",SRS10463538,SAMN22091602,simple,4932,Saccharomyces cerevisiae,GSM5615648,Lomonosov Moscow State University,SRA1307061,10,2021,Egorov,yeast cell,ribo_tma46_3_b3_s1,yeast cell,tma46-delta,3,Ribosome-bound RNA
SRR16220081,31487960,2381373526,75,805,SRX12501953,GSM5615649,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340281,PRJNA769126,34900236,"",SRS10463540,SAMN22091601,simple,4932,Saccharomyces cerevisiae,GSM5615649,Lomonosov Moscow State University,SRA1307061,10,2021,Egorov,yeast cell,ribo_tma46_4_b5_s1,yeast cell,tma46-delta,5,Ribosome-bound RNA
SRR16220080,33107547,2503375625,75,834,SRX12501954,GSM5615650,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340281,PRJNA769126,34900236,"",SRS10463539,SAMN22091600,simple,4932,Saccharomyces cerevisiae,GSM5615650,Lomonosov Moscow State University,SRA1307061,10,2021,Egorov,yeast cell,ribo_eif2a_1_b3_s1,yeast cell,eif2a-delta,3,Ribosome-bound RNA
SRR16220079,28558557,2158263177,75,723,SRX12501955,GSM5615651,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340281,PRJNA769126,34900236,"",SRS10463541,SAMN22091599,simple,4932,Saccharomyces cerevisiae,GSM5615651,Lomonosov Moscow State University,SRA1307061,10,2021,Egorov,yeast cell,ribo_eif2a_2_b4_s1,yeast cell,eif2a-delta,4,Ribosome-bound RNA
SRR16220078,32250355,2439157141,75,828,SRX12501956,GSM5615652,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340281,PRJNA769126,34900236,"",SRS10463543,SAMN22091598,simple,4932,Saccharomyces cerevisiae,GSM5615652,Lomonosov Moscow State University,SRA1307061,10,2021,Egorov,yeast cell,ribo_eif2a_3_b5_s1,yeast cell,eif2a-delta,5,Ribosome-bound RNA
SRR16220077,33287150,2516955425,75,846,SRX12501957,GSM5615653,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340281,PRJNA769126,34900236,"",SRS10463542,SAMN22091597,simple,4932,Saccharomyces cerevisiae,GSM5615653,Lomonosov Moscow State University,SRA1307061,10,2021,Egorov,yeast cell,ribo_eif2a_4_b6_s1,yeast cell,eif2a-delta,6,Ribosome-bound RNA
SRR16220076,33343704,2521680293,75,838,SRX12501958,GSM5615654,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340281,PRJNA769126,34900236,"",SRS10463544,SAMN22091596,simple,4932,Saccharomyces cerevisiae,GSM5615654,Lomonosov Moscow State University,SRA1307061,10,2021,Egorov,yeast cell,ribo_stm1_1_b6_s1,yeast cell,stm1-delta,6,Ribosome-bound RNA
SRR16220075,30045497,2272395601,75,755,SRX12501959,GSM5615655,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340281,PRJNA769126,34900236,"",SRS10463545,SAMN22091595,simple,4932,Saccharomyces cerevisiae,GSM5615655,Lomonosov Moscow State University,SRA1307061,10,2021,Egorov,yeast cell,ribo_stm1_2_b7_s1,yeast cell,stm1-delta,7,Ribosome-bound RNA
SRR16220074,28262224,2137327932,75,732,SRX12501960,GSM5615656,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340281,PRJNA769126,34900236,"",SRS10463546,SAMN22091594,simple,4932,Saccharomyces cerevisiae,GSM5615656,Lomonosov Moscow State University,SRA1307061,10,2021,Egorov,yeast cell,ribo_stm1_3_b7_s1,yeast cell,stm1-delta,7,Ribosome-bound RNA
SRR16220073,25442424,1923553101,75,646,SRX12501961,GSM5615657,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340281,PRJNA769126,34900236,"",SRS10463547,SAMN22091593,simple,4932,Saccharomyces cerevisiae,GSM5615657,Lomonosov Moscow State University,SRA1307061,10,2021,Egorov,yeast cell,ribo_stm1_4_b7_s1,yeast cell,stm1-delta,7,Ribosome-bound RNA
SRR16220072,5735978,428918966,74,153,SRX12501962,GSM5615626,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340281,PRJNA769126,34900236,"",SRS10463548,SAMN22091624,simple,4932,Saccharomyces cerevisiae,GSM5615626,Lomonosov Moscow State University,SRA1307061,10,2021,Egorov,yeast cell,rna_wt_1_b1_s1,yeast cell,wt,1,Total RNA
SRR16220071,7843356,586374743,74,212,SRX12501963,GSM5615627,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340281,PRJNA769126,34900236,"",SRS10463549,SAMN22091623,simple,4932,Saccharomyces cerevisiae,GSM5615627,Lomonosov Moscow State University,SRA1307061,10,2021,Egorov,yeast cell,rna_wt_2_b2_s1,yeast cell,wt,2,Total RNA
