Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,Sex,genotype,body weight,treatment,mouse id,GEO Accession
SRR15346869,21343443,6403032900,150,1976,SRX11650891,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683928,SAMN20584686,simple,10090,Mus musculus,GSM5503183,GEO,SRA1271687,01,2022,Çakır,eW1,eW1,eW1,C57BL/6,epididymal white adipose tissue,male,wild type,diet-induced obesity,vehicle,1,GSM5503183
SRR15346870,20434192,6130257600,150,1862,SRX11650892,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683929,SAMN20584687,simple,10090,Mus musculus,GSM5503184,GEO,SRA1271687,01,2022,Çakır,eW2,eW2,eW2,C57BL/6,epididymal white adipose tissue,male,wild type,diet-induced obesity,vehicle,2,GSM5503184
SRR15346871,21290602,6387180600,150,1964,SRX11650893,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683930,SAMN20584688,simple,10090,Mus musculus,GSM5503185,GEO,SRA1271687,01,2022,Çakır,eW3,eW3,eW3,C57BL/6,epididymal white adipose tissue,male,wild type,diet-induced obesity,vehicle,3,GSM5503185
SRR15346872,21021437,6306431100,150,1929,SRX11650894,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683931,SAMN20584689,simple,10090,Mus musculus,GSM5503186,GEO,SRA1271687,01,2022,Çakır,eW4,eW4,eW4,C57BL/6,epididymal white adipose tissue,male,wild type,diet-induced obesity,vehicle,4,GSM5503186
SRR15346873,23118809,6935642700,150,2089,SRX11650895,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683932,SAMN20584690,simple,10090,Mus musculus,GSM5503187,GEO,SRA1271687,01,2022,Çakır,eW5,eW5,eW5,C57BL/6,epididymal white adipose tissue,male,wild type,diet-induced obesity,vehicle,5,GSM5503187
SRR15346874,19963513,5989053900,150,1825,SRX11650896,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683934,SAMN20584691,simple,10090,Mus musculus,GSM5503188,GEO,SRA1271687,01,2022,Çakır,eW6,eW6,eW6,C57BL/6,epididymal white adipose tissue,male,wild type,diet-induced obesity,Sulforaphane,6,GSM5503188
SRR15346875,20960175,6288052500,150,1959,SRX11650897,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683933,SAMN20584692,simple,10090,Mus musculus,GSM5503189,GEO,SRA1271687,01,2022,Çakır,eW7,eW7,eW7,C57BL/6,epididymal white adipose tissue,male,wild type,diet-induced obesity,Sulforaphane,7,GSM5503189
SRR15346876,22586498,6775949400,150,2052,SRX11650898,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683935,SAMN20584693,simple,10090,Mus musculus,GSM5503190,GEO,SRA1271687,01,2022,Çakır,eW8,eW8,eW8,C57BL/6,epididymal white adipose tissue,male,wild type,diet-induced obesity,Sulforaphane,8,GSM5503190
SRR15346877,19922194,5976658200,150,1811,SRX11650899,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683937,SAMN20584694,simple,10090,Mus musculus,GSM5503191,GEO,SRA1271687,01,2022,Çakır,eW9,eW9,eW9,C57BL/6,epididymal white adipose tissue,male,wild type,diet-induced obesity,Sulforaphane,9,GSM5503191
SRR15346878,31198680,9359604000,150,2800,SRX11650900,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683936,SAMN20584695,simple,10090,Mus musculus,GSM5503192,GEO,SRA1271687,01,2022,Çakır,eW10,eW10,eW10,C57BL/6,epididymal white adipose tissue,male,wild type,diet-induced obesity,Sulforaphane,10,GSM5503192
SRR15346879,21004292,6301287600,150,1948,SRX11650901,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683938,SAMN20584696,simple,10090,Mus musculus,GSM5503193,GEO,SRA1271687,01,2022,Çakır,H1,H1,H1,C57BL/6,Hypothalamus,male,wild type,diet-induced obesity,vehicle,1,GSM5503193
SRR15346880,21722368,6516710400,150,2047,SRX11650902,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683939,SAMN20584697,simple,10090,Mus musculus,GSM5503194,GEO,SRA1271687,01,2022,Çakır,H2,H2,H2,C57BL/6,Hypothalamus,male,wild type,diet-induced obesity,vehicle,2,GSM5503194
SRR15346881,21065347,6319604100,150,1939,SRX11650903,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683940,SAMN20584698,simple,10090,Mus musculus,GSM5503195,GEO,SRA1271687,01,2022,Çakır,H3,H3,H3,C57BL/6,Hypothalamus,male,wild type,diet-induced obesity,vehicle,3,GSM5503195
SRR15346882,19887029,5966108700,150,1838,SRX11650904,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683941,SAMN20584699,simple,10090,Mus musculus,GSM5503196,GEO,SRA1271687,01,2022,Çakır,H4,H4,H4,C57BL/6,Hypothalamus,male,wild type,diet-induced obesity,vehicle,4,GSM5503196
SRR15346883,21311408,6393422400,150,1989,SRX11650905,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683942,SAMN20584700,simple,10090,Mus musculus,GSM5503197,GEO,SRA1271687,01,2022,Çakır,H5,H5,H5,C57BL/6,Hypothalamus,male,wild type,diet-induced obesity,vehicle,5,GSM5503197
SRR15346884,22405188,6721556400,150,2071,SRX11650906,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683943,SAMN20584701,simple,10090,Mus musculus,GSM5503198,GEO,SRA1271687,01,2022,Çakır,H6,H6,H6,C57BL/6,Hypothalamus,male,wild type,diet-induced obesity,Sulforaphane,6,GSM5503198
SRR15346885,22301482,6690444600,150,2061,SRX11650907,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683944,SAMN20584702,simple,10090,Mus musculus,GSM5503199,GEO,SRA1271687,01,2022,Çakır,H7,H7,H7,C57BL/6,Hypothalamus,male,wild type,diet-induced obesity,Sulforaphane,7,GSM5503199
SRR15346886,24160061,7248018300,150,2247,SRX11650908,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683945,SAMN20584624,simple,10090,Mus musculus,GSM5503200,GEO,SRA1271687,01,2022,Çakır,H8,H8,H8,C57BL/6,Hypothalamus,male,wild type,diet-induced obesity,Sulforaphane,8,GSM5503200
SRR15346887,21671154,6501346200,150,2026,SRX11650909,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683947,SAMN20584636,simple,10090,Mus musculus,GSM5503201,GEO,SRA1271687,01,2022,Çakır,H9,H9,H9,C57BL/6,Hypothalamus,male,wild type,diet-induced obesity,Sulforaphane,9,GSM5503201
SRR15346888,20444531,6133359300,150,1887,SRX11650910,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683946,SAMN20584637,simple,10090,Mus musculus,GSM5503202,GEO,SRA1271687,01,2022,Çakır,H10,H10,H10,C57BL/6,Hypothalamus,male,wild type,diet-induced obesity,Sulforaphane,10,GSM5503202
SRR15346889,21758774,6527632200,150,1961,SRX11650911,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683948,SAMN20584626,simple,10090,Mus musculus,GSM5503203,GEO,SRA1271687,01,2022,Çakır,iW1,iW1,iW1,C57BL/6,inguinal white adipose tissue,male,wild type,diet-induced obesity,vehicle,1,GSM5503203
SRR15346890,23394584,7018375200,150,2166,SRX11650912,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683949,SAMN20584628,simple,10090,Mus musculus,GSM5503204,GEO,SRA1271687,01,2022,Çakır,iW2,iW2,iW2,C57BL/6,inguinal white adipose tissue,male,wild type,diet-induced obesity,vehicle,2,GSM5503204
SRR15346891,21392179,6417653700,150,1981,SRX11650913,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683950,SAMN20584630,simple,10090,Mus musculus,GSM5503205,GEO,SRA1271687,01,2022,Çakır,iW3,iW3,iW3,C57BL/6,inguinal white adipose tissue,male,wild type,diet-induced obesity,vehicle,3,GSM5503205
SRR15346892,21787194,6536158200,150,2010,SRX11650914,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683951,SAMN20584631,simple,10090,Mus musculus,GSM5503206,GEO,SRA1271687,01,2022,Çakır,iW4,iW4,iW4,C57BL/6,inguinal white adipose tissue,male,wild type,diet-induced obesity,vehicle,4,GSM5503206
SRR15346893,21603133,6480939900,150,1995,SRX11650915,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683952,SAMN20584632,simple,10090,Mus musculus,GSM5503207,GEO,SRA1271687,01,2022,Çakır,iW5,iW5,iW5,C57BL/6,inguinal white adipose tissue,male,wild type,diet-induced obesity,vehicle,5,GSM5503207
SRR15346894,21117191,6335157300,150,1973,SRX11650916,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683953,SAMN20584634,simple,10090,Mus musculus,GSM5503208,GEO,SRA1271687,01,2022,Çakır,iW6,iW6,iW6,C57BL/6,inguinal white adipose tissue,male,wild type,diet-induced obesity,Sulforaphane,6,GSM5503208
SRR15346895,23308160,6992448000,150,2171,SRX11650917,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683954,SAMN20584639,simple,10090,Mus musculus,GSM5503209,GEO,SRA1271687,01,2022,Çakır,iW7,iW7,iW7,C57BL/6,inguinal white adipose tissue,male,wild type,diet-induced obesity,Sulforaphane,7,GSM5503209
SRR15346896,20196552,6058965600,150,1865,SRX11650918,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683956,SAMN20584642,simple,10090,Mus musculus,GSM5503210,GEO,SRA1271687,01,2022,Çakır,iW8,iW8,iW8,C57BL/6,inguinal white adipose tissue,male,wild type,diet-induced obesity,Sulforaphane,8,GSM5503210
SRR15346897,21412051,6423615300,150,1978,SRX11650919,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683955,SAMN20584644,simple,10090,Mus musculus,GSM5503211,GEO,SRA1271687,01,2022,Çakır,iW9,iW9,iW9,C57BL/6,inguinal white adipose tissue,male,wild type,diet-induced obesity,Sulforaphane,9,GSM5503211
SRR15346898,22954982,6886494600,150,2131,SRX11650920,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683957,SAMN20584646,simple,10090,Mus musculus,GSM5503212,GEO,SRA1271687,01,2022,Çakır,iW10,iW10,iW10,C57BL/6,inguinal white adipose tissue,male,wild type,diet-induced obesity,Sulforaphane,10,GSM5503212
SRR15346899,21658209,6497462700,150,1996,SRX11650921,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683958,SAMN20584648,simple,10090,Mus musculus,GSM5503213,GEO,SRA1271687,01,2022,Çakır,L1,L1,L1,C57BL/6,Liver,male,wild type,diet-induced obesity,vehicle,1,GSM5503213
SRR15346900,25356511,7606953300,150,2372,SRX11650922,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683959,SAMN20584649,simple,10090,Mus musculus,GSM5503214,GEO,SRA1271687,01,2022,Çakır,L2,L2,L2,C57BL/6,Liver,male,wild type,diet-induced obesity,vehicle,2,GSM5503214
SRR15346901,21283407,6385022100,150,1959,SRX11650923,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683960,SAMN20584651,simple,10090,Mus musculus,GSM5503215,GEO,SRA1271687,01,2022,Çakır,L3,L3,L3,C57BL/6,Liver,male,wild type,diet-induced obesity,vehicle,3,GSM5503215
SRR15346902,21853110,6555933000,150,1993,SRX11650924,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683961,SAMN20584653,simple,10090,Mus musculus,GSM5503216,GEO,SRA1271687,01,2022,Çakır,L4,L4,L4,C57BL/6,Liver,male,wild type,diet-induced obesity,vehicle,4,GSM5503216
SRR15346903,22404695,6721408500,150,2069,SRX11650925,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683962,SAMN20584655,simple,10090,Mus musculus,GSM5503217,GEO,SRA1271687,01,2022,Çakır,L5,L5,L5,C57BL/6,Liver,male,wild type,diet-induced obesity,vehicle,5,GSM5503217
SRR15346904,21394565,6418369500,150,1963,SRX11650926,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683963,SAMN20584657,simple,10090,Mus musculus,GSM5503218,GEO,SRA1271687,01,2022,Çakır,L6,L6,L6,C57BL/6,Liver,male,wild type,diet-induced obesity,Sulforaphane,6,GSM5503218
SRR15346905,21237360,6371208000,150,1959,SRX11650927,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683964,SAMN20584658,simple,10090,Mus musculus,GSM5503219,GEO,SRA1271687,01,2022,Çakır,L7,L7,L7,C57BL/6,Liver,male,wild type,diet-induced obesity,Sulforaphane,7,GSM5503219
SRR15346906,25699720,7709916000,150,2280,SRX11650928,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683965,SAMN20584660,simple,10090,Mus musculus,GSM5503220,GEO,SRA1271687,01,2022,Çakır,L8,L8,L8,C57BL/6,Liver,male,wild type,diet-induced obesity,Sulforaphane,8,GSM5503220
SRR15346907,27654324,8296297200,150,2550,SRX11650929,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683967,SAMN20584662,simple,10090,Mus musculus,GSM5503221,GEO,SRA1271687,01,2022,Çakır,L9,L9,L9,C57BL/6,Liver,male,wild type,diet-induced obesity,Sulforaphane,9,GSM5503221
SRR15346908,22475760,6742728000,150,1988,SRX11650930,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683966,SAMN20584663,simple,10090,Mus musculus,GSM5503222,GEO,SRA1271687,01,2022,Çakır,L10,L10,L10,C57BL/6,Liver,male,wild type,diet-induced obesity,Sulforaphane,10,GSM5503222
SRR15346909,22274297,6682289100,150,2055,SRX11650931,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683968,SAMN20584666,simple,10090,Mus musculus,GSM5503223,GEO,SRA1271687,01,2022,Çakır,SM1,SM1,SM1,C57BL/6,Skeletal Muscle,male,wild type,diet-induced obesity,vehicle,1,GSM5503223
SRR15346910,21623944,6487183200,150,1941,SRX11650932,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683969,SAMN20584667,simple,10090,Mus musculus,GSM5503224,GEO,SRA1271687,01,2022,Çakır,SM2,SM2,SM2,C57BL/6,Skeletal Muscle,male,wild type,diet-induced obesity,vehicle,2,GSM5503224
SRR15346911,22652537,6795761100,150,2077,SRX11650933,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683970,SAMN20584668,simple,10090,Mus musculus,GSM5503225,GEO,SRA1271687,01,2022,Çakır,SM3,SM3,SM3,C57BL/6,Skeletal Muscle,male,wild type,diet-induced obesity,vehicle,3,GSM5503225
SRR15346912,25122861,7536858300,150,2235,SRX11650934,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683971,SAMN20584669,simple,10090,Mus musculus,GSM5503226,GEO,SRA1271687,01,2022,Çakır,SM4,SM4,SM4,C57BL/6,Skeletal Muscle,male,wild type,diet-induced obesity,vehicle,4,GSM5503226
SRR15346913,22274498,6682349400,150,2064,SRX11650935,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683972,SAMN20584670,simple,10090,Mus musculus,GSM5503227,GEO,SRA1271687,01,2022,Çakır,SM5,SM5,SM5,C57BL/6,Skeletal Muscle,male,wild type,diet-induced obesity,vehicle,5,GSM5503227
SRR15346914,21803530,6541059000,150,2021,SRX11650936,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683973,SAMN20584671,simple,10090,Mus musculus,GSM5503228,GEO,SRA1271687,01,2022,Çakır,SM6,SM6,SM6,C57BL/6,Skeletal Muscle,male,wild type,diet-induced obesity,Sulforaphane,6,GSM5503228
SRR15346915,22032737,6609821100,150,2050,SRX11650937,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683974,SAMN20584672,simple,10090,Mus musculus,GSM5503229,GEO,SRA1271687,01,2022,Çakır,SM7,SM7,SM7,C57BL/6,Skeletal Muscle,male,wild type,diet-induced obesity,Sulforaphane,7,GSM5503229
SRR15346916,23504044,7051213200,150,2093,SRX11650938,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683975,SAMN20584673,simple,10090,Mus musculus,GSM5503230,GEO,SRA1271687,01,2022,Çakır,SM8,SM8,SM8,C57BL/6,Skeletal Muscle,male,wild type,diet-induced obesity,Sulforaphane,8,GSM5503230
SRR15346917,20945682,6283704600,150,1939,SRX11650939,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683977,SAMN20584674,simple,10090,Mus musculus,GSM5503231,GEO,SRA1271687,01,2022,Çakır,SM9,SM9,SM9,C57BL/6,Skeletal Muscle,male,wild type,diet-induced obesity,Sulforaphane,9,GSM5503231
SRR15346918,24770068,7431020400,150,2293,SRX11650940,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683976,SAMN20584675,simple,10090,Mus musculus,GSM5503232,GEO,SRA1271687,01,2022,Çakır,SM10,SM10,SM10,C57BL/6,Skeletal Muscle,male,wild type,diet-induced obesity,Sulforaphane,10,GSM5503232
