Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,triton addition,strain,poly-a selection,GEO Accession
SRR788080,20308910,710811850,35,376,SRX252841,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019833,PRJNA193543,23935536,"",SRS403045,SAMN01985041,simple,4932,Saccharomyces cerevisiae,GSM1103186,GEO,SRA069892,07,2015,Zinshteyn,YWG269,Δncs6 RNA-seq 1,YWG269,Before lysis,BY4741,oligo-dT DynaBeads,GSM1103186
SRR788081,18063089,632208115,35,416,SRX252842,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019833,PRJNA193543,23935536,"",SRS403046,SAMN01985042,simple,4932,Saccharomyces cerevisiae,GSM1103187,GEO,SRA069892,07,2015,Zinshteyn,YWG385,Δncs6 RNA-seq 2,YWG385,After lysis,BY4741,oligo-dT DynaBeads,GSM1103187
SRR788082,22379891,783296185,35,360,SRX252843,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019833,PRJNA193543,23935536,"",SRS403047,SAMN01985043,simple,4932,Saccharomyces cerevisiae,GSM1103188,GEO,SRA069892,07,2015,Zinshteyn,YWG271,Δuba4 RNA-seq 1,YWG271,Before lysis,BY4741,oligo-dT DynaBeads,GSM1103188
SRR788083,20033579,701175265,35,413,SRX252844,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019833,PRJNA193543,23935536,"",SRS403048,SAMN01985044,simple,4932,Saccharomyces cerevisiae,GSM1103189,GEO,SRA069892,07,2015,Zinshteyn,YWG271,Δuba4 RNA-seq 2,YWG271,After lysis,BY4741,oligo-dT DynaBeads,GSM1103189
SRR788084,18543465,649021275,35,432,SRX252845,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019833,PRJNA193543,23935536,"",SRS403049,SAMN01985045,simple,4932,Saccharomyces cerevisiae,GSM1103190,GEO,SRA069892,07,2015,Zinshteyn,YWG382,Δelp3 RNA-seq,YWG382,After lysis,BY4741,oligo-dT DynaBeads,GSM1103190
SRR788085,19940757,697926495,35,413,SRX252846,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019833,PRJNA193543,23935536,"",SRS403050,SAMN01985046,simple,4932,Saccharomyces cerevisiae,GSM1103191,GEO,SRA069892,07,2015,Zinshteyn,YWG386,Δncs2 RNA-seq,YWG386,After lysis,BY4741,oligo-dT DynaBeads,GSM1103191
SRR788086,34470304,1240930944,36,714,SRX252847,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019833,PRJNA193543,23935536,"",SRS403051,SAMN01985047,simple,4932,Saccharomyces cerevisiae,GSM1103192,GEO,SRA069892,07,2015,Zinshteyn,YWG11,WT RNA-seq 1 repeat,YWG11,Before lysis,BY4741,oligo-dT cellulose,GSM1103192
SRR788087,31832263,1145961468,36,653,SRX252848,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019833,PRJNA193543,23935536,"",SRS403052,SAMN01985048,simple,4932,Saccharomyces cerevisiae,GSM1103193,GEO,SRA069892,07,2015,Zinshteyn,YWG11,WT RNA-seq 2 repeat,YWG11,After lysis,BY4741,oligo-dT cellulose,GSM1103193
SRR788088,33480169,1205286084,36,697,SRX252849,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019833,PRJNA193543,23935536,"",SRS403053,SAMN01985049,simple,4932,Saccharomyces cerevisiae,GSM1103194,GEO,SRA069892,07,2015,Zinshteyn,YWG269,Δncs6 RNA-seq 1 repeat,YWG269,Before lysis,BY4741,oligo-dT cellulose,GSM1103194
SRR788089,33651180,1211442480,36,713,SRX252850,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019833,PRJNA193543,23935536,"",SRS403054,SAMN01985050,simple,4932,Saccharomyces cerevisiae,GSM1103195,GEO,SRA069892,07,2015,Zinshteyn,YWG385,Δncs6 RNA-seq 2 repeat,YWG385,After lysis,BY4741,oligo-dT cellulose,GSM1103195
SRR788090,24807997,893087892,36,555,SRX252851,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019833,PRJNA193543,23935536,"",SRS403055,SAMN01985051,simple,4932,Saccharomyces cerevisiae,GSM1103196,GEO,SRA069892,07,2015,Zinshteyn,YWG271,Δuba4 RNA-seq 1 repeat,YWG271,Before lysis,BY4741,oligo-dT cellulose,GSM1103196
SRR788091,19785974,712295064,36,444,SRX252852,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019833,PRJNA193543,23935536,"",SRS403056,SAMN01985052,simple,4932,Saccharomyces cerevisiae,GSM1103197,GEO,SRA069892,07,2015,Zinshteyn,YWG271,Δuba4 RNA-seq 2 repeat,YWG271,After lysis,BY4741,oligo-dT cellulose,GSM1103197
SRR788092,31785699,1144285164,36,669,SRX252853,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019833,PRJNA193543,23935536,"",SRS403057,SAMN01985053,simple,4932,Saccharomyces cerevisiae,GSM1103198,GEO,SRA069892,07,2015,Zinshteyn,YWG382,Δelp3 RNA-seq repeat,YWG382,After lysis,BY4741,oligo-dT cellulose,GSM1103198
SRR788093,21453793,772336548,36,415,SRX252854,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019833,PRJNA193543,23935536,"",SRS403058,SAMN01985054,simple,4932,Saccharomyces cerevisiae,GSM1103199,GEO,SRA069892,07,2015,Zinshteyn,YWG386,Δncs2 RNA-seq repeat,YWG386,After lysis,BY4741,oligo-dT cellulose,GSM1103199
