Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,growth rate,genotype,treatment,culture method,molecule subtype,GEO Accession
SRR15446750,4322324,324174300,75,141,SRX11746141,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779340,SAMN20776198,simple,562,Escherichia coli,GSM5518462,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - WT N-lim 0.6 rep2,E. coli RNA-seq - WT N-lim 0.6 rep2,E. coli RNA-seq - WT N-lim 0.6 rep2,NCM3722,0.6 h-1,wild type,nitrogen limitation,chemostat,total mRNA,GSM5518462
SRR15446751,3006932,225519900,75,94,SRX11746142,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779333,SAMN20776199,simple,562,Escherichia coli,GSM5518463,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - WT N-lim 0.6 rep3,E. coli RNA-seq - WT N-lim 0.6 rep3,E. coli RNA-seq - WT N-lim 0.6 rep3,NCM3722,0.6 h-1,wild type,nitrogen limitation,chemostat,total mRNA,GSM5518463
SRR15446752,11990991,899324325,75,422,SRX11746143,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779336,SAMN20776200,simple,562,Escherichia coli,GSM5518464,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - WT P-lim 0.1 rep1,E. coli RNA-seq - WT P-lim 0.1 rep1,E. coli RNA-seq - WT P-lim 0.1 rep1,NCM3722,0.1 h-1,wild type,phosphate limitation,chemostat,total mRNA,GSM5518464
SRR15446753,4744652,355848900,75,153,SRX11746144,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779338,SAMN20776201,simple,562,Escherichia coli,GSM5518465,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - WT P-lim 0.1 rep2,E. coli RNA-seq - WT P-lim 0.1 rep2,E. coli RNA-seq - WT P-lim 0.1 rep2,NCM3722,0.1 h-1,wild type,phosphate limitation,chemostat,total mRNA,GSM5518465
SRR15446754,5751674,431375550,75,180,SRX11746145,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779344,SAMN20776202,simple,562,Escherichia coli,GSM5518466,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - WT P-lim 0.1 rep3,E. coli RNA-seq - WT P-lim 0.1 rep3,E. coli RNA-seq - WT P-lim 0.1 rep3,NCM3722,0.1 h-1,wild type,phosphate limitation,chemostat,total mRNA,GSM5518466
SRR15446755,9042105,678157875,75,319,SRX11746146,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779339,SAMN20776203,simple,562,Escherichia coli,GSM5518467,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - WT P-lim 0.6 rep1,E. coli RNA-seq - WT P-lim 0.6 rep1,E. coli RNA-seq - WT P-lim 0.6 rep1,NCM3722,0.6 h-1,wild type,phosphate limitation,chemostat,total mRNA,GSM5518467
SRR15446756,4051783,303883725,75,132,SRX11746147,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779349,SAMN20776204,simple,562,Escherichia coli,GSM5518468,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - WT P-lim 0.6 rep2,E. coli RNA-seq - WT P-lim 0.6 rep2,E. coli RNA-seq - WT P-lim 0.6 rep2,NCM3722,0.6 h-1,wild type,phosphate limitation,chemostat,total mRNA,GSM5518468
SRR15446757,5597550,419816250,75,176,SRX11746148,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779341,SAMN20776205,simple,562,Escherichia coli,GSM5518469,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - WT P-lim 0.6 rep3,E. coli RNA-seq - WT P-lim 0.6 rep3,E. coli RNA-seq - WT P-lim 0.6 rep3,NCM3722,0.6 h-1,wild type,phosphate limitation,chemostat,total mRNA,GSM5518469
SRR15446758,9448544,708640800,75,335,SRX11746149,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779345,SAMN20776206,simple,562,Escherichia coli,GSM5518470,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - WT M 0.9 rep1,E. coli RNA-seq - WT M 0.9 rep1,E. coli RNA-seq - WT M 0.9 rep1,NCM3722,0.9 h-1,wild type,glucose minimal,batch culture,total mRNA,GSM5518470
SRR15446759,5706643,427998225,75,187,SRX11746150,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779342,SAMN20776209,simple,562,Escherichia coli,GSM5518471,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - WT M 0.9 rep2,E. coli RNA-seq - WT M 0.9 rep2,E. coli RNA-seq - WT M 0.9 rep2,NCM3722,0.9 h-1,wild type,glucose minimal,batch culture,total mRNA,GSM5518471
SRR15446760,5286334,396475050,75,164,SRX11746151,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779343,SAMN20776210,simple,562,Escherichia coli,GSM5518472,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - WT M 0.9 rep3,E. coli RNA-seq - WT M 0.9 rep3,E. coli RNA-seq - WT M 0.9 rep3,NCM3722,0.9 h-1,wild type,glucose minimal,batch culture,total mRNA,GSM5518472
SRR15446761,9038752,677906400,75,322,SRX11746152,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779348,SAMN20776211,simple,562,Escherichia coli,GSM5518473,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - WT G 1.8 rep1,E. coli RNA-seq - WT G 1.8 rep1,E. coli RNA-seq - WT G 1.8 rep1,NCM3722,1.8 h-1,wild type,defined rich MOPS,batch culture,total mRNA,GSM5518473
SRR15446762,5239251,392943825,75,171,SRX11746153,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779346,SAMN20776212,simple,562,Escherichia coli,GSM5518474,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - WT G 1.8 rep2,E. coli RNA-seq - WT G 1.8 rep2,E. coli RNA-seq - WT G 1.8 rep2,NCM3722,1.8 h-1,wild type,defined rich MOPS,batch culture,total mRNA,GSM5518474
SRR15446763,5148813,386160975,75,161,SRX11746154,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779347,SAMN20776207,simple,562,Escherichia coli,GSM5518475,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - WT G 1.8 rep3,E. coli RNA-seq - WT G 1.8 rep3,E. coli RNA-seq - WT G 1.8 rep3,NCM3722,1.8 h-1,wild type,defined rich MOPS,batch culture,total mRNA,GSM5518475
SRR15446764,10031783,752383725,75,358,SRX11746155,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779352,SAMN20776208,simple,562,Escherichia coli,GSM5518476,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - ΔrplA N-lim 0.1 rep1,E. coli RNA-seq - ΔrplA N-lim 0.1 rep1,E. coli RNA-seq - ΔrplA N-lim 0.1 rep1,NCM3722,0.1 h-1,delta_rplA,nitrogen limitation,chemostat,total mRNA,GSM5518476
SRR15446765,4553109,341483175,75,149,SRX11746156,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779351,SAMN20776213,simple,562,Escherichia coli,GSM5518477,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - ΔrplA N-lim 0.1 rep2,E. coli RNA-seq - ΔrplA N-lim 0.1 rep2,E. coli RNA-seq - ΔrplA N-lim 0.1 rep2,NCM3722,0.1 h-1,delta_rplA,nitrogen limitation,chemostat,total mRNA,GSM5518477
SRR15446766,5899323,442449225,75,187,SRX11746157,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779353,SAMN20776214,simple,562,Escherichia coli,GSM5518478,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - ΔrplA N-lim 0.1 rep3,E. coli RNA-seq - ΔrplA N-lim 0.1 rep3,E. coli RNA-seq - ΔrplA N-lim 0.1 rep3,NCM3722,0.1 h-1,delta_rplA,nitrogen limitation,chemostat,total mRNA,GSM5518478
SRR15446767,8857388,664304100,75,315,SRX11746158,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779350,SAMN20776225,simple,562,Escherichia coli,GSM5518479,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - ΔrplA N-lim 0.6 rep1,E. coli RNA-seq - ΔrplA N-lim 0.6 rep1,E. coli RNA-seq - ΔrplA N-lim 0.6 rep1,NCM3722,0.6 h-1,delta_rplA,nitrogen limitation,chemostat,total mRNA,GSM5518479
SRR15446768,4272688,320451600,75,140,SRX11746159,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779357,SAMN20776183,simple,562,Escherichia coli,GSM5518480,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - ΔrplA N-lim 0.6 rep2,E. coli RNA-seq - ΔrplA N-lim 0.6 rep2,E. coli RNA-seq - ΔrplA N-lim 0.6 rep2,NCM3722,0.6 h-1,delta_rplA,nitrogen limitation,chemostat,total mRNA,GSM5518480
SRR15446769,8613396,646004700,75,268,SRX11746160,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779354,SAMN20776184,simple,562,Escherichia coli,GSM5518481,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - ΔrplA N-lim 0.6 rep3,E. coli RNA-seq - ΔrplA N-lim 0.6 rep3,E. coli RNA-seq - ΔrplA N-lim 0.6 rep3,NCM3722,0.6 h-1,delta_rplA,nitrogen limitation,chemostat,total mRNA,GSM5518481
SRR15446770,11485637,861422775,75,407,SRX11746161,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779355,SAMN20776185,simple,562,Escherichia coli,GSM5518482,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - ΔleuB Leu-lim 0.1 rep1,E. coli RNA-seq - ΔleuB Leu-lim 0.1 rep1,E. coli RNA-seq - ΔleuB Leu-lim 0.1 rep1,NCM3722,0.1 h-1,delta_leuB,Leucine limitation,chemostat,total mRNA,GSM5518482
SRR15446771,4069847,305238525,75,133,SRX11746162,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779358,SAMN20776186,simple,562,Escherichia coli,GSM5518483,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - ΔleuB Leu-lim 0.1 rep2,E. coli RNA-seq - ΔleuB Leu-lim 0.1 rep2,E. coli RNA-seq - ΔleuB Leu-lim 0.1 rep2,NCM3722,0.1 h-1,delta_leuB,Leucine limitation,chemostat,total mRNA,GSM5518483
SRR15446772,4841289,363096675,75,153,SRX11746163,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779360,SAMN20776187,simple,562,Escherichia coli,GSM5518484,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - ΔleuB Leu-lim 0.1 rep3,E. coli RNA-seq - ΔleuB Leu-lim 0.1 rep3,E. coli RNA-seq - ΔleuB Leu-lim 0.1 rep3,NCM3722,0.1 h-1,delta_leuB,Leucine limitation,chemostat,total mRNA,GSM5518484
SRR15446773,10198023,764851725,75,365,SRX11746164,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779356,SAMN20776215,simple,562,Escherichia coli,GSM5518485,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - ΔleuB Leu-lim 0.6 rep1,E. coli RNA-seq - ΔleuB Leu-lim 0.6 rep1,E. coli RNA-seq - ΔleuB Leu-lim 0.6 rep1,NCM3722,0.6 h-1,delta_leuB,Leucine limitation,chemostat,total mRNA,GSM5518485
SRR15446774,4871514,365363550,75,159,SRX11746165,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779359,SAMN20776216,simple,562,Escherichia coli,GSM5518486,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - ΔleuB Leu-lim 0.6 rep2,E. coli RNA-seq - ΔleuB Leu-lim 0.6 rep2,E. coli RNA-seq - ΔleuB Leu-lim 0.6 rep2,NCM3722,0.6 h-1,delta_leuB,Leucine limitation,chemostat,total mRNA,GSM5518486
SRR15446775,1154657,86599275,75,36,SRX11746166,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779371,SAMN20776217,simple,562,Escherichia coli,GSM5518487,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - ΔleuB Leu-lim 0.6 rep3,E. coli RNA-seq - ΔleuB Leu-lim 0.6 rep3,E. coli RNA-seq - ΔleuB Leu-lim 0.6 rep3,NCM3722,0.6 h-1,delta_leuB,Leucine limitation,chemostat,total mRNA,GSM5518487
SRR15446776,16321128,1224084600,75,575,SRX11746167,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779361,SAMN20776218,simple,562,Escherichia coli,GSM5518488,GEO,SRA1277944,11,2022,Zhang,E. coli Ribo-seq - WT C-lim 0.1 rep1,E. coli Ribo-seq - WT C-lim 0.1 rep1,E. coli Ribo-seq - WT C-lim 0.1 rep1,NCM3722,0.1 h-1,wild type,carbon limitation,chemostat,ribosome protected mRNA,GSM5518488
SRR15446777,18899541,1417465575,75,591,SRX11746168,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779366,SAMN20776219,simple,562,Escherichia coli,GSM5518489,GEO,SRA1277944,11,2022,Zhang,E. coli Ribo-seq - WT C-lim 0.1 rep2,E. coli Ribo-seq - WT C-lim 0.1 rep2,E. coli Ribo-seq - WT C-lim 0.1 rep2,NCM3722,0.1 h-1,wild type,carbon limitation,chemostat,ribosome protected mRNA,GSM5518489
SRR15446778,16966114,1272458550,75,531,SRX11746169,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779363,SAMN20776220,simple,562,Escherichia coli,GSM5518490,GEO,SRA1277944,11,2022,Zhang,E. coli Ribo-seq - WT C-lim 0.1 rep3,E. coli Ribo-seq - WT C-lim 0.1 rep3,E. coli Ribo-seq - WT C-lim 0.1 rep3,NCM3722,0.1 h-1,wild type,carbon limitation,chemostat,ribosome protected mRNA,GSM5518490
SRR15446779,18076411,1355730825,75,635,SRX11746170,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779364,SAMN20776221,simple,562,Escherichia coli,GSM5518491,GEO,SRA1277944,11,2022,Zhang,E. coli Ribo-seq - WT C-lim 0.6 rep1,E. coli Ribo-seq - WT C-lim 0.6 rep1,E. coli Ribo-seq - WT C-lim 0.6 rep1,NCM3722,0.6 h-1,wild type,carbon limitation,chemostat,ribosome protected mRNA,GSM5518491
SRR15446780,17572260,1317919500,75,567,SRX11746171,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779365,SAMN20776222,simple,562,Escherichia coli,GSM5518492,GEO,SRA1277944,11,2022,Zhang,E. coli Ribo-seq - WT C-lim 0.6 rep2,E. coli Ribo-seq - WT C-lim 0.6 rep2,E. coli Ribo-seq - WT C-lim 0.6 rep2,NCM3722,0.6 h-1,wild type,carbon limitation,chemostat,ribosome protected mRNA,GSM5518492
SRR15446781,21768140,1632610500,75,677,SRX11746172,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779367,SAMN20776223,simple,562,Escherichia coli,GSM5518493,GEO,SRA1277944,11,2022,Zhang,E. coli Ribo-seq - WT C-lim 0.6 rep3,E. coli Ribo-seq - WT C-lim 0.6 rep3,E. coli Ribo-seq - WT C-lim 0.6 rep3,NCM3722,0.6 h-1,wild type,carbon limitation,chemostat,ribosome protected mRNA,GSM5518493
SRR15446782,16821904,1261642800,75,594,SRX11746173,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779362,SAMN20776224,simple,562,Escherichia coli,GSM5518494,GEO,SRA1277944,11,2022,Zhang,E. coli Ribo-seq - WT N-lim 0.1 rep1,E. coli Ribo-seq - WT N-lim 0.1 rep1,E. coli Ribo-seq - WT N-lim 0.1 rep1,NCM3722,0.1 h-1,wild type,nitrogen limitation,chemostat,ribosome protected mRNA,GSM5518494
SRR15446783,17280289,1296021675,75,549,SRX11746174,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779369,SAMN20776150,simple,562,Escherichia coli,GSM5518495,GEO,SRA1277944,11,2022,Zhang,E. coli Ribo-seq - WT N-lim 0.1 rep2,E. coli Ribo-seq - WT N-lim 0.1 rep2,E. coli Ribo-seq - WT N-lim 0.1 rep2,NCM3722,0.1 h-1,wild type,nitrogen limitation,chemostat,ribosome protected mRNA,GSM5518495
SRR15446784,16965497,1272412275,75,524,SRX11746175,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779368,SAMN20776152,simple,562,Escherichia coli,GSM5518496,GEO,SRA1277944,11,2022,Zhang,E. coli Ribo-seq - WT N-lim 0.1 rep3,E. coli Ribo-seq - WT N-lim 0.1 rep3,E. coli Ribo-seq - WT N-lim 0.1 rep3,NCM3722,0.1 h-1,wild type,nitrogen limitation,chemostat,ribosome protected mRNA,GSM5518496
SRR15446785,18357653,1376823975,75,646,SRX11746176,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779373,SAMN20776153,simple,562,Escherichia coli,GSM5518497,GEO,SRA1277944,11,2022,Zhang,E. coli Ribo-seq - WT N-lim 0.6 rep1,E. coli Ribo-seq - WT N-lim 0.6 rep1,E. coli Ribo-seq - WT N-lim 0.6 rep1,NCM3722,0.6 h-1,wild type,nitrogen limitation,chemostat,ribosome protected mRNA,GSM5518497
SRR15446786,18010432,1350782400,75,569,SRX11746177,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779372,SAMN20776154,simple,562,Escherichia coli,GSM5518498,GEO,SRA1277944,11,2022,Zhang,E. coli Ribo-seq - WT N-lim 0.6 rep2,E. coli Ribo-seq - WT N-lim 0.6 rep2,E. coli Ribo-seq - WT N-lim 0.6 rep2,NCM3722,0.6 h-1,wild type,nitrogen limitation,chemostat,ribosome protected mRNA,GSM5518498
