Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,subtype,p53 status,Stage,molecule subtype,GEO Accession
SRR10868229,13803018,703953918,51,290,SRX7538252,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976916,SAMN13819088,simple,9606,Homo sapiens,GSM4258823,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_11 [VMT105],RMS_breast tumor,primary breast tumour,HER2,WT,Stage 3,ribosomal RNA,GSM4258823
SRR10868230,7282408,371402808,51,154,SRX7538253,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976917,SAMN13819087,simple,9606,Homo sapiens,GSM4258824,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_12 [VMT106],RMS_breast tumor,primary breast tumour,HER2,WT,Stage 3,ribosomal RNA,GSM4258824
SRR10868231,10818634,551750334,51,229,SRX7538254,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976918,SAMN13819086,simple,9606,Homo sapiens,GSM4258825,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_13 [VMT107],RMS_breast tumor,primary breast tumour,LumiNAl,WT,Stage 2,ribosomal RNA,GSM4258825
SRR10868232,11060572,564089172,51,231,SRX7538255,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976919,SAMN13819085,simple,9606,Homo sapiens,GSM4258826,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_14 [VMT108],RMS_breast tumor,primary breast tumour,LumiNAl,WT,Stage 3,ribosomal RNA,GSM4258826
SRR10868233,11518912,587464512,51,244,SRX7538256,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976920,SAMN13819084,simple,9606,Homo sapiens,GSM4258827,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_15 [VMT109],RMS_breast tumor,primary breast tumour,LumiNAl,MT,Stage 3,ribosomal RNA,GSM4258827
SRR10868234,8931333,455497983,51,189,SRX7538257,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976921,SAMN13819083,simple,9606,Homo sapiens,GSM4258828,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_16 [VMT110],RMS_breast tumor,primary breast tumour,LumiNAl,WT,Stage 3,ribosomal RNA,GSM4258828
SRR10868235,11627513,593003163,51,245,SRX7538258,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976922,SAMN13819082,simple,9606,Homo sapiens,GSM4258829,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_17 [VMT111],RMS_breast tumor,primary breast tumour,HER2,WT,Stage 3,ribosomal RNA,GSM4258829
SRR10868236,9211309,469776759,51,192,SRX7538259,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976923,SAMN13819081,simple,9606,Homo sapiens,GSM4258830,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_18 [VMT112],RMS_breast tumor,primary breast tumour,TNBC,NA,Stage 3,ribosomal RNA,GSM4258830
SRR10868237,9437001,481287051,51,193,SRX7538260,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976924,SAMN13819080,simple,9606,Homo sapiens,GSM4258831,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_19 [VMT116],RMS_breast tumor,primary breast tumour,TNBC,WT,Stage 3,ribosomal RNA,GSM4258831
SRR10868238,9023289,460187739,51,186,SRX7538261,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976925,SAMN13819079,simple,9606,Homo sapiens,GSM4258832,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_20 [VMT117],RMS_breast tumor,primary breast tumour,HER2,WT,Stage 3,ribosomal RNA,GSM4258832
SRR10868239,10005630,510287130,51,205,SRX7538262,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976926,SAMN13819078,simple,9606,Homo sapiens,GSM4258833,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_21 [VMT118],RMS_breast tumor,primary breast tumour,HER2,WT,Stage 3,ribosomal RNA,GSM4258833
SRR10868240,11089111,565544661,51,229,SRX7538263,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976927,SAMN13819077,simple,9606,Homo sapiens,GSM4258834,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_22 [VMT119],RMS_breast tumor,primary breast tumour,HER2,NA,Stage 3,ribosomal RNA,GSM4258834
SRR10868241,8314166,424022466,51,172,SRX7538264,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976928,SAMN13819076,simple,9606,Homo sapiens,GSM4258835,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_23 [VMT120],RMS_breast tumor,primary breast tumour,TNBC,NA,Stage 3,ribosomal RNA,GSM4258835
SRR10868242,5150824,262692024,51,106,SRX7538265,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976929,SAMN13819075,simple,9606,Homo sapiens,GSM4258836,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_24 [VMT122],RMS_breast tumor,primary breast tumour,TNBC,WT,Stage 3,ribosomal RNA,GSM4258836
SRR10868243,10738852,547681452,51,221,SRX7538266,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976930,SAMN13819074,simple,9606,Homo sapiens,GSM4258837,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_25 [VMT124],RMS_breast tumor,primary breast tumour,TNBC,WT,Stage 3,ribosomal RNA,GSM4258837
SRR10868245,9398430,479319930,51,194,SRX7538267,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976931,SAMN13819073,simple,9606,Homo sapiens,GSM4258838,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_26 [VMT126],RMS_breast tumor,primary breast tumour,TNBC,MT,Stage 3,ribosomal RNA,GSM4258838
SRR10868246,10957644,558839844,51,227,SRX7538268,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976932,SAMN13819128,simple,9606,Homo sapiens,GSM4258839,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_27 [VMT127],RMS_breast tumor,primary breast tumour,HER2,WT,Stage 2,ribosomal RNA,GSM4258839
SRR10868247,10025502,511300602,51,206,SRX7538269,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976933,SAMN13819127,simple,9606,Homo sapiens,GSM4258840,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_28 [VMT128],RMS_breast tumor,primary breast tumour,HER2,WT,Stage 3,ribosomal RNA,GSM4258840
SRR10868248,9444585,481673835,51,195,SRX7538270,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976934,SAMN13819126,simple,9606,Homo sapiens,GSM4258841,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_29 [VMT129],RMS_breast tumor,primary breast tumour,TNBC,WT,Stage 3,ribosomal RNA,GSM4258841
SRR10868249,11405982,581705082,51,234,SRX7538271,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976935,SAMN13819125,simple,9606,Homo sapiens,GSM4258842,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_30 [VMT130],RMS_breast tumor,primary breast tumour,HER2,WT,Stage 3,ribosomal RNA,GSM4258842
SRR10868250,10206311,520521861,51,210,SRX7538272,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976936,SAMN13819124,simple,9606,Homo sapiens,GSM4258843,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_31 [VMT132],RMS_breast tumor,primary breast tumour,LumiNAl,WT,Stage 3,ribosomal RNA,GSM4258843
SRR10868251,14967292,763331892,51,309,SRX7538273,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976937,SAMN13819123,simple,9606,Homo sapiens,GSM4258844,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_32 [VMT133],RMS_breast tumor,primary breast tumour,HER2,WT,Stage 3,ribosomal RNA,GSM4258844
SRR10868252,10047394,512417094,51,207,SRX7538274,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976938,SAMN13819122,simple,9606,Homo sapiens,GSM4258845,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_33 [VMT135],RMS_breast tumor,primary breast tumour,HER2,MT,Stage 3,ribosomal RNA,GSM4258845
SRR10868253,10596136,540402936,51,218,SRX7538275,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976939,SAMN13819121,simple,9606,Homo sapiens,GSM4258846,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_34 [VMT136],RMS_breast tumor,primary breast tumour,LumiNAl,WT,Stage 2,ribosomal RNA,GSM4258846
SRR10868254,10510541,536037591,51,221,SRX7538276,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976940,SAMN13819120,simple,9606,Homo sapiens,GSM4258847,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_35 [VMT137],RMS_breast tumor,primary breast tumour,HER2,WT,Stage 3,ribosomal RNA,GSM4258847
SRR10868255,9123999,465323949,51,187,SRX7538277,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976941,SAMN13819115,simple,9606,Homo sapiens,GSM4258848,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_36 [VMT138],RMS_breast tumor,primary breast tumour,LumiNAl,MT,Stage 3,ribosomal RNA,GSM4258848
SRR10868256,7878516,401804316,51,172,SRX7538278,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976942,SAMN13819114,simple,9606,Homo sapiens,GSM4258849,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_37 [VMT139],RMS_breast tumor,primary breast tumour,HER2,WT,Stage 3,ribosomal RNA,GSM4258849
SRR10868257,9567690,487952190,51,208,SRX7538279,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976943,SAMN13819113,simple,9606,Homo sapiens,GSM4258850,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_38 [VMT140],RMS_breast tumor,primary breast tumour,LumiNAl,WT,Stage 2,ribosomal RNA,GSM4258850
SRR10868258,7002296,357117096,51,153,SRX7538280,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976944,SAMN13819119,simple,9606,Homo sapiens,GSM4258851,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_39 [VMT141],RMS_breast tumor,primary breast tumour,HER2,WT,Stage 3,ribosomal RNA,GSM4258851
SRR10868259,9816352,500633952,51,215,SRX7538281,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976945,SAMN13819118,simple,9606,Homo sapiens,GSM4258852,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_40 [VMT142],RMS_breast tumor,primary breast tumour,HER2,WT,Stage 2,ribosomal RNA,GSM4258852
SRR10868260,7607217,387968067,51,166,SRX7538282,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976946,SAMN13819117,simple,9606,Homo sapiens,GSM4258853,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_41 [VMT143],RMS_breast tumor,primary breast tumour,HER2,WT,Stage 2,ribosomal RNA,GSM4258853
SRR10868261,14582149,743689599,51,310,SRX7538283,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976947,SAMN13819116,simple,9606,Homo sapiens,GSM4258854,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_42 [VMT144],RMS_breast tumor,primary breast tumour,LumiNAl,WT,Stage 3,ribosomal RNA,GSM4258854
SRR10868262,7975877,406769727,51,174,SRX7538284,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976948,SAMN13819112,simple,9606,Homo sapiens,GSM4258855,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_43 [VMT145],RMS_breast tumor,primary breast tumour,LumiNAl,WT,Stage 3,ribosomal RNA,GSM4258855
SRR10868263,8916553,454744203,51,194,SRX7538285,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976949,SAMN13819111,simple,9606,Homo sapiens,GSM4258856,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_44 [VMT146],RMS_breast tumor,primary breast tumour,TNBC,MT,Stage 3,ribosomal RNA,GSM4258856
SRR10868264,16794976,856543776,51,370,SRX7538286,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976950,SAMN13819110,simple,9606,Homo sapiens,GSM4258857,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_45 [VMT148],RMS_breast tumor,primary breast tumour,HER2,WT,Stage 1,ribosomal RNA,GSM4258857
SRR10868265,9251491,471826041,51,203,SRX7538287,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976951,SAMN13819109,simple,9606,Homo sapiens,GSM4258858,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_46 [VMT149],RMS_breast tumor,primary breast tumour,TNBC,MT,Stage 3,ribosomal RNA,GSM4258858
SRR10868266,7861607,400941957,51,172,SRX7538288,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976952,SAMN13819108,simple,9606,Homo sapiens,GSM4258859,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_47 [VMT150],RMS_breast tumor,primary breast tumour,LumiNAl,MT,Stage 2,ribosomal RNA,GSM4258859
SRR10868267,10491494,535066194,51,222,SRX7538289,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976953,SAMN13819107,simple,9606,Homo sapiens,GSM4258860,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_48 [VMT151],RMS_breast tumor,primary breast tumour,TNBC,WT,Stage 3,ribosomal RNA,GSM4258860
SRR10868268,9687350,494054850,51,213,SRX7538290,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976954,SAMN13819106,simple,9606,Homo sapiens,GSM4258861,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_49 [VMT152],RMS_breast tumor,primary breast tumour,TNBC,MT,Stage 3,ribosomal RNA,GSM4258861
SRR10868269,9620821,490661871,51,211,SRX7538291,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976955,SAMN13819105,simple,9606,Homo sapiens,GSM4258862,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_50 [VMT154],RMS_breast tumor,primary breast tumour,LumiNAl,WT,Stage 2,ribosomal RNA,GSM4258862
SRR10868270,7915137,403671987,51,173,SRX7538292,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976956,SAMN13819104,simple,9606,Homo sapiens,GSM4258863,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_51 [VMT155],RMS_breast tumor,primary breast tumour,TNBC,MT,Stage 3,ribosomal RNA,GSM4258863
SRR10868271,6571321,335137371,51,144,SRX7538293,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976957,SAMN13819103,simple,9606,Homo sapiens,GSM4258864,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_52 [VMT156],RMS_breast tumor,primary breast tumour,HER2,MT,Stage 3,ribosomal RNA,GSM4258864
SRR10868272,9606455,489929205,51,211,SRX7538294,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976958,SAMN13819102,simple,9606,Homo sapiens,GSM4258865,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_53 [VMT157],RMS_breast tumor,primary breast tumour,TNBC,MT,Stage 3,ribosomal RNA,GSM4258865
SRR10868273,9954467,507677817,51,219,SRX7538295,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976959,SAMN13819101,simple,9606,Homo sapiens,GSM4258866,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_54 [VMT158],RMS_breast tumor,primary breast tumour,LumiNAl,WT,Stage 2,ribosomal RNA,GSM4258866
SRR10868274,9098470,464021970,51,200,SRX7538296,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976960,SAMN13819100,simple,9606,Homo sapiens,GSM4258867,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_55 [VMT159],RMS_breast tumor,primary breast tumour,LumiNAl,WT,Stage 2,ribosomal RNA,GSM4258867
SRR10868275,9643778,491832678,51,211,SRX7538297,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976961,SAMN13819099,simple,9606,Homo sapiens,GSM4258868,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_56 [VMT160],RMS_breast tumor,primary breast tumour,HER2,MT,Stage 3,ribosomal RNA,GSM4258868
SRR10868276,10368449,528790899,51,227,SRX7538298,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976962,SAMN13819152,simple,9606,Homo sapiens,GSM4258869,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_57 [VMT161],RMS_breast tumor,primary breast tumour,LumiNAl,WT,Stage 2,ribosomal RNA,GSM4258869
SRR10868277,8610357,439128207,51,184,SRX7538299,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976963,SAMN13819151,simple,9606,Homo sapiens,GSM4258870,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_58 [VMT162],RMS_breast tumor,primary breast tumour,TNBC,MT,Stage 3,ribosomal RNA,GSM4258870
