Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,dev_stage,sex,tissue,biomaterial_provider,isolation_source,sample_type,cell_type,treatment,BioSampleModel,age
SRR11853170,53348721,2774133492,52,889,SRX8403290,Somata_Total_01,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715862,SAMN15014696,simple,10116,Rattus norvegicus,Somata_Total,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,adult,male,CA1 somata,E.M. Schuman,somata,Ribosome profiling,neuron,control,Model organism or animal,4 weeks
SRR11853169,104494475,5433712700,52,1720,SRX8403291,Hippocampal_Neurons_control_0s_04,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715855,SAMN15014698,simple,10116,Rattus norvegicus,Hippocampal_Neurons_control_0s,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,DIV 21,pooled male and female,hippocampus,E.M. Schuman,hippocampus,Ribosome profiling,neuron,control,Model organism or animal,
SRR11853168,67046052,3486394704,52,1077,SRX8403292,Somata_Total_02,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715862,SAMN15014696,simple,10116,Rattus norvegicus,Somata_Total,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,adult,male,CA1 somata,E.M. Schuman,somata,Ribosome profiling,neuron,control,Model organism or animal,4 weeks
SRR11853167,55167511,2868710572,52,886,SRX8403293,Somata_Total_03,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715862,SAMN15014696,simple,10116,Rattus norvegicus,Somata_Total,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,adult,male,CA1 somata,E.M. Schuman,somata,Ribosome profiling,neuron,control,Model organism or animal,4 weeks
SRR11853166,40234412,3057815312,76,1072,SRX8403294,Somata_RNA_01,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715863,SAMN15014697,simple,10116,Rattus norvegicus,Somata_RNA,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",total RNA-seq,CD (Sprague Dawley) IGS Rat,adult,male,CA1 somata,E.M. Schuman,somata,total RNA-seq,neuron,control,Model organism or animal,4 weeks
SRR11853165,59427409,4516483084,76,1664,SRX8403295,Somata_RNA_02,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715863,SAMN15014697,simple,10116,Rattus norvegicus,Somata_RNA,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",total RNA-seq,CD (Sprague Dawley) IGS Rat,adult,male,CA1 somata,E.M. Schuman,somata,total RNA-seq,neuron,control,Model organism or animal,4 weeks
SRR11853164,64248628,4882895728,76,1805,SRX8403296,Somata_RNA_03,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715863,SAMN15014697,simple,10116,Rattus norvegicus,Somata_RNA,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",total RNA-seq,CD (Sprague Dawley) IGS Rat,adult,male,CA1 somata,E.M. Schuman,somata,total RNA-seq,neuron,control,Model organism or animal,4 weeks
SRR11853163,68751515,3575078780,52,1080,SRX8403297,Hippocampal_Neurons_control_0s_05,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715855,SAMN15014698,simple,10116,Rattus norvegicus,Hippocampal_Neurons_control_0s,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,DIV 21,pooled male and female,hippocampus,E.M. Schuman,hippocampus,Ribosome profiling,neuron,control,Model organism or animal,
SRR11853162,85301766,4435691832,52,1378,SRX8403298,Hippocampal_Neurons_control_0s_06,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715855,SAMN15014698,simple,10116,Rattus norvegicus,Hippocampal_Neurons_control_0s,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,DIV 21,pooled male and female,hippocampus,E.M. Schuman,hippocampus,Ribosome profiling,neuron,control,Model organism or animal,
SRR11853161,92508719,4810453388,52,1471,SRX8403299,Hippocampal_Neurons_harringtonine_15s_01,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715864,SAMN15014699,simple,10116,Rattus norvegicus,Hippocampal_Neurons_harringtonine_15s,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,DIV 21,pooled male and female,hippocampus,E.M. Schuman,hippocampus,Ribosome profiling,neuron,harringtonine_15s,Model organism or animal,
SRR11853160,106722915,5549591580,52,1787,SRX8403300,Hippocampal_Neurons_harringtonine_15s_02,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715864,SAMN15014699,simple,10116,Rattus norvegicus,Hippocampal_Neurons_harringtonine_15s,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,DIV 21,pooled male and female,hippocampus,E.M. Schuman,hippocampus,Ribosome profiling,neuron,harringtonine_15s,Model organism or animal,
SRR11853159,61769691,3212023932,52,965,SRX8403301,Hippocampal_Neurons_harringtonine_15s_03,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715864,SAMN15014699,simple,10116,Rattus norvegicus,Hippocampal_Neurons_harringtonine_15s,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,DIV 21,pooled male and female,hippocampus,E.M. Schuman,hippocampus,Ribosome profiling,neuron,harringtonine_15s,Model organism or animal,
SRR11853158,75930779,3948400508,52,1221,SRX8403302,Hippocampal_Neurons_harringtonine_30s_01,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715856,SAMN15014700,simple,10116,Rattus norvegicus,Hippocampal_Neurons_harringtonine_30s,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,DIV 21,pooled male and female,hippocampus,E.M. Schuman,hippocampus,Ribosome profiling,neuron,harringtonine_30s,Model organism or animal,
