Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,sample_name,antibody,biological_replicate,dev_stage,genetic_modification,genotype,strain,tissue,treatment,time
DRR207314,34479417,2758353360,80,1224,DRX197707,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214800,SAMD00202713,simple,10090,Mus musculus,SAMD00202713,RIKEN_BDR,DRA009567,12,2021,Makar,"",H3K27me3-ChIP_from_E14_Hes1+_neural_stem_cells_rep2,171003_E14_H3K27me3D,Anti-trimethlHistone_(Lys27)_(C36B11)_rabbit_mAb_#9733Cell_signaling_technology,2,E14,Yes,Hes1-d2-EGFPTg/+,ICR,Brain,,
DRR207315,18419591,1473567280,80,634,DRX197708,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214801,SAMD00202714,simple,10090,Mus musculus,SAMD00202714,RIKEN_BDR,DRA009567,12,2021,Makar,"",H3K4me3-ChIP_from_E11_Hes1+_neural_stem_cells_rep2,E11_H3K4me3,Anti-trimethlHistone_H3_(Lys4)_mouse_monoclone_MABI0304_clone_ref_307-34813_MAB_Institute,2,E11,Yes,Hes1-d2-EGFPTg/+,ICR,Brain,,
DRR207316,35052224,2804177920,80,1170,DRX197709,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214802,SAMD00202715,simple,10090,Mus musculus,SAMD00202715,RIKEN_BDR,DRA009567,12,2021,Makar,"",H3K27me3-ChIP_from_E11_Hes1+_neural_stem_cells_rep2,E11_H3K27me3,Anti-trimethlHistone_(Lys27)_(C36B11)_rabbit_mAb_#9733Cell_signaling_technology,2,E11,Yes,Hes1-d2-EGFPTg/+,ICR,Brain,,
DRR207317,18419591,1473567280,80,634,DRX197710,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214803,SAMD00202716,simple,10090,Mus musculus,SAMD00202716,RIKEN_BDR,DRA009567,12,2021,Makar,"",H3K4me3-ChIP_from_E12_Hes1+_neural_stem_cells_rep2,E12_H3K4me3,Anti-trimethlHistone_H3_(Lys4)_mouse_monoclone_MABI0304_clone_ref_307-34813_MAB_Institute,2,E12,Yes,Hes1-d2-EGFPTg/+,ICR,Brain,,
DRR207318,20100710,1608056800,80,658,DRX197711,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214804,SAMD00202717,simple,10090,Mus musculus,SAMD00202717,RIKEN_BDR,DRA009567,12,2021,Makar,"",H3K4me3-ChIP_from_E12_Hes1+_neural_stem_cells_rep3,E12_H3K4me3D,Anti-trimethlHistone_H3_(Lys4)_mouse_monoclone_MABI0304_clone_ref_307-34813_MAB_Institute,3,E12,Yes,Hes1-d2-EGFPTg/+,ICR,Brain,,
DRR207319,36244051,2899524080,80,1204,DRX197712,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214805,SAMD00202718,simple,10090,Mus musculus,SAMD00202718,RIKEN_BDR,DRA009567,12,2021,Makar,"",H3K27me3-ChIP_from_E12_Hes1+_neural_stem_cells_rep2,E12_H3K27me3,Anti-trimethlHistone_(Lys27)_(C36B11)_rabbit_mAb_#9733Cell_signaling_technology,2,E12,Yes,Hes1-d2-EGFPTg/+,ICR,Brain,,
DRR207320,17734785,1418782800,80,600,DRX197713,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214806,SAMD00202719,simple,10090,Mus musculus,SAMD00202719,RIKEN_BDR,DRA009567,12,2021,Makar,"",ChIP_Input_from_E12_Hes1+_neural_stem_cells_rep2,E12.5_Input,Null,2,E12.5,Yes,Hes1-d2-EGFPTg/+,ICR,Brain,,
DRR207321,18791096,1503287680,80,620,DRX197714,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214807,SAMD00202720,simple,10090,Mus musculus,SAMD00202720,RIKEN_BDR,DRA009567,12,2021,Makar,"",H3K4me3-ChIP_from_E14_Hes1+_neural_stem_cells_rep2,E14_H3K4me3,Anti-trimethlHistone_H3_(Lys4)_mouse_monoclone_MABI0304_clone_ref_307-34813_MAB_Institute,2,E14,Yes,Hes1-d2-EGFPTg/+,ICR,Brain,,
DRR207322,36941157,2955292560,80,1226,DRX197715,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214808,SAMD00202721,simple,10090,Mus musculus,SAMD00202721,RIKEN_BDR,DRA009567,12,2021,Makar,"",H3K27me3-ChIP_from_E14_Hes1+_neural_stem_cells_rep3,E14_H3K27me3,Anti-trimethlHistone_(Lys27)_(C36B11)_rabbit_mAb_#9733Cell_signaling_technology,3,E14,Yes,Hes1-d2-EGFPTg/+,ICR,Brain,,
DRR207323,17868294,1429463520,80,582,DRX197716,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214809,SAMD00202722,simple,10090,Mus musculus,SAMD00202722,RIKEN_BDR,DRA009567,12,2021,Makar,"",ChIP_Input_from_E14_Hes1+_neural_stem_cells_rep2,E14_Input,Null,2,E14,Yes,Hes1-d2-EGFPTg/+,ICR,Brain,,
DRR207324,39562189,3164975120,80,1437,DRX197717,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214810,SAMD00202723,simple,10090,Mus musculus,SAMD00202723,RIKEN_BDR,DRA009567,12,2021,Makar,"",H3K27me3-ChIP_from_E14_Fbl+/+_dorsal_brain_rep1,181102_E14_Con7_H3K27me3,Anti-trimethlHistone_(Lys27)_(C36B11)_rabbit_mAb_#9733Cell_signaling_technology,1,E14,Yes,Fbl+/+P53-/-EmxCre+/-,C57BL/6,Brain,,
DRR207325,48510354,3880828320,80,1784,DRX197718,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214811,SAMD00202724,simple,10090,Mus musculus,SAMD00202724,RIKEN_BDR,DRA009567,12,2021,Makar,"",H3K27me3-ChIP_from_E14Fbl-/+_dorsal_brain_rep1,181107_E14_Het9_H3K27me3,Anti-trimethlHistone_(Lys27)_(C36B11)_rabbit_mAb_#9733Cell_signaling_technology,1,E14,Yes,FblFlox/+ P53-/-Emx1Cre+/-,C57BL/6,Brain,,
DRR207326,46061816,3684945280,80,1657,DRX197719,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214812,SAMD00202725,simple,10090,Mus musculus,SAMD00202725,RIKEN_BDR,DRA009567,12,2021,Makar,"",ChIP_Input_from_E14Fbl-/+_dorsal_brain_rep1,181107_E14_Het_Input,Null,1,E14,Yes,FblFlox/+ P53-/-Emx1Cre+/-,C57BL/6,Brain,,
DRR207327,37957247,3036579760,80,1379,DRX197720,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214813,SAMD00202726,simple,10090,Mus musculus,SAMD00202726,RIKEN_BDR,DRA009567,12,2021,Makar,"",H3K4me3-ChIP_from_E14Fbl-/+_dorsal brain_rep1,181109_E14_Het9_H3K4me3,Anti-trimethlHistone_H3_(Lys4)_mouse_monoclone_MABI0304_clone_ref_307-34813_MAB_Institute,1,E14,Yes,FblFlox/+ P53-/-Emx1Cre+/-,C57BL/6,Brain,,
DRR207328,20530512,1642440960,80,694,DRX197721,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214814,SAMD00202727,simple,10090,Mus musculus,SAMD00202727,RIKEN_BDR,DRA009567,12,2021,Makar,"",H3K27me3-ChIP_from_E14_Fbl+/+_dorsal_brain_rep2,190209_E14_Con11_H3K27me3,Anti-trimethlHistone_(Lys27)_(C36B11)_rabbit_mAb_#9733Cell_signaling_technology,2,E14,Yes,FblFlox/+P53-/-,C57BL/6,Brain,,
DRR207329,20898669,1671893520,80,702,DRX197722,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214815,SAMD00202728,simple,10090,Mus musculus,SAMD00202728,RIKEN_BDR,DRA009567,12,2021,Makar,"",ChIP_Input_from_E14_Fbl+/+_dorsal_brain_rep1,190209_E14_Con11_Input,Null,1,E14,Yes,FblFlox/+P53-/-,C57BL/6,Brain,,
DRR207330,43130786,3450462880,80,1452,DRX197723,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214816,SAMD00202729,simple,10090,Mus musculus,SAMD00202729,RIKEN_BDR,DRA009567,12,2021,Makar,"",H3K27me3-ChIP from_from_E14_Fbl+/+_dorsal_brain_rep3,190209_E14_Con12_H3K27me3,Anti-trimethlHistone_(Lys27)_(C36B11)_rabbit_mAb_#9733Cell_signaling_technology,3,E14,Yes,FblFlox/FloxP53-/-,C57BL/6,Brain,,
DRR207331,20414285,1633142800,80,684,DRX197724,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214817,SAMD00202730,simple,10090,Mus musculus,SAMD00202730,RIKEN_BDR,DRA009567,12,2021,Makar,"",ChIP_Input_from_E14_Fbl+/+_dorsal_brain_rep2,190209_E14_Con12_Input,Null,2,E14,Yes,FblFlox/FloxP53-/-,C57BL/6,Brain,,
DRR207332,41371283,3309702640,80,1400,DRX197725,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214818,SAMD00202731,simple,10090,Mus musculus,SAMD00202731,RIKEN_BDR,DRA009567,12,2021,Makar,"",H3K27me3-ChIP_from_E14Fbl/Trp53_DKO_dorsal_brain_rep1,190209_E14_DKO1_H3K27me3,Anti-trimethlHistone_(Lys27)_(C36B11)_rabbit_mAb_#9733Cell_signaling_technology,2,E14,Yes,FblFlox/FloxP53-/-Emx1Cre+/-,C57BL/6,Brain,,
DRR207333,18598370,1487869600,80,623,DRX197726,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214819,SAMD00202732,simple,10090,Mus musculus,SAMD00202732,RIKEN_BDR,DRA009567,12,2021,Makar,"",ChIP_Input from_E14Fbl/Trp53_DKO_dorsal_brain_rep1,190209_E14_DKO1_Input,Null,1,E14,Yes,FblFlox/FloxP53-/-Emx1Cre+/-,C57BL/6,Brain,,
DRR207334,45136008,3610880640,80,1520,DRX197727,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214820,SAMD00202733,simple,10090,Mus musculus,SAMD00202733,RIKEN_BDR,DRA009567,12,2021,Makar,"",H3K27me3-ChIP_from_E14Fbl/Trp53_DKO_dorsal_brain_rep2,190209_E14_DKO3_H3K27me3,Anti-trimethlHistone_(Lys27)_(C36B11)_rabbit_mAb_#9733Cell_signaling_technology,2,E14,Yes,FblFlox/FloxP53-/-Emx1Cre+/-,C57BL/6,Brain,,
DRR207335,19041378,1523310240,80,637,DRX197728,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214821,SAMD00202734,simple,10090,Mus musculus,SAMD00202734,RIKEN_BDR,DRA009567,12,2021,Makar,"",ChIP_Input_from_E14Fbl/Trp53_DKO_dorsal_brain_rep2,190209_E14_DKO3_Input,Null,2,E14,Yes,FblFlox/FloxP53-/-Emx1Cre+/-,C57BL/6,Brain,,
DRR207336,45147918,3611833440,80,1520,DRX197729,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214822,SAMD00202735,simple,10090,Mus musculus,SAMD00202735,RIKEN_BDR,DRA009567,12,2021,Makar,"",H3K27me3-ChIP_from_E14Fbl-/+_dorsal brain_rep2,190209_E14_Het9_H3K27me3,Anti-trimethlHistone_(Lys27)_(C36B11)_rabbit_mAb_#9733Cell_signaling_technology,2,E14,Yes,FblFlox/+P53-/-Emx1Cre+/-,C57BL/6,Brain,,
DRR207337,20489465,1639157200,80,687,DRX197730,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214823,SAMD00202736,simple,10090,Mus musculus,SAMD00202736,RIKEN_BDR,DRA009567,12,2021,Makar,"",ChIP_Input_from_E14Fbl-/+_dorsal brain_rep2,190209_E14_Het9_Input,Null,2,E14,Yes,FblFlox/+P53-/-Emx1Cre+/-,C57BL/6,Brain,,
DRR207338,19702826,1576226080,80,670,DRX197731,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214824,SAMD00202737,simple,10090,Mus musculus,SAMD00202737,RIKEN_BDR,DRA009567,12,2021,Makar,"",H3K4me3-ChIP_from_E14_Fbl+/+_dorsal_brain_rep1,190215_E14_Con11_H3K4me3,Anti-trimethlHistone_H3_(Lys4)_mouse_monoclone_MABI0304_clone_ref_307-34813_MAB_Institute,1,E14,Yes,FblFlox/+P53-/-,C57BL/6,Brain,,
DRR207339,20791105,1663288400,80,704,DRX197732,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214825,SAMD00202738,simple,10090,Mus musculus,SAMD00202738,RIKEN_BDR,DRA009567,12,2021,Makar,"",H3K4me3-ChIP_from_E14_Fbl+/+_dorsal_brain_rep2,190215_E14_Con12_H3K4me3,Anti-trimethlHistone_H3_(Lys4)_mouse_monoclone_MABI0304_clone_ref_307-34813_MAB_Institute,2,E14,Yes,FblFlox/FloxP53-/-,C57BL/6,Brain,,
DRR207340,22604809,1808384720,80,766,DRX197733,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214826,SAMD00202739,simple,10090,Mus musculus,SAMD00202739,RIKEN_BDR,DRA009567,12,2021,Makar,"",H3K4me3-ChIP_from_E14Fbl/Trp53_DKO_dorsal_brain_rep1,190215_E14_DKO1_H3K4me3,Anti-trimethlHistone_H3_(Lys4)_mouse_monoclone_MABI0304_clone_ref_307-34813_MAB_Institute,1,E14,Yes,FblFlox/FloxP53-/-Emx1Cre+/-,C57BL/6,Brain,,
DRR207341,21264571,1701165680,80,726,DRX197734,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214827,SAMD00202740,simple,10090,Mus musculus,SAMD00202740,RIKEN_BDR,DRA009567,12,2021,Makar,"",H3K4me3-ChIP_from_E14Fbl/Trp53_DKO_dorsal_brain_rep2,190215_E14_DKO3_H3K4me3,Anti-trimethlHistone_H3_(Lys4)_mouse_monoclone_MABI0304_clone_ref_307-34813_MAB_Institute,2,E14,Yes,FblFlox/FloxP53-/-Emx1Cre+/-,C57BL/6,Brain,,
DRR207342,19870776,1589662080,80,678,DRX197735,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214828,SAMD00202741,simple,10090,Mus musculus,SAMD00202741,RIKEN_BDR,DRA009567,12,2021,Makar,"",H3K4me3-ChIP_from_E14Fbl-/+_dorsal brain_rep2,190215_E14_Het9_H3K4me3,Anti-trimethlHistone_H3_(Lys4)_mouse_monoclone_MABI0304_clone_ref_307-34813_MAB_Institute,2,E14,Yes,FblFlox/+P53-/-Emx1Cre+/-,C57BL/6,Brain,,
DRR207359,15261986,1220958880,80,490,DRX197752,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214726,SAMD00203106,simple,10090,Mus musculus,SAMD00203106,RIKEN_BDR,DRA009569,12,2021,Makar,"",RNA_seq_cells_from_E14Con_doral_brains_rep1,E14_Con1_RNA_seq,Null,1,E14,YES,FblFlox/FloxP53-/-,C57BL/6,Brain,NULL,
DRR207360,16207639,1296611120,80,524,DRX197753,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214727,SAMD00203107,simple,10090,Mus musculus,SAMD00203107,RIKEN_BDR,DRA009569,12,2021,Makar,"",RNA_seq_cells_from_E14Con_doral_brains_rep2,E14_Con2_RNA_seq,Null,2,E14,YES,FblFlox/FloxP53-/-,C57BL/6,Brain,NULL,
DRR207361,15479562,1238364960,80,497,DRX197754,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214728,SAMD00203108,simple,10090,Mus musculus,SAMD00203108,RIKEN_BDR,DRA009569,12,2021,Makar,"",RNA_seq_cells_from_E14DKO_doral_brains_rep1,E14_DKO1_RNA_seq,Null,1,E14,YES,FblFlox/FloxP53-/-Emx1Cre+/-,C57BL/6,Brain,NULL,
DRR207362,12980649,1038451920,80,420,DRX197755,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214729,SAMD00203109,simple,10090,Mus musculus,SAMD00203109,RIKEN_BDR,DRA009569,12,2021,Makar,"",RNA_seq_cells_from_E14DKO_doral_brains_rep2,E14_DKO2_RNA_seq,Null,2,E14,YES,FblFlox/FloxP53-/-Emx1Cre+/-,C57BL/6,Brain,NULL,
DRR207363,15361775,1228942000,80,494,DRX197756,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214730,SAMD00203110,simple,10090,Mus musculus,SAMD00203110,RIKEN_BDR,DRA009569,12,2021,Makar,"",RNA_seq_cells_from_E14Het_doral_brains_rep1,E14_Het1_RNA_seq,Null,1,E14,YES,FblFlox/+P53+/-Emx1Cre+/-,C57BL/6,Brain,NULL,
DRR207364,15704131,1256330480,80,504,DRX197757,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214731,SAMD00203111,simple,10090,Mus musculus,SAMD00203111,RIKEN_BDR,DRA009569,12,2021,Makar,"",RNA_seq_cells_from_E14Het_doral_brains_rep2,E14_Het2_RNA_seq,Null,2,E14,YES,FblFlox/+P53-/-Emx1Cre+/-,C57BL/6,Brain,NULL,
DRR207365,74215635,5937250800,80,2730,DRX197758,,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214732,SAMD00203112,simple,10090,Mus musculus,SAMD00203112,RIKEN_BDR,DRA009569,12,2021,Makar,"",Ribo_seq_cells_from_E14DKO_doral_brains_rep1,190707_E14DKO_RP,Null,1,E14,YES,DKO_FblFlox/FloxP53-/-Emx1Cre+/-_Het_FblFlox/+P53+/-Emx1Cre+/-_,C57BL/6,Brain,NULL,
DRR213630,48661172,4768794856,98,1524,DRX203971,,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214735,SAMD00206574,simple,10090,Mus musculus,SAMD00206574,RIKEN_BDR,DRA009729,12,2021,Makar,"",single-cell-RNA_seq_cells_from_E11_dorsal_brain,possorted_genome_bam_E11_WT_new.bam,Null,,E11,NO,Wildtype,ICR,Brain,NULL,
DRR213631,74251018,7276599764,98,2321,DRX203972,,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214736,SAMD00206575,simple,10090,Mus musculus,SAMD00206575,RIKEN_BDR,DRA009729,12,2021,Makar,"",single-cell-RNA_seq_cells_from_E13_dorsal_brain,E13_WT_possorted_genome_bam.bam,Null,,E13,NO,Wildtype,ICR,Brain,NULL,
