Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,cell type,fraction,geo_loc_name,collection_date,chip antibody
SRR23363969,118413515,5920675750,50,2446,SRX19304997,GSM7031903,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP421393,PRJNA932446,37439347,"",SRS16704652,SAMN33193313,simple,4932,Saccharomyces cerevisiae,GSM7031903,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1721819,09,2023,Vijjamarri,Whole cells,RNA_ WT_Replicate_2,Whole cells,"W303 F2147 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100)",yeast cells,RNA,missing,missing,
SRR23363968,115182760,5759138000,50,2433,SRX19304998,GSM7031904,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP421393,PRJNA932446,37439347,"",SRS16704651,SAMN33193312,simple,4932,Saccharomyces cerevisiae,GSM7031904,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1721819,09,2023,Vijjamarri,Whole cells,RNA_ WT_Replicate_3,Whole cells,"W303 F2147 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100)",yeast cells,RNA,missing,missing,
SRR23363967,23019106,1738108897,75,711,SRX19304999,GSM7031905,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP421393,PRJNA932446,37439347,"",SRS16704653,SAMN33193311,simple,4932,Saccharomyces cerevisiae,GSM7031905,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1721819,09,2023,Vijjamarri,Whole cells,CAGE_pat1D_Replicate_1,Whole cells,"W303 F2181 (MATa ura3-1 trp1-1 ade2-1 leu2-3,112 his3-11,15 {delta}pat1::HIS3)",yeast cells,capped RNA,missing,missing,
SRR23363966,25408548,1918369589,75,785,SRX19305000,GSM7031906,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP421393,PRJNA932446,37439347,"",SRS16704654,SAMN33193310,simple,4932,Saccharomyces cerevisiae,GSM7031906,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1721819,09,2023,Vijjamarri,Whole cells,CAGE_pat1D_Replicate_2,Whole cells,"W303 F2181 (MATa ura3-1 trp1-1 ade2-1 leu2-3,112 his3-11,15 {delta}pat1::HIS3)",yeast cells,capped RNA,missing,missing,
SRR23363965,20613259,1556216539,75,636,SRX19305001,GSM7031907,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP421393,PRJNA932446,37439347,"",SRS16704655,SAMN33193309,simple,4932,Saccharomyces cerevisiae,GSM7031907,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1721819,09,2023,Vijjamarri,Whole cells,CAGE_dhh1D_Replicate_1,Whole cells,"W303 F2181 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100 dhh1-del::KanMX4)",yeast cells,capped RNA,missing,missing,
SRR23363964,19826899,1496926205,75,616,SRX19305002,GSM7031908,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP421393,PRJNA932446,37439347,"",SRS16704656,SAMN33193308,simple,4932,Saccharomyces cerevisiae,GSM7031908,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1721819,09,2023,Vijjamarri,Whole cells,CAGE_dhh1D_Replicate_2,Whole cells,"W303 F2181 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100 dhh1-del::KanMX4)",yeast cells,capped RNA,missing,missing,
SRR23363963,100833283,10083328300,50,2901,SRX19305003,GSM7031909,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421393,PRJNA932446,37439347,"",SRS16704657,SAMN33193307,simple,4932,Saccharomyces cerevisiae,GSM7031909,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1721819,09,2023,Vijjamarri,Whole cells,T_RNA_pat1D_Replicate_1,Whole cells,"W303 F2181 (MATa ura3-1 trp1-1 ade2-1 leu2-3,112 his3-11,15 {delta}pat1::HIS3)",yeast cells,total RNA,missing,missing,
SRR23363962,80204046,8020404600,50,2309,SRX19305004,GSM7031910,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421393,PRJNA932446,37439347,"",SRS16704658,SAMN33193306,simple,4932,Saccharomyces cerevisiae,GSM7031910,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1721819,09,2023,Vijjamarri,Whole cells,T_RNA_pat1D_Replicate_2,Whole cells,"W303 F2181 (MATa ura3-1 trp1-1 ade2-1 leu2-3,112 his3-11,15 {delta}pat1::HIS3)",yeast cells,total RNA,missing,missing,
SRR23363961,82564576,8256457600,50,2422,SRX19305005,GSM7031911,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421393,PRJNA932446,37439347,"",SRS16704659,SAMN33193305,simple,4932,Saccharomyces cerevisiae,GSM7031911,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1721819,09,2023,Vijjamarri,Whole cells,T_RNA_dhh1D_Replicate_1,Whole cells,"W303 F2181 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100 dhh1-del::KanMX4)",yeast cells,total RNA,missing,missing,
SRR23363960,93538356,9353835600,50,2784,SRX19305006,GSM7031912,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421393,PRJNA932446,37439347,"",SRS16704660,SAMN33193304,simple,4932,Saccharomyces cerevisiae,GSM7031912,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1721819,09,2023,Vijjamarri,Whole cells,T_RNA_dhh1D_Replicate_2,Whole cells,"W303 F2181 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100 dhh1-del::KanMX4)",yeast cells,total RNA,missing,missing,
SRR23363959,27702323,2770232300,50,875,SRX19305007,GSM7031913,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421393,PRJNA932446,37439347,"",SRS16704661,SAMN33193303,simple,4932,Saccharomyces cerevisiae,GSM7031913,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1721819,09,2023,Vijjamarri,Whole cells,Rpb1ChIP_pat1D_Replicate_1,Whole cells,"W303 F2181 (MATa ura3-1 trp1-1 ade2-1 leu2-3,112 his3-11,15 {delta}pat1::HIS3)",yeast cells,DNA,missing,missing,Rpb1
SRR23363958,24164644,2416464400,50,769,SRX19305008,GSM7031914,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421393,PRJNA932446,37439347,"",SRS16704662,SAMN33193302,simple,4932,Saccharomyces cerevisiae,GSM7031914,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1721819,09,2023,Vijjamarri,Whole cells,Rpb1ChIP_pat1D_Replicate_2,Whole cells,"W303 F2181 (MATa ura3-1 trp1-1 ade2-1 leu2-3,112 his3-11,15 {delta}pat1::HIS3)",yeast cells,DNA,missing,missing,Rpb1
SRR23363957,65351533,6535153300,50,2075,SRX19305009,GSM7031915,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421393,PRJNA932446,37439347,"",SRS16704663,SAMN33193301,simple,4932,Saccharomyces cerevisiae,GSM7031915,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1721819,09,2023,Vijjamarri,Whole cells,Rpb1ChIP_pat1D_Replicate_3,Whole cells,"W303 F2181 (MATa ura3-1 trp1-1 ade2-1 leu2-3,112 his3-11,15 {delta}pat1::HIS3)",yeast cells,DNA,missing,missing,Rpb1
SRR23363956,23184296,2318429600,50,726,SRX19305010,GSM7031916,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421393,PRJNA932446,37439347,"",SRS16704664,SAMN33193300,simple,4932,Saccharomyces cerevisiae,GSM7031916,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1721819,09,2023,Vijjamarri,Whole cells,Rpb1ChIP_dhh1D_Replicate_1,Whole cells,"W303 F2181 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100 dhh1-del::KanMX4)",yeast cells,DNA,missing,missing,Rpb1
SRR23363955,53021705,5302170500,50,1671,SRX19305011,GSM7031917,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421393,PRJNA932446,37439347,"",SRS16704665,SAMN33193299,simple,4932,Saccharomyces cerevisiae,GSM7031917,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1721819,09,2023,Vijjamarri,Whole cells,Rpb1ChIP_dhh1D_Replicate_2,Whole cells,"W303 F2181 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100 dhh1-del::KanMX4)",yeast cells,DNA,missing,missing,Rpb1
SRR23363954,22915706,2291570600,50,717,SRX19305012,GSM7031918,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421393,PRJNA932446,37439347,"",SRS16704666,SAMN33193298,simple,4932,Saccharomyces cerevisiae,GSM7031918,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1721819,09,2023,Vijjamarri,Whole cells,Rpb1ChIP_dhh1D_Replicate_3,Whole cells,"W303 F2181 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100 dhh1-del::KanMX4)",yeast cells,DNA,missing,missing,Rpb1
