Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,photoactivatable ribonucleoside analog and crosslinking wavelength,antibody,strandedness,molecule subtype,spike-in,dsrna/rnai,GEO Accession
SRR6661168,21299009,1618724684,76,550,SRX3638264,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP131957,PRJNA432508,30967537,"",SRS2904514,SAMN08451051,simple,7227,Drosophila melanogaster,GSM2975541,GEO,SRA654642,03,2020,Wessels,S2 cell ribosomal footprinting mock-treated,S2 cell ribosomal footprinting mock-treated replicate 3,S2 cell ribosomal footprinting mock-treated,Schneider2 (S2) cells,,,"stranded ++,-",Ribosome-protected fragments,,,GSM2975541
SRR6661169,12576811,955837636,76,313,SRX3638265,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP131957,PRJNA432508,30967537,"",SRS2904515,SAMN08451050,simple,7227,Drosophila melanogaster,GSM2975542,GEO,SRA654642,03,2020,Wessels,S2 cell ribosomal footprinting GFP-dsRNA-treated,S2 cell ribosomal footprinting GFP-dsRNA-treated replicate 1,S2 cell ribosomal footprinting GFP-dsRNA-treated,Schneider2 (S2) cells,,,"stranded ++,-",Ribosome-protected fragments,,dsRNA GFP (5µg/ml),GSM2975542
SRR6661170,24410857,1855225132,76,605,SRX3638266,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP131957,PRJNA432508,30967537,"",SRS2904516,SAMN08451049,simple,7227,Drosophila melanogaster,GSM2975543,GEO,SRA654642,03,2020,Wessels,S2 cell ribosomal footprinting GFP-dsRNA-treated,S2 cell ribosomal footprinting GFP-dsRNA-treated replicate 2,S2 cell ribosomal footprinting GFP-dsRNA-treated,Schneider2 (S2) cells,,,"stranded ++,-",Ribosome-protected fragments,,dsRNA GFP (5µg/ml),GSM2975543
SRR6661171,20611439,1566469364,76,514,SRX3638267,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP131957,PRJNA432508,30967537,"",SRS2904517,SAMN08451048,simple,7227,Drosophila melanogaster,GSM2975544,GEO,SRA654642,03,2020,Wessels,S2 cell ribosomal footprinting GFP-dsRNA-treated,S2 cell ribosomal footprinting GFP-dsRNA-treated replicate 3,S2 cell ribosomal footprinting GFP-dsRNA-treated,Schneider2 (S2) cells,,,"stranded ++,-",Ribosome-protected fragments,,dsRNA GFP (5µg/ml),GSM2975544
SRR6661172,22204739,1687560164,76,571,SRX3638268,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP131957,PRJNA432508,30967537,"",SRS2904524,SAMN08451047,simple,7227,Drosophila melanogaster,GSM2975545,GEO,SRA654642,03,2020,Wessels,S2 cell ribosomal footprinting AGO1-dsRNA-treated low concentration,S2 cell ribosomal footprinting AGO1-dsRNA-treated low concentration replicate 1,S2 cell ribosomal footprinting AGO1-dsRNA-treated low concentration,Schneider2 (S2) cells,,,"stranded ++,-",Ribosome-protected fragments,,dsRNA AGO1 (1.25µg/ml),GSM2975545
SRR6661173,28917391,2197721716,76,721,SRX3638269,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP131957,PRJNA432508,30967537,"",SRS2904519,SAMN08451046,simple,7227,Drosophila melanogaster,GSM2975546,GEO,SRA654642,03,2020,Wessels,S2 cell ribosomal footprinting AGO1-dsRNA-treated low concentration,S2 cell ribosomal footprinting AGO1-dsRNA-treated low concentration replicate 2,S2 cell ribosomal footprinting AGO1-dsRNA-treated low concentration,Schneider2 (S2) cells,,,"stranded ++,-",Ribosome-protected fragments,,dsRNA AGO1 (1.25µg/ml),GSM2975546
SRR6661174,21232536,1613672736,76,529,SRX3638270,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP131957,PRJNA432508,30967537,"",SRS2904520,SAMN08451045,simple,7227,Drosophila melanogaster,GSM2975547,GEO,SRA654642,03,2020,Wessels,S2 cell ribosomal footprinting AGO1-dsRNA-treated low concentration,S2 cell ribosomal footprinting AGO1-dsRNA-treated low concentration replicate 3,S2 cell ribosomal footprinting AGO1-dsRNA-treated low concentration,Schneider2 (S2) cells,,,"stranded ++,-",Ribosome-protected fragments,,dsRNA AGO1 (1.25µg/ml),GSM2975547
SRR6661175,76711023,5830037748,76,1920,SRX3638271,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP131957,PRJNA432508,30967537,"",SRS2904521,SAMN08451044,simple,7227,Drosophila melanogaster,GSM2975548,GEO,SRA654642,03,2020,Wessels,S2 cell ribosomal footprinting AGO1-dsRNA-treated,S2 cell ribosomal footprinting AGO1-dsRNA-treated replicate 1,S2 cell ribosomal footprinting AGO1-dsRNA-treated,Schneider2 (S2) cells,,,"stranded ++,-",Ribosome-protected fragments,,dsRNA AGO1 (5µg/ml),GSM2975548
SRR6661176,16011260,1216855760,76,399,SRX3638272,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP131957,PRJNA432508,30967537,"",SRS2904522,SAMN08451043,simple,7227,Drosophila melanogaster,GSM2975549,GEO,SRA654642,03,2020,Wessels,S2 cell ribosomal footprinting AGO1-dsRNA-treated,S2 cell ribosomal footprinting AGO1-dsRNA-treated replicate 2,S2 cell ribosomal footprinting AGO1-dsRNA-treated,Schneider2 (S2) cells,,,"stranded ++,-",Ribosome-protected fragments,,dsRNA AGO1 (5µg/ml),GSM2975549
SRR6661177,13226527,1005216052,76,335,SRX3638273,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP131957,PRJNA432508,30967537,"",SRS2904523,SAMN08451042,simple,7227,Drosophila melanogaster,GSM2975550,GEO,SRA654642,03,2020,Wessels,S2 cell ribosomal footprinting AGO1-dsRNA-treated,S2 cell ribosomal footprinting AGO1-dsRNA-treated replicate 3,S2 cell ribosomal footprinting AGO1-dsRNA-treated,Schneider2 (S2) cells,,,"stranded ++,-",Ribosome-protected fragments,,dsRNA AGO1 (5µg/ml),GSM2975550
SRR6661178,38346610,2914342360,76,1102,SRX3638274,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP131957,PRJNA432508,30967537,"",SRS2904525,SAMN08451041,simple,7227,Drosophila melanogaster,GSM2975551,GEO,SRA654642,03,2020,Wessels,S2 cell stranded rRNA-depleted RNA-seq mock-treated,S2 cell stranded rRNA-depleted RNA-seq mock-treated replicate 1,S2 cell stranded rRNA-depleted RNA-seq mock-treated,Schneider2 (S2) cells,,,"stranded +-,-+",rRNA-depleted total RNA,ERCC spike-in mix 1,,GSM2975551
SRR6661179,37769520,2870483520,76,1094,SRX3638275,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP131957,PRJNA432508,30967537,"",SRS2904526,SAMN08450736,simple,7227,Drosophila melanogaster,GSM2975552,GEO,SRA654642,03,2020,Wessels,S2 cell stranded rRNA-depleted RNA-seq mock-treated,S2 cell stranded rRNA-depleted RNA-seq mock-treated replicate 2,S2 cell stranded rRNA-depleted RNA-seq mock-treated,Schneider2 (S2) cells,,,"stranded +-,-+",rRNA-depleted total RNA,ERCC spike-in mix 1,,GSM2975552
SRR6661180,33833514,2571347064,76,981,SRX3638276,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP131957,PRJNA432508,30967537,"",SRS2904527,SAMN08450735,simple,7227,Drosophila melanogaster,GSM2975553,GEO,SRA654642,03,2020,Wessels,S2 cell stranded rRNA-depleted RNA-seq mock-treated,S2 cell stranded rRNA-depleted RNA-seq mock-treated replicate 3,S2 cell stranded rRNA-depleted RNA-seq mock-treated,Schneider2 (S2) cells,,,"stranded +-,-+",rRNA-depleted total RNA,ERCC spike-in mix 1,,GSM2975553
SRR6661181,38793425,2948300300,76,1147,SRX3638277,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP131957,PRJNA432508,30967537,"",SRS2904528,SAMN08450734,simple,7227,Drosophila melanogaster,GSM2975554,GEO,SRA654642,03,2020,Wessels,S2 cell stranded rRNA-depleted RNA-seq GFP-dsRNA-treated,S2 cell stranded rRNA-depleted RNA-seq GFP-dsRNA-treated replicate 1,S2 cell stranded rRNA-depleted RNA-seq GFP-dsRNA-treated,Schneider2 (S2) cells,,,"stranded +-,-+",rRNA-depleted total RNA,ERCC spike-in mix 1,dsRNA GFP (5µg/ml),GSM2975554
SRR6661182,39363368,2991615968,76,1129,SRX3638278,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP131957,PRJNA432508,30967537,"",SRS2904530,SAMN08450733,simple,7227,Drosophila melanogaster,GSM2975555,GEO,SRA654642,03,2020,Wessels,S2 cell stranded rRNA-depleted RNA-seq GFP-dsRNA-treated,S2 cell stranded rRNA-depleted RNA-seq GFP-dsRNA-treated replicate 2,S2 cell stranded rRNA-depleted RNA-seq GFP-dsRNA-treated,Schneider2 (S2) cells,,,"stranded +-,-+",rRNA-depleted total RNA,ERCC spike-in mix 1,dsRNA GFP (5µg/ml),GSM2975555
SRR6661183,34464829,2619327004,76,1004,SRX3638279,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP131957,PRJNA432508,30967537,"",SRS2904529,SAMN08450732,simple,7227,Drosophila melanogaster,GSM2975556,GEO,SRA654642,03,2020,Wessels,S2 cell stranded rRNA-depleted RNA-seq GFP-dsRNA-treated,S2 cell stranded rRNA-depleted RNA-seq GFP-dsRNA-treated replicate 3,S2 cell stranded rRNA-depleted RNA-seq GFP-dsRNA-treated,Schneider2 (S2) cells,,,"stranded +-,-+",rRNA-depleted total RNA,ERCC spike-in mix 1,dsRNA GFP (5µg/ml),GSM2975556
SRR6661184,32116443,2440849668,76,925,SRX3638280,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP131957,PRJNA432508,30967537,"",SRS2904531,SAMN08450731,simple,7227,Drosophila melanogaster,GSM2975557,GEO,SRA654642,03,2020,Wessels,S2 cell stranded rRNA-depleted RNA-seq AGO1-dsRNA-treated low concentration,S2 cell stranded rRNA-depleted RNA-seq AGO1-dsRNA-treated low concentration replicate 1,S2 cell stranded rRNA-depleted RNA-seq AGO1-dsRNA-treated low concentration,Schneider2 (S2) cells,,,"stranded +-,-+",rRNA-depleted total RNA,ERCC spike-in mix 2,dsRNA AGO1 (1.25µg/ml),GSM2975557
SRR6661185,37046816,2815558016,76,1058,SRX3638281,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP131957,PRJNA432508,30967537,"",SRS2904533,SAMN08450730,simple,7227,Drosophila melanogaster,GSM2975558,GEO,SRA654642,03,2020,Wessels,S2 cell stranded rRNA-depleted RNA-seq AGO1-dsRNA-treated low concentration,S2 cell stranded rRNA-depleted RNA-seq AGO1-dsRNA-treated low concentration replicate 2,S2 cell stranded rRNA-depleted RNA-seq AGO1-dsRNA-treated low concentration,Schneider2 (S2) cells,,,"stranded +-,-+",rRNA-depleted total RNA,ERCC spike-in mix 2,dsRNA AGO1 (1.25µg/ml),GSM2975558
SRR6661186,34166027,2596618052,76,989,SRX3638282,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP131957,PRJNA432508,30967537,"",SRS2904532,SAMN08450729,simple,7227,Drosophila melanogaster,GSM2975559,GEO,SRA654642,03,2020,Wessels,S2 cell stranded rRNA-depleted RNA-seq AGO1-dsRNA-treated low concentration,S2 cell stranded rRNA-depleted RNA-seq AGO1-dsRNA-treated low concentration replicate 3,S2 cell stranded rRNA-depleted RNA-seq AGO1-dsRNA-treated low concentration,Schneider2 (S2) cells,,,"stranded +-,-+",rRNA-depleted total RNA,ERCC spike-in mix 2,dsRNA AGO1 (1.25µg/ml),GSM2975559
SRR6661187,35989726,2735219176,76,1039,SRX3638283,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP131957,PRJNA432508,30967537,"",SRS2904534,SAMN08450728,simple,7227,Drosophila melanogaster,GSM2975560,GEO,SRA654642,03,2020,Wessels,S2 cell stranded rRNA-depleted RNA-seq AGO1-dsRNA-treated,S2 cell stranded rRNA-depleted RNA-seq AGO1-dsRNA-treated replicate 2,S2 cell stranded rRNA-depleted RNA-seq AGO1-dsRNA-treated,Schneider2 (S2) cells,,,"stranded +-,-+",rRNA-depleted total RNA,ERCC spike-in mix 2,dsRNA AGO1 (5µg/ml),GSM2975560
SRR6661188,35765063,2718144788,76,1030,SRX3638284,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP131957,PRJNA432508,30967537,"",SRS2904535,SAMN08450727,simple,7227,Drosophila melanogaster,GSM2975561,GEO,SRA654642,03,2020,Wessels,S2 cell stranded rRNA-depleted RNA-seq AGO1-dsRNA-treated,S2 cell stranded rRNA-depleted RNA-seq AGO1-dsRNA-treated replicate 3,S2 cell stranded rRNA-depleted RNA-seq AGO1-dsRNA-treated,Schneider2 (S2) cells,,,"stranded +-,-+",rRNA-depleted total RNA,ERCC spike-in mix 2,dsRNA AGO1 (5µg/ml),GSM2975561
