Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,clip antibody,treatment,molecule subtype,GEO Accession
SRR14327734,15439433,2269596651,147,935,SRX10682609,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP316437,PRJNA725264,35654044,"",SRS8775764,SAMN18875521,simple,10090,Mus musculus,GSM5266661,GEO,SRA1224048,06,2022,Liu,4T1,Ncl-CLIP_Scr-LNA_2,4T1,4T1,breast cancer cells,Nucleolin,transfected with Scr-LNA,crosslinked RNA,GSM5266661
SRR14327735,15374000,2259978000,147,934,SRX10682610,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP316437,PRJNA725264,35654044,"",SRS8775765,SAMN18875520,simple,10090,Mus musculus,GSM5266662,GEO,SRA1224048,06,2022,Liu,4T1,Ncl-CLIP_5-Cys-LNA_1,4T1,4T1,breast cancer cells,Nucleolin,transfected with 5-Cys-LNA1,crosslinked RNA,GSM5266662
SRR14327736,17191814,2527196658,147,1045,SRX10682611,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP316437,PRJNA725264,35654044,"",SRS8775766,SAMN18875519,simple,10090,Mus musculus,GSM5266663,GEO,SRA1224048,06,2022,Liu,4T1,Ncl-CLIP_5-Cys-LNA_2,4T1,4T1,breast cancer cells,Nucleolin,transfected with 5-Cys-LNA1,crosslinked RNA,GSM5266663
SRR14327737,5433241,548757341,101,246,SRX10682612,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316437,PRJNA725264,35654044,"",SRS8775767,SAMN18875518,simple,10090,Mus musculus,GSM5266664,GEO,SRA1224048,06,2022,Liu,67NR,sRNA-Seq_67NR_1,67NR,67NR,breast cancer cells,NA,NA,total RNA,GSM5266664
SRR14327738,6087832,614871032,101,271,SRX10682613,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316437,PRJNA725264,35654044,"",SRS8775768,SAMN18875517,simple,10090,Mus musculus,GSM5266665,GEO,SRA1224048,06,2022,Liu,67NR,sRNA-Seq_67NR_2,67NR,67NR,breast cancer cells,NA,NA,total RNA,GSM5266665
SRR14327739,6269375,633206875,101,281,SRX10682614,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316437,PRJNA725264,35654044,"",SRS8775769,SAMN18875516,simple,10090,Mus musculus,GSM5266666,GEO,SRA1224048,06,2022,Liu,67NR,sRNA-Seq_67NR_3,67NR,67NR,breast cancer cells,NA,NA,total RNA,GSM5266666
SRR14327740,4316834,436000234,101,195,SRX10682615,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316437,PRJNA725264,35654044,"",SRS8775770,SAMN18875515,simple,10090,Mus musculus,GSM5266667,GEO,SRA1224048,06,2022,Liu,67NR,sRNA-Seq_67NR_4,67NR,67NR,breast cancer cells,NA,NA,total RNA,GSM5266667
SRR14327741,4119775,416097275,101,186,SRX10682616,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316437,PRJNA725264,35654044,"",SRS8775771,SAMN18875514,simple,10090,Mus musculus,GSM5266668,GEO,SRA1224048,06,2022,Liu,4TO7,sRNA-Seq_4TO7_1,4TO7,4TO7,breast cancer cells,NA,NA,total RNA,GSM5266668
SRR14327742,5231394,528370794,101,234,SRX10682617,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316437,PRJNA725264,35654044,"",SRS8775772,SAMN18875513,simple,10090,Mus musculus,GSM5266669,GEO,SRA1224048,06,2022,Liu,4TO7,sRNA-Seq_4TO7_2,4TO7,4TO7,breast cancer cells,NA,NA,total RNA,GSM5266669
SRR14327743,4448051,449253151,101,200,SRX10682618,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316437,PRJNA725264,35654044,"",SRS8775773,SAMN18875512,simple,10090,Mus musculus,GSM5266670,GEO,SRA1224048,06,2022,Liu,4TO7,sRNA-Seq_4TO7_3,4TO7,4TO7,breast cancer cells,NA,NA,total RNA,GSM5266670
SRR14327744,3905762,394481962,101,177,SRX10682619,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316437,PRJNA725264,35654044,"",SRS8775774,SAMN18875511,simple,10090,Mus musculus,GSM5266671,GEO,SRA1224048,06,2022,Liu,4TO7,sRNA-Seq_4TO7_4,4TO7,4TO7,breast cancer cells,NA,NA,total RNA,GSM5266671
SRR14327745,5482477,553730177,101,249,SRX10682620,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316437,PRJNA725264,35654044,"",SRS8775775,SAMN18875510,simple,10090,Mus musculus,GSM5266672,GEO,SRA1224048,06,2022,Liu,4T1,sRNA-Seq_4T1_1,4T1,4T1,breast cancer cells,NA,NA,total RNA,GSM5266672
SRR14327746,4518914,456410314,101,205,SRX10682621,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316437,PRJNA725264,35654044,"",SRS8775776,SAMN18875509,simple,10090,Mus musculus,GSM5266673,GEO,SRA1224048,06,2022,Liu,4T1,sRNA-Seq_4T1_2,4T1,4T1,breast cancer cells,NA,NA,total RNA,GSM5266673
SRR14327747,5266370,531903370,101,240,SRX10682622,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316437,PRJNA725264,35654044,"",SRS8775777,SAMN18875508,simple,10090,Mus musculus,GSM5266674,GEO,SRA1224048,06,2022,Liu,4T1,sRNA-Seq_4T1_3,4T1,4T1,breast cancer cells,NA,NA,total RNA,GSM5266674
SRR14327748,5701146,575815746,101,257,SRX10682623,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316437,PRJNA725264,35654044,"",SRS8775778,SAMN18875507,simple,10090,Mus musculus,GSM5266675,GEO,SRA1224048,06,2022,Liu,4T1,sRNA-Seq_4T1_4,4T1,4T1,breast cancer cells,NA,NA,total RNA,GSM5266675
