Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,pairing type,social condition,timepoint
SRR17335405,8987185,683026060,76,261,SRX13510738,GSM5754167,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404979,SAMN24439538,simple,79684,Microtus ochrogaster,GSM5754167,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2911,Nucleus accumbens,same-sex,Separated,48 hours
SRR17335406,8963777,681247052,76,259,SRX13510738,GSM5754167,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404979,SAMN24439538,simple,79684,Microtus ochrogaster,GSM5754167,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2911,Nucleus accumbens,same-sex,Separated,48 hours
SRR17335401,4499678,341975528,76,131,SRX13510739,GSM5754168,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404980,SAMN24439537,simple,79684,Microtus ochrogaster,GSM5754168,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2919,Nucleus accumbens,opposite-sex,Paired,48 hours
SRR17335402,8261116,627844816,76,240,SRX13510739,GSM5754168,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404980,SAMN24439537,simple,79684,Microtus ochrogaster,GSM5754168,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2919,Nucleus accumbens,opposite-sex,Paired,48 hours
SRR17335403,8250579,627044004,76,239,SRX13510739,GSM5754168,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404980,SAMN24439537,simple,79684,Microtus ochrogaster,GSM5754168,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2919,Nucleus accumbens,opposite-sex,Paired,48 hours
SRR17335398,4561635,346684260,76,133,SRX13510740,GSM5754169,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404981,SAMN24439536,simple,79684,Microtus ochrogaster,GSM5754169,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2920,Nucleus accumbens,opposite-sex,Paired,48 hours
SRR17335399,7622442,579305592,76,222,SRX13510740,GSM5754169,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404981,SAMN24439536,simple,79684,Microtus ochrogaster,GSM5754169,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2920,Nucleus accumbens,opposite-sex,Separated,4 weeks
SRR17335400,7617521,578931596,76,221,SRX13510740,GSM5754169,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404981,SAMN24439536,simple,79684,Microtus ochrogaster,GSM5754169,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2920,Nucleus accumbens,opposite-sex,Separated,4 weeks
SRR17335395,4822362,366499512,76,142,SRX13510741,GSM5754170,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404982,SAMN24439535,simple,79684,Microtus ochrogaster,GSM5754170,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2723,Nucleus accumbens,opposite-sex,Separated,4 weeks
SRR17335396,6933037,526910812,76,203,SRX13510741,GSM5754170,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404982,SAMN24439535,simple,79684,Microtus ochrogaster,GSM5754170,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2723,Nucleus accumbens,opposite-sex,Separated,4 weeks
SRR17335397,6909916,525153616,76,202,SRX13510741,GSM5754170,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404982,SAMN24439535,simple,79684,Microtus ochrogaster,GSM5754170,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2723,Nucleus accumbens,opposite-sex,Separated,4 weeks
SRR17335392,5568973,423241948,76,163,SRX13510742,GSM5754171,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404983,SAMN24439534,simple,79684,Microtus ochrogaster,GSM5754171,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2750,Nucleus accumbens,opposite-sex,Paired,48 hours
SRR17335393,6964648,529313248,76,203,SRX13510742,GSM5754171,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404983,SAMN24439534,simple,79684,Microtus ochrogaster,GSM5754171,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2750,Nucleus accumbens,opposite-sex,Paired,48 hours
SRR17335394,6964756,529321456,76,202,SRX13510742,GSM5754171,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404983,SAMN24439534,simple,79684,Microtus ochrogaster,GSM5754171,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2750,Nucleus accumbens,opposite-sex,Separated,48 hours
SRR17335389,6202800,471412800,76,184,SRX13510743,GSM5754172,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404984,SAMN24439533,simple,79684,Microtus ochrogaster,GSM5754172,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2780,Nucleus accumbens,opposite-sex,Separated,48 hours
SRR17335390,6544823,497406548,76,194,SRX13510743,GSM5754172,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404984,SAMN24439533,simple,79684,Microtus ochrogaster,GSM5754172,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2780,Nucleus accumbens,opposite-sex,Separated,48 hours
SRR17335391,6532600,496477600,76,193,SRX13510743,GSM5754172,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404984,SAMN24439533,simple,79684,Microtus ochrogaster,GSM5754172,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2780,Nucleus accumbens,opposite-sex,Separated,48 hours
SRR17335386,4827930,366922680,76,141,SRX13510744,GSM5754173,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404985,SAMN24439532,simple,79684,Microtus ochrogaster,GSM5754173,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2921,Nucleus accumbens,opposite-sex,Separated,48 hours
SRR17335387,7939787,603423812,76,231,SRX13510744,GSM5754173,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404985,SAMN24439532,simple,79684,Microtus ochrogaster,GSM5754173,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2921,Nucleus accumbens,opposite-sex,Separated,48 hours
SRR17335388,7933183,602921908,76,230,SRX13510744,GSM5754173,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404985,SAMN24439532,simple,79684,Microtus ochrogaster,GSM5754173,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2921,Nucleus accumbens,same-sex,Paired,4 weeks
SRR17335383,6537591,496856916,76,195,SRX13510745,GSM5754174,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404986,SAMN24439531,simple,79684,Microtus ochrogaster,GSM5754174,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2939,Nucleus accumbens,same-sex,Paired,4 weeks
SRR17335384,6152252,467571152,76,183,SRX13510745,GSM5754174,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404986,SAMN24439531,simple,79684,Microtus ochrogaster,GSM5754174,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2939,Nucleus accumbens,same-sex,Paired,4 weeks
SRR17335385,6128431,465760756,76,182,SRX13510745,GSM5754174,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404986,SAMN24439531,simple,79684,Microtus ochrogaster,GSM5754174,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2939,Nucleus accumbens,same-sex,Paired,4 weeks
SRR17335380,5891297,447738572,76,173,SRX13510746,GSM5754175,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404987,SAMN24439530,simple,79684,Microtus ochrogaster,GSM5754175,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2945,Nucleus accumbens,same-sex,Paired,4 weeks
SRR17335381,6284270,477604520,76,184,SRX13510746,GSM5754175,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404987,SAMN24439530,simple,79684,Microtus ochrogaster,GSM5754175,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2945,Nucleus accumbens,same-sex,Separated,4 weeks
SRR17335382,6270987,476595012,76,183,SRX13510746,GSM5754175,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404987,SAMN24439530,simple,79684,Microtus ochrogaster,GSM5754175,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2945,Nucleus accumbens,same-sex,Separated,4 weeks
SRR17335377,6362073,483517548,76,185,SRX13510747,GSM5754176,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404988,SAMN24439529,simple,79684,Microtus ochrogaster,GSM5754176,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2728,Nucleus accumbens,same-sex,Separated,4 weeks
SRR17335378,5540883,421107108,76,161,SRX13510747,GSM5754176,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404988,SAMN24439529,simple,79684,Microtus ochrogaster,GSM5754176,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2728,Nucleus accumbens,opposite-sex,Separated,4 weeks
SRR17335379,5537363,420839588,76,160,SRX13510747,GSM5754176,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404988,SAMN24439529,simple,79684,Microtus ochrogaster,GSM5754176,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2728,Nucleus accumbens,same-sex,Separated,4 weeks
SRR17335374,4508241,342626316,76,132,SRX13510748,GSM5754177,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404989,SAMN24439528,simple,79684,Microtus ochrogaster,GSM5754177,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2736,Nucleus accumbens,same-sex,Separated,4 weeks
SRR17335375,8063184,612801984,76,235,SRX13510748,GSM5754177,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404989,SAMN24439528,simple,79684,Microtus ochrogaster,GSM5754177,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2736,Nucleus accumbens,same-sex,Separated,4 weeks
SRR17335376,8045511,611458836,76,233,SRX13510748,GSM5754177,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404989,SAMN24439528,simple,79684,Microtus ochrogaster,GSM5754177,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2736,Nucleus accumbens,same-sex,Separated,4 weeks
SRR17335371,5460317,414984092,76,160,SRX13510749,GSM5754178,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404990,SAMN24439527,simple,79684,Microtus ochrogaster,GSM5754178,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2737,Nucleus accumbens,same-sex,Separated,4 weeks
SRR17335372,6689062,508368712,76,195,SRX13510749,GSM5754178,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404990,SAMN24439527,simple,79684,Microtus ochrogaster,GSM5754178,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2737,Nucleus accumbens,opposite-sex,Paired,4 weeks
SRR17335373,6678592,507572992,76,194,SRX13510749,GSM5754178,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404990,SAMN24439527,simple,79684,Microtus ochrogaster,GSM5754178,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2737,Nucleus accumbens,opposite-sex,Paired,4 weeks
SRR17335368,4813034,365790584,76,142,SRX13510750,GSM5754179,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404991,SAMN24439526,simple,79684,Microtus ochrogaster,GSM5754179,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2758,Nucleus accumbens,opposite-sex,Paired,4 weeks
SRR17335369,7622962,579345112,76,224,SRX13510750,GSM5754179,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404991,SAMN24439526,simple,79684,Microtus ochrogaster,GSM5754179,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2758,Nucleus accumbens,opposite-sex,Paired,4 weeks
SRR17335370,7599621,577571196,76,222,SRX13510750,GSM5754179,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404991,SAMN24439526,simple,79684,Microtus ochrogaster,GSM5754179,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2758,Nucleus accumbens,opposite-sex,Paired,4 weeks
SRR17335365,7960474,604996024,76,235,SRX13510751,GSM5754228,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404992,SAMN24439477,simple,79684,Microtus ochrogaster,GSM5754228,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2617P,Nucleus accumbens,opposite-sex,Paired,4 weeks
SRR17335366,5338355,405714980,76,157,SRX13510751,GSM5754228,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404992,SAMN24439477,simple,79684,Microtus ochrogaster,GSM5754228,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2617P,Nucleus accumbens,opposite-sex,Paired,4 weeks
SRR17335367,5330955,405152580,76,156,SRX13510751,GSM5754228,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404992,SAMN24439477,simple,79684,Microtus ochrogaster,GSM5754228,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2617P,Nucleus accumbens,opposite-sex,Paired,4 weeks
SRR17335362,4257095,323539220,76,128,SRX13510752,GSM5754229,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404993,SAMN24439476,simple,79684,Microtus ochrogaster,GSM5754229,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2639P,Nucleus accumbens,opposite-sex,Paired,4 weeks
SRR17335363,6849191,520538516,76,205,SRX13510752,GSM5754229,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404993,SAMN24439476,simple,79684,Microtus ochrogaster,GSM5754229,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2639P,Nucleus accumbens,opposite-sex,Separated,4 weeks
SRR17335364,6789486,516000936,76,202,SRX13510752,GSM5754229,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404993,SAMN24439476,simple,79684,Microtus ochrogaster,GSM5754229,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2639P,Nucleus accumbens,same-sex,Separated,4 weeks
SRR17335359,9941968,755589568,76,295,SRX13510753,GSM5754230,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404994,SAMN24439475,simple,79684,Microtus ochrogaster,GSM5754230,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2658P,Nucleus accumbens,same-sex,Separated,4 weeks
SRR17335360,6754061,513308636,76,200,SRX13510753,GSM5754230,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404994,SAMN24439475,simple,79684,Microtus ochrogaster,GSM5754230,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2658P,Nucleus accumbens,opposite-sex,Paired,4 weeks
SRR17335361,6758526,513647976,76,199,SRX13510753,GSM5754230,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404994,SAMN24439475,simple,79684,Microtus ochrogaster,GSM5754230,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2658P,Nucleus accumbens,opposite-sex,Paired,4 weeks
SRR17335356,10122314,769295864,76,300,SRX13510754,GSM5754231,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404995,SAMN24439474,simple,79684,Microtus ochrogaster,GSM5754231,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2659P,Nucleus accumbens,opposite-sex,Paired,4 weeks
SRR17335357,4441214,337532264,76,132,SRX13510754,GSM5754231,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404995,SAMN24439474,simple,79684,Microtus ochrogaster,GSM5754231,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2659P,Nucleus accumbens,opposite-sex,Paired,4 weeks
