Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,reporter,genotype,footprint library type,GEO Accession
SRR17017178,33787408,3378740800,100,928,SRX13207274,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP347428,PRJNA782905,35894211,"",SRS11133377,SAMN23407572,simple,4932,Saccharomyces cerevisiae,GSM5701060,GEO,SRA1333717,08,2022,Veltri,wt_non_mono_r3,wt_non_mono_r3,wt_non_mono_r3,minNONOPT,wild type,monosome,GSM5701060
SRR17017179,59468710,3032904210,51,1148,SRX13207275,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP347428,PRJNA782905,35894211,"",SRS11133378,SAMN23407573,simple,4932,Saccharomyces cerevisiae,GSM5701061,GEO,SRA1333717,08,2022,Veltri,wt_cga_mono_r1,wt_cga_mono_r1,wt_cga_mono_r1,minCGA,wild type,monosome,GSM5701061
SRR17017180,65076289,6507628900,100,1850,SRX13207276,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP347428,PRJNA782905,35894211,"",SRS11133379,SAMN23407574,simple,4932,Saccharomyces cerevisiae,GSM5701062,GEO,SRA1333717,08,2022,Veltri,wt_cga_mono_r2,wt_cga_mono_r2,wt_cga_mono_r2,minCGA,wild type,monosome,GSM5701062
SRR17017181,40865693,4086569300,100,1082,SRX13207277,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP347428,PRJNA782905,35894211,"",SRS11133380,SAMN23407575,simple,4932,Saccharomyces cerevisiae,GSM5701063,GEO,SRA1333717,08,2022,Veltri,wt_cga_mono_r3,wt_cga_mono_r3,wt_cga_mono_r3,minCGA,wild type,monosome,GSM5701063
SRR17017182,68503262,6850326200,100,1979,SRX13207278,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP347428,PRJNA782905,35894211,"",SRS11133381,SAMN23407576,simple,4932,Saccharomyces cerevisiae,GSM5701064,GEO,SRA1333717,08,2022,Veltri,hel2_cga_mono_r1,hel2_cga_mono_r1,hel2_cga_mono_r1,minCGA,hel2delta,monosome,GSM5701064
SRR17017183,64047723,6404772300,100,1821,SRX13207279,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP347428,PRJNA782905,35894211,"",SRS11133382,SAMN23407577,simple,4932,Saccharomyces cerevisiae,GSM5701065,GEO,SRA1333717,08,2022,Veltri,hel2_cga_mono_r2,hel2_cga_mono_r2,hel2_cga_mono_r2,minCGA,hel2delta,monosome,GSM5701065
SRR17017184,33059335,3305933500,100,885,SRX13207280,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP347428,PRJNA782905,35894211,"",SRS11133383,SAMN23407578,simple,4932,Saccharomyces cerevisiae,GSM5701066,GEO,SRA1333717,08,2022,Veltri,hel2_cga_mono_r3,hel2_cga_mono_r3,hel2_cga_mono_r3,minCGA,hel2delta,monosome,GSM5701066
SRR17017185,30882525,3088252500,100,821,SRX13207281,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP347428,PRJNA782905,35894211,"",SRS11133384,SAMN23407579,simple,4932,Saccharomyces cerevisiae,GSM5701067,GEO,SRA1333717,08,2022,Veltri,syh1_cga_mono_r1,syh1_cga_mono_r1,syh1_cga_mono_r1,minCGA,syh1delta,monosome,GSM5701067
SRR17017186,30336044,3033604400,100,816,SRX13207282,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP347428,PRJNA782905,35894211,"",SRS11133385,SAMN23407580,simple,4932,Saccharomyces cerevisiae,GSM5701068,GEO,SRA1333717,08,2022,Veltri,syh1_cga_mono_r2,syh1_cga_mono_r2,syh1_cga_mono_r2,minCGA,syh1delta,monosome,GSM5701068
SRR17017187,60081177,6008117700,100,1587,SRX13207283,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP347428,PRJNA782905,35894211,"",SRS11133386,SAMN23407581,simple,4932,Saccharomyces cerevisiae,GSM5701069,GEO,SRA1333717,08,2022,Veltri,syh1_cga_mono_r3,syh1_cga_mono_r3,syh1_cga_mono_r3,minCGA,syh1delta,monosome,GSM5701069
SRR17017188,64909808,6490980800,100,1793,SRX13207284,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP347428,PRJNA782905,35894211,"",SRS11133387,SAMN23407582,simple,4932,Saccharomyces cerevisiae,GSM5701070,GEO,SRA1333717,08,2022,Veltri,wt_opt_di_r1,wt_opt_di_r1,wt_opt_di_r1,minOPT,wild type,disome,GSM5701070
SRR17017189,40506452,4050645200,100,1164,SRX13207285,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP347428,PRJNA782905,35894211,"",SRS11133388,SAMN23407583,simple,4932,Saccharomyces cerevisiae,GSM5701071,GEO,SRA1333717,08,2022,Veltri,wt_opt_di_r2,wt_opt_di_r2,wt_opt_di_r2,minOPT,wild type,disome,GSM5701071
