Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,age,genotype,tissue,GEO Accession
SRR11218264,37398786,1907338086,51,703,SRX7830458,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS6241107,SAMN14266676,simple,10090,Mus musculus,GSM4371515,GEO,SRA538456,03,2020,Wang,E15.5_Lung_mRNA,E15.5_Lung_mRNA_rep1,E15.5_Lung_mRNA,C57BL/6,Embryonic day 15.5,wild type,Lung,GSM4371515
SRR11218265,40888859,2085331809,51,761,SRX7830459,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS6241108,SAMN14266675,simple,10090,Mus musculus,GSM4371517,GEO,SRA538456,03,2020,Wang,E15.5_Lung_mRNA,E15.5_Lung_mRNA_rep2,E15.5_Lung_mRNA,C57BL/6,Embryonic day 15.5,wild type,Lung,GSM4371517
SRR11218266,52201373,2662270023,51,1010,SRX7830460,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS6241109,SAMN14266674,simple,10090,Mus musculus,GSM4371520,GEO,SRA538456,03,2020,Wang,E15.5_Retina_mRNA,E15.5_Retina_mRNA_rep1,E15.5_Retina_mRNA,C57BL/6,Embryonic day 15.5,wild type,Retina,GSM4371520
SRR11218267,51265484,2614539684,51,993,SRX7830461,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS6241110,SAMN14266673,simple,10090,Mus musculus,GSM4371522,GEO,SRA538456,03,2020,Wang,E15.5_Retina_mRNA,E15.5_Retina_mRNA_rep2,E15.5_Retina_mRNA,C57BL/6,Embryonic day 15.5,wild type,Retina,GSM4371522
SRR11218268,99155934,4957796700,50,1377,SRX7830462,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS6241111,SAMN14266672,simple,10090,Mus musculus,GSM4371524,GEO,SRA538456,03,2020,Wang,E15.5_Brain_Ribo,E15.5_Brain_Ribo_rep1,E15.5_Brain_Ribo,C57BL/6,Embryonic day 15.5,wild type,Brain,GSM4371524
SRR11218269,111754485,5699478735,51,2271,SRX7830463,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS6241112,SAMN14266704,simple,10090,Mus musculus,GSM4371527,GEO,SRA538456,03,2020,Wang,E15.5_Brain_Ribo,E15.5_Brain_Ribo_rep2,E15.5_Brain_Ribo,C57BL/6,Embryonic day 15.5,wild type,Brain,GSM4371527
SRR11218270,128552577,6556181427,51,2611,SRX7830464,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS6241113,SAMN14266703,simple,10090,Mus musculus,GSM4371529,GEO,SRA538456,03,2020,Wang,E15.5_Heart_Ribo,E15.5_Heart_Ribo_rep1,E15.5_Heart_Ribo,C57BL/6,Embryonic day 15.5,wild type,Heart,GSM4371529
SRR11218271,127023651,6351182550,50,1702,SRX7830465,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS6241114,SAMN14266702,simple,10090,Mus musculus,GSM4371531,GEO,SRA538456,03,2020,Wang,E15.5_Heart_Ribo,E15.5_Heart_Ribo_rep2,E15.5_Heart_Ribo,C57BL/6,Embryonic day 15.5,wild type,Heart,GSM4371531
SRR11218274,104453099,5327108049,51,2101,SRX7830466,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS6241115,SAMN14266695,simple,10090,Mus musculus,GSM4371538,GEO,SRA538456,03,2020,Wang,E15.5_Liver_Ribo,E15.5_Liver_Ribo_rep1,E15.5_Liver_Ribo,C57BL/6,Embryonic day 15.5,wild type,Liver,GSM4371538
SRR11218275,109137992,5566037592,51,1867,SRX7830467,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS6241116,SAMN14266694,simple,10090,Mus musculus,GSM4371540,GEO,SRA538456,03,2020,Wang,E15.5_Liver_Ribo,E15.5_Liver_Ribo_rep2,E15.5_Liver_Ribo,C57BL/6,Embryonic day 15.5,wild type,Liver,GSM4371540
SRR11218276,120416195,6141225945,51,2433,SRX7830468,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS6241117,SAMN14266699,simple,10090,Mus musculus,GSM4371543,GEO,SRA538456,03,2020,Wang,E15.5_Lung_Ribo,E15.5_Lung_Ribo_rep1,E15.5_Lung_Ribo,C57BL/6,Embryonic day 15.5,wild type,Lung,GSM4371543
SRR11218277,137171431,6995742981,51,2344,SRX7830469,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS6241118,SAMN14266698,simple,10090,Mus musculus,GSM4371545,GEO,SRA538456,03,2020,Wang,E15.5_Lung_Ribo,E15.5_Lung_Ribo_rep2,E15.5_Lung_Ribo,C57BL/6,Embryonic day 15.5,wild type,Lung,GSM4371545
SRR11218278,105326761,5371664811,51,1802,SRX7830470,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS6241119,SAMN14266697,simple,10090,Mus musculus,GSM4371547,GEO,SRA538456,03,2020,Wang,E15.5_Retina_Ribo,E15.5_Retina_Ribo_rep1,E15.5_Retina_Ribo,C57BL/6,Embryonic day 15.5,wild type,Retina,GSM4371547
SRR11218279,117231120,5978787120,51,2372,SRX7830471,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS6241120,SAMN14266696,simple,10090,Mus musculus,GSM4371550,GEO,SRA538456,03,2020,Wang,E15.5_Retina_Ribo,E15.5_Retina_Ribo_rep2,E15.5_Retina_Ribo,C57BL/6,Embryonic day 15.5,wild type,Retina,GSM4371550
SRR5262868,41226403,2061320150,50,786,SRX2567279,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS1983655,SAMN06342318,simple,10090,Mus musculus,GSM2493727,GEO,SRA538456,10,2018,Wang,Brain,P42_Brain_mRNA_rep1,Brain,C57BL/6,postnatal days 42,wild type,Brain,GSM2493727
SRR5262869,49587664,2479383200,50,917,SRX2567280,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS1983653,SAMN06342317,simple,10090,Mus musculus,GSM2493728,GEO,SRA538456,10,2018,Wang,Brain,P42_Brain_mRNA_rep2,Brain,C57BL/6,postnatal days 42,wild type,Brain,GSM2493728
SRR5262870,73047661,3652383050,50,1210,SRX2567281,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS1983656,SAMN06342316,simple,10090,Mus musculus,GSM2493729,GEO,SRA538456,10,2018,Wang,Heart,P42_Heart_mRNA_rep1,Heart,C57BL/6,postnatal days 42,wild type,Heart,GSM2493729
SRR5262871,64454358,3222717900,50,1063,SRX2567282,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS1983654,SAMN06342315,simple,10090,Mus musculus,GSM2493730,GEO,SRA538456,10,2018,Wang,Heart,P42_Heart_mRNA_rep2,Heart,C57BL/6,postnatal days 42,wild type,Heart,GSM2493730
SRR5262872,55703054,2785152700,50,1037,SRX2567283,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS1983657,SAMN06342311,simple,10090,Mus musculus,GSM2493731,GEO,SRA538456,10,2018,Wang,Kidney,P42_Kidney_mRNA_rep1,Kidney,C57BL/6,postnatal days 42,wild type,Kidney,GSM2493731
SRR5262873,55534118,2776705900,50,1029,SRX2567284,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS1983658,SAMN06342312,simple,10090,Mus musculus,GSM2493732,GEO,SRA538456,10,2018,Wang,Kidney,P42_Kidney_mRNA_rep2,Kidney,C57BL/6,postnatal days 42,wild type,Kidney,GSM2493732
SRR5262874,53479421,2673971050,50,949,SRX2567285,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS1983659,SAMN06342313,simple,10090,Mus musculus,GSM2493733,GEO,SRA538456,10,2018,Wang,Liver,P42_Liver_mRNA_rep1,Liver,C57BL/6,postnatal days 42,wild type,Liver,GSM2493733
SRR5262875,60000470,3000023500,50,1078,SRX2567286,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS1983661,SAMN06342314,simple,10090,Mus musculus,GSM2493734,GEO,SRA538456,10,2018,Wang,Liver,P42_Liver_mRNA_rep2,Liver,C57BL/6,postnatal days 42,wild type,Liver,GSM2493734
SRR5262876,43216872,2160843600,50,779,SRX2567287,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS1983660,SAMN06342306,simple,10090,Mus musculus,GSM2493735,GEO,SRA538456,10,2018,Wang,Lung,P42_Lung_mRNA_rep1,Lung,C57BL/6,postnatal days 42,wild type,Lung,GSM2493735
SRR5262877,59709044,2985452200,50,1067,SRX2567288,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS1983662,SAMN06342308,simple,10090,Mus musculus,GSM2493736,GEO,SRA538456,10,2018,Wang,Lung,P42_Lung_mRNA_rep2,Lung,C57BL/6,postnatal days 42,wild type,Lung,GSM2493736
SRR5262878,74940076,3747003800,50,1407,SRX2567289,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS1983663,SAMN06342307,simple,10090,Mus musculus,GSM2493737,GEO,SRA538456,10,2018,Wang,Retina,P42_Retina_mRNA_rep1,Retina,C57BL/6,postnatal days 42,wild type,Retina,GSM2493737
SRR5262879,66914420,3345721000,50,1243,SRX2567290,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS1983665,SAMN06342309,simple,10090,Mus musculus,GSM2493738,GEO,SRA538456,10,2018,Wang,Retina,P42_Retina_mRNA_rep2,Retina,C57BL/6,postnatal days 42,wild type,Retina,GSM2493738
SRR5262884,91179251,4558962550,50,1686,SRX2567295,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS1983669,SAMN06342305,simple,10090,Mus musculus,GSM2493743,GEO,SRA538456,10,2018,Wang,Brain,P42_Brain_Ribo_rep1,Brain,C57BL/6,postnatal days 42,wild type,Brain,GSM2493743
SRR5262885,56957808,2847890400,50,801,SRX2567296,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS1983670,SAMN06342322,simple,10090,Mus musculus,GSM2493744,GEO,SRA538456,10,2018,Wang,Brain,P42_Brain_Ribo_rep2,Brain,C57BL/6,postnatal days 42,wild type,Brain,GSM2493744
SRR5262886,72029787,3601489350,50,1188,SRX2567297,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS1983671,SAMN06342323,simple,10090,Mus musculus,GSM2493745,GEO,SRA538456,10,2018,Wang,Heart,P42_Heart_Ribo_rep1,Heart,C57BL/6,postnatal days 42,wild type,Heart,GSM2493745
SRR5262887,82714832,4135741600,50,1374,SRX2567298,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS1983672,SAMN06342326,simple,10090,Mus musculus,GSM2493746,GEO,SRA538456,10,2018,Wang,Heart,P42_Heart_Ribo_rep2,Heart,C57BL/6,postnatal days 42,wild type,Heart,GSM2493746
SRR5262888,101519573,5075978650,50,1871,SRX2567299,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS1983673,SAMN06342325,simple,10090,Mus musculus,GSM2493747,GEO,SRA538456,10,2018,Wang,Kidney,P42_Kidney_Ribo_rep1,Kidney,C57BL/6,postnatal days 42,wild type,Kidney,GSM2493747
SRR5262889,105009484,5250474200,50,1942,SRX2567300,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS1983675,SAMN06342324,simple,10090,Mus musculus,GSM2493748,GEO,SRA538456,10,2018,Wang,Kidney,P42_Kidney_Ribo_rep2,Kidney,C57BL/6,postnatal days 42,wild type,Kidney,GSM2493748
SRR5262890,99685391,4984269550,50,1776,SRX2567301,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS1983674,SAMN06342330,simple,10090,Mus musculus,GSM2493749,GEO,SRA538456,10,2018,Wang,Liver,P42_Liver_Ribo_rep1,Liver,C57BL/6,postnatal days 42,wild type,Liver,GSM2493749
SRR5262891,105725466,5286273300,50,1872,SRX2567302,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS1983677,SAMN06342329,simple,10090,Mus musculus,GSM2493750,GEO,SRA538456,10,2018,Wang,Liver,P42_Liver_Ribo_rep2,Liver,C57BL/6,postnatal days 42,wild type,Liver,GSM2493750
SRR5262892,84490800,4224540000,50,1306,SRX2567303,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS1983676,SAMN06342328,simple,10090,Mus musculus,GSM2493751,GEO,SRA538456,10,2018,Wang,Lung,P42_Lung_Ribo_rep1,Lung,C57BL/6,postnatal days 42,wild type,Lung,GSM2493751
SRR5262893,190266869,9513343450,50,3397,SRX2567304,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS1983678,SAMN06342327,simple,10090,Mus musculus,GSM2493752,GEO,SRA538456,10,2018,Wang,Lung,P42_Lung_Ribo_rep2,Lung,C57BL/6,postnatal days 42,wild type,Lung,GSM2493752
SRR5262894,72862561,3643128050,50,1338,SRX2567305,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS1983679,SAMN06342332,simple,10090,Mus musculus,GSM2493753,GEO,SRA538456,10,2018,Wang,Retina,P42_Retina_Ribo_rep1,Retina,C57BL/6,postnatal days 42,wild type,Retina,GSM2493753
SRR5262895,53428814,2671440700,50,752,SRX2567306,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS1983680,SAMN06342333,simple,10090,Mus musculus,GSM2493754,GEO,SRA538456,10,2018,Wang,Retina,P42_Retina_Ribo_rep2,Retina,C57BL/6,postnatal days 42,wild type,Retina,GSM2493754
