Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,cultivar,age,geo_loc_name,tissue,biomaterial_provider,sample_type,treatment,BioSampleModel
SRR21942399,32595811,1071655866,32,1017,SRX17926250,Sample 16,OTHER,RANDOM,OTHER,SINGLE,0,0,BGISEQ,MGISEQ-2000RS,SRP403146,PRJNA891450,1,"",SRS15444089,SAMN31328152,simple,39947,Oryza sativa Japonica Group,Ribo-4h-mhz9-et-Ribo-replicate 2,Chinese Academy of Sciences,SRA1522356,07,2023,Makar,"","",Nipponbare,2-day,China,Total,A16,Dark-grown seedling,air or 10 μL/L of ethylene for 4 h,Plant
SRR21942398,32619594,1066315502,32,994,SRX17926251,Sample 15,OTHER,RANDOM,OTHER,SINGLE,0,0,BGISEQ,MGISEQ-2000RS,SRP403146,PRJNA891450,1,"",SRS15444088,SAMN31328151,simple,39947,Oryza sativa Japonica Group,Ribo-4h-mhz9-et-Ribo-replicate 1,Chinese Academy of Sciences,SRA1522356,07,2023,Makar,"","",Nipponbare,2-day,China,Total,A15,Dark-grown seedling,air or 10 μL/L of ethylene for 4 h,Plant
SRR21942397,32475749,1062057106,32,1055,SRX17926252,Sample 14,OTHER,RANDOM,OTHER,SINGLE,0,0,BGISEQ,MGISEQ-2000RS,SRP403146,PRJNA891450,1,"",SRS15444091,SAMN31328150,simple,39947,Oryza sativa Japonica Group,Ribo-4h-mhz9-air-Ribo-replicate 2,Chinese Academy of Sciences,SRA1522356,07,2023,Makar,"","",Nipponbare,2-day,China,Total,A14,Dark-grown seedling,air or 10 μL/L of ethylene for 4 h,Plant
SRR21942396,32546374,1072546587,32,1061,SRX17926253,Sample 13,OTHER,RANDOM,OTHER,SINGLE,0,0,BGISEQ,MGISEQ-2000RS,SRP403146,PRJNA891450,1,"",SRS15444090,SAMN31328149,simple,39947,Oryza sativa Japonica Group,Ribo-4h-mhz9-air-Ribo-replicate 1,Chinese Academy of Sciences,SRA1522356,07,2023,Makar,"","",Nipponbare,2-day,China,Total,A13,Dark-grown seedling,air or 10 μL/L of ethylene for 4 h,Plant
SRR21942395,32528873,1064687403,32,1064,SRX17926254,Sample 12,OTHER,RANDOM,OTHER,SINGLE,0,0,BGISEQ,MGISEQ-2000RS,SRP403146,PRJNA891450,1,"",SRS15444092,SAMN31328148,simple,39947,Oryza sativa Japonica Group,Ribo-4h-WT-et-Ribo-replicate 2,Chinese Academy of Sciences,SRA1522356,07,2023,Makar,"","",Nipponbare,2-day,China,Total,A12,Dark-grown seedling,air or 10 μL/L of ethylene for 4 h,Plant
SRR21942394,32585844,1070409059,32,1037,SRX17926255,Sample 10,OTHER,RANDOM,OTHER,SINGLE,0,0,BGISEQ,MGISEQ-2000RS,SRP403146,PRJNA891450,1,"",SRS15444093,SAMN31328146,simple,39947,Oryza sativa Japonica Group,Ribo-4h-WT-air-Ribo-replicate 2,Chinese Academy of Sciences,SRA1522356,07,2023,Makar,"","",Nipponbare,2-day,China,Total,A10,Dark-grown seedling,air or 10 μL/L of ethylene for 4 h,Plant
SRR21942393,32445726,1075110042,33,1051,SRX17926256,Sample 9,OTHER,RANDOM,OTHER,SINGLE,0,0,BGISEQ,MGISEQ-2000RS,SRP403146,PRJNA891450,1,"",SRS15444094,SAMN31328145,simple,39947,Oryza sativa Japonica Group,Ribo-4h-WT-air-Ribo-replicate 1,Chinese Academy of Sciences,SRA1522356,07,2023,Makar,"","",Nipponbare,2-day,China,Total,A9,Dark-grown seedling,air or 10 μL/L of ethylene for 4 h,Plant
SRR21942392,48208832,7231324800,150,4756,SRX17926257,Sample 8,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,MGISEQ-2000RS,SRP403146,PRJNA891450,1,"",SRS15444095,SAMN31328144,simple,39947,Oryza sativa Japonica Group,Ribo-4h-mhz9-et-In-replicate 2,Chinese Academy of Sciences,SRA1522356,07,2023,Makar,"","",Nipponbare,2-day,China,Total,A8,Dark-grown seedling,air or 10 μL/L of ethylene for 4 h,Plant
SRR21942391,48042794,7206419100,150,4742,SRX17926258,Sample 7,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,MGISEQ-2000RS,SRP403146,PRJNA891450,1,"",SRS15444096,SAMN31328143,simple,39947,Oryza sativa Japonica Group,Ribo-4h-mhz9-et-In-replicate 1,Chinese Academy of Sciences,SRA1522356,07,2023,Makar,"","",Nipponbare,2-day,China,Total,A7,Dark-grown seedling,air or 10 μL/L of ethylene for 4 h,Plant
SRR21942390,48145852,7221877800,150,4757,SRX17926259,Sample 6,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,MGISEQ-2000RS,SRP403146,PRJNA891450,1,"",SRS15444097,SAMN31328142,simple,39947,Oryza sativa Japonica Group,Ribo-4h-mhz9-air-In-replicate 2,Chinese Academy of Sciences,SRA1522356,07,2023,Makar,"","",Nipponbare,2-day,China,Total,A6,Dark-grown seedling,air or 10 μL/L of ethylene for 4 h,Plant
SRR21942389,48208706,7231305900,150,4774,SRX17926260,Sample 5,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,MGISEQ-2000RS,SRP403146,PRJNA891450,1,"",SRS15444098,SAMN31328141,simple,39947,Oryza sativa Japonica Group,Ribo-4h-mhz9-air-In-replicate 1,Chinese Academy of Sciences,SRA1522356,07,2023,Makar,"","",Nipponbare,2-day,China,Total,A5,Dark-grown seedling,air or 10 μL/L of ethylene for 4 h,Plant
SRR21942388,48262838,7239425700,150,4759,SRX17926261,Sample 4,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,MGISEQ-2000RS,SRP403146,PRJNA891450,1,"",SRS15444099,SAMN31328140,simple,39947,Oryza sativa Japonica Group,Ribo-4h-WT-et-In-replicate 2,Chinese Academy of Sciences,SRA1522356,07,2023,Makar,"","",Nipponbare,2-day,China,Total,A4,Dark-grown seedling,air or 10 μL/L of ethylene for 4 h,Plant
