Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,cultivar,ecotype,age,dev_stage,geo_loc_name,tissue,ID,BioSampleModel
SRR18747054,1643518,493055400,150,156,SRX14847022,sample7_1,Targeted-Capture,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP370115,PRJNA821340,1,"",SRS12601747,SAMN27067576,simple,4577,Zea mays,sample7_1,Huazhong Agricultural University,SRA1396358,11,2022,Makar,"","",not collected,not collected,not collected,not collected,15day leaf,China:Wuhan,leaf,26,Plant
SRR18747053,4764763,1429428900,150,416,SRX14847023,sample7_2,Targeted-Capture,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP370115,PRJNA821340,1,"",SRS12601748,SAMN27067577,simple,4577,Zea mays,sample7_2,Huazhong Agricultural University,SRA1396358,11,2022,Makar,"","",not collected,not collected,not collected,not collected,15day leaf,China:Wuhan,leaf,27,Plant
SRR18747052,23783506,7135051800,150,2116,SRX14847024,sample7_3,Targeted-Capture,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP370115,PRJNA821340,1,"",SRS12601749,SAMN27067578,simple,4577,Zea mays,sample7_3,Huazhong Agricultural University,SRA1396358,11,2022,Makar,"","",not collected,not collected,not collected,not collected,15day leaf,China:Wuhan,leaf,28,Plant
SRR18747051,52304217,15691265100,150,4767,SRX14847025,RNA_S_B_20,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP370115,PRJNA821340,1,"",SRS12601750,SAMN27067554,simple,4577,Zea mays,RNA_S_B_20,Huazhong Agricultural University,SRA1396358,11,2022,Makar,"","",not collected,not collected,not collected,not collected,20DAP kernel,China:Sanya,kernel,4,Plant
SRR18747050,47502126,14250637800,150,4310,SRX14847026,RNA_S_S_14,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP370115,PRJNA821340,1,"",SRS12601751,SAMN27067555,simple,4577,Zea mays,RNA_S_S_14,Huazhong Agricultural University,SRA1396358,11,2022,Makar,"","",not collected,not collected,not collected,not collected,14DAP kernel,China:Sanya,kernel,5,Plant
SRR18747049,59572882,17871864600,150,5399,SRX14847027,RNA_S_S_20,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP370115,PRJNA821340,1,"",SRS12601752,SAMN27067556,simple,4577,Zea mays,RNA_S_S_20,Huazhong Agricultural University,SRA1396358,11,2022,Makar,"","",not collected,not collected,not collected,not collected,20DAP kernel,China:Sanya,kernel,6,Plant
SRR18747048,14115915,390346976,27,145,SRX14847028,Ribo_S_B_14,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP370115,PRJNA821340,1,"",SRS12601753,SAMN27067557,simple,4577,Zea mays,Ribo_S_B_14,Huazhong Agricultural University,SRA1396358,11,2022,Makar,"","",not collected,not collected,not collected,not collected,14DAP kernel,China:Sanya,kernel,7,Plant
SRR18747047,8638683,240872183,27,92,SRX14847029,Ribo_S_B_20,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP370115,PRJNA821340,1,"",SRS12601754,SAMN27067558,simple,4577,Zea mays,Ribo_S_B_20,Huazhong Agricultural University,SRA1396358,11,2022,Makar,"","",not collected,not collected,not collected,not collected,20DAP kernel,China:Sanya,kernel,8,Plant
SRR18747046,11009703,304456396,27,119,SRX14847030,Ribo_S_S_14,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP370115,PRJNA821340,1,"",SRS12601755,SAMN27067559,simple,4577,Zea mays,Ribo_S_S_14,Huazhong Agricultural University,SRA1396358,11,2022,Makar,"","",not collected,not collected,not collected,not collected,14DAP kernel,China:Sanya,kernel,9,Plant
SRR18747045,8008329,222717054,27,84,SRX14847031,Ribo_S_S_20,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP370115,PRJNA821340,1,"",SRS12601756,SAMN27067560,simple,4577,Zea mays,Ribo_S_S_20,Huazhong Agricultural University,SRA1396358,11,2022,Makar,"","",not collected,not collected,not collected,not collected,20DAP kernel,China:Sanya,kernel,10,Plant
