Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,individual,cell type,treatment,cell line,GEO Accession
SRR17598659,92672011,4959867386,53,1865,SRX13767470,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP324134,PRJNA737801,34848561,"",SRS11647492,SAMN24923281,simple,9606,Homo sapiens,GSM5814907,GEO,SRA1245303,05,2022,van,iPSCs,"control male 35#11, hht combined",iPSCs,control male 35#11,"iPSCs, induced neurons",harr,,GSM5814907
SRR17598660,108340370,5828954890,53,2203,SRX13767471,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP324134,PRJNA737801,34848561,"",SRS11647494,SAMN24923282,simple,9606,Homo sapiens,GSM5814908,GEO,SRA1245303,05,2022,van,iPSCs,"control female 37#20, hht combined",iPSCs,control female 37#20,"iPSCs, induced neurons",harr,,GSM5814908
SRR17598661,42558178,2216628616,52,844,SRX13767472,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP324134,PRJNA737801,34848561,"",SRS11647495,SAMN24923283,simple,9606,Homo sapiens,GSM5814909,GEO,SRA1245303,05,2022,van,HEK293T,"HEK293T C9ORF72 reporter chx, RNAse1",HEK293T,,,chx and RNAse1,HEK293T,GSM5814909
SRR17598662,39550615,2077818205,52,795,SRX13767473,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP324134,PRJNA737801,34848561,"",SRS11647496,SAMN24923284,simple,9606,Homo sapiens,GSM5814910,GEO,SRA1245303,05,2022,van,HEK293T,"HEK293T C9ORF72 reporter chx, RNAseAT",HEK293T,,,chx and RNAseA+T,HEK293T,GSM5814910
SRR17598663,39980750,2182561314,54,834,SRX13767474,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP324134,PRJNA737801,34848561,"",SRS11647497,SAMN24923285,simple,9606,Homo sapiens,GSM5814911,GEO,SRA1245303,05,2022,van,HEK293T,"HEK293T C9ORF72 reporter hrt, RNAse 1",HEK293T,,,hrt and RNAse1,HEK293T,GSM5814911
SRR17598664,42460310,2287844683,53,889,SRX13767475,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP324134,PRJNA737801,34848561,"",SRS11647500,SAMN24923286,simple,9606,Homo sapiens,GSM5814912,GEO,SRA1245303,05,2022,van,HEK293T,"HEK293T C9ORF72 reporter hrt, RNAse AT",HEK293T,,,hrt and RNAseA+T,HEK293T,GSM5814912
SRR17598665,44862947,2321033347,51,897,SRX13767476,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP324134,PRJNA737801,34848561,"",SRS11647498,SAMN24923287,simple,9606,Homo sapiens,GSM5814913,GEO,SRA1245303,05,2022,van,HEK293T,"HEK293T C9ORF72 reporter, negative for repeat expansion chx, RNASe 1",HEK293T,,,chx and RNAse A+T,HEK293T,GSM5814913
SRR17598666,40736727,2110270304,51,808,SRX13767477,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP324134,PRJNA737801,34848561,"",SRS11647499,SAMN24923288,simple,9606,Homo sapiens,GSM5814914,GEO,SRA1245303,05,2022,van,"","GEO accession GSM5814914 is currently private and is scheduled to be released on Jun 02, 2022.",HEK293T,,,hrt and RNAse1,HEK293T,GSM5814914
SRR17598667,43245132,2352119256,54,900,SRX13767478,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP324134,PRJNA737801,34848561,"",SRS11647501,SAMN24923289,simple,9606,Homo sapiens,GSM5814915,GEO,SRA1245303,05,2022,van,"","GEO accession GSM5814915 is currently private and is scheduled to be released on Jun 02, 2022.",HEK293T,,,4egi and RNAse1,HEK293T,GSM5814915
SRR17598668,40056103,2172819606,54,830,SRX13767479,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP324134,PRJNA737801,34848561,"",SRS11647502,SAMN24923290,simple,9606,Homo sapiens,GSM5814916,GEO,SRA1245303,05,2022,van,"","GEO accession GSM5814916 is currently private and is scheduled to be released on Jun 02, 2022.",HEK293T,,,chx and RNAse1,HEK293T,GSM5814916
SRR17598669,59661399,3177266665,53,1138,SRX13767480,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP324134,PRJNA737801,34848561,"",SRS11647503,SAMN24923264,simple,9606,Homo sapiens,GSM5814917,GEO,SRA1245303,05,2022,van,"","GEO accession GSM5814917 is currently private and is scheduled to be released on Jun 02, 2022.",HEK293T,,,hrt and RNAse1,HEK293T,GSM5814917
SRR17598670,58354889,3013930632,51,1065,SRX13767481,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP324134,PRJNA737801,34848561,"",SRS11647504,SAMN24923265,simple,9606,Homo sapiens,GSM5814918,GEO,SRA1245303,05,2022,van,"","GEO accession GSM5814918 is currently private and is scheduled to be released on Jun 02, 2022.",iPSCs,C9ORF72 mutation carrier female 26#6,iPSCs,chx and RNAse A+T,,GSM5814918
SRR17598671,56019332,3015940777,53,1097,SRX13767482,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP324134,PRJNA737801,34848561,"",SRS11647505,SAMN24923266,simple,9606,Homo sapiens,GSM5814919,GEO,SRA1245303,05,2022,van,HEK293T,HEK293T C9ORF72 reporter hrt,iPSCs,C9ORF72 mutation carrier female 26#6,iPSCs,hht and RNAse A+T,,GSM5814919
SRR17598672,59153598,3136448969,53,1112,SRX13767483,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP324134,PRJNA737801,34848561,"",SRS11647506,SAMN24923267,simple,9606,Homo sapiens,GSM5814920,GEO,SRA1245303,05,2022,van,HEK293T,"HEK293T C9ORF72 reporter, negative for repeat expansion 4egi",iPSCs,C9ORF72 mutation carrier male 27#11,iPSCs,chx and RNAse A+T,,GSM5814920
SRR17598673,76448164,3937440361,51,1373,SRX13767484,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP324134,PRJNA737801,34848561,"",SRS11647507,SAMN24923268,simple,9606,Homo sapiens,GSM5814921,GEO,SRA1245303,05,2022,van,HEK293T,"HEK293T C9ORF72 reporter, negative for repeat expansion chx",iPSCs,C9ORF72 mutation carrier male 27#11,iPSCs,hht and RNAse A+T,,GSM5814921
SRR17598674,59658602,3192043043,53,1136,SRX13767485,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP324134,PRJNA737801,34848561,"",SRS11647508,SAMN24923269,simple,9606,Homo sapiens,GSM5814922,GEO,SRA1245303,05,2022,van,HEK293T,"HEK293T C9ORF72 reporter, negative for repeat expansion hrt",iPSCs,C9ORF72 mutation carrier male 28ALS,iPSCs,chx and RNAse A+T,,GSM5814922
