Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,metastatic capacity,genotype/variation
SRR22192986,67685501,2626082150,38,1099,SRX18171419,GSM6710486,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406317,PRJNA898352,1,"",SRS15670641,SAMN31608420,simple,9606,Homo sapiens,GSM6710486,"Biochemistry and Biophysics, UCSF",SRA1534786,02,2023,Makar,breast cancer cell line,MDA-sgHNRNPC_rep2 (Ribo-seq),breast cancer cell line,MDA-MB-231,poorly metastatic,HNRNPC knockdown
SRR22192985,63901002,2410922985,37,1021,SRX18171420,GSM6710487,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406317,PRJNA898352,1,"",SRS15670642,SAMN31608419,simple,9606,Homo sapiens,GSM6710487,"Biochemistry and Biophysics, UCSF",SRA1534786,02,2023,Makar,breast cancer cell line,MDA-sgHNRNPC_rep3 (Ribo-seq),breast cancer cell line,MDA-MB-231,poorly metastatic,HNRNPC knockdown
SRR22192984,36281343,2394568638,66,884,SRX18171421,GSM6710488,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406317,PRJNA898352,1,"",SRS15670643,SAMN31608418,simple,9606,Homo sapiens,GSM6710488,"Biochemistry and Biophysics, UCSF",SRA1534786,02,2023,Makar,breast cancer cell line,MDA-Par_rep1 (RNA-seq),breast cancer cell line,MDA-MB-231,poorly metastatic,
SRR22192983,41841572,2761543752,66,1019,SRX18171422,GSM6710489,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406317,PRJNA898352,1,"",SRS15670644,SAMN31608417,simple,9606,Homo sapiens,GSM6710489,"Biochemistry and Biophysics, UCSF",SRA1534786,02,2023,Makar,breast cancer cell line,MDA-Par_rep2 (RNA-seq),breast cancer cell line,MDA-MB-231,poorly metastatic,
SRR22192982,45086365,2975700090,66,1099,SRX18171423,GSM6710490,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406317,PRJNA898352,1,"",SRS15670645,SAMN31608416,simple,9606,Homo sapiens,GSM6710490,"Biochemistry and Biophysics, UCSF",SRA1534786,02,2023,Makar,breast cancer cell line,MDA-Par_rep3 (RNA-seq),breast cancer cell line,MDA-MB-231,poorly metastatic,
SRR22192981,40803492,2693030472,66,1033,SRX18171424,GSM6710491,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406317,PRJNA898352,1,"",SRS15670646,SAMN31608415,simple,9606,Homo sapiens,GSM6710491,"Biochemistry and Biophysics, UCSF",SRA1534786,02,2023,Makar,breast cancer cell line,MDA-LM2_rep1 (RNA-seq),breast cancer cell line,MDA-MB-231,highly metastatic to lungs,
SRR22192979,41622685,2747097210,66,1007,SRX18171425,GSM6710492,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406317,PRJNA898352,1,"",SRS15670647,SAMN31608414,simple,9606,Homo sapiens,GSM6710492,"Biochemistry and Biophysics, UCSF",SRA1534786,02,2023,Makar,breast cancer cell line,MDA-LM2_rep2 (RNA-seq),breast cancer cell line,MDA-MB-231,highly metastatic to lungs,
SRR22192978,71960790,4749412140,66,1745,SRX18171426,GSM6710493,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406317,PRJNA898352,1,"",SRS15670648,SAMN31608413,simple,9606,Homo sapiens,GSM6710493,"Biochemistry and Biophysics, UCSF",SRA1534786,02,2023,Makar,breast cancer cell line,MDA-LM2_rep3 (RNA-seq),breast cancer cell line,MDA-MB-231,highly metastatic to lungs,
SRR22192977,41756297,2755915602,66,1009,SRX18171427,GSM6710494,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406317,PRJNA898352,1,"",SRS15670649,SAMN31608412,simple,9606,Homo sapiens,GSM6710494,"Biochemistry and Biophysics, UCSF",SRA1534786,02,2023,Makar,breast cancer cell line,MDA-sgCTRL_rep1 (RNA-seq),breast cancer cell line,MDA-MB-231,poorly metastatic,control
SRR22192980,40860872,2696817552,66,990,SRX18171428,GSM6710495,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406317,PRJNA898352,1,"",SRS15670650,SAMN31608411,simple,9606,Homo sapiens,GSM6710495,"Biochemistry and Biophysics, UCSF",SRA1534786,02,2023,Makar,breast cancer cell line,MDA-sgCTRL_rep2 (RNA-seq),breast cancer cell line,MDA-MB-231,poorly metastatic,control
SRR22192976,33734331,2226465846,66,822,SRX18171429,GSM6710496,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406317,PRJNA898352,1,"",SRS15670652,SAMN31608410,simple,9606,Homo sapiens,GSM6710496,"Biochemistry and Biophysics, UCSF",SRA1534786,02,2023,Makar,breast cancer cell line,MDA-sgCTRL_rep3 (RNA-seq),breast cancer cell line,MDA-MB-231,poorly metastatic,control
SRR22192975,37723900,2489777400,66,927,SRX18171430,GSM6710497,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406317,PRJNA898352,1,"",SRS15670651,SAMN31608409,simple,9606,Homo sapiens,GSM6710497,"Biochemistry and Biophysics, UCSF",SRA1534786,02,2023,Makar,breast cancer cell line,MDA-sgHNRNPC_rep1 (RNA-seq),breast cancer cell line,MDA-MB-231,poorly metastatic,HNRNPC knockdown
SRR22192974,39386891,2599534806,66,966,SRX18171431,GSM6710498,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406317,PRJNA898352,1,"",SRS15670653,SAMN31608408,simple,9606,Homo sapiens,GSM6710498,"Biochemistry and Biophysics, UCSF",SRA1534786,02,2023,Makar,breast cancer cell line,MDA-sgHNRNPC_rep2 (RNA-seq),breast cancer cell line,MDA-MB-231,poorly metastatic,HNRNPC knockdown
SRR22192973,38566316,2545376856,66,940,SRX18171432,GSM6710499,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406317,PRJNA898352,1,"",SRS15670654,SAMN31608407,simple,9606,Homo sapiens,GSM6710499,"Biochemistry and Biophysics, UCSF",SRA1534786,02,2023,Makar,breast cancer cell line,MDA-sgHNRNPC_rep3 (RNA-seq),breast cancer cell line,MDA-MB-231,poorly metastatic,HNRNPC knockdown
