Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,genotype/variation,subcellular compartment,treatment,method,strain/background,GEO Accession
SRR2007074,20343583,1037522733,51,635,SRX1017045,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928305,SAMN03581127,simple,10090,Mus musculus,GSM1666815,GEO,SRA266203,01,2016,Makar,"ATF4-/- mouse embryonic fibroblasts, cytosol, 0.5 h Tg","ATF4-/- cytosol ribosome profiling, 0.5 h Tg (rep 2)","ATF4-/- mouse embryonic fibroblasts, cytosol, 0.5 h Tg",mouse embryonic fibroblasts,ATF4-/-,cytosol,0.5 h Thapsigargin,ribosome profiling,,GSM1666815
SRR2007075,20132638,1026764538,51,630,SRX1017046,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928303,SAMN03581128,simple,10090,Mus musculus,GSM1666816,GEO,SRA266203,01,2016,Makar,"ATF4-/- mouse embryonic fibroblasts, ER, 0.5 h Tg","ATF4-/- ER ribosome profiling, 0.5 h Tg (rep 2)","ATF4-/- mouse embryonic fibroblasts, ER, 0.5 h Tg",mouse embryonic fibroblasts,ATF4-/-,endoplasmic reticulum,0.5 h Thapsigargin,ribosome profiling,,GSM1666816
SRR2007076,20134079,1026838029,51,633,SRX1017047,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928300,SAMN03581129,simple,10090,Mus musculus,GSM1666817,GEO,SRA266203,01,2016,Makar,"ATF4-/- mouse embryonic fibroblasts, cytosol, 1 h Tg","ATF4-/- cytosol ribosome profiling, 1 h Tg (rep 2)","ATF4-/- mouse embryonic fibroblasts, cytosol, 1 h Tg",mouse embryonic fibroblasts,ATF4-/-,cytosol,1 h Thapsigargin,ribosome profiling,,GSM1666817
SRR2007077,22615405,1153385655,51,711,SRX1017048,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928301,SAMN03581130,simple,10090,Mus musculus,GSM1666818,GEO,SRA266203,01,2016,Makar,"ATF4-/- mouse embryonic fibroblasts, ER, 1 h Tg","ATF4-/- ER ribosome profiling, 1 h Tg (rep 2)","ATF4-/- mouse embryonic fibroblasts, ER, 1 h Tg",mouse embryonic fibroblasts,ATF4-/-,endoplasmic reticulum,1 h Thapsigargin,ribosome profiling,,GSM1666818
SRR2007078,20873353,1064541003,51,653,SRX1017049,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928302,SAMN03581131,simple,10090,Mus musculus,GSM1666819,GEO,SRA266203,01,2016,Makar,"ATF4-/- mouse embryonic fibroblasts, cytosol, 2 h Tg","ATF4-/- cytosol ribosome profiling, 2 h Tg (rep 2)","ATF4-/- mouse embryonic fibroblasts, cytosol, 2 h Tg",mouse embryonic fibroblasts,ATF4-/-,cytosol,2 h Thapsigargin,ribosome profiling,,GSM1666819
SRR2007079,21371573,1089950223,51,672,SRX1017050,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928306,SAMN03581132,simple,10090,Mus musculus,GSM1666820,GEO,SRA266203,01,2016,Makar,"ATF4-/- mouse embryonic fibroblasts, ER, 2 h Tg","ATF4-/- ER ribosome profiling, 2 h Tg (rep 2)","ATF4-/- mouse embryonic fibroblasts, ER, 2 h Tg",mouse embryonic fibroblasts,ATF4-/-,endoplasmic reticulum,2 h Thapsigargin,ribosome profiling,,GSM1666820
SRR2007080,21983441,1121155491,51,688,SRX1017051,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928298,SAMN03581133,simple,10090,Mus musculus,GSM1666821,GEO,SRA266203,01,2016,Makar,"ATF4-/- mouse embryonic fibroblasts, cytosol, 4 h Tg","ATF4-/- cytosol ribosome profiling, 4 h Tg (rep 2)","ATF4-/- mouse embryonic fibroblasts, cytosol, 4 h Tg",mouse embryonic fibroblasts,ATF4-/-,cytosol,4 h Thapsigargin,ribosome profiling,,GSM1666821
SRR2007081,22835371,1164603921,51,726,SRX1017052,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928297,SAMN03581134,simple,10090,Mus musculus,GSM1666822,GEO,SRA266203,01,2016,Makar,"ATF4-/- mouse embryonic fibroblasts, ER, 4 h Tg","ATF4-/- ER ribosome profiling, 4 h Tg (rep 2)","ATF4-/- mouse embryonic fibroblasts, ER, 4 h Tg",mouse embryonic fibroblasts,ATF4-/-,endoplasmic reticulum,4 h Thapsigargin,ribosome profiling,,GSM1666822
SRR2007082,20677901,1054572951,51,646,SRX1017053,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928299,SAMN03581135,simple,10090,Mus musculus,GSM1666823,GEO,SRA266203,01,2016,Makar,"ATF4-/- mouse embryonic fibroblasts, cytosol, untreated","ATF4-/- cytosol ribosome profiling, untreated (rep 2)","ATF4-/- mouse embryonic fibroblasts, cytosol, untreated",mouse embryonic fibroblasts,ATF4-/-,cytosol,untreated,ribosome profiling,,GSM1666823
SRR2007083,21128656,1077561456,,668,SRX1017054,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928296,SAMN03581057,simple,10090,Mus musculus,GSM1666824,GEO,SRA266203,01,2016,Makar,"ATF4-/- mouse embryonic fibroblasts, ER, untreated","ATF4-/- ER ribosome profiling, untreated (rep 2)","ATF4-/- mouse embryonic fibroblasts, ER, untreated",mouse embryonic fibroblasts,ATF4-/-,endoplasmic reticulum,untreated,ribosome profiling,,GSM1666824
SRR2007084,16251551,828829101,51,480,SRX1017055,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928295,SAMN03581058,simple,10090,Mus musculus,GSM1666825,GEO,SRA266203,01,2016,Makar,"eIF2a S51A mouse embryonic fibroblasts, ER, untreated","eIF2A S51A ER ribosome profiling, untreated (rep 1)","eIF2a S51A mouse embryonic fibroblasts, ER, untreated",mouse embryonic fibroblasts,eIF2a S51A,endoplasmic reticulum,untreated,ribosome profiling,,GSM1666825
SRR2007085,18983118,968139018,51,570,SRX1017056,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928294,SAMN03581059,simple,10090,Mus musculus,GSM1666826,GEO,SRA266203,01,2016,Makar,"eIF2a S51A mouse embryonic fibroblasts, cytosol, 0.5 h Tg","eIF2A S51A cytosol ribosome profiling, 0.5 h Tg (rep 1)","eIF2a S51A mouse embryonic fibroblasts, cytosol, 0.5 h Tg",mouse embryonic fibroblasts,eIF2a S51A,cytosol,0.5 h Thapsigargin,ribosome profiling,,GSM1666826
SRR2007086,15833217,807494067,51,460,SRX1017057,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928293,SAMN03581060,simple,10090,Mus musculus,GSM1666827,GEO,SRA266203,01,2016,Makar,"eIF2a S51A mouse embryonic fibroblasts, ER, 0.5 h Tg","eIF2A S51A ER ribosome profiling, 0.5 h Tg (rep 1)","eIF2a S51A mouse embryonic fibroblasts, ER, 0.5 h Tg",mouse embryonic fibroblasts,eIF2a S51A,endoplasmic reticulum,0.5 h Thapsigargin,ribosome profiling,,GSM1666827
SRR2007087,17567181,895926231,51,519,SRX1017058,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928292,SAMN03581061,simple,10090,Mus musculus,GSM1666828,GEO,SRA266203,01,2016,Makar,"eIF2a S51A mouse embryonic fibroblasts, cytosol, 1 h Tg","eIF2A S51A cytosol ribosome profiling, 1 h Tg (rep 1)","eIF2a S51A mouse embryonic fibroblasts, cytosol, 1 h Tg",mouse embryonic fibroblasts,eIF2a S51A,cytosol,1 h Thapsigargin,ribosome profiling,,GSM1666828
SRR2007088,19935281,1016699331,51,582,SRX1017059,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928291,SAMN03581062,simple,10090,Mus musculus,GSM1666829,GEO,SRA266203,01,2016,Makar,"eIF2a S51A mouse embryonic fibroblasts, ER, 1 h Tg","eIF2A S51A ER ribosome profiling, 1 h Tg (rep 1)","eIF2a S51A mouse embryonic fibroblasts, ER, 1 h Tg",mouse embryonic fibroblasts,eIF2a S51A,endoplasmic reticulum,1 h Thapsigargin,ribosome profiling,,GSM1666829
SRR2007089,15247010,777597510,51,449,SRX1017060,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928290,SAMN03581063,simple,10090,Mus musculus,GSM1666830,GEO,SRA266203,01,2016,Makar,"eIF2a S51A mouse embryonic fibroblasts, cytosol, 2 h Tg","eIF2A S51A cytosol ribosome profiling, 2 h Tg (rep 1)","eIF2a S51A mouse embryonic fibroblasts, cytosol, 2 h Tg",mouse embryonic fibroblasts,eIF2a S51A,cytosol,2 h Thapsigargin,ribosome profiling,,GSM1666830
SRR2007090,13881251,707943801,51,407,SRX1017061,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928289,SAMN03581064,simple,10090,Mus musculus,GSM1666831,GEO,SRA266203,01,2016,Makar,"eIF2a S51A mouse embryonic fibroblasts, ER, 2 h Tg","eIF2A S51A ER ribosome profiling, 2 h Tg (rep 1)","eIF2a S51A mouse embryonic fibroblasts, ER, 2 h Tg",mouse embryonic fibroblasts,eIF2a S51A,endoplasmic reticulum,2 h Thapsigargin,ribosome profiling,,GSM1666831
SRR2007091,17489985,891989235,51,514,SRX1017062,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928288,SAMN03581065,simple,10090,Mus musculus,GSM1666832,GEO,SRA266203,01,2016,Makar,"eIF2a S51A mouse embryonic fibroblasts, cytosol, 4 h Tg","eIF2A S51A cytosol ribosome profiling, 4 h Tg (rep 1)","eIF2a S51A mouse embryonic fibroblasts, cytosol, 4 h Tg",mouse embryonic fibroblasts,eIF2a S51A,cytosol,4 h Thapsigargin,ribosome profiling,,GSM1666832
SRR2007092,15210074,775713774,51,444,SRX1017063,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928287,SAMN03581066,simple,10090,Mus musculus,GSM1666833,GEO,SRA266203,01,2016,Makar,"eIF2a S51A mouse embryonic fibroblasts, ER, 4 h Tg","eIF2A S51A ER ribosome profiling, 4 h Tg (rep 1)","eIF2a S51A mouse embryonic fibroblasts, ER, 4 h Tg",mouse embryonic fibroblasts,eIF2a S51A,endoplasmic reticulum,4 h Thapsigargin,ribosome profiling,,GSM1666833
SRR2007093,17142687,874277037,51,505,SRX1017064,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928286,SAMN03581067,simple,10090,Mus musculus,GSM1666834,GEO,SRA266203,01,2016,Makar,"eIF2a S51A mouse embryonic fibroblasts, cytosol, untreated","eIF2A S51A cytosol ribosome profiling, untreated (rep 1)","eIF2a S51A mouse embryonic fibroblasts, cytosol, untreated",mouse embryonic fibroblasts,eIF2a S51A,cytosol,untreated,ribosome profiling,,GSM1666834
SRR2007094,20026160,1021334160,51,632,SRX1017065,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928285,SAMN03581068,simple,10090,Mus musculus,GSM1666835,GEO,SRA266203,01,2016,Makar,"eIF2a S51A mouse embryonic fibroblasts, cytosol, 0.5 h Tg","eIF2A S51A cytosol ribosome profiling, 0.5 h Tg (rep 2)","eIF2a S51A mouse embryonic fibroblasts, cytosol, 0.5 h Tg",mouse embryonic fibroblasts,eIF2a S51A,cytosol,0.5 h Thapsigargin,ribosome profiling,,GSM1666835
SRR2007095,18703857,953896707,51,585,SRX1017066,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928284,SAMN03581069,simple,10090,Mus musculus,GSM1666836,GEO,SRA266203,01,2016,Makar,"eIF2a S51A mouse embryonic fibroblasts, ER, 0.5 h Tg","eIF2A S51A ER ribosome profiling, 0.5 h Tg (rep 2)","eIF2a S51A mouse embryonic fibroblasts, ER, 0.5 h Tg",mouse embryonic fibroblasts,eIF2a S51A,endoplasmic reticulum,0.5 h Thapsigargin,ribosome profiling,,GSM1666836
SRR2007096,23577690,1202462190,51,750,SRX1017067,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928283,SAMN03581070,simple,10090,Mus musculus,GSM1666837,GEO,SRA266203,01,2016,Makar,"eIF2a S51A mouse embryonic fibroblasts, cytosol, 1 h Tg","eIF2A S51A cytosol ribosome profiling, 1 h Tg (rep 2)","eIF2a S51A mouse embryonic fibroblasts, cytosol, 1 h Tg",mouse embryonic fibroblasts,eIF2a S51A,cytosol,1 h Thapsigargin,ribosome profiling,,GSM1666837
SRR2007097,24731497,1261306347,51,776,SRX1017068,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928282,SAMN03581071,simple,10090,Mus musculus,GSM1666838,GEO,SRA266203,01,2016,Makar,"eIF2a S51A mouse embryonic fibroblasts, ER, 1 h Tg","eIF2A S51A ER ribosome profiling, 1 h Tg (rep 2)","eIF2a S51A mouse embryonic fibroblasts, ER, 1 h Tg",mouse embryonic fibroblasts,eIF2a S51A,endoplasmic reticulum,1 h Thapsigargin,ribosome profiling,,GSM1666838
SRR2007098,21716584,1107545784,51,694,SRX1017069,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928281,SAMN03581072,simple,10090,Mus musculus,GSM1666839,GEO,SRA266203,01,2016,Makar,"eIF2a S51A mouse embryonic fibroblasts, cytosol, 2 h Tg","eIF2A S51A cytosol ribosome profiling, 2 h Tg (rep 2)","eIF2a S51A mouse embryonic fibroblasts, cytosol, 2 h Tg",mouse embryonic fibroblasts,eIF2a S51A,cytosol,2 h Thapsigargin,ribosome profiling,,GSM1666839
SRR2007099,23696982,1208546082,51,744,SRX1017070,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928280,SAMN03581073,simple,10090,Mus musculus,GSM1666840,GEO,SRA266203,01,2016,Makar,"eIF2a S51A mouse embryonic fibroblasts, ER, 2 h Tg","eIF2A S51A ER ribosome profiling, 2 h Tg (rep 2)","eIF2a S51A mouse embryonic fibroblasts, ER, 2 h Tg",mouse embryonic fibroblasts,eIF2a S51A,endoplasmic reticulum,2 h Thapsigargin,ribosome profiling,,GSM1666840
SRR2007100,24517717,1250403567,51,773,SRX1017071,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928279,SAMN03581074,simple,10090,Mus musculus,GSM1666841,GEO,SRA266203,01,2016,Makar,"eIF2a S51A mouse embryonic fibroblasts, cytosol, 4 h Tg","eIF2A S51A cytosol ribosome profiling, 4 h Tg (rep 2)","eIF2a S51A mouse embryonic fibroblasts, cytosol, 4 h Tg",mouse embryonic fibroblasts,eIF2a S51A,cytosol,4 h Thapsigargin,ribosome profiling,,GSM1666841
SRR2007101,20573167,1049231517,51,644,SRX1017072,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928278,SAMN03581075,simple,10090,Mus musculus,GSM1666842,GEO,SRA266203,01,2016,Makar,"eIF2a S51A mouse embryonic fibroblasts, ER, 4 h Tg","eIF2A S51A ER ribosome profiling, 4 h Tg (rep 2)","eIF2a S51A mouse embryonic fibroblasts, ER, 4 h Tg",mouse embryonic fibroblasts,eIF2a S51A,endoplasmic reticulum,4 h Thapsigargin,ribosome profiling,,GSM1666842
SRR2007102,20689853,1055182503,51,656,SRX1017073,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928277,SAMN03581076,simple,10090,Mus musculus,GSM1666843,GEO,SRA266203,01,2016,Makar,"eIF2a S51A mouse embryonic fibroblasts, cytosol, untreated","eIF2A S51A cytosol ribosome profiling, untreated (rep 2)","eIF2a S51A mouse embryonic fibroblasts, cytosol, untreated",mouse embryonic fibroblasts,eIF2a S51A,cytosol,untreated,ribosome profiling,,GSM1666843
SRR2007103,20314148,1036021548,51,637,SRX1017074,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928276,SAMN03581077,simple,10090,Mus musculus,GSM1666844,GEO,SRA266203,01,2016,Makar,"eIF2a S51A mouse embryonic fibroblasts, ER, untreated","eIF2A S51A ER ribosome profiling, untreated (rep 2)","eIF2a S51A mouse embryonic fibroblasts, ER, untreated",mouse embryonic fibroblasts,eIF2a S51A,endoplasmic reticulum,untreated,ribosome profiling,,GSM1666844
SRR2007104,24056028,1226857428,51,739,SRX1017075,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928275,SAMN03581078,simple,10090,Mus musculus,GSM1666845,GEO,SRA266203,01,2016,Makar,"ATF4-/- mouse embryonic fibroblasts, cytosol, 0.5 h Tg","ATF4-/- cytosol mrna, 0.5 h Tg (rep 1)","ATF4-/- mouse embryonic fibroblasts, cytosol, 0.5 h Tg",mouse embryonic fibroblasts,ATF4-/-,cytosol,0.5 h Thapsigargin,mRNA,,GSM1666845
SRR2007105,16589668,846073068,51,512,SRX1017076,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928274,SAMN03581079,simple,10090,Mus musculus,GSM1666846,GEO,SRA266203,01,2016,Makar,"ATF4-/- mouse embryonic fibroblasts, ER, 0.5 h Tg","ATF4-/- ER mrna, 0.5 h Tg (rep 1)","ATF4-/- mouse embryonic fibroblasts, ER, 0.5 h Tg",mouse embryonic fibroblasts,ATF4-/-,endoplasmic reticulum,0.5 h Thapsigargin,mRNA,,GSM1666846
SRR2007106,20285955,1034583705,51,625,SRX1017077,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928273,SAMN03581080,simple,10090,Mus musculus,GSM1666847,GEO,SRA266203,01,2016,Makar,"ATF4-/- mouse embryonic fibroblasts, cytosol, 1 h Tg","ATF4-/- cytosol mrna, 1 h Tg (rep 1)","ATF4-/- mouse embryonic fibroblasts, cytosol, 1 h Tg",mouse embryonic fibroblasts,ATF4-/-,cytosol,1 h Thapsigargin,mRNA,,GSM1666847
SRR2007107,22837,1164687,51,0,SRX1017078,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928272,SAMN03581081,simple,10090,Mus musculus,GSM1666848,GEO,SRA266203,01,2016,Makar,"ATF4-/- mouse embryonic fibroblasts, ER, 1 h Tg","ATF4-/- ER mrna, 1 h Tg (rep 1)","ATF4-/- mouse embryonic fibroblasts, ER, 1 h Tg",mouse embryonic fibroblasts,ATF4-/-,endoplasmic reticulum,1 h Thapsigargin,mRNA,,GSM1666848
