Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,treatment,experiment,GEO Accession
SRR12749610,34447099,2567098433,74,978,SRX9221567,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP246149,PRJNA603987,33054857,"",SRS7455268,SAMN16320405,simple,10090,Mus musculus,GSM4812194,GEO,SRA1034681,10,2020,Hien,mouse hippocampal slice,wt_dhpg_rna_rep3,mouse hippocampal slice,wild-type,DHPG,RNA-seq,GSM4812194
SRR10990361,80853554,2699170879,33,1155,SRX7651771,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP246149,PRJNA603987,33054857,"",SRS6081239,SAMN13945501,simple,10090,Mus musculus,GSM4290333,GEO,SRA1034681,10,2020,Hien,mouse hippocampal slice,tsc_bas_rpf_rep1,mouse hippocampal slice,Tsc2+/-,vehicle,ribosome profiling,GSM4290333
SRR10990362,71901188,2435065281,33,1025,SRX7651772,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP246149,PRJNA603987,33054857,"",SRS6081240,SAMN13945500,simple,10090,Mus musculus,GSM4290334,GEO,SRA1034681,10,2020,Hien,mouse hippocampal slice,tsc_bas_rpf_rep2,mouse hippocampal slice,Tsc2+/-,vehicle,ribosome profiling,GSM4290334
SRR10990364,63523255,2120125016,33,921,SRX7651773,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP246149,PRJNA603987,33054857,"",SRS6081238,SAMN13945499,simple,10090,Mus musculus,GSM4290335,GEO,SRA1034681,10,2020,Hien,mouse hippocampal slice,tsc_bas_rpf_rep3,mouse hippocampal slice,Tsc2+/-,vehicle,ribosome profiling,GSM4290335
SRR10990365,73810731,2538167808,34,1084,SRX7651774,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP246149,PRJNA603987,33054857,"",SRS6081237,SAMN13945498,simple,10090,Mus musculus,GSM4290336,GEO,SRA1034681,10,2020,Hien,mouse hippocampal slice,tsc_dhpg_rpf_rep1,mouse hippocampal slice,Tsc2+/-,DHPG,ribosome profiling,GSM4290336
SRR10990366,65709052,2248263093,34,973,SRX7651775,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP246149,PRJNA603987,33054857,"",SRS6081241,SAMN13945497,simple,10090,Mus musculus,GSM4290337,GEO,SRA1034681,10,2020,Hien,mouse hippocampal slice,tsc_dhpg_rpf_rep2,mouse hippocampal slice,Tsc2+/-,DHPG,ribosome profiling,GSM4290337
SRR10990367,70011882,2335857906,33,984,SRX7651776,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP246149,PRJNA603987,33054857,"",SRS6081242,SAMN13945496,simple,10090,Mus musculus,GSM4290338,GEO,SRA1034681,10,2020,Hien,mouse hippocampal slice,tsc_dhpg_rpf_rep3,mouse hippocampal slice,Tsc2+/-,DHPG,ribosome profiling,GSM4290338
SRR10990368,68571814,2270139396,33,973,SRX7651777,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP246149,PRJNA603987,33054857,"",SRS6081245,SAMN13945511,simple,10090,Mus musculus,GSM4290339,GEO,SRA1034681,10,2020,Hien,mouse hippocampal slice,wt_bas_rpf_rep1,mouse hippocampal slice,wild-type,vehicle,ribosome profiling,GSM4290339
SRR10990369,71040043,2428314146,34,1034,SRX7651778,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP246149,PRJNA603987,33054857,"",SRS6081248,SAMN13945493,simple,10090,Mus musculus,GSM4290340,GEO,SRA1034681,10,2020,Hien,mouse hippocampal slice,wt_bas_rpf_rep2,mouse hippocampal slice,wild-type,vehicle,ribosome profiling,GSM4290340
SRR10990370,76210830,2555186275,33,1091,SRX7651779,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP246149,PRJNA603987,33054857,"",SRS6081243,SAMN13945492,simple,10090,Mus musculus,GSM4290341,GEO,SRA1034681,10,2020,Hien,mouse hippocampal slice,wt_bas_rpf_rep3,mouse hippocampal slice,wild-type,vehicle,ribosome profiling,GSM4290341
SRR10990371,69325347,2325207363,33,989,SRX7651780,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP246149,PRJNA603987,33054857,"",SRS6081244,SAMN13945491,simple,10090,Mus musculus,GSM4290342,GEO,SRA1034681,10,2020,Hien,mouse hippocampal slice,wt_dhpg_rpf_rep1,mouse hippocampal slice,wild-type,DHPG,ribosome profiling,GSM4290342
SRR10990372,74783479,2495285056,33,1074,SRX7651781,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP246149,PRJNA603987,33054857,"",SRS6081246,SAMN13945489,simple,10090,Mus musculus,GSM4290343,GEO,SRA1034681,10,2020,Hien,mouse hippocampal slice,wt_dhpg_rpf_rep2,mouse hippocampal slice,wild-type,DHPG,ribosome profiling,GSM4290343
SRR10990373,68829296,2316806497,33,995,SRX7651782,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP246149,PRJNA603987,33054857,"",SRS6081247,SAMN13945488,simple,10090,Mus musculus,GSM4290344,GEO,SRA1034681,10,2020,Hien,mouse hippocampal slice,wt_dhpg_rpf_rep3,mouse hippocampal slice,wild-type,DHPG,ribosome profiling,GSM4290344
