Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell type,genotype,fraction,library prep_kit,geo_loc_name,collection_date
SRR24422531,32554068,9831328536,151,2869,SRX20210215,GSM7291539,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435792,PRJNA966986,1,"",SRS17534322,SAMN34571375,simple,10090,Mus musculus,GSM7291539,Oklahoma Medical Research Foundation,SRA1632139,07,2023,Makar,Hippocampus,ADM2Pos,Hippocampus,Hippocampus,Microglia,APP129/PSEN1,Positive,NEBNext Ultra II Directional RNA Library Prep Kit for Illumina,missing,missing
SRR24422530,47994682,14494393964,151,4221,SRX20210216,GSM7291540,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435792,PRJNA966986,1,"",SRS17534323,SAMN34571374,simple,10090,Mus musculus,GSM7291540,Oklahoma Medical Research Foundation,SRA1632139,07,2023,Makar,Hippocampus,ADM3Input,Hippocampus,Hippocampus,Microglia,APP129/PSEN1,Input,NEBNext Ultra II Directional RNA Library Prep Kit for Illumina,missing,missing
SRR24422529,46344606,13996071012,151,4045,SRX20210217,GSM7291541,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435792,PRJNA966986,1,"",SRS17534324,SAMN34571373,simple,10090,Mus musculus,GSM7291541,Oklahoma Medical Research Foundation,SRA1632139,07,2023,Makar,Hippocampus,ADM3Pos,Hippocampus,Hippocampus,Microglia,APP129/PSEN1,Positive,NEBNext Ultra II Directional RNA Library Prep Kit for Illumina,missing,missing
SRR24422528,33083106,9991098012,151,2898,SRX20210218,GSM7291542,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435792,PRJNA966986,1,"",SRS17534325,SAMN34571372,simple,10090,Mus musculus,GSM7291542,Oklahoma Medical Research Foundation,SRA1632139,07,2023,Makar,Hippocampus,ADM4Input,Hippocampus,Hippocampus,Microglia,APP129/PSEN1,Input,NEBNext Ultra II Directional RNA Library Prep Kit for Illumina,missing,missing
SRR24422527,38495128,11625528656,151,3380,SRX20210219,GSM7291543,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435792,PRJNA966986,1,"",SRS17534326,SAMN34571371,simple,10090,Mus musculus,GSM7291543,Oklahoma Medical Research Foundation,SRA1632139,07,2023,Makar,Hippocampus,ADM4Pos,Hippocampus,Hippocampus,Microglia,APP129/PSEN1,Positive,NEBNext Ultra II Directional RNA Library Prep Kit for Illumina,missing,missing
SRR24422526,35718126,10786874052,151,3148,SRX20210220,GSM7291544,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435792,PRJNA966986,1,"",SRS17534327,SAMN34571370,simple,10090,Mus musculus,GSM7291544,Oklahoma Medical Research Foundation,SRA1632139,07,2023,Makar,Hippocampus,CF2Input,Hippocampus,Hippocampus,Microglia,WT,Input,NEBNext Ultra II Directional RNA Library Prep Kit for Illumina,missing,missing
SRR24422525,46838298,14145165996,151,4114,SRX20210221,GSM7291545,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435792,PRJNA966986,1,"",SRS17534328,SAMN34571369,simple,10090,Mus musculus,GSM7291545,Oklahoma Medical Research Foundation,SRA1632139,07,2023,Makar,Hippocampus,CF2Pos,Hippocampus,Hippocampus,Microglia,WT,Positive,NEBNext Ultra II Directional RNA Library Prep Kit for Illumina,missing,missing
SRR24422524,39906825,12051861150,151,3530,SRX20210222,GSM7291546,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435792,PRJNA966986,1,"",SRS17534329,SAMN34571368,simple,10090,Mus musculus,GSM7291546,Oklahoma Medical Research Foundation,SRA1632139,07,2023,Makar,Hippocampus,CF3Input,Hippocampus,Hippocampus,Microglia,WT,Input,NEBNext Ultra II Directional RNA Library Prep Kit for Illumina,missing,missing
SRR24422523,36370461,10983879222,151,3200,SRX20210223,GSM7291547,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435792,PRJNA966986,1,"",SRS17534330,SAMN34571367,simple,10090,Mus musculus,GSM7291547,Oklahoma Medical Research Foundation,SRA1632139,07,2023,Makar,Hippocampus,CF3Pos,Hippocampus,Hippocampus,Microglia,WT,Positive,NEBNext Ultra II Directional RNA Library Prep Kit for Illumina,missing,missing
SRR24422522,35481430,10715391860,151,3100,SRX20210224,GSM7291548,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435792,PRJNA966986,1,"",SRS17534331,SAMN34571366,simple,10090,Mus musculus,GSM7291548,Oklahoma Medical Research Foundation,SRA1632139,07,2023,Makar,Hippocampus,CF4Input,Hippocampus,Hippocampus,Microglia,WT,Input,NEBNext Ultra II Directional RNA Library Prep Kit for Illumina,missing,missing
SRR24422521,42927649,12964149998,151,3759,SRX20210225,GSM7291549,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435792,PRJNA966986,1,"",SRS17534333,SAMN34571365,simple,10090,Mus musculus,GSM7291549,Oklahoma Medical Research Foundation,SRA1632139,07,2023,Makar,Hippocampus,CF4Pos,Hippocampus,Hippocampus,Microglia,WT,Positive,NEBNext Ultra II Directional RNA Library Prep Kit for Illumina,missing,missing
SRR24422520,30234670,9130870340,151,2667,SRX20210226,GSM7291550,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435792,PRJNA966986,1,"",SRS17534334,SAMN34571364,simple,10090,Mus musculus,GSM7291550,Oklahoma Medical Research Foundation,SRA1632139,07,2023,Makar,Hippocampus,CM2Input,Hippocampus,Hippocampus,Microglia,WT,Input,NEBNext Ultra II Directional RNA Library Prep Kit for Illumina,missing,missing
SRR24422519,28364885,8566195270,151,2493,SRX20210227,GSM7291551,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435792,PRJNA966986,1,"",SRS17534332,SAMN34571363,simple,10090,Mus musculus,GSM7291551,Oklahoma Medical Research Foundation,SRA1632139,07,2023,Makar,Hippocampus,CM2Pos,Hippocampus,Hippocampus,Microglia,WT,Positive,NEBNext Ultra II Directional RNA Library Prep Kit for Illumina,missing,missing
SRR24422518,37324342,11271951284,151,3299,SRX20210228,GSM7291552,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435792,PRJNA966986,1,"",SRS17534335,SAMN34571362,simple,10090,Mus musculus,GSM7291552,Oklahoma Medical Research Foundation,SRA1632139,07,2023,Makar,Hippocampus,CM3Input,Hippocampus,Hippocampus,Microglia,WT,Input,NEBNext Ultra II Directional RNA Library Prep Kit for Illumina,missing,missing
SRR24422517,42535781,12845805862,151,3736,SRX20210229,GSM7291553,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435792,PRJNA966986,1,"",SRS17534336,SAMN34571361,simple,10090,Mus musculus,GSM7291553,Oklahoma Medical Research Foundation,SRA1632139,07,2023,Makar,Hippocampus,CM3Pos,Hippocampus,Hippocampus,Microglia,WT,Positive,NEBNext Ultra II Directional RNA Library Prep Kit for Illumina,missing,missing
SRR24422516,44614876,13473692552,151,3935,SRX20210230,GSM7291554,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435792,PRJNA966986,1,"",SRS17534338,SAMN34571360,simple,10090,Mus musculus,GSM7291554,Oklahoma Medical Research Foundation,SRA1632139,07,2023,Makar,Hippocampus,CM4Input,Hippocampus,Hippocampus,Microglia,WT,Input,NEBNext Ultra II Directional RNA Library Prep Kit for Illumina,missing,missing
SRR24422515,40825460,12329288920,151,3586,SRX20210231,GSM7291555,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435792,PRJNA966986,1,"",SRS17534339,SAMN34571359,simple,10090,Mus musculus,GSM7291555,Oklahoma Medical Research Foundation,SRA1632139,07,2023,Makar,Hippocampus,CM4Pos,Hippocampus,Hippocampus,Microglia,WT,Positive,NEBNext Ultra II Directional RNA Library Prep Kit for Illumina,missing,missing
