Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,isolate,breed,cultivar,ecotype,age,dev_stage,sex,tissue,replicate,experiment_type,BioSampleModel
SRR10174374,25778192,1933364400,75,744,SRX6895789,embRNArep1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223102,PRJNA573922,1,"",SRS5428366,SAMN12831203,simple,7227,Drosophila melanogaster,embryoRNA_A,Carnegie Institute for Science,SRA967518,11,2019,Makar,"","",Oregon R,n/a,n/a,n/a,n/a,0-2 hour,0-2 hour embryo,female,embryo,biological replicate 1,RNA-seq,Model organism or animal
SRR10174373,36910592,2768294400,75,1039,SRX6895790,embRNArep2,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223102,PRJNA573922,1,"",SRS5428367,SAMN12831204,simple,7227,Drosophila melanogaster,embryoRNA_B,Carnegie Institute for Science,SRA967518,11,2019,Makar,"","",Oregon R,n/a,n/a,n/a,n/a,0-2 hour,0-2 hour embryo,female,embryo,biological replicate 2,RNA-seq,Model organism or animal
SRR10174372,61441354,4608101550,75,1735,SRX6895791,2dayRNArep3,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223102,PRJNA573922,1,"",SRS5428368,SAMN12831187,simple,7227,Drosophila melanogaster,2dayRNA_C,Carnegie Institute for Science,SRA967518,11,2019,Makar,"","",Oregon R,n/a,n/a,n/a,n/a,2 days,stage 14,female,mature oocyte,biological replicate 3,RNA-seq,Model organism or animal
SRR10174371,46418431,3481382325,75,1311,SRX6895792,embRNArep3,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223102,PRJNA573922,1,"",SRS5428369,SAMN12831205,simple,7227,Drosophila melanogaster,embryoRNA_C,Carnegie Institute for Science,SRA967518,11,2019,Makar,"","",Oregon R,n/a,n/a,n/a,n/a,0-2 hour,0-2 hour embryo,female,embryo,biological replicate 3,RNA-seq,Model organism or animal
SRR10174370,26837661,2012824575,75,786,SRX6895793,embRFPrep1,OTHER,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223102,PRJNA573922,1,"",SRS5428370,SAMN12831206,simple,7227,Drosophila melanogaster,embryoRFP_A,Carnegie Institute for Science,SRA967518,11,2019,Makar,"","",Oregon R,n/a,n/a,n/a,n/a,0-2 hour,0-2 hour embryo,female,embryo,biological replicate 1,Ribo-seq,Model organism or animal
SRR10174369,39112396,2933429700,75,1120,SRX6895794,embRFPrep2,OTHER,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223102,PRJNA573922,1,"",SRS5428371,SAMN12831207,simple,7227,Drosophila melanogaster,embryoRFP_B,Carnegie Institute for Science,SRA967518,11,2019,Makar,"","",Oregon R,n/a,n/a,n/a,n/a,0-2 hour,0-2 hour embryo,female,embryo,biological replicate 2,Ribo-seq,Model organism or animal
SRR10174368,26966897,2022517275,75,787,SRX6895795,embRFPrep3,OTHER,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223102,PRJNA573922,1,"",SRS5428372,SAMN12831208,simple,7227,Drosophila melanogaster,embryoRFP_C,Carnegie Institute for Science,SRA967518,11,2019,Makar,"","",Oregon R,n/a,n/a,n/a,n/a,0-2 hour,0-2 hour embryo,female,embryo,biological replicate 3,Ribo-seq,Model organism or animal
SRR10174367,34872773,2615457975,75,991,SRX6895796,8dayRNArep1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223102,PRJNA573922,1,"",SRS5428373,SAMN12831188,simple,7227,Drosophila melanogaster,8dayRNA_A,Carnegie Institute for Science,SRA967518,11,2019,Makar,"","",Oregon R,n/a,n/a,n/a,n/a,8 days,stage 14,female,mature oocyte,biological replicate 1,RNA-seq,Model organism or animal
SRR10174366,68469185,5135188875,75,1944,SRX6895797,8dayRNArep2,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223102,PRJNA573922,1,"",SRS5428374,SAMN12831189,simple,7227,Drosophila melanogaster,8dayRNA_B,Carnegie Institute for Science,SRA967518,11,2019,Makar,"","",Oregon R,n/a,n/a,n/a,n/a,8 days,stage 14,female,mature oocyte,biological replicate 2,RNA-seq,Model organism or animal
SRR10174365,42628581,3197143575,75,1212,SRX6895798,8dayRNArep3,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223102,PRJNA573922,1,"",SRS5428375,SAMN12831190,simple,7227,Drosophila melanogaster,8dayRNA_C,Carnegie Institute for Science,SRA967518,11,2019,Makar,"","",Oregon R,n/a,n/a,n/a,n/a,8 days,stage 14,female,mature oocyte,biological replicate 3,RNA-seq,Model organism or animal
SRR10174364,32413331,2430999825,75,924,SRX6895799,12dayRNArep1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223102,PRJNA573922,1,"",SRS5428376,SAMN12831191,simple,7227,Drosophila melanogaster,12dayRNA_A,Carnegie Institute for Science,SRA967518,11,2019,Makar,"","",Oregon R,n/a,n/a,n/a,n/a,12 days,stage 14,female,mature oocyte,biological replicate 1,RNA-seq,Model organism or animal
SRR10174363,55309643,4148223225,75,1565,SRX6895800,12dayRNArep2,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223102,PRJNA573922,1,"",SRS5428377,SAMN12831192,simple,7227,Drosophila melanogaster,12dayRNA_B,Carnegie Institute for Science,SRA967518,11,2019,Makar,"","",Oregon R,n/a,n/a,n/a,n/a,12 days,stage 14,female,mature oocyte,biological replicate 2,RNA-seq,Model organism or animal
SRR10174362,67951589,5096369175,75,1932,SRX6895801,12dayRNArep3,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223102,PRJNA573922,1,"",SRS5428378,SAMN12831193,simple,7227,Drosophila melanogaster,12dayRNA_C,Carnegie Institute for Science,SRA967518,11,2019,Makar,"","",Oregon R,n/a,n/a,n/a,n/a,12 days,stage 14,female,mature oocyte,biological replicate 3,RNA-seq,Model organism or animal
SRR10174361,43426278,3256970850,75,1241,SRX6895802,2dayRFPrep1,OTHER,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223102,PRJNA573922,1,"",SRS5428379,SAMN12831194,simple,7227,Drosophila melanogaster,2dayRFP_A,Carnegie Institute for Science,SRA967518,11,2019,Makar,"","",Oregon R,n/a,n/a,n/a,n/a,2 days,stage 14,female,mature oocyte,biological replicate 1,Ribo-seq,Model organism or animal
