Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,age,treatment,time point,geo_loc_name,collection_date
SRR18516248,79004483,7900448300,50,3110,SRX14647420,GSM5979807,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP366471,PRJNA821061,36202274,"",SRS12412869,SAMN27035998,simple,10090,Mus musculus,GSM5979807,"Genetics, UNC Chapel Hill",SRA1394202,10,2022,Boschen,Whole embryo,GD9_2hr_EtOH_Rep5,Whole embryo,C57BL6/J,E9.0,EtOH,2hr,missing,missing
SRR18516250,70161684,7016168400,50,2835,SRX14647421,GSM5979808,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP366471,PRJNA821061,36202274,"",SRS12412870,SAMN27035997,simple,10090,Mus musculus,GSM5979808,"Genetics, UNC Chapel Hill",SRA1394202,10,2022,Boschen,Whole embryo,GD9_2hr_EtOH_Rep6,Whole embryo,C57BL6/J,E9.0,EtOH,2hr,missing,missing
SRR18516247,71102231,7110223100,50,2872,SRX14647422,GSM5979809,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP366471,PRJNA821061,36202274,"",SRS12412871,SAMN27035996,simple,10090,Mus musculus,GSM5979809,"Genetics, UNC Chapel Hill",SRA1394202,10,2022,Boschen,Whole embryo,GD9_4hr_EtOH_Rep1,Whole embryo,C57BL6/J,E9.0,EtOH,4hr,missing,missing
SRR18516251,67234705,6723470500,50,2691,SRX14647423,GSM5979810,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP366471,PRJNA821061,36202274,"",SRS12412872,SAMN27035995,simple,10090,Mus musculus,GSM5979810,"Genetics, UNC Chapel Hill",SRA1394202,10,2022,Boschen,Whole embryo,GD9_4hr_EtOH_Rep2,Whole embryo,C57BL6/J,E9.0,EtOH,4hr,missing,missing
SRR18516246,85398297,8539829700,50,3367,SRX14647424,GSM5979811,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP366471,PRJNA821061,36202274,"",SRS12412874,SAMN27035994,simple,10090,Mus musculus,GSM5979811,"Genetics, UNC Chapel Hill",SRA1394202,10,2022,Boschen,Whole embryo,GD9_4hr_EtOH_Rep3,Whole embryo,C57BL6/J,E9.0,EtOH,4hr,missing,missing
SRR18516245,70346593,7034659300,50,2746,SRX14647425,GSM5979812,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP366471,PRJNA821061,36202274,"",SRS12412873,SAMN27035993,simple,10090,Mus musculus,GSM5979812,"Genetics, UNC Chapel Hill",SRA1394202,10,2022,Boschen,Whole embryo,GD9_4hr_EtOH_Rep4,Whole embryo,C57BL6/J,E9.0,EtOH,4hr,missing,missing
SRR18516244,67090514,6709051400,50,2593,SRX14647426,GSM5979813,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP366471,PRJNA821061,36202274,"",SRS12412875,SAMN27035992,simple,10090,Mus musculus,GSM5979813,"Genetics, UNC Chapel Hill",SRA1394202,10,2022,Boschen,Whole embryo,GD9_4hr_EtOH_Rep5,Whole embryo,C57BL6/J,E9.0,EtOH,4hr,missing,missing
SRR18516243,76097226,7609722600,50,3057,SRX14647427,GSM5979814,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP366471,PRJNA821061,36202274,"",SRS12412876,SAMN27035991,simple,10090,Mus musculus,GSM5979814,"Genetics, UNC Chapel Hill",SRA1394202,10,2022,Boschen,Whole embryo,GD9_4hr_EtOH_Rep6,Whole embryo,C57BL6/J,E9.0,EtOH,4hr,missing,missing
SRR18516242,68149308,6814930800,50,2740,SRX14647428,GSM5979815,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP366471,PRJNA821061,36202274,"",SRS12412877,SAMN27035990,simple,10090,Mus musculus,GSM5979815,"Genetics, UNC Chapel Hill",SRA1394202,10,2022,Boschen,Whole embryo,GD9_4hr_Veh_Rep1,Whole embryo,C57BL6/J,E9.0,Veh,4hr,missing,missing
SRR18516241,78886604,7888660400,50,3134,SRX14647429,GSM5979816,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP366471,PRJNA821061,36202274,"",SRS12412879,SAMN27035989,simple,10090,Mus musculus,GSM5979816,"Genetics, UNC Chapel Hill",SRA1394202,10,2022,Boschen,Whole embryo,GD9_4hr_Veh_Rep2,Whole embryo,C57BL6/J,E9.0,Veh,4hr,missing,missing
SRR18516240,73138561,7313856100,50,2921,SRX14647430,GSM5979817,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP366471,PRJNA821061,36202274,"",SRS12412878,SAMN27035988,simple,10090,Mus musculus,GSM5979817,"Genetics, UNC Chapel Hill",SRA1394202,10,2022,Boschen,Whole embryo,GD9_4hr_Veh_Rep3,Whole embryo,C57BL6/J,E9.0,Veh,4hr,missing,missing
SRR18516239,76284040,7628404000,50,2991,SRX14647431,GSM5979818,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP366471,PRJNA821061,36202274,"",SRS12412881,SAMN27035987,simple,10090,Mus musculus,GSM5979818,"Genetics, UNC Chapel Hill",SRA1394202,10,2022,Boschen,Whole embryo,GD9_4hr_Veh_Rep4,Whole embryo,C57BL6/J,E9.0,Veh,4hr,missing,missing
SRR18516238,79657048,7965704800,50,3105,SRX14647432,GSM5979819,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP366471,PRJNA821061,36202274,"",SRS12412880,SAMN27035986,simple,10090,Mus musculus,GSM5979819,"Genetics, UNC Chapel Hill",SRA1394202,10,2022,Boschen,Whole embryo,GD9_4hr_Veh_Rep5,Whole embryo,C57BL6/J,E9.0,Veh,4hr,missing,missing
SRR18516237,88386992,8838699200,50,3600,SRX14647433,GSM5979820,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP366471,PRJNA821061,36202274,"",SRS12412883,SAMN27035985,simple,10090,Mus musculus,GSM5979820,"Genetics, UNC Chapel Hill",SRA1394202,10,2022,Boschen,Whole embryo,GD9_4hr_Veh_Rep6,Whole embryo,C57BL6/J,E9.0,Veh,4hr,missing,missing
