Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,cultivar,age,geo_loc_name,tissue,harvest_condition,replicate,sample_type,BioSampleModel
SRR12765192,16618852,1678504052,101,585,SRX9235895,"RNA-seq of maize mesophyll rep 3, run 3",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469192,SAMN16352148,simple,4577,Zea mays,Mesophyll fraction rep 3,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Mesophyll fraction rep 3,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 3,Mesophyll enriched fraction,Plant
SRR12765191,17480557,2639564107,151,930,SRX9235896,"RNA-seq of maize mesophyll rep 3, run 4",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469192,SAMN16352148,simple,4577,Zea mays,Mesophyll fraction rep 3,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Mesophyll fraction rep 3,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 3,Mesophyll enriched fraction,Plant
SRR12765190,19066221,2878999371,151,1013,SRX9235897,"RNA-seq of maize mesophyll rep 3, run 5",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469192,SAMN16352148,simple,4577,Zea mays,Mesophyll fraction rep 3,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Mesophyll fraction rep 3,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 3,Mesophyll enriched fraction,Plant
SRR12765189,15733305,1589063805,101,799,SRX9235898,"RNA-seq of maize bundle sheath rep 1, run 1",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469193,SAMN16352149,simple,4577,Zea mays,Bundle sheath fraction rep 1,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 1,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 1,Bundle sheath enriched fraction,Plant
SRR12765188,15342828,1549625628,101,777,SRX9235899,"RNA-seq of maize bundle sheath rep 1, run 2",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469193,SAMN16352149,simple,4577,Zea mays,Bundle sheath fraction rep 1,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 1,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 1,Bundle sheath enriched fraction,Plant
SRR12765187,10342316,1044573916,101,365,SRX9235900,"RNA-seq of maize bundle sheath rep 1, run 3",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469193,SAMN16352149,simple,4577,Zea mays,Bundle sheath fraction rep 1,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 1,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 1,Bundle sheath enriched fraction,Plant
SRR12765186,11098247,1675835297,151,604,SRX9235901,"RNA-seq of maize bundle sheath rep 1, run 4",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469193,SAMN16352149,simple,4577,Zea mays,Bundle sheath fraction rep 1,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 1,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 1,Bundle sheath enriched fraction,Plant
SRR12765185,12112161,1828936311,151,658,SRX9235902,"RNA-seq of maize bundle sheath rep 1, run 5",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469193,SAMN16352149,simple,4577,Zea mays,Bundle sheath fraction rep 1,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 1,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 1,Bundle sheath enriched fraction,Plant
SRR12765184,14096076,1423703676,101,705,SRX9235903,"ribo-seq of maize mesophyll rep 2, run 1",miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469196,SAMN16352147,simple,4577,Zea mays,Mesophyll fraction rep 2,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Mesophyll fraction rep 2,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 2,Mesophyll enriched fraction,Plant
SRR12765183,22071745,2229246245,101,1121,SRX9235904,"RNA-seq of maize bundle sheath rep 2, run 1",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469194,SAMN16352150,simple,4577,Zea mays,Bundle sheath fraction rep 2,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 2,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 2,Bundle sheath enriched fraction,Plant
SRR12765182,21342013,2155543313,101,1081,SRX9235905,"RNA-seq of maize bundle sheath rep 2, run 2",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469194,SAMN16352150,simple,4577,Zea mays,Bundle sheath fraction rep 2,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 2,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 2,Bundle sheath enriched fraction,Plant
