Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,cell line,treatment,GEO Accession
SRR1964316,56929421,2846471050,50,1853,SRX986368,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB 5500xl-W Genetic Analysis System,SRP057051,PRJNA280809,26764022,"",SRS901274,SAMN03470226,simple,10090,Mus musculus,GSM1655062,GEO,SRA252983,01,2016,Popa,embryonic stem cell line CGR8,Ribosome Profiling harringtonine replicate 2,embryonic stem cell line CGR8,129,ESC line CGR8,Rnase,GSM1655059
SRR1964317,22068321,1103416050,50,724,SRX986368,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB 5500xl-W Genetic Analysis System,SRP057051,PRJNA280809,26764022,"",SRS901274,SAMN03470226,simple,10090,Mus musculus,GSM1655062,GEO,SRA252983,01,2016,Popa,embryonic stem cell line CGR8,Ribosome Profiling harringtonine replicate 2,embryonic stem cell line CGR8,129,ESC line CGR8,Rnase,GSM1655060
SRR1964318,44125437,2206271850,50,1455,SRX986369,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB 5500xl-W Genetic Analysis System,SRP057051,PRJNA280809,26764022,"",SRS901271,SAMN03470227,simple,10090,Mus musculus,GSM1655063,GEO,SRA252983,01,2016,Popa,embryonic stem cell line CGR8,Ribosome Profiling pateamineA replicate 1,embryonic stem cell line CGR8,129,ESC line CGR8,"harringtonine 2ug/ml 10 min, RNase",GSM1655061
SRR1964319,61197424,3059871200,50,1957,SRX986369,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB 5500xl-W Genetic Analysis System,SRP057051,PRJNA280809,26764022,"",SRS901271,SAMN03470227,simple,10090,Mus musculus,GSM1655063,GEO,SRA252983,01,2016,Popa,embryonic stem cell line CGR8,Ribosome Profiling pateamineA replicate 1,embryonic stem cell line CGR8,129,ESC line CGR8,"harringtonine 2ug/ml 10min, RNase",GSM1655062
SRR1964320,30423239,1521161950,50,971,SRX986369,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB 5500xl-W Genetic Analysis System,SRP057051,PRJNA280809,26764022,"",SRS901271,SAMN03470227,simple,10090,Mus musculus,GSM1655063,GEO,SRA252983,01,2016,Popa,embryonic stem cell line CGR8,Ribosome Profiling pateamineA replicate 1,embryonic stem cell line CGR8,129,ESC line CGR8,"DMDA-pateamine A 1µM 10 min, RNase",GSM1655063
SRR1964321,50476436,2523821800,50,1644,SRX986370,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB 5500xl-W Genetic Analysis System,SRP057051,PRJNA280809,26764022,"",SRS901270,SAMN03470228,simple,10090,Mus musculus,GSM1655064,GEO,SRA252983,01,2016,Popa,embryonic stem cell line CGR8,Ribosome Profiling pateamineA replicate 2,embryonic stem cell line CGR8,129,ESC line CGR8,"DMDA-pateamine A 1µM 10 min, RNase",GSM1655064
SRR1964322,72527646,3626382300,50,2261,SRX986370,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB 5500xl-W Genetic Analysis System,SRP057051,PRJNA280809,26764022,"",SRS901270,SAMN03470228,simple,10090,Mus musculus,GSM1655064,GEO,SRA252983,01,2016,Popa,embryonic stem cell line CGR8,Ribosome Profiling pateamineA replicate 2,embryonic stem cell line CGR8,129,ESC line CGR8,"Puromycin 0.2 mg/ml 20 min, RNase",GSM1655065
SRR1964323,25168492,1258424600,50,792,SRX986370,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB 5500xl-W Genetic Analysis System,SRP057051,PRJNA280809,26764022,"",SRS901270,SAMN03470228,simple,10090,Mus musculus,GSM1655064,GEO,SRA252983,01,2016,Popa,embryonic stem cell line CGR8,Ribosome Profiling pateamineA replicate 2,embryonic stem cell line CGR8,129,ESC line CGR8,"Puromycin 0.2 mg/ml 20 min, RNase",GSM1655066
SRR1964324,35262036,1763101800,50,1148,SRX986371,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB 5500xl-W Genetic Analysis System,SRP057051,PRJNA280809,26764022,"",SRS901269,SAMN03470229,simple,10090,Mus musculus,GSM1655065,GEO,SRA252983,01,2016,Popa,embryonic stem cell line CGR8,Ribosome Profiling puromycin replicate 1,embryonic stem cell line CGR8,129,ESC line CGR8,None,GSM1655067
SRR1964325,24502833,1225141650,50,757,SRX986371,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB 5500xl-W Genetic Analysis System,SRP057051,PRJNA280809,26764022,"",SRS901269,SAMN03470229,simple,10090,Mus musculus,GSM1655065,GEO,SRA252983,01,2016,Popa,embryonic stem cell line CGR8,Ribosome Profiling puromycin replicate 1,embryonic stem cell line CGR8,129,ESC line CGR8,None,GSM1655068
SRR1964326,27538483,1376924150,50,855,SRX986371,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB 5500xl-W Genetic Analysis System,SRP057051,PRJNA280809,26764022,"",SRS901269,SAMN03470229,simple,10090,Mus musculus,GSM1655065,GEO,SRA252983,01,2016,Popa,embryonic stem cell line CGR8,Ribosome Profiling puromycin replicate 1,embryonic stem cell line CGR8,129,ESC line CGR8,Rnase,GSM1655059
SRR1964327,34155138,1707756900,50,1175,SRX986372,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB 5500xl-W Genetic Analysis System,SRP057051,PRJNA280809,26764022,"",SRS901268,SAMN03470230,simple,10090,Mus musculus,GSM1655066,GEO,SRA252983,01,2016,Popa,embryonic stem cell line CGR8,Ribosome Profiling puromycin replicate 2,embryonic stem cell line CGR8,129,ESC line CGR8,Rnase,GSM1655060
SRR1964328,23825786,1191289300,50,803,SRX986372,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB 5500xl-W Genetic Analysis System,SRP057051,PRJNA280809,26764022,"",SRS901268,SAMN03470230,simple,10090,Mus musculus,GSM1655066,GEO,SRA252983,01,2016,Popa,embryonic stem cell line CGR8,Ribosome Profiling puromycin replicate 2,embryonic stem cell line CGR8,129,ESC line CGR8,"harringtonine 2ug/ml 10 min, RNase",GSM1655061
SRR1964329,23506757,1175337850,50,791,SRX986372,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB 5500xl-W Genetic Analysis System,SRP057051,PRJNA280809,26764022,"",SRS901268,SAMN03470230,simple,10090,Mus musculus,GSM1655066,GEO,SRA252983,01,2016,Popa,embryonic stem cell line CGR8,Ribosome Profiling puromycin replicate 2,embryonic stem cell line CGR8,129,ESC line CGR8,"harringtonine 2ug/ml 10min, RNase",GSM1655062
SRR1964330,37527503,1876375150,50,1237,SRX986373,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB 5500xl-W Genetic Analysis System,SRP057051,PRJNA280809,26764022,"",SRS901267,SAMN03470231,simple,10090,Mus musculus,GSM1655067,GEO,SRA252983,01,2016,Popa,embryonic stem cell line CGR8,RNAseq control replicate 1,embryonic stem cell line CGR8,129,ESC line CGR8,"DMDA-pateamine A 1µM 10 min, RNase",GSM1655063
SRR1964331,127372649,6368632450,50,4164,SRX986373,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB 5500xl-W Genetic Analysis System,SRP057051,PRJNA280809,26764022,"",SRS901267,SAMN03470231,simple,10090,Mus musculus,GSM1655067,GEO,SRA252983,01,2016,Popa,embryonic stem cell line CGR8,RNAseq control replicate 1,embryonic stem cell line CGR8,129,ESC line CGR8,"DMDA-pateamine A 1µM 10 min, RNase",GSM1655064
SRR1964332,25222572,1261128600,50,842,SRX986374,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB 5500xl-W Genetic Analysis System,SRP057051,PRJNA280809,26764022,"",SRS901266,SAMN03470232,simple,10090,Mus musculus,GSM1655068,GEO,SRA252983,01,2016,Popa,embryonic stem cell line CGR8,RNAseq control replicate 2,embryonic stem cell line CGR8,129,ESC line CGR8,"Puromycin 0.2 mg/ml 20 min, RNase",GSM1655065
SRR1964333,262604300,13130215000,50,8643,SRX986374,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB 5500xl-W Genetic Analysis System,SRP057051,PRJNA280809,26764022,"",SRS901266,SAMN03470232,simple,10090,Mus musculus,GSM1655068,GEO,SRA252983,01,2016,Popa,embryonic stem cell line CGR8,RNAseq control replicate 2,embryonic stem cell line CGR8,129,ESC line CGR8,"Puromycin 0.2 mg/ml 20 min, RNase",GSM1655066
