Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,GEO Accession
SRR6792615,148021174,7401058700,50,2102,SRX3751793,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP133670,PRJNA436358,31299079,"",SRS3008002,SAMN08623629,simple,4932,Saccharomyces cerevisiae,GSM3027244,GEO,SRA662945,03,2018,Sen,Whole cells,ribo_ded1-cs_ replicate 1_15 deg,Whole cells,GSM3027244
SRR6792616,147467818,7373390900,50,2147,SRX3751794,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP133670,PRJNA436358,31299079,"",SRS3008023,SAMN08623632,simple,4932,Saccharomyces cerevisiae,GSM3027245,GEO,SRA662945,03,2018,Sen,Whole cells,ribo_ded1-cs_ replicate 2_15 deg,Whole cells,GSM3027245
SRR6792617,112726377,5636318850,50,1629,SRX3751795,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP133670,PRJNA436358,31299079,"",SRS3008003,SAMN08623631,simple,4932,Saccharomyces cerevisiae,GSM3027246,GEO,SRA662945,03,2018,Sen,Whole cells,ribo_ded1-cs(hcDBP1)_ replicate 1_15 deg,Whole cells,GSM3027246
SRR6792618,128051441,6402572050,50,1865,SRX3751796,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP133670,PRJNA436358,31299079,"",SRS3008004,SAMN08623630,simple,4932,Saccharomyces cerevisiae,GSM3027247,GEO,SRA662945,03,2018,Sen,Whole cells,ribo_ded1-cs(hcDBP1)_ replicate 2_15 deg,Whole cells,GSM3027247
SRR6792619,105507506,5275375300,50,1612,SRX3751797,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP133670,PRJNA436358,31299079,"",SRS3008005,SAMN08623634,simple,4932,Saccharomyces cerevisiae,GSM3027248,GEO,SRA662945,03,2018,Sen,Whole cells,mRNA_DED1-CS_ replicate 1_15 deg,Whole cells,GSM3027248
SRR6792620,102338679,5116933950,50,1602,SRX3751798,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP133670,PRJNA436358,31299079,"",SRS3008006,SAMN08623635,simple,4932,Saccharomyces cerevisiae,GSM3027249,GEO,SRA662945,03,2018,Sen,Whole cells,mRNA_DED1-CS_ replicate 2_15 deg,Whole cells,GSM3027249
SRR6792621,145418896,7270944800,50,2206,SRX3751799,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP133670,PRJNA436358,31299079,"",SRS3008007,SAMN08623628,simple,4932,Saccharomyces cerevisiae,GSM3027250,GEO,SRA662945,03,2018,Sen,Whole cells,mRNA_ded1-cs_ replicate 1_15 deg,Whole cells,GSM3027250
SRR6792622,138570828,6928541400,50,2152,SRX3751800,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP133670,PRJNA436358,31299079,"",SRS3008008,SAMN08623627,simple,4932,Saccharomyces cerevisiae,GSM3027251,GEO,SRA662945,03,2018,Sen,Whole cells,mRNA_ded1-cs_ replicate 2_15 deg,Whole cells,GSM3027251
SRR6792623,132037230,6601861500,50,2010,SRX3751801,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP133670,PRJNA436358,31299079,"",SRS3008009,SAMN08623626,simple,4932,Saccharomyces cerevisiae,GSM3027252,GEO,SRA662945,03,2018,Sen,Whole cells,mRNA_ded1-cs(hcDBP1)_ replicate 1_15 deg,Whole cells,GSM3027252
SRR6792624,122529784,6126489200,50,1913,SRX3751802,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP133670,PRJNA436358,31299079,"",SRS3008010,SAMN08623625,simple,4932,Saccharomyces cerevisiae,GSM3027253,GEO,SRA662945,03,2018,Sen,Whole cells,mRNA_ded1-cs(hcDBP1)_ replicate 2_15 deg,Whole cells,GSM3027253
SRR6792625,116740601,5837030050,,1743,SRX3751803,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP133670,PRJNA436358,31299079,"",SRS3008011,SAMN08623624,simple,4932,Saccharomyces cerevisiae,GSM3027254,GEO,SRA662945,03,2018,Sen,Whole cells,ribo_DED1-TS_ replicate 1_37 deg,Whole cells,GSM3027254
SRR6792626,124453466,6222673300,50,1831,SRX3751804,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP133670,PRJNA436358,31299079,"",SRS3008012,SAMN08623623,simple,4932,Saccharomyces cerevisiae,GSM3027255,GEO,SRA662945,03,2018,Sen,Whole cells,ribo_DED1-TS_ replicate 2_37 deg,Whole cells,GSM3027255
SRR6792627,100987556,5049377800,50,1512,SRX3751805,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP133670,PRJNA436358,31299079,"",SRS3008013,SAMN08623622,simple,4932,Saccharomyces cerevisiae,GSM3027256,GEO,SRA662945,03,2018,Sen,Whole cells,ribo_ded1-ts_ replicate 1_37 deg,Whole cells,GSM3027256
SRR6792628,93639803,4681990150,50,1351,SRX3751806,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP133670,PRJNA436358,31299079,"",SRS3008014,SAMN08623621,simple,4932,Saccharomyces cerevisiae,GSM3027257,GEO,SRA662945,03,2018,Sen,Whole cells,ribo_ded1-ts_ replicate 2_37 deg,Whole cells,GSM3027257
SRR6792629,89662598,4483129900,50,1326,SRX3751807,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP133670,PRJNA436358,31299079,"",SRS3008015,SAMN08623620,simple,4932,Saccharomyces cerevisiae,GSM3027258,GEO,SRA662945,03,2018,Sen,Whole cells,ribo_ded1-ts(hcDBP1)_ replicate 1_37 deg,Whole cells,GSM3027258
SRR6792630,91847009,4592350450,50,1353,SRX3751808,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP133670,PRJNA436358,31299079,"",SRS3008016,SAMN08623619,simple,4932,Saccharomyces cerevisiae,GSM3027259,GEO,SRA662945,03,2018,Sen,Whole cells,ribo_ded1-ts(hcDBP1)_ replicate 2_37 deg,Whole cells,GSM3027259
SRR6792631,94846375,4742318750,50,1476,SRX3751809,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP133670,PRJNA436358,31299079,"",SRS3008017,SAMN08623618,simple,4932,Saccharomyces cerevisiae,GSM3027260,GEO,SRA662945,03,2018,Sen,Whole cells,mRNA_DED1-TS_ replicate 1_37 deg,Whole cells,GSM3027260
SRR6792632,96873020,4843651000,50,1498,SRX3751810,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP133670,PRJNA436358,31299079,"",SRS3008018,SAMN08623612,simple,4932,Saccharomyces cerevisiae,GSM3027261,GEO,SRA662945,03,2018,Sen,Whole cells,mRNA_DED1-TS_ replicate 2_37 deg,Whole cells,GSM3027261
SRR6792633,90470941,4523547050,50,1406,SRX3751811,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP133670,PRJNA436358,31299079,"",SRS3008019,SAMN08623643,simple,4932,Saccharomyces cerevisiae,GSM3027262,GEO,SRA662945,03,2018,Sen,Whole cells,mRNA_ded1-ts_ replicate 1_37 deg,Whole cells,GSM3027262
SRR6792634,87100011,4355000550,50,1351,SRX3751812,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP133670,PRJNA436358,31299079,"",SRS3008020,SAMN08623642,simple,4932,Saccharomyces cerevisiae,GSM3027263,GEO,SRA662945,03,2018,Sen,Whole cells,mRNA_ded1-ts_ replicate 2_37 deg,Whole cells,GSM3027263
SRR6792635,95270900,4763545000,50,1468,SRX3751813,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP133670,PRJNA436358,31299079,"",SRS3008021,SAMN08623641,simple,4932,Saccharomyces cerevisiae,GSM3027264,GEO,SRA662945,03,2018,Sen,Whole cells,mRNA_ded1-ts(hcDBP1)_ replicate 1_37 deg,Whole cells,GSM3027264
SRR6792636,95850161,4792508050,50,1476,SRX3751814,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP133670,PRJNA436358,31299079,"",SRS3008022,SAMN08623640,simple,4932,Saccharomyces cerevisiae,GSM3027265,GEO,SRA662945,03,2018,Sen,Whole cells,mRNA_ded1-ts(hcDBP1)_ replicate 2_37 deg,Whole cells,GSM3027265
