Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,cell type,genotype,geo_loc_name,collection_date
SRR25548677,6342244,211760807,33,112,SRX21277926,GSM7688383,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP453707,PRJNA1002994,1,"",SRS18529364,SAMN36871405,simple,9606,Homo sapiens,GSM7688383,Harbin medical university,SRA1688353,08,2023,Makar,colon,HCT15_RPF-1,colon,colon,HCT15,colon cancer cell,WT,missing,missing
SRR25548676,18324207,619256275,33,291,SRX21277927,GSM7688384,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP453707,PRJNA1002994,1,"",SRS18529365,SAMN36871404,simple,9606,Homo sapiens,GSM7688384,Harbin medical university,SRA1688353,08,2023,Makar,colon,HCT15_RPF-2,colon,colon,HCT15,colon cancer cell,WT,missing,missing
SRR25548674,7322746,575614744,78,178,SRX21277928,GSM7688385,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP453707,PRJNA1002994,1,"",SRS18529366,SAMN36871403,simple,9606,Homo sapiens,GSM7688385,Harbin medical university,SRA1688353,08,2023,Makar,colon,SW620_INPUT-1,colon,colon,SW620,colon cancer cell,WT,missing,missing
SRR25548673,16298664,1139657902,69,395,SRX21277929,GSM7688386,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP453707,PRJNA1002994,1,"",SRS18529367,SAMN36871402,simple,9606,Homo sapiens,GSM7688386,Harbin medical university,SRA1688353,08,2023,Makar,colon,SW620_INPUT-2,colon,colon,SW620,colon cancer cell,WT,missing,missing
SRR25548672,67646459,2119567662,31,1414,SRX21277930,GSM7688387,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP453707,PRJNA1002994,1,"",SRS18529368,SAMN36871401,simple,9606,Homo sapiens,GSM7688387,Harbin medical university,SRA1688353,08,2023,Makar,colon,SW620_RPF-1,colon,colon,SW620,colon cancer cell,WT,missing,missing
SRR25548675,51927920,1602256816,30,1182,SRX21277931,GSM7688388,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP453707,PRJNA1002994,1,"",SRS18529369,SAMN36871400,simple,9606,Homo sapiens,GSM7688388,Harbin medical university,SRA1688353,08,2023,Makar,colon,SW620_RPF-2,colon,colon,SW620,colon cancer cell,WT,missing,missing
SRR25548671,4755955,372718858,78,138,SRX21277932,GSM7688389,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP453707,PRJNA1002994,1,"",SRS18529370,SAMN36871399,simple,9606,Homo sapiens,GSM7688389,Harbin medical university,SRA1688353,08,2023,Makar,colon,HCT15-PLVX-INPUT-1,colon,colon,HCT15,colon cancer cell,WT,missing,missing
SRR25548670,3165362,218868013,69,103,SRX21277933,GSM7688390,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP453707,PRJNA1002994,1,"",SRS18529371,SAMN36871398,simple,9606,Homo sapiens,GSM7688390,Harbin medical university,SRA1688353,08,2023,Makar,colon,HCT15-PLVX-INPUT-2,colon,colon,HCT15,colon cancer cell,WT,missing,missing
SRR25548669,12798400,429511106,33,250,SRX21277934,GSM7688391,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP453707,PRJNA1002994,1,"",SRS18529372,SAMN36871397,simple,9606,Homo sapiens,GSM7688391,Harbin medical university,SRA1688353,08,2023,Makar,colon,HCT15-PLVX-RPF-1,colon,colon,HCT15,colon cancer cell,WT,missing,missing
SRR25548668,11834968,374374503,31,260,SRX21277935,GSM7688392,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP453707,PRJNA1002994,1,"",SRS18529373,SAMN36871396,simple,9606,Homo sapiens,GSM7688392,Harbin medical university,SRA1688353,08,2023,Makar,colon,HCT15-PLVX-RPF-2,colon,colon,HCT15,colon cancer cell,WT,missing,missing
SRR25548666,8312300,635451706,76,242,SRX21277936,GSM7688393,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP453707,PRJNA1002994,1,"",SRS18529374,SAMN36871395,simple,9606,Homo sapiens,GSM7688393,Harbin medical university,SRA1688353,08,2023,Makar,colon,HCT15-COPS7B-INPUT-1,colon,colon,HCT15,colon cancer cell,COPS7B overexpression,missing,missing
SRR25548665,9195406,613442029,66,286,SRX21277937,GSM7688394,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP453707,PRJNA1002994,1,"",SRS18529375,SAMN36871394,simple,9606,Homo sapiens,GSM7688394,Harbin medical university,SRA1688353,08,2023,Makar,colon,HCT15-COPS7B-INPUT-2,colon,colon,HCT15,colon cancer cell,COPS7B overexpression,missing,missing
SRR25548664,20316805,675539987,33,330,SRX21277938,GSM7688395,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP453707,PRJNA1002994,1,"",SRS18529376,SAMN36871393,simple,9606,Homo sapiens,GSM7688395,Harbin medical university,SRA1688353,08,2023,Makar,colon,HCT15-COPS7B-RPF-1,colon,colon,HCT15,colon cancer cell,COPS7B overexpression,missing,missing
SRR25548667,22075620,732802338,33,422,SRX21277939,GSM7688396,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP453707,PRJNA1002994,1,"",SRS18529377,SAMN36871392,simple,9606,Homo sapiens,GSM7688396,Harbin medical university,SRA1688353,08,2023,Makar,colon,HCT15-COPS7B-RPF-2,colon,colon,HCT15,colon cancer cell,COPS7B overexpression,missing,missing
