Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,cell line,GEO Accession
SRR16295492,63053115,18915934500,150,5614,SRX12574443,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS10530933,SAMN22223623,simple,9606,Homo sapiens,GSM5621695,GEO,SRA1309435,09,2023,Makar,glioma stem cells,MGG4_GSC_ctrl_rep1,glioma stem cells,patient-derived glioma stem cell,,GSM5621699
SRR16295493,109473992,32842197600,150,9666,SRX12574444,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS10530934,SAMN22223624,simple,9606,Homo sapiens,GSM5621696,GEO,SRA1309435,09,2023,Makar,glioma stem cells,MGG4_GSC_ctrl_rep2,glioma stem cells,patient-derived glioma stem cell,,GSM5621700
SRR16295494,45929254,13778776200,150,4071,SRX12574445,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS10530935,SAMN22223625,simple,9606,Homo sapiens,GSM5621697,GEO,SRA1309435,09,2023,Makar,glioma stem cells,MGG4_GSC__FBL_sg1_rep1,glioma cells,,U87-MG,GSM5621701
SRR16295495,57934050,17380215000,150,5095,SRX12574446,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS10530936,SAMN22223626,simple,9606,Homo sapiens,GSM5621698,GEO,SRA1309435,09,2023,Makar,glioma stem cells,MGG4_GSC__FBL_sg1_rep2,glioma cells,,U87-MG,GSM5621702
SRR16295496,6888302,2066490600,150,599,SRX12574447,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS10530937,SAMN22223627,simple,9606,Homo sapiens,GSM5621699,GEO,SRA1309435,09,2023,Makar,glioma stem cells,MGG4_GSC__FBL_sg4_rep1,glioma cells,,U87-MG,GSM5621703
SRR16295497,42930113,12879033900,150,3769,SRX12574447,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS10530937,SAMN22223627,simple,9606,Homo sapiens,GSM5621699,GEO,SRA1309435,09,2023,Makar,glioma stem cells,MGG4_GSC__FBL_sg4_rep1,glioma cells,,U251-MG,GSM5621704
SRR16295498,76278314,22883494200,150,6718,SRX12574448,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS10530938,SAMN22223628,simple,9606,Homo sapiens,GSM5621700,GEO,SRA1309435,09,2023,Makar,glioma stem cells,MGG4_GSC__FBL_sg4_rep2,glioma cells,,U251-MG,GSM5621705
SRR16295499,65756612,19726983600,150,7172,SRX12574451,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP340943,PRJNA770523,1,"",SRS10530941,SAMN22223629,simple,9606,Homo sapiens,GSM5621701,GEO,SRA1309435,09,2023,Makar,glioma cells,U87_input,glioma cells,,U251-MG,GSM5621706
SRR16295500,15129592,4538877600,150,1665,SRX12574452,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP340943,PRJNA770523,1,"",SRS10530942,SAMN22223630,simple,9606,Homo sapiens,GSM5621702,GEO,SRA1309435,09,2023,Makar,glioma cells,U87_IgG,differentiated glioma cells,,patient-derived differentiated glioma cell,GSM6701566
SRR16295501,138606257,41581877100,150,15071,SRX12574453,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP340943,PRJNA770523,1,"",SRS10530943,SAMN22223631,simple,9606,Homo sapiens,GSM5621703,GEO,SRA1309435,09,2023,Makar,glioma cells,U87_NOP58,glioma stem cells,,patient-derived glioma stem cell,GSM6701567
SRR16295502,52777278,15833183400,150,5917,SRX12574454,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP340943,PRJNA770523,1,"",SRS10530944,SAMN22223632,simple,9606,Homo sapiens,GSM5621704,GEO,SRA1309435,09,2023,Makar,glioma cells,U251_input,differentiated glioma cells,,patient-derived differentiated glioma cell,GSM6701568
SRR16295503,14666065,4399819500,150,1636,SRX12574455,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP340943,PRJNA770523,1,"",SRS10530945,SAMN22223633,simple,9606,Homo sapiens,GSM5621705,GEO,SRA1309435,09,2023,Makar,glioma cells,U251_IgG,glioma stem cells,,patient-derived glioma stem cell,GSM6701569
SRR16295504,151640358,45492107400,150,16818,SRX12574456,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP340943,PRJNA770523,1,"",SRS10530946,SAMN22223634,simple,9606,Homo sapiens,GSM5621706,GEO,SRA1309435,09,2023,Makar,glioma cells,U251_NOP58,glioma stem cells,,patient-derived glioma stem cell,GSM6701570
SRR22123753,15771730,4731519000,150,1508,SRX18103448,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS15606329,SAMN31550997,simple,9606,Homo sapiens,GSM6701566,GEO,SRA1309435,09,2023,Makar,differentiated glioma cells,3565_DGC_RiboMeth,glioma stem cells,,patient-derived glioma stem cell,GSM6701571
SRR22123754,15229235,4568770500,150,1433,SRX18103449,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS15606330,SAMN31550999,simple,9606,Homo sapiens,GSM6701567,GEO,SRA1309435,09,2023,Makar,glioma stem cells,3565_GSC_RiboMeth,glioma stem cells,,patient-derived glioma stem cell,GSM6701572
SRR22123755,11434506,3430351800,150,1089,SRX18103450,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS15606331,SAMN31551000,simple,9606,Homo sapiens,GSM6701568,GEO,SRA1309435,09,2023,Makar,differentiated glioma cells,MGG4_DGC_RiboMeth,glioma stem cells,,patient-derived glioma stem cell,GSM6701573
SRR22123756,16538905,4961671500,150,1530,SRX18103451,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS15606332,SAMN31551001,simple,9606,Homo sapiens,GSM6701569,GEO,SRA1309435,09,2023,Makar,glioma stem cells,MGG4_GSC_RiboMeth,glioma stem cells,,patient-derived glioma stem cell,GSM6701574
SRR22123757,32832664,9849799200,150,2984,SRX18103452,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS15606333,SAMN31551003,simple,9606,Homo sapiens,GSM6701570,GEO,SRA1309435,09,2023,Makar,glioma stem cells,3565_GSC_NT_rep1,glioma stem cells,,patient-derived glioma stem cell,GSM6701575
SRR22123758,55172277,16551683100,150,5074,SRX18103453,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS15606334,SAMN31551004,simple,9606,Homo sapiens,GSM6701571,GEO,SRA1309435,09,2023,Makar,glioma stem cells,3565_GSC_NT_rep2,glioma stem cells,,patient-derived glioma stem cell,GSM6701576
SRR22123759,55846351,16753905300,150,5089,SRX18103454,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS15606335,SAMN31551005,simple,9606,Homo sapiens,GSM6701572,GEO,SRA1309435,09,2023,Makar,glioma stem cells,3565_GSC__NOP58_sg1_rep1,glioma stem cells,,patient-derived glioma stem cell,GSM6701577
SRR22123760,59168740,17750622000,150,5436,SRX18103455,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS15606336,SAMN31551006,simple,9606,Homo sapiens,GSM6701573,GEO,SRA1309435,09,2023,Makar,glioma stem cells,3565_GSC__NOP58_sg1_rep2,glioma stem cells,,patient-derived glioma stem cell,GSM6701578
SRR22123761,49969505,14990851500,150,4593,SRX18103456,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS15606337,SAMN31551007,simple,9606,Homo sapiens,GSM6701574,GEO,SRA1309435,09,2023,Makar,glioma stem cells,3565_GSC__NOP58_sg2_rep1,glioma stem cells,,patient-derived glioma stem cell,GSM6701579
SRR22123762,43421916,13026574800,150,4018,SRX18103457,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS15606338,SAMN31551008,simple,9606,Homo sapiens,GSM6701575,GEO,SRA1309435,09,2023,Makar,glioma stem cells,3565_GSC__NOP58_sg2_rep2,glioma stem cells,,patient-derived glioma stem cell,GSM6701580
SRR22123763,49515634,14854690200,150,4330,SRX18103458,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS15606339,SAMN31551009,simple,9606,Homo sapiens,GSM6701576,GEO,SRA1309435,09,2023,Makar,glioma stem cells,MGG4_GSC_NT_rep1,glioma stem cells,,patient-derived glioma stem cell,GSM6701581
SRR22123764,39275580,11782674000,150,3804,SRX18103459,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS15606340,SAMN31551010,simple,9606,Homo sapiens,GSM6701577,GEO,SRA1309435,09,2023,Makar,glioma stem cells,MGG4_GSC_NT_rep2,glioma stem cells,,patient-derived glioma stem cell,GSM6701582
SRR22123765,46911948,14073584400,150,4496,SRX18103460,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS15606341,SAMN31551011,simple,9606,Homo sapiens,GSM6701578,GEO,SRA1309435,09,2023,Makar,glioma stem cells,MGG4_GSC__NOP58_sg1_rep1,glioma stem cells,,patient-derived glioma stem cell,GSM6701583
SRR22123766,39839030,11951709000,150,3654,SRX18103461,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS15606342,SAMN31551012,simple,9606,Homo sapiens,GSM6701579,GEO,SRA1309435,09,2023,Makar,glioma stem cells,MGG4_GSC__NOP58_sg1_rep2,glioma stem cells,,patient-derived glioma stem cell,GSM6701584
SRR22123767,84005563,25201668900,150,7652,SRX18103462,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS15606344,SAMN31551013,simple,9606,Homo sapiens,GSM6701580,GEO,SRA1309435,09,2023,Makar,glioma stem cells,MGG4_GSC__NOP58_sg2_rep1,glioma stem cells,,patient-derived glioma stem cell,GSM6701585
SRR22123768,53258693,15977607900,150,4656,SRX18103463,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS15606343,SAMN31551014,simple,9606,Homo sapiens,GSM6701581,GEO,SRA1309435,09,2023,Makar,glioma stem cells,MGG4_GSC__NOP58_sg2_rep2,glioma stem cells,,patient-derived glioma stem cell,GSM6701586
SRR22123769,35862980,10758894000,150,3365,SRX18103464,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS15606345,SAMN31551015,simple,9606,Homo sapiens,GSM6701582,GEO,SRA1309435,09,2023,Makar,glioma stem cells,3565_GSC_EGFP_rep1,glioma stem cells,,patient-derived glioma stem cell,GSM6701587
SRR22123770,22918325,6875497500,150,2153,SRX18103465,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS15606346,SAMN31551016,simple,9606,Homo sapiens,GSM6701583,GEO,SRA1309435,09,2023,Makar,glioma stem cells,3565_GSC_EGFP_rep2,glioma stem cells,,patient-derived glioma stem cell,GSM6701588
SRR22123771,20861088,6258326400,150,1959,SRX18103466,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS15606347,SAMN31551017,simple,9606,Homo sapiens,GSM6701584,GEO,SRA1309435,09,2023,Makar,glioma stem cells,3565_GSC__INHEG_sg2_rep1,glioma stem cells,,patient-derived glioma stem cell,GSM6701589
SRR22123772,28669037,8600711100,150,2713,SRX18103467,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS15606348,SAMN31551018,simple,9606,Homo sapiens,GSM6701585,GEO,SRA1309435,09,2023,Makar,glioma stem cells,3565_GSC__INHEG_sg2_rep2,glioma stem cells,,patient-derived glioma stem cell,GSM6701590
SRR22123773,18265140,5479542000,150,1725,SRX18103468,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS15606349,SAMN31551019,simple,9606,Homo sapiens,GSM6701586,GEO,SRA1309435,09,2023,Makar,glioma stem cells,3565_GSC__INHEG_sg4_rep1,glioma stem cells,,patient-derived glioma stem cell,GSM6701591
SRR22123774,33814641,10144392300,150,3170,SRX18103469,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS15606350,SAMN31551020,simple,9606,Homo sapiens,GSM6701587,GEO,SRA1309435,09,2023,Makar,glioma stem cells,3565_GSC__INHEG_sg4_rep2,glioma stem cells,,patient-derived glioma stem cell,GSM6701592
SRR22123775,50649498,3798712350,75,1038,SRX18103470,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340943,PRJNA770523,1,"",SRS15606351,SAMN31551021,simple,9606,Homo sapiens,GSM6701588,GEO,SRA1309435,09,2023,Makar,glioma stem cells,3565_GSC_EGFP_Ribo_rep1,glioma stem cells,,patient-derived glioma stem cell,GSM6701593
SRR22123776,51335888,3850191600,75,1056,SRX18103471,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340943,PRJNA770523,1,"",SRS15606352,SAMN31551022,simple,9606,Homo sapiens,GSM6701589,GEO,SRA1309435,09,2023,Makar,glioma stem cells,3565_GSC_EGFP_Ribo_rep2,glioma stem cells,patient-derived glioma stem cell,,GSM5621689
SRR22123777,51287211,3846540825,75,1052,SRX18103472,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340943,PRJNA770523,1,"",SRS15606353,SAMN31551023,simple,9606,Homo sapiens,GSM6701590,GEO,SRA1309435,09,2023,Makar,glioma stem cells,3565_GSC__INHEG_sg2_Ribo_rep1,glioma stem cells,patient-derived glioma stem cell,,GSM5621690
SRR22123778,51527562,3864567150,75,1060,SRX18103473,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340943,PRJNA770523,1,"",SRS15606354,SAMN31550994,simple,9606,Homo sapiens,GSM6701591,GEO,SRA1309435,09,2023,Makar,glioma stem cells,3565_GSC__INHEG_sg2_Ribo_rep2,glioma stem cells,patient-derived glioma stem cell,,GSM5621691
SRR22123779,45763733,3432279975,75,947,SRX18103474,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340943,PRJNA770523,1,"",SRS15606355,SAMN31550995,simple,9606,Homo sapiens,GSM6701592,GEO,SRA1309435,09,2023,Makar,glioma stem cells,3565_GSC__INHEG_sg4_Ribo_rep1,glioma stem cells,patient-derived glioma stem cell,,GSM5621692
SRR22123780,53713363,4028502225,75,1096,SRX18103475,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340943,PRJNA770523,1,"",SRS15606356,SAMN31550996,simple,9606,Homo sapiens,GSM6701593,GEO,SRA1309435,09,2023,Makar,glioma stem cells,3565_GSC__INHEG_sg4_Ribo_rep2,glioma stem cells,patient-derived glioma stem cell,,GSM5621693
