Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,tag
SRR18190082,4000000,2e+08,50,124,SRX14336718,GSM5929268,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151303,SAMN26356058,simple,9606,Homo sapiens,GSM5929268,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-1  [total_noDOX_1],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Untreated
SRR18190083,4000000,2e+08,50,116,SRX14336718,GSM5929268,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151303,SAMN26356058,simple,9606,Homo sapiens,GSM5929268,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-1  [total_noDOX_1],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Dox Treated
SRR18190084,4000000,2e+08,50,114,SRX14336718,GSM5929268,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151303,SAMN26356058,simple,9606,Homo sapiens,GSM5929268,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-1  [total_noDOX_1],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Untreated
SRR18190085,2830165,141508250,50,84,SRX14336718,GSM5929268,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151303,SAMN26356058,simple,9606,Homo sapiens,GSM5929268,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-1  [total_noDOX_1],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Untreated
SRR18190086,4000000,2e+08,50,118,SRX14336718,GSM5929268,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151303,SAMN26356058,simple,9606,Homo sapiens,GSM5929268,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-1  [total_noDOX_1],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Untreated
SRR18190087,4000000,2e+08,50,115,SRX14336718,GSM5929268,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151303,SAMN26356058,simple,9606,Homo sapiens,GSM5929268,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-1  [total_noDOX_1],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Dox Treated
SRR18190088,4000000,2e+08,50,116,SRX14336718,GSM5929268,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151303,SAMN26356058,simple,9606,Homo sapiens,GSM5929268,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-1  [total_noDOX_1],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Dox Treated
SRR18190089,4000000,2e+08,50,117,SRX14336718,GSM5929268,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151303,SAMN26356058,simple,9606,Homo sapiens,GSM5929268,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-1  [total_noDOX_1],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Untreated
SRR18190090,3707959,185397950,50,110,SRX14336718,GSM5929268,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151303,SAMN26356058,simple,9606,Homo sapiens,GSM5929268,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-1  [total_noDOX_1],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Dox Treated
SRR18190091,4000000,2e+08,50,115,SRX14336718,GSM5929268,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151303,SAMN26356058,simple,9606,Homo sapiens,GSM5929268,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-1  [total_noDOX_1],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Dox Treated
SRR18190092,4000000,2e+08,50,116,SRX14336718,GSM5929268,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151303,SAMN26356058,simple,9606,Homo sapiens,GSM5929268,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-1  [total_noDOX_1],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Dox Treated
SRR18190051,4000000,2e+08,50,115,SRX14336719,GSM5929269,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151304,SAMN26356057,simple,9606,Homo sapiens,GSM5929269,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-2 [total_noDOX_2],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Untreated
SRR18190052,4000000,2e+08,50,114,SRX14336719,GSM5929269,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151304,SAMN26356057,simple,9606,Homo sapiens,GSM5929269,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-2 [total_noDOX_2],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Untreated
SRR18190053,4000000,2e+08,50,115,SRX14336719,GSM5929269,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151304,SAMN26356057,simple,9606,Homo sapiens,GSM5929269,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-2 [total_noDOX_2],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Dox Treated
SRR18190054,4000000,2e+08,50,127,SRX14336719,GSM5929269,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151304,SAMN26356057,simple,9606,Homo sapiens,GSM5929269,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-2 [total_noDOX_2],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Untreated
SRR18190055,4000000,2e+08,50,115,SRX14336719,GSM5929269,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151304,SAMN26356057,simple,9606,Homo sapiens,GSM5929269,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-2 [total_noDOX_2],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Untreated
SRR18190056,1364028,68201400,50,41,SRX14336719,GSM5929269,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151304,SAMN26356057,simple,9606,Homo sapiens,GSM5929269,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-2 [total_noDOX_2],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Untreated
SRR18190057,4000000,2e+08,50,117,SRX14336719,GSM5929269,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151304,SAMN26356057,simple,9606,Homo sapiens,GSM5929269,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-2 [total_noDOX_2],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Dox Treated
SRR18190058,4000000,2e+08,50,116,SRX14336719,GSM5929269,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151304,SAMN26356057,simple,9606,Homo sapiens,GSM5929269,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-2 [total_noDOX_2],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Dox Treated
SRR18190059,4000000,2e+08,50,118,SRX14336719,GSM5929269,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151304,SAMN26356057,simple,9606,Homo sapiens,GSM5929269,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-2 [total_noDOX_2],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Untreated
SRR18190060,4000000,2e+08,50,116,SRX14336719,GSM5929269,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151304,SAMN26356057,simple,9606,Homo sapiens,GSM5929269,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-2 [total_noDOX_2],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Dox Treated
SRR18190061,4000000,2e+08,50,125,SRX14336719,GSM5929269,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151304,SAMN26356057,simple,9606,Homo sapiens,GSM5929269,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-2 [total_noDOX_2],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Dox Treated
SRR18190062,4000000,2e+08,50,116,SRX14336719,GSM5929269,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151304,SAMN26356057,simple,9606,Homo sapiens,GSM5929269,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-2 [total_noDOX_2],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Dox Treated
SRR18190063,4000000,2e+08,50,112,SRX14336719,GSM5929269,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151304,SAMN26356057,simple,9606,Homo sapiens,GSM5929269,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-2 [total_noDOX_2],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Untreated
SRR18190064,2091218,104560900,50,62,SRX14336719,GSM5929269,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151304,SAMN26356057,simple,9606,Homo sapiens,GSM5929269,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-2 [total_noDOX_2],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Untreated
SRR18190065,4000000,2e+08,50,118,SRX14336719,GSM5929269,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151304,SAMN26356057,simple,9606,Homo sapiens,GSM5929269,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-2 [total_noDOX_2],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Dox Treated
SRR18190066,4000000,2e+08,50,115,SRX14336719,GSM5929269,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151304,SAMN26356057,simple,9606,Homo sapiens,GSM5929269,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-2 [total_noDOX_2],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Untreated
SRR18190067,4000000,2e+08,50,115,SRX14336719,GSM5929269,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151304,SAMN26356057,simple,9606,Homo sapiens,GSM5929269,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-2 [total_noDOX_2],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Untreated
SRR18190068,4000000,2e+08,50,116,SRX14336719,GSM5929269,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151304,SAMN26356057,simple,9606,Homo sapiens,GSM5929269,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-2 [total_noDOX_2],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Untreated
SRR18190069,3356991,167849550,50,99,SRX14336719,GSM5929269,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151304,SAMN26356057,simple,9606,Homo sapiens,GSM5929269,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-2 [total_noDOX_2],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Dox Treated
SRR18190070,4000000,2e+08,50,115,SRX14336719,GSM5929269,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151304,SAMN26356057,simple,9606,Homo sapiens,GSM5929269,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-2 [total_noDOX_2],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Dox Treated
SRR18190071,4000000,2e+08,50,116,SRX14336719,GSM5929269,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151304,SAMN26356057,simple,9606,Homo sapiens,GSM5929269,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-2 [total_noDOX_2],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Untreated
SRR18190031,4000000,2e+08,50,119,SRX14336720,GSM5929270,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151306,SAMN26356056,simple,9606,Homo sapiens,GSM5929270,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-3 [total_noDOX_3],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Dox Treated
SRR18190032,4000000,2e+08,50,118,SRX14336720,GSM5929270,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151306,SAMN26356056,simple,9606,Homo sapiens,GSM5929270,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-3 [total_noDOX_3],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Dox Treated
SRR18190033,4000000,2e+08,50,120,SRX14336720,GSM5929270,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151306,SAMN26356056,simple,9606,Homo sapiens,GSM5929270,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-3 [total_noDOX_3],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Dox Treated
SRR18190034,4000000,2e+08,50,127,SRX14336720,GSM5929270,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151306,SAMN26356056,simple,9606,Homo sapiens,GSM5929270,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-3 [total_noDOX_3],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Untreated
SRR18190035,3637387,181869350,50,109,SRX14336720,GSM5929270,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP362139,PRJNA811788,35626002,"",SRS12151306,SAMN26356056,simple,9606,Homo sapiens,GSM5929270,"Wendel Lab, Cancer Biology and Genetics, Memorial Sloan Kettering Cancer Center",SRA1380028,03,2022,Mohan,Human embryonic kidney 293 cells,Total 293T4A DMSO-3 [total_noDOX_3],Human embryonic kidney 293 cells,293T4A,Human embryonic kidney cell line,Untreated
