Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,developmental stage,sex,tissue,genotype,BioSampleModel,dev_stage
SRR11174236,54052302,2756667402,51,867,SRX7795325,SJA245,RNA-Seq,RACE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP201630,PRJNA548154,1,"",SRS6210715,SAMN14165861,simple,6239,Caenorhabditis elegans,unc-54(cc4092) skih-2(cc2854) pelo-1(cc2849) nonu-1(srf3015),UC Santa Cruz,SRA1047379,02,2020,Makar,"",unc-54(cc4092) skih-2(cc2854) pelo-1(cc2849) nonu-1(srf3015),WJA0811,Asynchronous,hermaphrodite,Whole body,unc-54(cc4092) skih-2(cc2854) pelo-1(cc2849) nonu-1(srf3015),Model organism or animal,
SRR11174235,63186649,3222519099,51,1021,SRX7795326,SPL11L,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP201630,PRJNA548154,1,"",SRS6210713,SAMN14165860,simple,6239,Caenorhabditis elegans,unc-54(srf0788) nonu-1(srf2138) pelo-1(cc2849) skih-2(cc2854),UC Santa Cruz,SRA1047379,02,2020,Makar,"",unc-54(srf0788) nonu-1(srf2138) pelo-1(cc2849) skih-2(cc2854),WJA0815,Asynchronous,hermaphrodite,Whole body,unc-54(srf0788) nonu-1(srf2138) pelo-1(cc2849) skih-2(cc2854),Model organism or animal,
SRR11174234,5993222,910969744,76,338,SRX7795327,TEJA01,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP201630,PRJNA548154,1,"",SRS6210716,SAMN14165850,simple,6239,Caenorhabditis elegans,nonu-1(srf0780) unc-54(cc4092),UC Santa Cruz,SRA1047379,02,2020,Makar,"",nonu-1(srf0780) unc-54(cc4092),WJA0780,Young adult,hermaphrodite,Whole body,nonu-1(srf0780) unc-54(cc4092),Model organism or animal,
SRR11174233,48422152,2469529752,51,799,SRX7795328,SPM11S_L006,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP201630,PRJNA548154,1,"",SRS6210713,SAMN14165860,simple,6239,Caenorhabditis elegans,unc-54(srf0788) nonu-1(srf2138) pelo-1(cc2849) skih-2(cc2854),UC Santa Cruz,SRA1047379,02,2020,Makar,"",unc-54(srf0788) nonu-1(srf2138) pelo-1(cc2849) skih-2(cc2854),WJA0815,Asynchronous,hermaphrodite,Whole body,unc-54(srf0788) nonu-1(srf2138) pelo-1(cc2849) skih-2(cc2854),Model organism or animal,
SRR11174232,83342752,4250480352,51,1386,SRX7795329,SPM11S_L008,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP201630,PRJNA548154,1,"",SRS6210713,SAMN14165860,simple,6239,Caenorhabditis elegans,unc-54(srf0788) nonu-1(srf2138) pelo-1(cc2849) skih-2(cc2854),UC Santa Cruz,SRA1047379,02,2020,Makar,"",unc-54(srf0788) nonu-1(srf2138) pelo-1(cc2849) skih-2(cc2854),WJA0815,Asynchronous,hermaphrodite,Whole body,unc-54(srf0788) nonu-1(srf2138) pelo-1(cc2849) skih-2(cc2854),Model organism or animal,
SRR11174231,59897932,3054794532,51,973,SRX7795330,SPL8L,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP201630,PRJNA548154,1,"",SRS6210714,SAMN14165859,simple,6239,Caenorhabditis elegans,unc-54(cc4092) skih-2(cc2854) pelo-1(cc2849),UC Santa Cruz,SRA1047379,02,2020,Makar,"",unc-54(cc4092) skih-2(cc2854) pelo-1(cc2849),WJA0579,Asynchronous,hermaphrodite,Whole body,unc-54(cc4092) skih-2(cc2854) pelo-1 (cc2849),Model organism or animal,
SRR11174230,81710260,4167223260,51,1349,SRX7795331,SPM8,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP201630,PRJNA548154,1,"",SRS6210714,SAMN14165859,simple,6239,Caenorhabditis elegans,unc-54(cc4092) skih-2(cc2854) pelo-1(cc2849),UC Santa Cruz,SRA1047379,02,2020,Makar,"",unc-54(cc4092) skih-2(cc2854) pelo-1(cc2849),WJA0579,Asynchronous,hermaphrodite,Whole body,unc-54(cc4092) skih-2(cc2854) pelo-1 (cc2849),Model organism or animal,
SRR11174229,1453039,220861928,76,88,SRX7795332,TEJA13,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP201630,PRJNA548154,1,"",SRS6210717,SAMN14165853,simple,6239,Caenorhabditis elegans,unc-54(srf0788),UC Santa Cruz,SRA1047379,02,2020,Makar,"",unc-54(srf0788),WJA0788,Young adult,hermaphrodite,Whole body,unc-54(srf0788),Model organism or animal,
SRR11174228,1476649,224450648,76,89,SRX7795333,TEJA14,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP201630,PRJNA548154,1,"",SRS6210707,SAMN14165854,simple,6239,Caenorhabditis elegans,nonu-1(srf0780) unc-54(srf0788),UC Santa Cruz,SRA1047379,02,2020,Makar,"",nonu-1(srf0780) unc-54(srf0788),WJA0789,Young adult,hermaphrodite,Whole body,nonu-1(srf0780) unc-54(srf0788),Model organism or animal,
SRR11174227,1262409,191886168,76,76,SRX7795334,TEJA15,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP201630,PRJNA548154,1,"",SRS6210708,SAMN14165855,simple,6239,Caenorhabditis elegans,skih-2(cc2854) unc-54(srf0788),UC Santa Cruz,SRA1047379,02,2020,Makar,"",skih-2(cc2854) unc-54(srf0788),WJA0790,Young adult,hermaphrodite,Whole body,skih-2(cc2854) unc-54(srf0788),Model organism or animal,
SRR11174226,6617681,1005887512,76,372,SRX7795335,TEJA02,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP201630,PRJNA548154,1,"",SRS6210716,SAMN14165850,simple,6239,Caenorhabditis elegans,nonu-1(srf0780) unc-54(cc4092),UC Santa Cruz,SRA1047379,02,2020,Makar,"",nonu-1(srf0780) unc-54(cc4092),WJA0780,Young adult,hermaphrodite,Whole body,nonu-1(srf0780) unc-54(cc4092),Model organism or animal,
SRR11174225,19247830,2925670160,76,1092,SRX7795336,TEJA07,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP201630,PRJNA548154,1,"",SRS6210716,SAMN14165850,simple,6239,Caenorhabditis elegans,nonu-1(srf0780) unc-54(cc4092),UC Santa Cruz,SRA1047379,02,2020,Makar,"",nonu-1(srf0780) unc-54(cc4092),WJA0780,Young adult,hermaphrodite,Whole body,nonu-1(srf0780) unc-54(cc4092),Model organism or animal,
SRR11174224,7512513,1141901976,76,423,SRX7795337,TEJA03,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP201630,PRJNA548154,1,"",SRS6210718,SAMN14165851,simple,6239,Caenorhabditis elegans,skih-2(cc2854) unc-54(cc4092),UC Santa Cruz,SRA1047379,02,2020,Makar,"",skih-2(cc2854) unc-54(cc4092),WJA0552,Young adult,hermaphrodite,Whole body,skih-2(cc2854) unc-54(cc4092),Model organism or animal,
SRR11174223,22758298,3459261296,76,1290,SRX7795338,TEJA06,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP201630,PRJNA548154,1,"",SRS6210718,SAMN14165851,simple,6239,Caenorhabditis elegans,skih-2(cc2854) unc-54(cc4092),UC Santa Cruz,SRA1047379,02,2020,Makar,"",skih-2(cc2854) unc-54(cc4092),WJA0552,Young adult,hermaphrodite,Whole body,skih-2(cc2854) unc-54(cc4092),Model organism or animal,
SRR11174222,18618142,2829957584,76,1061,SRX7795339,TEJA08,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP201630,PRJNA548154,1,"",SRS6210719,SAMN14165852,simple,6239,Caenorhabditis elegans,nonu-1(srf0780) skih-2(cc2854) unc-54(cc4092),UC Santa Cruz,SRA1047379,02,2020,Makar,"",nonu-1(srf0780) skih-2(cc2854) unc-54(cc4092),WJA0785,Young adult,hermaphrodite,Whole body,nonu-1(srf0780) skih-2(cc2854) unc-54(cc4092),Model organism or animal,
SRR11174221,23181358,3523566416,76,1311,SRX7795340,TEJA09,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP201630,PRJNA548154,1,"",SRS6210719,SAMN14165852,simple,6239,Caenorhabditis elegans,nonu-1(srf0780) skih-2(cc2854) unc-54(cc4092),UC Santa Cruz,SRA1047379,02,2020,Makar,"",nonu-1(srf0780) skih-2(cc2854) unc-54(cc4092),WJA0785,Young adult,hermaphrodite,Whole body,nonu-1(srf0780) skih-2(cc2854) unc-54(cc4092),Model organism or animal,
SRR11174220,755592,114849984,76,45,SRX7795341,TEJA10,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP201630,PRJNA548154,1,"",SRS6210717,SAMN14165853,simple,6239,Caenorhabditis elegans,unc-54(srf0788),UC Santa Cruz,SRA1047379,02,2020,Makar,"",unc-54(srf0788),WJA0788,Young adult,hermaphrodite,Whole body,unc-54(srf0788),Model organism or animal,
