Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,age,stimulation,ribosome inhibitor treatment,rrna subtraction strategy,strain,GEO Accession
SRR2724718,53348273,2720761923,51,1783,SRX1354288,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120852,SAMN04194198,simple,10090,Mus musculus,GSM1911103,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, no drug treatment, 12 h LPS",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,12 h LPS,None,RiboZero,C57BL/6J,GSM1911103
SRR2724719,36790185,1876299435,51,1190,SRX1354289,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120851,SAMN04194199,simple,10090,Mus musculus,GSM1911104,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, cycloheximide-treated, naïve, replicate 1",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,None,"100 ug/mL cycloheximide, 1 min",Subtractive hybridization,C57BL/6J,GSM1911104
SRR2724720,40702194,2075811894,51,1308,SRX1354290,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120850,SAMN04194200,simple,10090,Mus musculus,GSM1911105,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, cycloheximide-treated, naïve, replicate 2",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,None,"100 ug/mL cycloheximide, 1 min",Subtractive hybridization,C57BL/6J,GSM1911105
SRR2724721,29893959,1524591909,51,966,SRX1354291,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120849,SAMN04194201,simple,10090,Mus musculus,GSM1911106,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, cycloheximide-treated, 0.5 h LPS, replicate 1",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,0.5 h LPS,"100 ug/mL cycloheximide, 1 min",Subtractive hybridization,C57BL/6J,GSM1911106
SRR2724722,68505373,3493774023,51,2203,SRX1354292,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120848,SAMN04194202,simple,10090,Mus musculus,GSM1911107,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, cycloheximide-treated, 0.5 h LPS, replicate 2",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,0.5 h LPS,"100 ug/mL cycloheximide, 1 min",Subtractive hybridization,C57BL/6J,GSM1911107
SRR2724723,42148183,2149557333,51,1345,SRX1354293,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120847,SAMN04194203,simple,10090,Mus musculus,GSM1911108,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, cycloheximide-treated, 1 h LPS, replicate 1",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,1 h LPS,"100 ug/mL cycloheximide, 1 min",Subtractive hybridization,C57BL/6J,GSM1911108
SRR2724724,46447212,2368807812,51,1476,SRX1354294,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120846,SAMN04194204,simple,10090,Mus musculus,GSM1911109,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, cycloheximide-treated, 1 h LPS, replicate 2",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,1 h LPS,"100 ug/mL cycloheximide, 1 min",Subtractive hybridization,C57BL/6J,GSM1911109
SRR2724725,71098080,3626002080,51,2325,SRX1354295,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120845,SAMN04194205,simple,10090,Mus musculus,GSM1911110,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, cycloheximide-treated, 2 h LPS, replicate 1",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,2 h LPS,"100 ug/mL cycloheximide, 1 min",Subtractive hybridization,C57BL/6J,GSM1911110
SRR2724726,42021887,2143116237,51,1299,SRX1354296,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120843,SAMN04194206,simple,10090,Mus musculus,GSM1911111,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, cycloheximide-treated, 2 h LPS, replicate 2",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,2 h LPS,"100 ug/mL cycloheximide, 1 min",Subtractive hybridization,C57BL/6J,GSM1911111
SRR2724727,71079984,3625079184,51,2322,SRX1354297,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120844,SAMN04194207,simple,10090,Mus musculus,GSM1911112,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, cycloheximide-treated, 4 h LPS, replicate 1",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,4 h LPS,"100 ug/mL cycloheximide, 1 min",Subtractive hybridization,C57BL/6J,GSM1911112
SRR2724728,29544002,1506744102,51,945,SRX1354298,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120842,SAMN04194208,simple,10090,Mus musculus,GSM1911113,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, cycloheximide-treated, 4 h LPS, replicate 2",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,4 h LPS,"100 ug/mL cycloheximide, 1 min",Subtractive hybridization,C57BL/6J,GSM1911113
SRR2724729,78540591,4005570141,51,2567,SRX1354299,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120841,SAMN04194209,simple,10090,Mus musculus,GSM1911114,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, cycloheximide-treated, 6 h LPS, replicate 1",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,6 h LPS,"100 ug/mL cycloheximide, 1 min",Subtractive hybridization,C57BL/6J,GSM1911114
SRR2724730,47939225,2444900475,51,1475,SRX1354300,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120840,SAMN04194210,simple,10090,Mus musculus,GSM1911115,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, cycloheximide-treated, 6 h LPS, replicate 2",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,6 h LPS,"100 ug/mL cycloheximide, 1 min",Subtractive hybridization,C57BL/6J,GSM1911115
SRR2724731,50638677,2582572527,51,1666,SRX1354301,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120839,SAMN04194211,simple,10090,Mus musculus,GSM1911116,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, cycloheximide-treated, 8 h LPS, replicate 1",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,8 h LPS,"100 ug/mL cycloheximide, 1 min",Subtractive hybridization,C57BL/6J,GSM1911116
SRR2724732,34486372,1758804972,51,1117,SRX1354302,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120838,SAMN04194212,simple,10090,Mus musculus,GSM1911117,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, cycloheximide-treated, 8 h LPS, replicate 2",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,8 h LPS,"100 ug/mL cycloheximide, 1 min",Subtractive hybridization,C57BL/6J,GSM1911117
SRR2724733,47279599,2411259549,51,1550,SRX1354303,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120837,SAMN04194213,simple,10090,Mus musculus,GSM1911118,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, cycloheximide-treated, 9 h LPS, replicate 1",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,9 h LPS,"100 ug/mL cycloheximide, 1 min",Subtractive hybridization,C57BL/6J,GSM1911118
SRR2724734,79998985,4079948235,51,2581,SRX1354304,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120835,SAMN04194214,simple,10090,Mus musculus,GSM1911119,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, cycloheximide-treated, 9 h LPS, replicate 2",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,9 h LPS,"100 ug/mL cycloheximide, 1 min",Subtractive hybridization,C57BL/6J,GSM1911119
SRR2724735,73358431,3741279981,51,2351,SRX1354305,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120836,SAMN04194215,simple,10090,Mus musculus,GSM1911120,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, cycloheximide-treated, 12 h LPS, replicate 1",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,12 h LPS,"100 ug/mL cycloheximide, 1 min",Subtractive hybridization,C57BL/6J,GSM1911120
SRR2724736,58933265,3005596515,51,1921,SRX1354306,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120834,SAMN04194175,simple,10090,Mus musculus,GSM1911121,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, cycloheximide-treated, 12 h LPS, replicate 2",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,12 h LPS,"100 ug/mL cycloheximide, 1 min",Subtractive hybridization,C57BL/6J,GSM1911121
SRR2724737,44514301,2270229351,51,1512,SRX1354307,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120832,SAMN04194176,simple,10090,Mus musculus,GSM1911122,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, cycloheximide-treated, 0.5 h mock",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,0.5 h mock,"100 ug/mL cycloheximide, 1 min",Subtractive hybridization,C57BL/6J,GSM1911122
SRR2724738,37715021,1923466071,51,1274,SRX1354308,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120833,SAMN04194177,simple,10090,Mus musculus,GSM1911123,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, cycloheximide-treated, 1 h mock",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,1 h mock,"100 ug/mL cycloheximide, 1 min",Subtractive hybridization,C57BL/6J,GSM1911123
SRR2724739,46205815,2356496565,51,1558,SRX1354309,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120831,SAMN04194178,simple,10090,Mus musculus,GSM1911124,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, cycloheximide-treated, 2 h mock",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,2 h mock,"100 ug/mL cycloheximide, 1 min",Subtractive hybridization,C57BL/6J,GSM1911124
SRR2724740,42143560,2149321560,51,1424,SRX1354310,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120830,SAMN04194179,simple,10090,Mus musculus,GSM1911125,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, cycloheximide-treated, 4 h mock",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,4 h mock,"100 ug/mL cycloheximide, 1 min",Subtractive hybridization,C57BL/6J,GSM1911125
SRR2724741,46710179,2382219129,51,1572,SRX1354311,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120829,SAMN04194180,simple,10090,Mus musculus,GSM1911126,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, cycloheximide-treated, 6 h mock",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,6 h mock,"100 ug/mL cycloheximide, 1 min",Subtractive hybridization,C57BL/6J,GSM1911126
SRR2724742,57108381,2912527431,51,1919,SRX1354312,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120828,SAMN04194181,simple,10090,Mus musculus,GSM1911127,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, cycloheximide-treated, 8 h mock",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,8 h mock,"100 ug/mL cycloheximide, 1 min",Subtractive hybridization,C57BL/6J,GSM1911127
SRR2724743,40000695,2040035445,51,1353,SRX1354313,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120827,SAMN04194182,simple,10090,Mus musculus,GSM1911128,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, cycloheximide-treated, 9 h mock",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,9 h mock,"100 ug/mL cycloheximide, 1 min",Subtractive hybridization,C57BL/6J,GSM1911128
SRR2724744,51618253,2632530903,51,1735,SRX1354314,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120826,SAMN04194183,simple,10090,Mus musculus,GSM1911129,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, cycloheximide-treated, 12 h mock",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,12 h mock,"100 ug/mL cycloheximide, 1 min",Subtractive hybridization,C57BL/6J,GSM1911129
