Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,library type,media,total rna selection method,rt enzyme,harvest method,GEO Accession
SRR1585902,16497497,824874850,50,551,SRX710246,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709026,SAMN03079477,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513391,GEO,SRA185842,04,2016,Thompson,YWG1116,asc1-M1X YPAD RNA-Seq rep1,YWG1116,YWG1116,RNA-Seq,YPAD (2% glucose w/v),oligo dT cellulose,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513391
SRR1585903,17501140,700045600,40,469,SRX710247,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709025,SAMN03079478,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513392,GEO,SRA185842,04,2016,Thompson,YWG1121,asc1-M1X YPAD RNA-Seq rep2,YWG1121,YWG1121,RNA-Seq,YPAD (2% glucose w/v),oligo dT cellulose,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513392
SRR1585904,20072401,1003620050,50,661,SRX710248,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709027,SAMN03079479,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513393,GEO,SRA185842,04,2016,Thompson,YWG1036,asc1-Null YPAD Ribo-Seq rep1,YWG1036,YWG1036,Ribo-Seq,YPAD (2% glucose w/v),-,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513393
SRR1585905,18159320,726372800,40,477,SRX710249,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709030,SAMN03079480,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513394,GEO,SRA185842,04,2016,Thompson,YWG1035,asc1-Null YPAD Ribo-Seq rep2,YWG1035,YWG1035,Ribo-Seq,YPAD (2% glucose w/v),-,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513394
SRR1585906,14943952,747197600,50,502,SRX710250,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709028,SAMN03079481,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513395,GEO,SRA185842,04,2016,Thompson,YWG1036,asc1-Null YPAD RNA-Seq rep1,YWG1036,YWG1036,RNA-Seq,YPAD (2% glucose w/v),oligo dT cellulose,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513395
SRR1585907,19170019,766800760,40,512,SRX710251,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709029,SAMN03079482,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513396,GEO,SRA185842,04,2016,Thompson,YWG1035,asc1-Null YPAD RNA-Seq rep2,YWG1035,YWG1035,RNA-Seq,YPAD (2% glucose w/v),oligo dT cellulose,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513396
SRR1585908,16875090,843754500,50,562,SRX710252,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709032,SAMN03079483,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513397,GEO,SRA185842,04,2016,Thompson,YWG1064,rpl23b-Null YPAD Ribo-Seq rep1,YWG1064,YWG1064,Ribo-Seq,YPAD (2% glucose w/v),-,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513397
SRR1585909,17546901,701876040,40,461,SRX710253,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709031,SAMN03079484,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513398,GEO,SRA185842,04,2016,Thompson,YWG1062,rpl23b-Null YPAD Ribo-Seq rep2,YWG1062,YWG1062,Ribo-Seq,YPAD (2% glucose w/v),-,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513398
SRR1585910,17122323,856116150,50,574,SRX710254,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709033,SAMN03079485,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513399,GEO,SRA185842,04,2016,Thompson,YWG1064,rpl23b-Null YPAD RNA-Seq rep1,YWG1064,YWG1064,RNA-Seq,YPAD (2% glucose w/v),oligo dT cellulose,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513399
SRR1585911,13946174,557846960,40,375,SRX710255,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709034,SAMN03079486,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513400,GEO,SRA185842,04,2016,Thompson,YWG1062,rpl23b-Null YPAD RNA-Seq rep2,YWG1062,YWG1062,RNA-Seq,YPAD (2% glucose w/v),oligo dT cellulose,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513400
SRR1585912,16108623,805431150,50,538,SRX710256,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709035,SAMN03079487,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513401,GEO,SRA185842,04,2016,Thompson,YWG1072,rpp1a-Null YPAD Ribo-Seq rep1,YWG1072,YWG1072,Ribo-Seq,YPAD (2% glucose w/v),-,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513401
SRR1585913,19038456,761538240,40,499,SRX710257,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709036,SAMN03079488,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513402,GEO,SRA185842,04,2016,Thompson,YWG1073,rpp1a-Null YPAD Ribo-Seq rep2,YWG1073,YWG1073,Ribo-Seq,YPAD (2% glucose w/v),-,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513402
SRR1585914,14019067,700953350,50,469,SRX710258,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709037,SAMN03079489,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513403,GEO,SRA185842,04,2016,Thompson,YWG1072,rpp1a-Null YPAD RNA-Seq rep1,YWG1072,YWG1072,RNA-Seq,YPAD (2% glucose w/v),oligo dT cellulose,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513403
SRR1585915,19971580,798863200,40,537,SRX710259,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709038,SAMN03079490,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513404,GEO,SRA185842,04,2016,Thompson,YWG1073,rpp1a-Null YPAD RNA-Seq rep2,YWG1073,YWG1073,RNA-Seq,YPAD (2% glucose w/v),oligo dT cellulose,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513404
SRR1585916,16704810,584668350,35,228,SRX710260,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP047486,PRJNA262036,27117520,"",SRS709039,SAMN03079491,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513405,GEO,SRA185842,04,2016,Thompson,YWG25,"WT YPAD Ribo-Seq rep1, pA-tailed",YWG25,YWG25,Ribo-Seq,YPAD (2% glucose w/v),-,Superscript III,"cool on ice, resuspend cells in cold lysis buffer, lyse immediately",GSM1513405
SRR1585917,18129494,634532290,35,398,SRX710261,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP047486,PRJNA262036,27117520,"",SRS709040,SAMN03079492,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513406,GEO,SRA185842,04,2016,Thompson,YWG25,"WT YPAD Ribo-Seq rep2, pA-tailed",YWG25,YWG25,Ribo-Seq,YPAD (2% glucose w/v),-,Superscript III,"cool on ice, resuspend cells in cold lysis buffer, lyse immediately",GSM1513406
SRR1585918,17547477,614161695,35,250,SRX710262,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP047486,PRJNA262036,27117520,"",SRS709041,SAMN03079493,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513407,GEO,SRA185842,04,2016,Thompson,YWG25,"WT YPAD RNA-Seq rep1, pA-tailed",YWG25,YWG25,RNA-Seq,YPAD (2% glucose w/v),oligo dT beads,Superscript III,"cool on ice, resuspend cells in cold lysis buffer, lyse immediately",GSM1513407
SRR1585919,20254037,708891295,35,425,SRX710263,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP047486,PRJNA262036,27117520,"",SRS709042,SAMN03079494,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513408,GEO,SRA185842,04,2016,Thompson,YWG25,"WT YPAD RNA-Seq rep2, pA-tailed",YWG25,YWG25,RNA-Seq,YPAD (2% glucose w/v),oligo dT beads,Superscript III,"cool on ice, resuspend cells in cold lysis buffer, lyse immediately",GSM1513408
SRR1585920,15202816,532098560,35,206,SRX710264,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP047486,PRJNA262036,27117520,"",SRS709043,SAMN03079442,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513409,GEO,SRA185842,04,2016,Thompson,YWG1247,"asc1-DE YPAD Ribo-Seq rep1, pA-tailed",YWG1247,YWG1247,Ribo-Seq,YPAD (2% glucose w/v),-,Superscript III,"cool on ice, resuspend cells in cold lysis buffer, lyse immediately",GSM1513409
SRR1585921,18958390,663543650,35,413,SRX710265,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP047486,PRJNA262036,27117520,"",SRS709044,SAMN03079443,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513410,GEO,SRA185842,04,2016,Thompson,YWG1247,"asc1-DE YPAD Ribo-Seq rep2, pA-tailed",YWG1247,YWG1247,Ribo-Seq,YPAD (2% glucose w/v),-,Superscript III,"cool on ice, resuspend cells in cold lysis buffer, lyse immediately",GSM1513410
SRR1585922,10533486,368672010,35,177,SRX710266,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP047486,PRJNA262036,27117520,"",SRS709045,SAMN03079437,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513411,GEO,SRA185842,04,2016,Thompson,YWG1247,"asc1-DE YPAD RNA-Seq rep1, pA-tailed",YWG1247,YWG1247,RNA-Seq,YPAD (2% glucose w/v),oligo dT beads,Superscript III,"cool on ice, resuspend cells in cold lysis buffer, lyse immediately",GSM1513411
SRR1585923,19306180,675716300,35,435,SRX710267,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP047486,PRJNA262036,27117520,"",SRS709046,SAMN03079438,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513412,GEO,SRA185842,04,2016,Thompson,YWG1247,"asc1-DE YPAD RNA-Seq rep2, pA-tailed",YWG1247,YWG1247,RNA-Seq,YPAD (2% glucose w/v),oligo dT beads,Superscript III,"cool on ice, resuspend cells in cold lysis buffer, lyse immediately",GSM1513412
SRR1585924,13073197,653659850,50,404,SRX710268,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709047,SAMN03079439,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513413,GEO,SRA185842,04,2016,Thompson,YWG25,"WT YPAD Ribo-Seq rep1, reprep",YWG25,YWG25,Ribo-Seq,YPAD (2% glucose w/v),-,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513413
SRR1585925,12771510,638575500,50,398,SRX710269,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709048,SAMN03079440,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513414,GEO,SRA185842,04,2016,Thompson,YWG1114,"asc1-D109Y YPAD Ribo-Seq rep1, reprep",YWG1114,YWG1114,Ribo-Seq,YPAD (2% glucose w/v),-,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513414
SRR1585926,12828056,641402800,50,396,SRX710270,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709049,SAMN03079441,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513415,GEO,SRA185842,04,2016,Thompson,YWG1116,"asc1-M1X YPAD Ribo-Seq rep1, reprep",YWG1116,YWG1116,Ribo-Seq,YPAD (2% glucose w/v),-,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513415
SRR1585927,15939470,796973500,50,494,SRX710271,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709050,SAMN03079444,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513416,GEO,SRA185842,04,2016,Thompson,YWG1036,"asc1-Null YPAD Ribo-Seq rep1, reprep",YWG1036,YWG1036,Ribo-Seq,YPAD (2% glucose w/v),-,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513416
SRR1585928,17776048,888802400,50,545,SRX710272,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709051,SAMN03079445,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513417,GEO,SRA185842,04,2016,Thompson,YWG1064,"rpl23b-Null YPAD Ribo-Seq rep1, reprep",YWG1064,YWG1064,Ribo-Seq,YPAD (2% glucose w/v),-,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513417
SRR1585929,16542510,827125500,50,518,SRX710273,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709052,SAMN03079446,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513418,GEO,SRA185842,04,2016,Thompson,YWG1072,"rpp1a-Null YPAD Ribo-Seq rep1, reprep",YWG1072,YWG1072,Ribo-Seq,YPAD (2% glucose w/v),-,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513418
SRR1585930,19365429,774617160,40,544,SRX710274,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709053,SAMN03079447,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513419,GEO,SRA185842,04,2016,Thompson,YWG25,WT YPAG Ribo-Seq rep1,YWG25,YWG25,Ribo-Seq,YPAG (3% glycerol w/v),-,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513419
SRR1585931,30537007,1221480280,40,859,SRX710275,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709054,SAMN03079448,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513420,GEO,SRA185842,04,2016,Thompson,YWG25,WT YPAG Ribo-Seq rep2,YWG25,YWG25,Ribo-Seq,YPAG (3% glycerol w/v),-,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513420
SRR1585932,25415750,1016630000,40,722,SRX710276,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709055,SAMN03079449,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513421,GEO,SRA185842,04,2016,Thompson,YWG25,WT YPAG RNA-Seq rep1,YWG25,YWG25,RNA-Seq,YPAG (3% glycerol w/v),oligo dT cellulose,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513421
SRR1585933,24827009,993080360,40,704,SRX710277,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709056,SAMN03079450,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513422,GEO,SRA185842,04,2016,Thompson,YWG25,WT YPAG RNA-Seq rep2,YWG25,YWG25,RNA-Seq,YPAG (3% glycerol w/v),oligo dT cellulose,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513422
SRR1585934,18798567,751942680,40,534,SRX710278,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709057,SAMN03079451,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513423,GEO,SRA185842,04,2016,Thompson,YWG1116,asc1-M1X YPAG Ribo-Seq rep1,YWG1116,YWG1116,Ribo-Seq,YPAG (3% glycerol w/v),-,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513423
SRR1585935,25949659,1037986360,40,732,SRX710279,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709058,SAMN03079452,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513424,GEO,SRA185842,04,2016,Thompson,YWG1121,asc1-M1X YPAG Ribo-Seq rep2,YWG1121,YWG1121,Ribo-Seq,YPAG (3% glycerol w/v),-,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513424
SRR1585936,24475870,979034800,40,698,SRX710280,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709059,SAMN03079453,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513425,GEO,SRA185842,04,2016,Thompson,YWG1116,asc1-M1X YPAG RNA-Seq rep1,YWG1116,YWG1116,RNA-Seq,YPAG (3% glycerol w/v),oligo dT cellulose,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513425
SRR1585937,27011066,1080442640,40,766,SRX710281,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709060,SAMN03079454,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513426,GEO,SRA185842,04,2016,Thompson,YWG1121,asc1-M1X YPAG RNA-Seq rep2,YWG1121,YWG1121,RNA-Seq,YPAG (3% glycerol w/v),oligo dT cellulose,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513426
SRR1585938,26427516,2114201280,80,1253,SRX710282,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709061,SAMN03079455,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513427,GEO,SRA185842,04,2016,Thompson,YWG25,"WT YPAD RNA-Seq rep1, Ribo-Zero treated",YWG25,YWG25,RNA-Seq,YPAD (2% glucose w/v),Ribo-Zero,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513427
