Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,disease stage,genotype,gender,GEO Accession
SRR2927614,47719034,2385951700,50,1546,SRX1420681,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153788,SAMN04244188,simple,10090,Mus musculus,GSM1930853,GEO,SRA309945,12,2015,Sun,Astrocyte,Astro-CTRL-3,Astrocyte,Spinal Cord,Onset,Non-Tg,male,GSM1930853
SRR2927615,51394147,2569707350,50,1658,SRX1420682,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153787,SAMN04244189,simple,10090,Mus musculus,GSM1930854,GEO,SRA309945,12,2015,Sun,Astrocyte,Astro-CTRL-4,Astrocyte,Spinal Cord,Onset,Non-Tg,male,GSM1930854
SRR2927616,45108645,2255432250,50,1440,SRX1420683,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153786,SAMN04244190,simple,10090,Mus musculus,GSM1930855,GEO,SRA309945,12,2015,Sun,Astrocyte,Astro-CTRL-5,Astrocyte,Spinal Cord,Onset,Non-Tg,male,GSM1930855
SRR2927617,45056753,2252837650,50,1447,SRX1420684,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153785,SAMN04244191,simple,10090,Mus musculus,GSM1930856,GEO,SRA309945,12,2015,Sun,Astrocyte,Astro-CTRL-6,Astrocyte,Spinal Cord,Onset,Non-Tg,male,GSM1930856
SRR2927618,45411683,2270584150,50,1446,SRX1420685,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153784,SAMN04244192,simple,10090,Mus musculus,GSM1930857,GEO,SRA309945,12,2015,Sun,Astrocyte,Astro-G37R-1,Astrocyte,Spinal Cord,Onset,SOD1 G37R,male,GSM1930857
SRR2927619,47294716,2364735800,50,1512,SRX1420686,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153783,SAMN04244193,simple,10090,Mus musculus,GSM1930858,GEO,SRA309945,12,2015,Sun,Astrocyte,Astro-G37R-2,Astrocyte,Spinal Cord,Onset,SOD1 G37R,male,GSM1930858
SRR2927620,43477956,2173897800,50,1387,SRX1420687,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153782,SAMN04244194,simple,10090,Mus musculus,GSM1930859,GEO,SRA309945,12,2015,Sun,Astrocyte,Astro-G37R-3,Astrocyte,Spinal Cord,Onset,SOD1 G37R,male,GSM1930859
SRR2927621,41891819,2094590950,50,1362,SRX1420688,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153781,SAMN04244195,simple,10090,Mus musculus,GSM1930860,GEO,SRA309945,12,2015,Sun,Astrocyte,Astro-G37R-4,Astrocyte,Spinal Cord,Onset,SOD1 G37R,male,GSM1930860
SRR2927622,37866446,1893322300,50,1176,SRX1420689,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153780,SAMN04244196,simple,10090,Mus musculus,GSM1930861,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-CTRL-8m-1,Oligodendrocyte,Spinal Cord,Onset,Non-Tg,male,GSM1930861
SRR2927623,35650667,1782533350,50,1097,SRX1420690,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153779,SAMN04244197,simple,10090,Mus musculus,GSM1930862,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-CTRL-8m-2,Oligodendrocyte,Spinal Cord,Onset,Non-Tg,male,GSM1930862
SRR2927624,41315957,2065797850,50,1266,SRX1420691,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153778,SAMN04244198,simple,10090,Mus musculus,GSM1930863,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-CTRL-8m-3,Oligodendrocyte,Spinal Cord,Onset,Non-Tg,male,GSM1930863
SRR2927625,39013234,1950661700,50,1189,SRX1420692,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153776,SAMN04244199,simple,10090,Mus musculus,GSM1930864,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-CTRL-8m-4,Oligodendrocyte,Spinal Cord,Onset,Non-Tg,male,GSM1930864
SRR2927626,41469051,2073452550,50,1258,SRX1420693,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153775,SAMN04244200,simple,10090,Mus musculus,GSM1930865,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-CTRL-8m-5,Oligodendrocyte,Spinal Cord,Onset,Non-Tg,male,GSM1930865
SRR2927627,42967594,2148379700,50,1331,SRX1420694,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153774,SAMN04244201,simple,10090,Mus musculus,GSM1930866,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-G37R-8m-1,Oligodendrocyte,Spinal Cord,Onset,SOD1 G37R,male,GSM1930866
SRR2927628,41771691,2088584550,50,1301,SRX1420695,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153773,SAMN04244202,simple,10090,Mus musculus,GSM1930867,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-G37R-8m-2,Oligodendrocyte,Spinal Cord,Onset,SOD1 G37R,male,GSM1930867
SRR2927629,33223182,1661159100,50,1022,SRX1420696,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153771,SAMN04244203,simple,10090,Mus musculus,GSM1930868,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-G37R-8m-3,Oligodendrocyte,Spinal Cord,Onset,SOD1 G37R,male,GSM1930868
SRR2927630,43024578,2151228900,50,1312,SRX1420697,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153772,SAMN04244204,simple,10090,Mus musculus,GSM1930869,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-G37R-8m-4,Oligodendrocyte,Spinal Cord,Onset,SOD1 G37R,male,GSM1930869
SRR2927631,17875363,893768150,50,561,SRX1420698,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153770,SAMN04244205,simple,10090,Mus musculus,GSM1930870,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-CTRL-11m-1,Oligodendrocyte,Spinal Cord,Early symptomatic stage,Non-Tg,male,GSM1930870
SRR2927632,17608080,880404000,50,554,SRX1420698,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153770,SAMN04244205,simple,10090,Mus musculus,GSM1930870,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-CTRL-11m-1,Oligodendrocyte,Spinal Cord,Early symptomatic stage,Non-Tg,male,GSM1930871
SRR2927633,18226168,911308400,50,577,SRX1420698,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153770,SAMN04244205,simple,10090,Mus musculus,GSM1930870,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-CTRL-11m-1,Oligodendrocyte,Spinal Cord,Early symptomatic stage,Non-Tg,female,GSM1930872
SRR2927634,16136317,806815850,50,507,SRX1420699,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153777,SAMN04244206,simple,10090,Mus musculus,GSM1930871,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-CTRL-11m-2,Oligodendrocyte,Spinal Cord,Early symptomatic stage,Non-Tg,female,GSM1930873
SRR2927635,16025519,801275950,50,505,SRX1420699,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153777,SAMN04244206,simple,10090,Mus musculus,GSM1930871,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-CTRL-11m-2,Oligodendrocyte,Spinal Cord,Early symptomatic stage,Non-Tg,female,GSM1930874
SRR2927636,16450887,822544350,50,522,SRX1420699,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153777,SAMN04244206,simple,10090,Mus musculus,GSM1930871,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-CTRL-11m-2,Oligodendrocyte,Spinal Cord,Early symptomatic stage,SOD1 G37R,male,GSM1930875
SRR2927637,16493514,824675700,50,517,SRX1420700,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153769,SAMN04244207,simple,10090,Mus musculus,GSM1930872,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-CTRL-11m-3,Oligodendrocyte,Spinal Cord,Early symptomatic stage,SOD1 G37R,female,GSM1930876
SRR2927638,16271685,813584250,50,512,SRX1420700,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153769,SAMN04244207,simple,10090,Mus musculus,GSM1930872,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-CTRL-11m-3,Oligodendrocyte,Spinal Cord,Early symptomatic stage,SOD1 G37R,female,GSM1930877
SRR2927639,16831492,841574600,50,533,SRX1420700,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153769,SAMN04244207,simple,10090,Mus musculus,GSM1930872,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-CTRL-11m-3,Oligodendrocyte,Spinal Cord,Early symptomatic stage,SOD1 G85R,male,GSM1930878
SRR2927640,14891228,744561400,50,472,SRX1420701,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153768,SAMN04244208,simple,10090,Mus musculus,GSM1930873,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-CTRL-11m-4,Oligodendrocyte,Spinal Cord,Early symptomatic stage,SOD1 G85R,female,GSM1930879
SRR2927641,14880398,744019900,50,473,SRX1420701,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153768,SAMN04244208,simple,10090,Mus musculus,GSM1930873,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-CTRL-11m-4,Oligodendrocyte,Spinal Cord,Early symptomatic stage,SOD1 G85R,female,GSM1930880
SRR2927642,15208643,760432150,50,486,SRX1420701,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153768,SAMN04244208,simple,10090,Mus musculus,GSM1930873,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-CTRL-11m-4,Spinal Cord,Spinal Cord,Onset,Non-Tg,male,GSM1930881
SRR2927643,17404246,870212300,50,552,SRX1420702,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153766,SAMN04244209,simple,10090,Mus musculus,GSM1930874,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-CTRL-11m-5,Spinal Cord,Spinal Cord,Onset,Non-Tg,male,GSM1930882
SRR2927644,17165596,858279800,50,545,SRX1420702,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153766,SAMN04244209,simple,10090,Mus musculus,GSM1930874,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-CTRL-11m-5,Spinal Cord,Spinal Cord,Onset,Non-Tg,male,GSM1930883
SRR2927645,17725462,886273100,50,567,SRX1420702,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153766,SAMN04244209,simple,10090,Mus musculus,GSM1930874,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-CTRL-11m-5,Spinal Cord,Spinal Cord,Onset,Non-Tg,male,GSM1930884
SRR2927646,17102827,855141350,50,539,SRX1420703,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153765,SAMN04244210,simple,10090,Mus musculus,GSM1930875,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-G37R-11m-1,Spinal Cord,Spinal Cord,Onset,SOD1 G37R,male,GSM1930885
SRR2927647,16971034,848551700,50,536,SRX1420703,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153765,SAMN04244210,simple,10090,Mus musculus,GSM1930875,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-G37R-11m-1,Spinal Cord,Spinal Cord,Onset,SOD1 G37R,male,GSM1930886
SRR2927648,17413622,870681100,50,553,SRX1420703,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153765,SAMN04244210,simple,10090,Mus musculus,GSM1930875,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-G37R-11m-1,Spinal Cord,Spinal Cord,Onset,SOD1 G37R,male,GSM1930887
SRR2927649,16630153,831507650,50,524,SRX1420704,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153767,SAMN04244211,simple,10090,Mus musculus,GSM1930876,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-G37R-11m-2,Spinal Cord,Spinal Cord,Onset,SOD1 G37R,male,GSM1930888
SRR2927650,16384061,819203050,50,518,SRX1420704,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153767,SAMN04244211,simple,10090,Mus musculus,GSM1930876,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-G37R-11m-2,Spinal Cord,Spinal Cord,Early symptomatic stage,Non-Tg,male,GSM1930889
SRR2927651,16944597,847229850,50,539,SRX1420704,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153767,SAMN04244211,simple,10090,Mus musculus,GSM1930876,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-G37R-11m-2,Spinal Cord,Spinal Cord,Early symptomatic stage,Non-Tg,female,GSM1930890
SRR2927652,14306458,715322900,50,449,SRX1420705,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153764,SAMN04244212,simple,10090,Mus musculus,GSM1930877,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-G37R-11m-3,Spinal Cord,Spinal Cord,Early symptomatic stage,Non-Tg,female,GSM1930891
SRR2927653,14123320,706166000,50,445,SRX1420705,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153764,SAMN04244212,simple,10090,Mus musculus,GSM1930877,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-G37R-11m-3,Spinal Cord,Spinal Cord,Early symptomatic stage,SOD1 G37R,male,GSM1930892
SRR2927654,14589731,729486550,50,462,SRX1420705,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153764,SAMN04244212,simple,10090,Mus musculus,GSM1930877,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-G37R-11m-3,Spinal Cord,Spinal Cord,Early symptomatic stage,SOD1 G37R,female,GSM1930893
SRR2927655,15195403,759770150,50,478,SRX1420706,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153762,SAMN04244213,simple,10090,Mus musculus,GSM1930878,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-G85R-11m-1,Spinal Cord,Spinal Cord,Early symptomatic stage,SOD1 G37R,female,GSM1930894
SRR2927656,14962744,748137200,50,472,SRX1420706,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153762,SAMN04244213,simple,10090,Mus musculus,GSM1930878,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-G85R-11m-1,Motor Neuron,Spinal Cord,Onset,Non-Tg,male,GSM1930843
SRR2927657,15500372,775018600,50,492,SRX1420706,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153762,SAMN04244213,simple,10090,Mus musculus,GSM1930878,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-G85R-11m-1,Motor Neuron,Spinal Cord,Onset,Non-Tg,male,GSM1930844
SRR2927658,16245384,812269200,50,511,SRX1420707,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153763,SAMN04244214,simple,10090,Mus musculus,GSM1930879,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-G85R-11m-2,Motor Neuron,Spinal Cord,Onset,Non-Tg,male,GSM1930845
SRR2927659,16013329,800666450,50,505,SRX1420707,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153763,SAMN04244214,simple,10090,Mus musculus,GSM1930879,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-G85R-11m-2,Motor Neuron,Spinal Cord,Onset,Non-Tg,male,GSM1930846
SRR2927660,16562699,828134950,50,525,SRX1420707,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153763,SAMN04244214,simple,10090,Mus musculus,GSM1930879,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-G85R-11m-2,Motor Neuron,Spinal Cord,Onset,SOD1 G37R,male,GSM1930847
SRR2927661,14113434,705671700,50,443,SRX1420708,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153761,SAMN04244215,simple,10090,Mus musculus,GSM1930880,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-G85R-11m-3,Motor Neuron,Spinal Cord,Onset,SOD1 G37R,male,GSM1930848
SRR2927662,14026334,701316700,50,441,SRX1420708,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153761,SAMN04244215,simple,10090,Mus musculus,GSM1930880,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-G85R-11m-3,Motor Neuron,Spinal Cord,Onset,SOD1 G37R,male,GSM1930849
SRR2927663,14391441,719572050,50,456,SRX1420708,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153761,SAMN04244215,simple,10090,Mus musculus,GSM1930880,GEO,SRA309945,12,2015,Sun,Oligodendrocyte,Oligo-G85R-11m-3,Motor Neuron,Spinal Cord,Onset,SOD1 G37R,male,GSM1930850
SRR2927664,64673867,3233693350,50,2172,SRX1420709,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153760,SAMN04244216,simple,10090,Mus musculus,GSM1930881,GEO,SRA309945,12,2015,Sun,Spinal Cord,SC-CTRL-8m-1,Astrocyte,Spinal Cord,Onset,Non-Tg,male,GSM1930851
