Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,functional assay,cell line,master plasmid,GEO Accession
SRR14887045,1900694,171062460,90,91,SRX11204119,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP325235,PRJNA740184,34437836,"",SRS9258600,SAMN19834872,simple,32630,synthetic construct,GSM5396516,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,PMY_Frac10,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396516
SRR14887046,2000307,180027630,90,95,SRX11204120,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP325235,PRJNA740184,34437836,"",SRS9258601,SAMN19834871,simple,32630,synthetic construct,GSM5396517,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,PMY_Frac11,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396517
SRR14887047,2492051,224284590,90,119,SRX11204121,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP325235,PRJNA740184,34437836,"",SRS9258602,SAMN19834870,simple,32630,synthetic construct,GSM5396518,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,PMY_Frac12,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396518
SRR14887048,1810176,162915840,90,87,SRX11204122,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP325235,PRJNA740184,34437836,"",SRS9258603,SAMN19834869,simple,32630,synthetic construct,GSM5396519,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,PMY_Frac13,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396519
SRR14887049,1626236,146361240,90,78,SRX11204123,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP325235,PRJNA740184,34437836,"",SRS9258604,SAMN19835037,simple,32630,synthetic construct,GSM5396520,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,PMY_Frac14,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396520
SRR14887050,2036338,183270420,90,98,SRX11204124,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP325235,PRJNA740184,34437836,"",SRS9258605,SAMN19835036,simple,32630,synthetic construct,GSM5396521,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,PMY_Frac15,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396521
SRR14887051,757703,227310900,300,123,SRX11204125,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP325235,PRJNA740184,34437836,"",SRS9258606,SAMN19835035,simple,32630,synthetic construct,GSM5396522,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,IRES_6742,Designed oligonucleotides,M2-seq,In vitro transcription,oligo-circRNA,GSM5396522
SRR14887052,1431367,429410100,300,258,SRX11204126,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP325235,PRJNA740184,34437836,"",SRS9258607,SAMN19835034,simple,32630,synthetic construct,GSM5396523,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,IRES_6885,Designed oligonucleotides,M2-seq,In vitro transcription,oligo-circRNA,GSM5396523
SRR14887053,1202161,360648300,300,189,SRX11204127,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP325235,PRJNA740184,34437836,"",SRS9258608,SAMN19835033,simple,32630,synthetic construct,GSM5396524,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,IRES_9128,Designed oligonucleotides,M2-seq,In vitro transcription,oligo-circRNA,GSM5396524
SRR14887054,706836,212050800,300,111,SRX11204128,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP325235,PRJNA740184,34437836,"",SRS9258609,SAMN19835032,simple,32630,synthetic construct,GSM5396525,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,IRES_18377,Designed oligonucleotides,M2-seq,In vitro transcription,oligo-circRNA,GSM5396525
SRR14887055,957551,287265300,300,151,SRX11204129,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP325235,PRJNA740184,34437836,"",SRS9258610,SAMN19835031,simple,32630,synthetic construct,GSM5396526,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,IRES_19420,Designed oligonucleotides,M2-seq,In vitro transcription,oligo-circRNA,GSM5396526
SRR14887056,1464906,439471800,300,250,SRX11204130,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP325235,PRJNA740184,34437836,"",SRS9258611,SAMN19835030,simple,32630,synthetic construct,GSM5396527,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,IRES_35001,Designed oligonucleotides,M2-seq,In vitro transcription,oligo-circRNA,GSM5396527
SRR14887057,878997,263699100,300,137,SRX11204131,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP325235,PRJNA740184,34437836,"",SRS9258612,SAMN19835029,simple,32630,synthetic construct,GSM5396528,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,IRES_41767,Designed oligonucleotides,M2-seq,In vitro transcription,oligo-circRNA,GSM5396528
SRR14887058,941276,282382800,300,169,SRX11204132,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP325235,PRJNA740184,34437836,"",SRS9258613,SAMN19835028,simple,32630,synthetic construct,GSM5396529,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,IRES_43704,Designed oligonucleotides,M2-seq,In vitro transcription,oligo-circRNA,GSM5396529
SRR14887059,905578,271673400,300,154,SRX11204133,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP325235,PRJNA740184,34437836,"",SRS9258614,SAMN19835027,simple,32630,synthetic construct,GSM5396530,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,IRES_6742_BoxB,Designed oligonucleotides,M2-seq,In vitro transcription,oligo-circRNA,GSM5396530
SRR14887060,909769,272930700,300,152,SRX11204134,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP325235,PRJNA740184,34437836,"",SRS9258615,SAMN19834891,simple,32630,synthetic construct,GSM5396531,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,IRES_6742_dis,Designed oligonucleotides,M2-seq,In vitro transcription,oligo-circRNA,GSM5396531
SRR14887061,589712,176913600,300,107,SRX11204135,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP325235,PRJNA740184,34437836,"",SRS9258616,SAMN19834890,simple,32630,synthetic construct,GSM5396532,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,IRES_6742_MS2,Designed oligonucleotides,M2-seq,In vitro transcription,oligo-circRNA,GSM5396532
SRR14887062,901191,270357300,300,154,SRX11204136,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP325235,PRJNA740184,34437836,"",SRS9258617,SAMN19834889,simple,32630,synthetic construct,GSM5396533,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,IRES_6885_add,Designed oligonucleotides,M2-seq,In vitro transcription,oligo-circRNA,GSM5396533
SRR14887063,1402285,420685500,300,214,SRX11204137,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP325235,PRJNA740184,34437836,"",SRS9258618,SAMN19835051,simple,32630,synthetic construct,GSM5396534,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,IRES_6742_Single,Designed oligonucleotides,M2-seq,In vitro transcription,oligo-circRNA,GSM5396534
SRR14887064,1346879,404063700,300,208,SRX11204138,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP325235,PRJNA740184,34437836,"",SRS9258619,SAMN19835050,simple,32630,synthetic construct,GSM5396535,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,IRES_6742_Comp,Designed oligonucleotides,M2-seq,In vitro transcription,oligo-circRNA,GSM5396535
SRR14887066,1483775,445132500,300,260,SRX11204139,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP325235,PRJNA740184,34437836,"",SRS9258620,SAMN19835049,simple,32630,synthetic construct,GSM5396536,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,IRES_6742_Relocate,Designed oligonucleotides,M2-seq,In vitro transcription,oligo-circRNA,GSM5396536
