Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,isolate,breed,cultivar,ecotype,age,dev_stage,sex,tissue,cell_line,growth_protocol,sample_type,treatment,replicate,condition,BioSampleModel
SRR16796959,62166403,3170486553,51,985,SRX12995922,ribo_nodrug_ts_r1,OTHER,Inverse rRNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP344698,PRJNA778050,1,"",SRS10936111,SAMN22901748,simple,10029,Cricetulus griseus,ribo_nodrug_ts_r1,NIBRT,SRA1323672,12,2022,Makar,"",No drug Ribo-seq temerature shifted replicate 1,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Ovary,CHO-K1,"CHOK1 cell line (CHO K1 mAb) was seeded at a density of 2 × 105 cells/ml in 50ml SFM-II media (Gibco, 12052098) in 8 replicate shake flasks in a Kuhner orbital shaker at 170rpm at 5% CO2.",Ribo-seq,No drug,1,temperature shifted,Model organism or animal
SRR16796958,61138204,3118048404,51,966,SRX12995923,ribo_nodrug_ts_r2,OTHER,Inverse rRNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP344698,PRJNA778050,1,"",SRS10936112,SAMN22901749,simple,10029,Cricetulus griseus,ribo_nodrug_ts_r2,NIBRT,SRA1323672,12,2022,Makar,"",No drug Ribo-seq temerature shifted replicate 2,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Ovary,CHO-K1,"CHOK1 cell line (CHO K1 mAb) was seeded at a density of 2 × 105 cells/ml in 50ml SFM-II media (Gibco, 12052098) in 8 replicate shake flasks in a Kuhner orbital shaker at 170rpm at 5% CO2.",Ribo-seq,No drug,2,temperature shifted,Model organism or animal
SRR16796957,73148426,3730569726,51,1167,SRX12995924,ribo_nodrug_ts_r3,OTHER,Inverse rRNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP344698,PRJNA778050,1,"",SRS10936113,SAMN22901750,simple,10029,Cricetulus griseus,ribo_nodrug_ts_r3,NIBRT,SRA1323672,12,2022,Makar,"",No drug Ribo-seq temerature shifted replicate 3,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Ovary,CHO-K1,"CHOK1 cell line (CHO K1 mAb) was seeded at a density of 2 × 105 cells/ml in 50ml SFM-II media (Gibco, 12052098) in 8 replicate shake flasks in a Kuhner orbital shaker at 170rpm at 5% CO2.",Ribo-seq,No drug,3,temperature shifted,Model organism or animal
SRR16796956,57555741,2935342791,51,948,SRX12995925,ribo_nodrug_ts_r4,OTHER,Inverse rRNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP344698,PRJNA778050,1,"",SRS10936114,SAMN22901751,simple,10029,Cricetulus griseus,ribo_nodrug_ts_r4,NIBRT,SRA1323672,12,2022,Makar,"",No drug Ribo-seq temerature shifted replicate 4,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Ovary,CHO-K1,"CHOK1 cell line (CHO K1 mAb) was seeded at a density of 2 × 105 cells/ml in 50ml SFM-II media (Gibco, 12052098) in 8 replicate shake flasks in a Kuhner orbital shaker at 170rpm at 5% CO2.",Ribo-seq,No drug,4,temperature shifted,Model organism or animal
SRR16796955,71722693,2112023825,29,923,SRX12995926,ribo_chx_nts_r1,OTHER,Inverse rRNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP344698,PRJNA778050,1,"",SRS10936115,SAMN22901752,simple,10029,Cricetulus griseus,ribo_chx_nts_r1,NIBRT,SRA1323672,12,2022,Makar,"",Cylcoheximide Ribo-seq non-temerature shifted replicate 1,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Ovary,CHO-K1,"CHOK1 cell line (CHO K1 mAb) was seeded at a density of 2 × 105 cells/ml in 50ml SFM-II media (Gibco, 12052098) in 8 replicate shake flasks in a Kuhner orbital shaker at 170rpm at 5% CO2.",Ribo-seq,Cycloheximide,1,non temperature shifted,Model organism or animal
SRR16796954,68588195,2144804448,31,918,SRX12995927,ribo_chx_nts_r2,OTHER,Inverse rRNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP344698,PRJNA778050,1,"",SRS10936116,SAMN22901753,simple,10029,Cricetulus griseus,ribo_chx_nts_r2,NIBRT,SRA1323672,12,2022,Makar,"",Cylcoheximide Ribo-seq non-temerature shifted replicate 2,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Ovary,CHO-K1,"CHOK1 cell line (CHO K1 mAb) was seeded at a density of 2 × 105 cells/ml in 50ml SFM-II media (Gibco, 12052098) in 8 replicate shake flasks in a Kuhner orbital shaker at 170rpm at 5% CO2.",Ribo-seq,Cycloheximide,2,non temperature shifted,Model organism or animal
SRR16796953,73009656,2446203415,33,1039,SRX12995928,ribo_chx_nts_r3,OTHER,Inverse rRNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP344698,PRJNA778050,1,"",SRS10936117,SAMN22901754,simple,10029,Cricetulus griseus,ribo_chx_nts_r3,NIBRT,SRA1323672,12,2022,Makar,"",Cylcoheximide Ribo-seq non-temerature shifted replicate 3,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Ovary,CHO-K1,"CHOK1 cell line (CHO K1 mAb) was seeded at a density of 2 × 105 cells/ml in 50ml SFM-II media (Gibco, 12052098) in 8 replicate shake flasks in a Kuhner orbital shaker at 170rpm at 5% CO2.",Ribo-seq,Cycloheximide,3,non temperature shifted,Model organism or animal
SRR16796952,78940314,2605154808,33,1088,SRX12995929,ribo_chx_nts_r4,OTHER,Inverse rRNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP344698,PRJNA778050,1,"",SRS10936118,SAMN22901755,simple,10029,Cricetulus griseus,ribo_chx_nts_r4,NIBRT,SRA1323672,12,2022,Makar,"",Cylcoheximide Ribo-seq non-temerature shifted replicate 4,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Ovary,CHO-K1,"CHOK1 cell line (CHO K1 mAb) was seeded at a density of 2 × 105 cells/ml in 50ml SFM-II media (Gibco, 12052098) in 8 replicate shake flasks in a Kuhner orbital shaker at 170rpm at 5% CO2.",Ribo-seq,Cycloheximide,4,non temperature shifted,Model organism or animal
SRR16796951,65380926,1964548006,30,843,SRX12995930,ribo_chx_ts_r1,OTHER,Inverse rRNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP344698,PRJNA778050,1,"",SRS10936119,SAMN22901756,simple,10029,Cricetulus griseus,ribo_chx_ts_r1,NIBRT,SRA1323672,12,2022,Makar,"",Cylcoheximide Ribo-seq temerature shifted replicate 1,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Ovary,CHO-K1,"CHOK1 cell line (CHO K1 mAb) was seeded at a density of 2 × 105 cells/ml in 50ml SFM-II media (Gibco, 12052098) in 8 replicate shake flasks in a Kuhner orbital shaker at 170rpm at 5% CO2.",Ribo-seq,Cycloheximide,1,temperature shifted,Model organism or animal
SRR16796950,69226776,2064989469,29,888,SRX12995931,ribo_chx_ts_r2,OTHER,Inverse rRNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP344698,PRJNA778050,1,"",SRS10936120,SAMN22901757,simple,10029,Cricetulus griseus,ribo_chx_ts_r2,NIBRT,SRA1323672,12,2022,Makar,"",Cylcoheximide Ribo-seq temerature shifted replicate 2,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Ovary,CHO-K1,"CHOK1 cell line (CHO K1 mAb) was seeded at a density of 2 × 105 cells/ml in 50ml SFM-II media (Gibco, 12052098) in 8 replicate shake flasks in a Kuhner orbital shaker at 170rpm at 5% CO2.",Ribo-seq,Cycloheximide,2,temperature shifted,Model organism or animal
SRR16796949,63115155,2604262670,41,1098,SRX12995932,rnaseq_nts_r4,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP344698,PRJNA778050,1,"",SRS10936121,SAMN22901731,simple,10029,Cricetulus griseus,rnaseq_nts_r4,NIBRT,SRA1323672,12,2022,Makar,"",Total RNA-seq non-temerature shifted replicate 4,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Ovary,CHO-K1,"CHOK1 cell line (CHO K1 mAb) was seeded at a density of 2 × 105 cells/ml in 50ml SFM-II media (Gibco, 12052098) in 8 replicate shake flasks in a Kuhner orbital shaker at 170rpm at 5% CO2.",RNA-seq,NA,4,non temperature shifted,Model organism or animal
SRR16796948,61430512,2080260871,33,828,SRX12995933,ribo_chx_ts_r3,OTHER,Inverse rRNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP344698,PRJNA778050,1,"",SRS10936122,SAMN22901758,simple,10029,Cricetulus griseus,ribo_chx_ts_r3,NIBRT,SRA1323672,12,2022,Makar,"",Cylcoheximide Ribo-seq temerature shifted replicate 3,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Ovary,CHO-K1,"CHOK1 cell line (CHO K1 mAb) was seeded at a density of 2 × 105 cells/ml in 50ml SFM-II media (Gibco, 12052098) in 8 replicate shake flasks in a Kuhner orbital shaker at 170rpm at 5% CO2.",Ribo-seq,Cycloheximide,3,temperature shifted,Model organism or animal
SRR16796947,62553676,2052515169,32,848,SRX12995934,ribo_chx_ts_r4,OTHER,Inverse rRNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP344698,PRJNA778050,1,"",SRS10936123,SAMN22901759,simple,10029,Cricetulus griseus,ribo_chx_ts_r4,NIBRT,SRA1323672,12,2022,Makar,"",Cylcoheximide Ribo-seq temerature shifted replicate 4,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Ovary,CHO-K1,"CHOK1 cell line (CHO K1 mAb) was seeded at a density of 2 × 105 cells/ml in 50ml SFM-II media (Gibco, 12052098) in 8 replicate shake flasks in a Kuhner orbital shaker at 170rpm at 5% CO2.",Ribo-seq,Cycloheximide,4,temperature shifted,Model organism or animal
SRR16796946,40395939,1566422218,38,668,SRX12995935,rnaseq_ts_r1,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP344698,PRJNA778050,1,"",SRS10936124,SAMN22901732,simple,10029,Cricetulus griseus,rnaseq_ts_r1,NIBRT,SRA1323672,12,2022,Makar,"",Total RNA-seq temerature shifted replicate 1,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Ovary,CHO-K1,"CHOK1 cell line (CHO K1 mAb) was seeded at a density of 2 × 105 cells/ml in 50ml SFM-II media (Gibco, 12052098) in 8 replicate shake flasks in a Kuhner orbital shaker at 170rpm at 5% CO2.",RNA-seq,NA,1,temperature shifted,Model organism or animal
SRR16796945,60116257,2717347321,45,1120,SRX12995936,rnaseq_ts_r2,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP344698,PRJNA778050,1,"",SRS10936125,SAMN22901733,simple,10029,Cricetulus griseus,rnaseq_ts_r2,NIBRT,SRA1323672,12,2022,Makar,"",Total RNA-seq temerature shifted replicate 2,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Ovary,CHO-K1,"CHOK1 cell line (CHO K1 mAb) was seeded at a density of 2 × 105 cells/ml in 50ml SFM-II media (Gibco, 12052098) in 8 replicate shake flasks in a Kuhner orbital shaker at 170rpm at 5% CO2.",RNA-seq,NA,2,temperature shifted,Model organism or animal
SRR16796944,50841735,1804561930,35,786,SRX12995937,rnaseq_ts_r3,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP344698,PRJNA778050,1,"",SRS10936126,SAMN22901734,simple,10029,Cricetulus griseus,rnaseq_ts_r3,NIBRT,SRA1323672,12,2022,Makar,"",Total RNA-seq temerature shifted replicate 3,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Ovary,CHO-K1,"CHOK1 cell line (CHO K1 mAb) was seeded at a density of 2 × 105 cells/ml in 50ml SFM-II media (Gibco, 12052098) in 8 replicate shake flasks in a Kuhner orbital shaker at 170rpm at 5% CO2.",RNA-seq,NA,3,temperature shifted,Model organism or animal
SRR16796943,53453798,2163402830,40,914,SRX12995938,rnaseq_ts_r4,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP344698,PRJNA778050,1,"",SRS10936127,SAMN22901735,simple,10029,Cricetulus griseus,rnaseq_ts_r4,NIBRT,SRA1323672,12,2022,Makar,"",Total RNA-seq temerature shifted replicate 4,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Ovary,CHO-K1,"CHOK1 cell line (CHO K1 mAb) was seeded at a density of 2 × 105 cells/ml in 50ml SFM-II media (Gibco, 12052098) in 8 replicate shake flasks in a Kuhner orbital shaker at 170rpm at 5% CO2.",RNA-seq,NA,4,temperature shifted,Model organism or animal
SRR16796942,55162304,2813277504,51,866,SRX12995939,ribo_harr_nts_r1,OTHER,Inverse rRNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP344698,PRJNA778050,1,"",SRS10936128,SAMN22901736,simple,10029,Cricetulus griseus,ribo_harr_nts_r1,NIBRT,SRA1323672,12,2022,Makar,"",Harringtonine Ribo-seq non-temerature shifted replicate 1,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Ovary,CHO-K1,"CHOK1 cell line (CHO K1 mAb) was seeded at a density of 2 × 105 cells/ml in 50ml SFM-II media (Gibco, 12052098) in 8 replicate shake flasks in a Kuhner orbital shaker at 170rpm at 5% CO2.",Ribo-seq,Harringtoninine,1,non temperature shifted,Model organism or animal
SRR16796941,72562320,3700678320,51,1139,SRX12995940,ribo_harr_nts_r2,OTHER,Inverse rRNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP344698,PRJNA778050,1,"",SRS10936129,SAMN22901737,simple,10029,Cricetulus griseus,ribo_harr_nts_r2,NIBRT,SRA1323672,12,2022,Makar,"",Harringtonine Ribo-seq non-temerature shifted replicate 2,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Ovary,CHO-K1,"CHOK1 cell line (CHO K1 mAb) was seeded at a density of 2 × 105 cells/ml in 50ml SFM-II media (Gibco, 12052098) in 8 replicate shake flasks in a Kuhner orbital shaker at 170rpm at 5% CO2.",Ribo-seq,Harringtoninine,2,non temperature shifted,Model organism or animal
