Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,host cell type,parasite,host growth,GEO Accession
SRR8907195,63756076,4845461776,76,1737,SRX5693016,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192707,PRJNA533074,31167946,"",SRS4632500,SAMN11433232,simple,9606,Homo sapiens,GSM3723760,GEO,SRA874614,05,2019,Holmes,Human Foreskin Fibroblasts and RH Toxoplasma,RNAseq_confluentHFF-RH_rep2,Human Foreskin Fibroblasts and RH Toxoplasma,human foreskin fibroblasts,Toxoplasma gondii RH,confluent,GSM3723760
SRR8907196,51111834,3884499384,76,1384,SRX5693017,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192707,PRJNA533074,31167946,"",SRS4632502,SAMN11433231,simple,9606,Homo sapiens,GSM3723761,GEO,SRA874614,05,2019,Holmes,Human Foreskin Fibroblasts and RH Toxoplasma,RNAseq_confluentHFF-RH_rep3,Human Foreskin Fibroblasts and RH Toxoplasma,human foreskin fibroblasts,Toxoplasma gondii RH,confluent,GSM3723761
SRR8907197,3389256,257583456,76,105,SRX5693018,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192707,PRJNA533074,31167946,"",SRS4632503,SAMN11433230,simple,9606,Homo sapiens,GSM3723762,GEO,SRA874614,05,2019,Holmes,Human Foreskin Fibroblasts,Riboseq_subconfluentHFF_rep1,Human Foreskin Fibroblasts,human foreskin fibroblasts,Toxoplasma gondii RH,subconfluent,GSM3723762
SRR8907198,3655703,277833428,76,114,SRX5693019,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192707,PRJNA533074,31167946,"",SRS4632504,SAMN11433229,simple,9606,Homo sapiens,GSM3723763,GEO,SRA874614,05,2019,Holmes,Human Foreskin Fibroblasts,Riboseq_subconfluentHFF_rep2,Human Foreskin Fibroblasts,human foreskin fibroblasts,Toxoplasma gondii RH,subconfluent,GSM3723763
SRR8907199,2838548,215729648,76,89,SRX5693020,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192707,PRJNA533074,31167946,"",SRS4632505,SAMN11433228,simple,9606,Homo sapiens,GSM3723764,GEO,SRA874614,05,2019,Holmes,Human Foreskin Fibroblasts,Riboseq_subconfluentHFF_rep3,Human Foreskin Fibroblasts,human foreskin fibroblasts,Toxoplasma gondii RH,subconfluent,GSM3723764
SRR8907200,4266656,324265856,76,134,SRX5693021,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192707,PRJNA533074,31167946,"",SRS4632507,SAMN11433227,simple,9606,Homo sapiens,GSM3723765,GEO,SRA874614,05,2019,Holmes,Human Foreskin Fibroblasts and RH Toxoplasma,Riboseq_subconfluentHFF-RH_rep1,Human Foreskin Fibroblasts and RH Toxoplasma,human foreskin fibroblasts,Toxoplasma gondii RH,subconfluent,GSM3723765
SRR8907201,8386981,637410556,76,259,SRX5693022,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192707,PRJNA533074,31167946,"",SRS4632506,SAMN11433224,simple,9606,Homo sapiens,GSM3723766,GEO,SRA874614,05,2019,Holmes,Human Foreskin Fibroblasts and RH Toxoplasma,Riboseq_subconfluentHFF-RH_rep2,Human Foreskin Fibroblasts and RH Toxoplasma,human foreskin fibroblasts,Toxoplasma gondii RH,subconfluent,GSM3723766
SRR8907202,7182636,545880336,76,224,SRX5693023,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192707,PRJNA533074,31167946,"",SRS4632508,SAMN11433223,simple,9606,Homo sapiens,GSM3723767,GEO,SRA874614,05,2019,Holmes,Human Foreskin Fibroblasts and RH Toxoplasma,Riboseq_subconfluentHFF-RH_rep3,Human Foreskin Fibroblasts and RH Toxoplasma,human foreskin fibroblasts,Toxoplasma gondii RH,subconfluent,GSM3723767
SRR8907203,35104126,2667913576,76,1097,SRX5693024,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192707,PRJNA533074,31167946,"",SRS4632511,SAMN11433222,simple,9606,Homo sapiens,GSM3723768,GEO,SRA874614,05,2019,Holmes,Human Foreskin Fibroblasts,RNAseq_subconfluentHFF_rep1,Human Foreskin Fibroblasts,human foreskin fibroblasts,Toxoplasma gondii RH,subconfluent,GSM3723768
SRR8907204,28007289,2128553964,76,874,SRX5693025,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192707,PRJNA533074,31167946,"",SRS4632509,SAMN11433221,simple,9606,Homo sapiens,GSM3723769,GEO,SRA874614,05,2019,Holmes,Human Foreskin Fibroblasts,RNAseq_subconfluentHFF_rep2,Human Foreskin Fibroblasts,human foreskin fibroblasts,Toxoplasma gondii RH,subconfluent,GSM3723769
SRR8907205,58433944,4440979744,76,1823,SRX5693026,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192707,PRJNA533074,31167946,"",SRS4632510,SAMN11433226,simple,9606,Homo sapiens,GSM3723770,GEO,SRA874614,05,2019,Holmes,Human Foreskin Fibroblasts,RNAseq_subconfluentHFF_rep3,Human Foreskin Fibroblasts,human foreskin fibroblasts,Toxoplasma gondii RH,subconfluent,GSM3723770
SRR8907206,61311587,4659680612,76,1896,SRX5693027,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192707,PRJNA533074,31167946,"",SRS4632512,SAMN11433225,simple,9606,Homo sapiens,GSM3723771,GEO,SRA874614,05,2019,Holmes,Human Foreskin Fibroblasts and RH Toxoplasma,RNAseq_subconfluentHFF-RH_rep1,Human Foreskin Fibroblasts and RH Toxoplasma,human foreskin fibroblasts,Toxoplasma gondii RH,subconfluent,GSM3723771
SRR8907207,74102106,5631760056,76,2293,SRX5693028,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192707,PRJNA533074,31167946,"",SRS4632514,SAMN11433268,simple,9606,Homo sapiens,GSM3723772,GEO,SRA874614,05,2019,Holmes,Human Foreskin Fibroblasts and RH Toxoplasma,RNAseq_subconfluentHFF-RH_rep2,Human Foreskin Fibroblasts and RH Toxoplasma,human foreskin fibroblasts,Toxoplasma gondii RH,subconfluent,GSM3723772
SRR8907208,55602436,4225785136,76,1725,SRX5693029,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192707,PRJNA533074,31167946,"",SRS4632513,SAMN11433267,simple,9606,Homo sapiens,GSM3723773,GEO,SRA874614,05,2019,Holmes,Human Foreskin Fibroblasts and RH Toxoplasma,RNAseq_subconfluentHFF-RH_rep3,Human Foreskin Fibroblasts and RH Toxoplasma,human foreskin fibroblasts,Toxoplasma gondii RH,subconfluent,GSM3723773
