Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,isolation_source,collection_date,geo_loc_name,sample_type,biomaterial_provider,culture_collection,replicate,carbon source,taxid,BioSampleModel
SRR5356896,135235702,6761785100,50,3395,SRX2652925,11836X13,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102099,PRJNA379630,1,"",SRS2058110,SAMN06617374,simple,287,Pseudomonas aeruginosa,33988_gly_1,Lawrence Livermore National Laboratory,SRA547049,03,2017,Makar,"",Pseudomonas aeruginosa ATCC 33988 replicate 1 grown in Glycerol,ATCC 33988,fuel storage tank,1984-01-04,"USA: Ponca City, OK",monoisolate,"Oscar N. Ruiz, AFRL, Wright-Patterson AFB, Dayton, OH 45433",ATCC:33988,replicate = biological replicate 1,carbon source = Glycerol,taxid = 287,"Microbe, viral or environmental"
SRR5356897,101520011,5076000550,50,2134,SRX2652926,11836X12,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102099,PRJNA379630,1,"",SRS2058111,SAMN06617373,simple,208964,Pseudomonas aeruginosa PAO1,PAO1_alk_3,Lawrence Livermore National Laboratory,SRA547049,03,2017,Makar,"",Pseudomonas aeruginosa PAO1 replicate 3 grown in n-alkanes,PAO1,infected wound,1955,Australia: Melbourne,monoisolate,"Oscar N. Ruiz, AFRL, Wright-Patterson AFB, Dayton, OH 45433",ATCC: 15692,replicate = biological replicate 3,carbon source = n-alkanes,taxid = 208964,"Microbe, viral or environmental"
SRR5356898,106010338,5300516900,50,2702,SRX2652927,11836X11,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102099,PRJNA379630,1,"",SRS2058111,SAMN06617373,simple,208964,Pseudomonas aeruginosa PAO1,PAO1_alk_3,Lawrence Livermore National Laboratory,SRA547049,03,2017,Makar,"",Pseudomonas aeruginosa PAO1 replicate 3 grown in n-alkanes,PAO1,infected wound,1955,Australia: Melbourne,monoisolate,"Oscar N. Ruiz, AFRL, Wright-Patterson AFB, Dayton, OH 45433",ATCC: 15692,replicate = biological replicate 3,carbon source = n-alkanes,taxid = 208964,"Microbe, viral or environmental"
SRR5356899,83560401,4178020050,50,2086,SRX2652928,11836X10,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102099,PRJNA379630,1,"",SRS2058112,SAMN06617372,simple,208964,Pseudomonas aeruginosa PAO1,PAO1_alk_2,Lawrence Livermore National Laboratory,SRA547049,03,2017,Makar,"",Pseudomonas aeruginosa PAO1 replicate 2 grown in n-alkanes,PAO1,infected wound,1955,Australia: Melbourne,monoisolate,"Oscar N. Ruiz, AFRL, Wright-Patterson AFB, Dayton, OH 45433",ATCC: 15692,replicate = biological replicate 2,carbon source = n-alkanes,taxid = 208964,"Microbe, viral or environmental"
SRR5356900,145025585,7251279250,50,3687,SRX2652929,11836X9,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102099,PRJNA379630,1,"",SRS2058112,SAMN06617372,simple,208964,Pseudomonas aeruginosa PAO1,PAO1_alk_2,Lawrence Livermore National Laboratory,SRA547049,03,2017,Makar,"",Pseudomonas aeruginosa PAO1 replicate 2 grown in n-alkanes,PAO1,infected wound,1955,Australia: Melbourne,monoisolate,"Oscar N. Ruiz, AFRL, Wright-Patterson AFB, Dayton, OH 45433",ATCC: 15692,replicate = biological replicate 2,carbon source = n-alkanes,taxid = 208964,"Microbe, viral or environmental"
SRR5356901,94948217,4747410850,50,2052,SRX2652930,11836X8,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102099,PRJNA379630,1,"",SRS2058113,SAMN06617371,simple,208964,Pseudomonas aeruginosa PAO1,PAO1_alk_1,Lawrence Livermore National Laboratory,SRA547049,03,2017,Makar,"",Pseudomonas aeruginosa PAO1 replicate 1 grown in n-alkanes,PAO1,infected wound,1955,Australia: Melbourne,monoisolate,"Oscar N. Ruiz, AFRL, Wright-Patterson AFB, Dayton, OH 45433",ATCC: 15692,replicate = biological replicate 1,carbon source = n-alkanes,taxid = 208964,"Microbe, viral or environmental"
SRR5356902,130257169,6512858450,50,3104,SRX2652931,11836X7,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102099,PRJNA379630,1,"",SRS2058113,SAMN06617371,simple,208964,Pseudomonas aeruginosa PAO1,PAO1_alk_1,Lawrence Livermore National Laboratory,SRA547049,03,2017,Makar,"",Pseudomonas aeruginosa PAO1 replicate 1 grown in n-alkanes,PAO1,infected wound,1955,Australia: Melbourne,monoisolate,"Oscar N. Ruiz, AFRL, Wright-Patterson AFB, Dayton, OH 45433",ATCC: 15692,replicate = biological replicate 1,carbon source = n-alkanes,taxid = 208964,"Microbe, viral or environmental"
SRR5356903,71767127,3588356350,50,1728,SRX2652932,11836X6,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102099,PRJNA379630,1,"",SRS2058114,SAMN06617370,simple,208964,Pseudomonas aeruginosa PAO1,PAO1_gly_3,Lawrence Livermore National Laboratory,SRA547049,03,2017,Makar,"",Pseudomonas aeruginosa PAO1 replicate 3 grown in Glycerol,PAO1,infected wound,1955,Australia: Melbourne,monoisolate,"Oscar N. Ruiz, AFRL, Wright-Patterson AFB, Dayton, OH 45433",ATCC: 15692,replicate = biological replicate 3,carbon source = Glycerol,taxid = 208964,"Microbe, viral or environmental"
SRR5356904,95133754,4756687700,50,2568,SRX2652933,11836X5,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102099,PRJNA379630,1,"",SRS2058114,SAMN06617370,simple,208964,Pseudomonas aeruginosa PAO1,PAO1_gly_3,Lawrence Livermore National Laboratory,SRA547049,03,2017,Makar,"",Pseudomonas aeruginosa PAO1 replicate 3 grown in Glycerol,PAO1,infected wound,1955,Australia: Melbourne,monoisolate,"Oscar N. Ruiz, AFRL, Wright-Patterson AFB, Dayton, OH 45433",ATCC: 15692,replicate = biological replicate 3,carbon source = Glycerol,taxid = 208964,"Microbe, viral or environmental"
SRR5356905,90030430,4501521500,50,1969,SRX2652934,11836X4,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102099,PRJNA379630,1,"",SRS2058115,SAMN06617369,simple,208964,Pseudomonas aeruginosa PAO1,PAO1_gly_2,Lawrence Livermore National Laboratory,SRA547049,03,2017,Makar,"",Pseudomonas aeruginosa PAO1 replicate 2 grown in Glycerol,PAO1,infected wound,1955,Australia: Melbourne,monoisolate,"Oscar N. Ruiz, AFRL, Wright-Patterson AFB, Dayton, OH 45433",ATCC: 15692,replicate = biological replicate 2,carbon source = Glycerol,taxid = 208964,"Microbe, viral or environmental"
SRR5356906,124715511,6235775550,50,3098,SRX2652935,11836X3,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102099,PRJNA379630,1,"",SRS2058115,SAMN06617369,simple,208964,Pseudomonas aeruginosa PAO1,PAO1_gly_2,Lawrence Livermore National Laboratory,SRA547049,03,2017,Makar,"",Pseudomonas aeruginosa PAO1 replicate 2 grown in Glycerol,PAO1,infected wound,1955,Australia: Melbourne,monoisolate,"Oscar N. Ruiz, AFRL, Wright-Patterson AFB, Dayton, OH 45433",ATCC: 15692,replicate = biological replicate 2,carbon source = Glycerol,taxid = 208964,"Microbe, viral or environmental"
SRR5356907,73952429,3697621450,50,1695,SRX2652936,11836X2,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102099,PRJNA379630,1,"",SRS2058116,SAMN06617368,simple,208964,Pseudomonas aeruginosa PAO1,PAO1_gly_1,Lawrence Livermore National Laboratory,SRA547049,03,2017,Makar,"",Pseudomonas aeruginosa PAO1 replicate 1 grown in Glycerol,PAO1,infected wound,1955,Australia: Melbourne,monoisolate,"Oscar N. Ruiz, AFRL, Wright-Patterson AFB, Dayton, OH 45433",ATCC: 15692,replicate = biological replicate 1,carbon source = Glycerol,taxid = 208964,"Microbe, viral or environmental"
SRR5356908,98145010,4907250500,50,2639,SRX2652937,11836X1,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102099,PRJNA379630,1,"",SRS2058116,SAMN06617368,simple,208964,Pseudomonas aeruginosa PAO1,PAO1_gly_1,Lawrence Livermore National Laboratory,SRA547049,03,2017,Makar,"",Pseudomonas aeruginosa PAO1 replicate 1 grown in Glycerol,PAO1,infected wound,1955,Australia: Melbourne,monoisolate,"Oscar N. Ruiz, AFRL, Wright-Patterson AFB, Dayton, OH 45433",ATCC: 15692,replicate = biological replicate 1,carbon source = Glycerol,taxid = 208964,"Microbe, viral or environmental"
