Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,Stage,surgery,treatment,GEO Accession
SRR13509517,18352733,1835273300,50,704,SRX9920980,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097901,SAMN17497043,simple,8355,Xenopus laevis,GSM5031805,GEO,SRA1186851,11,2021,Peñailillo,1.5h - transection - S2,Sample_90TRANS_ED23,1.5h - transection - S2,Caudal section of spinal cord,NF stage 50,transection,--,GSM5031805
SRR13509518,19837973,2023473246,51,797,SRX9920981,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097902,SAMN17497042,simple,8355,Xenopus laevis,GSM5031806,GEO,SRA1186851,11,2021,Peñailillo,"0h - uninjured - S3,S3'",Sample_0_1,"0h - uninjured - S3,S3'",Caudal section of spinal cord,NF stage 50,uninjured,--,GSM5031806
SRR13509519,34293485,3497935470,51,1378,SRX9920982,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097903,SAMN17497041,simple,8355,Xenopus laevis,GSM5031807,GEO,SRA1186851,11,2021,Peñailillo,"0h - uninjured - S4,S4'",Sample_0_2,"0h - uninjured - S4,S4'",Caudal section of spinal cord,NF stage 50,uninjured,--,GSM5031807
SRR13509520,28627224,2919976848,51,1144,SRX9920983,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097905,SAMN17497040,simple,8355,Xenopus laevis,GSM5031808,GEO,SRA1186851,11,2021,Peñailillo,10h - sham - S4',Sample_10S2,10h - sham - S4',Caudal section of spinal cord,NF stage 50,sham,--,GSM5031808
SRR13509521,31972279,3261172458,51,1275,SRX9920984,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097904,SAMN17497039,simple,8355,Xenopus laevis,GSM5031809,GEO,SRA1186851,11,2021,Peñailillo,10h - transection - S4,Sample_10T2,10h - transection - S4,Caudal section of spinal cord,NF stage 50,transection,--,GSM5031809
SRR13509522,49683113,5067677526,51,2205,SRX9920985,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097906,SAMN17497038,simple,8355,Xenopus laevis,GSM5031810,GEO,SRA1186851,11,2021,Peñailillo,11h - sham - S4',Sample_11S2,11h - sham - S4',Caudal section of spinal cord,NF stage 50,sham,--,GSM5031810
SRR13509523,19180383,1956399066,51,758,SRX9920986,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097907,SAMN17497037,simple,8355,Xenopus laevis,GSM5031811,GEO,SRA1186851,11,2021,Peñailillo,11h - transection - S4,Sample_11T2,11h - transection - S4,Caudal section of spinal cord,NF stage 50,transection,--,GSM5031811
SRR13509524,24306102,2479222404,51,961,SRX9920987,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097908,SAMN17497036,simple,8355,Xenopus laevis,GSM5031812,GEO,SRA1186851,11,2021,Peñailillo,12h - sham - S4',Sample_12S2,12h - sham - S4',Caudal section of spinal cord,NF stage 50,sham,--,GSM5031812
SRR13509525,17132651,1747530402,51,676,SRX9920988,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097909,SAMN17497035,simple,8355,Xenopus laevis,GSM5031813,GEO,SRA1186851,11,2021,Peñailillo,12h - transection - S4,Sample_12T2,12h - transection - S4,Caudal section of spinal cord,NF stage 50,transection,--,GSM5031813
SRR13509526,27537214,2808795828,51,1224,SRX9920989,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097912,SAMN17497034,simple,8355,Xenopus laevis,GSM5031814,GEO,SRA1186851,11,2021,Peñailillo,1h - sham - S3',Sample_1S1,1h - sham - S3',Caudal section of spinal cord,NF stage 50,sham,--,GSM5031814
SRR13509527,16193233,1651709766,51,653,SRX9920990,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097910,SAMN17497033,simple,8355,Xenopus laevis,GSM5031815,GEO,SRA1186851,11,2021,Peñailillo,1h - transection - S3,Sample_1T1,1h - transection - S3,Caudal section of spinal cord,NF stage 50,transection,--,GSM5031815
SRR13509528,18092933,1845479166,51,731,SRX9920991,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097911,SAMN17496990,simple,8355,Xenopus laevis,GSM5031816,GEO,SRA1186851,11,2021,Peñailillo,2h - sham - S3',Sample_2S1,2h - sham - S3',Caudal section of spinal cord,NF stage 50,sham,--,GSM5031816
SRR13509529,21976557,2241608814,51,877,SRX9920992,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097914,SAMN17496989,simple,8355,Xenopus laevis,GSM5031817,GEO,SRA1186851,11,2021,Peñailillo,2h - transection - S3,Sample_2T1,2h - transection - S3,Caudal section of spinal cord,NF stage 50,transection,--,GSM5031817
SRR13509530,14747972,1504293144,51,573,SRX9920993,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097919,SAMN17497024,simple,8355,Xenopus laevis,GSM5031818,GEO,SRA1186851,11,2021,Peñailillo,3h - sham - S3',Sample_3S1,3h - sham - S3',Caudal section of spinal cord,NF stage 50,sham,--,GSM5031818
SRR13509531,36386417,3711414534,51,1615,SRX9920994,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097913,SAMN17497023,simple,8355,Xenopus laevis,GSM5031819,GEO,SRA1186851,11,2021,Peñailillo,3h - transection - S3,Sample_3T1,3h - transection - S3,Caudal section of spinal cord,NF stage 50,transection,--,GSM5031819
SRR13509532,30142561,3074541222,51,1202,SRX9920995,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097916,SAMN17497022,simple,8355,Xenopus laevis,GSM5031820,GEO,SRA1186851,11,2021,Peñailillo,4h - sham - S3',Sample_4S1,4h - sham - S3',Caudal section of spinal cord,NF stage 50,sham,--,GSM5031820
SRR13509533,23580012,2405161224,51,943,SRX9920996,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097915,SAMN17497021,simple,8355,Xenopus laevis,GSM5031821,GEO,SRA1186851,11,2021,Peñailillo,4h - transection - S3,Sample_4T1,4h - transection - S3,Caudal section of spinal cord,NF stage 50,transection,--,GSM5031821
SRR13509534,51862469,5289971838,51,2316,SRX9920997,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097917,SAMN17497020,simple,8355,Xenopus laevis,GSM5031822,GEO,SRA1186851,11,2021,Peñailillo,5h - sham - S3',Sample_5S1,5h - sham - S3',Caudal section of spinal cord,NF stage 50,sham,--,GSM5031822
SRR13509535,42464794,4331408988,51,1705,SRX9920998,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097918,SAMN17497019,simple,8355,Xenopus laevis,GSM5031823,GEO,SRA1186851,11,2021,Peñailillo,5h - transection - S3,Sample_5T1,5h - transection - S3,Caudal section of spinal cord,NF stage 50,transection,--,GSM5031823
SRR13509536,26593936,2712581472,51,1033,SRX9920999,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097921,SAMN17497018,simple,8355,Xenopus laevis,GSM5031824,GEO,SRA1186851,11,2021,Peñailillo,6h - sham - S3',Sample_6S1,6h - sham - S3',Caudal section of spinal cord,NF stage 50,sham,--,GSM5031824
SRR13509537,25559236,2607042072,51,991,SRX9921000,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097920,SAMN17497017,simple,8355,Xenopus laevis,GSM5031825,GEO,SRA1186851,11,2021,Peñailillo,6h - sham - S4',Sample_6S2,6h - sham - S4',Caudal section of spinal cord,NF stage 50,sham,--,GSM5031825
SRR13509538,30639623,3125241546,51,1229,SRX9921001,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097922,SAMN17497016,simple,8355,Xenopus laevis,GSM5031826,GEO,SRA1186851,11,2021,Peñailillo,6h - transection - S3,Sample_6T1,6h - transection - S3,Caudal section of spinal cord,NF stage 50,transection,--,GSM5031826
SRR13509539,21267923,2169328146,51,834,SRX9921002,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097923,SAMN17497015,simple,8355,Xenopus laevis,GSM5031827,GEO,SRA1186851,11,2021,Peñailillo,6h - transection - S4,Sample_6T2,6h - transection - S4,Caudal section of spinal cord,NF stage 50,transection,--,GSM5031827
SRR13509540,23190895,2365471290,51,934,SRX9921003,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097924,SAMN17497014,simple,8355,Xenopus laevis,GSM5031828,GEO,SRA1186851,11,2021,Peñailillo,7h - sham - S4',Sample_7S2,7h - sham - S4',Caudal section of spinal cord,NF stage 50,sham,--,GSM5031828
SRR13509541,19264300,1964958600,51,763,SRX9921004,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097926,SAMN17497013,simple,8355,Xenopus laevis,GSM5031829,GEO,SRA1186851,11,2021,Peñailillo,7h - transection - S4,Sample_7T2,7h - transection - S4,Caudal section of spinal cord,NF stage 50,transection,--,GSM5031829
SRR13509542,23717921,2419227942,51,937,SRX9921005,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097925,SAMN17497012,simple,8355,Xenopus laevis,GSM5031830,GEO,SRA1186851,11,2021,Peñailillo,8h - sham - S4',Sample_8S2,8h - sham - S4',Caudal section of spinal cord,NF stage 50,sham,--,GSM5031830
SRR13509543,23346692,2381362584,51,906,SRX9921006,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097927,SAMN17497011,simple,8355,Xenopus laevis,GSM5031831,GEO,SRA1186851,11,2021,Peñailillo,8h - transection - S4,Sample_8T2,8h - transection - S4,Caudal section of spinal cord,NF stage 50,transection,--,GSM5031831
SRR13509544,50305092,5131119384,51,2238,SRX9921007,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097929,SAMN17497010,simple,8355,Xenopus laevis,GSM5031832,GEO,SRA1186851,11,2021,Peñailillo,9h - sham - S4',Sample_9S2,9h - sham - S4',Caudal section of spinal cord,NF stage 50,sham,--,GSM5031832
SRR13509545,21458987,2188816674,51,873,SRX9921008,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097928,SAMN17497009,simple,8355,Xenopus laevis,GSM5031833,GEO,SRA1186851,11,2021,Peñailillo,9h - transection - S4,Sample_9T2,9h - transection - S4,Caudal section of spinal cord,NF stage 50,transection,--,GSM5031833
SRR13509546,26334967,2686166634,51,1070,SRX9921009,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097930,SAMN17497008,simple,8355,Xenopus laevis,GSM5031834,GEO,SRA1186851,11,2021,Peñailillo,"0h - uninjured - S5,S5'",Sample_ED_0h,"0h - uninjured - S5,S5'",Caudal section of spinal cord,NF stage 50,uninjured,--,GSM5031834
SRR13509547,26348795,2687577090,51,1074,SRX9921010,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097932,SAMN17497007,simple,8355,Xenopus laevis,GSM5031835,GEO,SRA1186851,11,2021,Peñailillo,10h - sham - S5',Sample_ED_10h_Sham,10h - sham - S5',Caudal section of spinal cord,NF stage 50,sham,--,GSM5031835
SRR13509548,25689539,2620332978,51,1041,SRX9921011,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097931,SAMN17497006,simple,8355,Xenopus laevis,GSM5031836,GEO,SRA1186851,11,2021,Peñailillo,10h - transection - S5,Sample_ED_10h_Trans,10h - transection - S5,Caudal section of spinal cord,NF stage 50,transection,--,GSM5031836
SRR13509549,19493335,1988320170,51,789,SRX9921012,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097933,SAMN17497005,simple,8355,Xenopus laevis,GSM5031837,GEO,SRA1186851,11,2021,Peñailillo,11h - sham - S5',Sample_ED_11h_Sham,11h - sham - S5',Caudal section of spinal cord,NF stage 50,sham,--,GSM5031837
SRR13509550,31742604,3237745608,51,1297,SRX9921013,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097935,SAMN17497004,simple,8355,Xenopus laevis,GSM5031838,GEO,SRA1186851,11,2021,Peñailillo,11h - transection - S5,Sample_ED_11h_Trans,11h - transection - S5,Caudal section of spinal cord,NF stage 50,transection,--,GSM5031838
SRR13509551,25222408,2572685616,51,1032,SRX9921014,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097934,SAMN17497003,simple,8355,Xenopus laevis,GSM5031839,GEO,SRA1186851,11,2021,Peñailillo,12h - sham - S5',Sample_ED_12h_Sham,12h - sham - S5',Caudal section of spinal cord,NF stage 50,sham,--,GSM5031839
SRR13509552,35741701,3645653502,51,1470,SRX9921015,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097936,SAMN17497002,simple,8355,Xenopus laevis,GSM5031840,GEO,SRA1186851,11,2021,Peñailillo,12h - transection - S5,Sample_ED_12h_Trans,12h - transection - S5,Caudal section of spinal cord,NF stage 50,transection,--,GSM5031840
SRR13509553,28932056,2951069712,51,1188,SRX9921016,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097937,SAMN17497001,simple,8355,Xenopus laevis,GSM5031841,GEO,SRA1186851,11,2021,Peñailillo,13h - sham - S5',Sample_ED_13h_Sham,13h - sham - S5',Caudal section of spinal cord,NF stage 50,sham,--,GSM5031841
SRR13509554,32919536,3357792672,51,1355,SRX9921017,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097938,SAMN17497000,simple,8355,Xenopus laevis,GSM5031842,GEO,SRA1186851,11,2021,Peñailillo,13h - transection - S5,Sample_ED_13h_Trans,13h - transection - S5,Caudal section of spinal cord,NF stage 50,transection,--,GSM5031842
SRR13509555,27499234,2804921868,51,1141,SRX9921018,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097939,SAMN17496999,simple,8355,Xenopus laevis,GSM5031843,GEO,SRA1186851,11,2021,Peñailillo,14h - sham - S5',Sample_ED_14h_Sham,14h - sham - S5',Caudal section of spinal cord,NF stage 50,sham,--,GSM5031843
SRR13509556,30614502,3122679204,51,1259,SRX9921019,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP302901,PRJNA694138,34686684,"",SRS8097940,SAMN17496998,simple,8355,Xenopus laevis,GSM5031844,GEO,SRA1186851,11,2021,Peñailillo,14h - transection - S5,Sample_ED_14h_Trans,14h - transection - S5,Caudal section of spinal cord,NF stage 50,transection,--,GSM5031844
