Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,infection,virus strain,time,GEO Accession
SRR5990816,28860812,1414179788,49,535,SRX3146516,,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478475,SAMN07573561,simple,9606,Homo sapiens,GSM2760249,GEO,SRA604097,05,2018,Lin,muscle and virus,"Infect,1.75 h, RPF",muscle and virus,RD,Enterovirus 71,SK-EV006/Malaysia/97,6.25 h,GSM2760256
SRR5990817,34838023,1707063127,49,606,SRX3146516,,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478475,SAMN07573561,simple,9606,Homo sapiens,GSM2760249,GEO,SRA604097,05,2018,Lin,muscle and virus,"Infect,1.75 h, RPF",muscle and virus,RD,Enterovirus 71,SK-EV006/Malaysia/97,6.25 h,GSM2760257
SRR5990818,14399882,705594218,49,437,SRX3146517,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478477,SAMN07573560,simple,9606,Homo sapiens,GSM2760250,GEO,SRA604097,05,2018,Lin,muscle,"Mock,3.5 h, mRNA, rep1",muscle,RD,mock,not applicable,3.5 h,GSM2760258
SRR5990819,25051877,1227541973,49,476,SRX3146517,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478477,SAMN07573560,simple,9606,Homo sapiens,GSM2760250,GEO,SRA604097,05,2018,Lin,muscle,"Mock,3.5 h, mRNA, rep1",muscle,RD,mock,not applicable,3.5 h,GSM2760259
SRR5990820,29818393,1461101257,49,536,SRX3146517,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478477,SAMN07573560,simple,9606,Homo sapiens,GSM2760250,GEO,SRA604097,05,2018,Lin,muscle,"Mock,3.5 h, mRNA, rep1",muscle and virus,RD,Enterovirus 71,SK-EV006/Malaysia/97,3.5 h,GSM2760260
SRR5990821,17804916,872440884,49,551,SRX3146518,,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478476,SAMN07573559,simple,9606,Homo sapiens,GSM2760251,GEO,SRA604097,05,2018,Lin,muscle,"Mock,3.5 h, RPF, rep1",muscle and virus,RD,Enterovirus 71,SK-EV006/Malaysia/97,3.5 h,GSM2760261
SRR5990822,27313593,1338366057,49,511,SRX3146518,,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478476,SAMN07573559,simple,9606,Homo sapiens,GSM2760251,GEO,SRA604097,05,2018,Lin,muscle,"Mock,3.5 h, RPF, rep1",muscle,RD,mock,not applicable,6.25 h,GSM2760262
SRR5990823,32400447,1587621903,49,573,SRX3146518,,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478476,SAMN07573559,simple,9606,Homo sapiens,GSM2760251,GEO,SRA604097,05,2018,Lin,muscle,"Mock,3.5 h, RPF, rep1",muscle,RD,mock,not applicable,6.25 h,GSM2760263
SRR5990824,12560248,615452152,49,378,SRX3146519,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478478,SAMN07573558,simple,9606,Homo sapiens,GSM2760252,GEO,SRA604097,05,2018,Lin,muscle and virus,"Infect, 3.5 h, mRNA, rep1",muscle and virus,RD,Enterovirus 71,SK-EV006/Malaysia/97,6.25 h,GSM2760264
SRR5990825,26633183,1305025967,49,504,SRX3146519,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478478,SAMN07573558,simple,9606,Homo sapiens,GSM2760252,GEO,SRA604097,05,2018,Lin,muscle and virus,"Infect, 3.5 h, mRNA, rep1",muscle and virus,RD,Enterovirus 71,SK-EV006/Malaysia/97,6.25 h,GSM2760265
SRR5990826,32412517,1588213333,49,583,SRX3146519,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478478,SAMN07573558,simple,9606,Homo sapiens,GSM2760252,GEO,SRA604097,05,2018,Lin,muscle and virus,"Infect, 3.5 h, mRNA, rep1",muscle,RD,mock,not applicable,1.75 h,GSM2760246
SRR5990827,15088082,739316018,49,463,SRX3146520,,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478479,SAMN07573557,simple,9606,Homo sapiens,GSM2760253,GEO,SRA604097,05,2018,Lin,muscle and virus,"Infect, 3.5 h, RPF, rep1",muscle,RD,mock,not applicable,1.75 h,GSM2760247
SRR5990828,28506876,1396836924,49,535,SRX3146520,,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478479,SAMN07573557,simple,9606,Homo sapiens,GSM2760253,GEO,SRA604097,05,2018,Lin,muscle and virus,"Infect, 3.5 h, RPF, rep1",muscle and virus,RD,Enterovirus 71,SK-EV006/Malaysia/97,1.75 h,GSM2760248
SRR5990829,34117256,1671745544,49,604,SRX3146520,,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478479,SAMN07573557,simple,9606,Homo sapiens,GSM2760253,GEO,SRA604097,05,2018,Lin,muscle and virus,"Infect, 3.5 h, RPF, rep1",muscle and virus,RD,Enterovirus 71,SK-EV006/Malaysia/97,1.75 h,GSM2760249
SRR5990830,13489953,661007697,49,408,SRX3146521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478481,SAMN07573556,simple,9606,Homo sapiens,GSM2760254,GEO,SRA604097,05,2018,Lin,muscle,"Mock,6.25 h, mRNA, rep1",muscle,RD,mock,not applicable,3.5 h,GSM2760250
SRR5990831,28580469,1400442981,49,546,SRX3146521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478481,SAMN07573556,simple,9606,Homo sapiens,GSM2760254,GEO,SRA604097,05,2018,Lin,muscle,"Mock,6.25 h, mRNA, rep1",muscle,RD,mock,not applicable,3.5 h,GSM2760251
SRR5990832,34833753,1706853897,49,631,SRX3146521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478481,SAMN07573556,simple,9606,Homo sapiens,GSM2760254,GEO,SRA604097,05,2018,Lin,muscle,"Mock,6.25 h, mRNA, rep1",muscle and virus,RD,Enterovirus 71,SK-EV006/Malaysia/97,3.5 h,GSM2760252
SRR5990833,10204205,500006045,49,312,SRX3146522,,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478480,SAMN07573555,simple,9606,Homo sapiens,GSM2760255,GEO,SRA604097,05,2018,Lin,muscle,"Mock,6.25 h, RPF, rep1",muscle and virus,RD,Enterovirus 71,SK-EV006/Malaysia/97,3.5 h,GSM2760253
SRR5990834,27562736,1350574064,49,515,SRX3146522,,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478480,SAMN07573555,simple,9606,Homo sapiens,GSM2760255,GEO,SRA604097,05,2018,Lin,muscle,"Mock,6.25 h, RPF, rep1",muscle,RD,mock,not applicable,6.25 h,GSM2760254
SRR5990835,32967851,1615424699,49,583,SRX3146522,,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478480,SAMN07573555,simple,9606,Homo sapiens,GSM2760255,GEO,SRA604097,05,2018,Lin,muscle,"Mock,6.25 h, RPF, rep1",muscle,RD,mock,not applicable,6.25 h,GSM2760255
SRR5990836,13103565,642074685,49,390,SRX3146523,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478482,SAMN07573554,simple,9606,Homo sapiens,GSM2760256,GEO,SRA604097,05,2018,Lin,muscle and virus,"Infect, 6.25 h, mRNA, rep1",muscle and virus,RD,Enterovirus 71,SK-EV006/Malaysia/97,6.25 h,GSM2760256
SRR5990837,25805339,1264461611,49,493,SRX3146523,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478482,SAMN07573554,simple,9606,Homo sapiens,GSM2760256,GEO,SRA604097,05,2018,Lin,muscle and virus,"Infect, 6.25 h, mRNA, rep1",muscle and virus,RD,Enterovirus 71,SK-EV006/Malaysia/97,6.25 h,GSM2760257
SRR5990838,30791433,1508780217,49,557,SRX3146523,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478482,SAMN07573554,simple,9606,Homo sapiens,GSM2760256,GEO,SRA604097,05,2018,Lin,muscle and virus,"Infect, 6.25 h, mRNA, rep1",muscle,RD,mock,not applicable,3.5 h,GSM2760258
SRR5990839,11484798,562755102,49,354,SRX3146524,,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478483,SAMN07573553,simple,9606,Homo sapiens,GSM2760257,GEO,SRA604097,05,2018,Lin,muscle and virus,"Infect, 6.25 h, RPF, rep1",muscle,RD,mock,not applicable,3.5 h,GSM2760259
SRR5990840,23920886,1172123414,49,449,SRX3146524,,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478483,SAMN07573553,simple,9606,Homo sapiens,GSM2760257,GEO,SRA604097,05,2018,Lin,muscle and virus,"Infect, 6.25 h, RPF, rep1",muscle and virus,RD,Enterovirus 71,SK-EV006/Malaysia/97,3.5 h,GSM2760260
SRR5990841,28998587,1420930763,49,514,SRX3146524,,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478483,SAMN07573553,simple,9606,Homo sapiens,GSM2760257,GEO,SRA604097,05,2018,Lin,muscle and virus,"Infect, 6.25 h, RPF, rep1",muscle and virus,RD,Enterovirus 71,SK-EV006/Malaysia/97,3.5 h,GSM2760261
SRR5990842,29909759,1465578191,49,571,SRX3146525,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478484,SAMN07573552,simple,9606,Homo sapiens,GSM2760258,GEO,SRA604097,05,2018,Lin,muscle,"Mock,3.5 h, mRNA, rep2",muscle,RD,mock,not applicable,6.25 h,GSM2760262
SRR5990843,33198222,1626712878,49,738,SRX3146526,,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478485,SAMN07573551,simple,9606,Homo sapiens,GSM2760259,GEO,SRA604097,05,2018,Lin,muscle,"Mock,3.5 h, RPF, rep2",muscle,RD,mock,not applicable,6.25 h,GSM2760263
SRR5990844,28638049,1403264401,49,550,SRX3146527,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478486,SAMN07573550,simple,9606,Homo sapiens,GSM2760260,GEO,SRA604097,05,2018,Lin,muscle and virus,"Infect, 3.5 h, mRNA, rep2",muscle and virus,RD,Enterovirus 71,SK-EV006/Malaysia/97,6.25 h,GSM2760264
SRR5990845,35635389,1746134061,49,676,SRX3146528,,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478487,SAMN07573549,simple,9606,Homo sapiens,GSM2760261,GEO,SRA604097,05,2018,Lin,muscle and virus,"Infect, 3.5 h, RPF, rep2",muscle and virus,RD,Enterovirus 71,SK-EV006/Malaysia/97,6.25 h,GSM2760265
SRR5990846,31857500,1561017500,49,613,SRX3146529,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478488,SAMN07573548,simple,9606,Homo sapiens,GSM2760262,GEO,SRA604097,05,2018,Lin,muscle,"Mock,6.25 h, mRNA, rep2",muscle,RD,mock,not applicable,1.75 h,GSM2760246
SRR5990847,28995301,1420769749,49,552,SRX3146530,,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478489,SAMN07573547,simple,9606,Homo sapiens,GSM2760263,GEO,SRA604097,05,2018,Lin,muscle,"Mock,6.25 h, RPF, rep2",muscle,RD,mock,not applicable,1.75 h,GSM2760247
SRR5990848,35791125,1753765125,49,680,SRX3146531,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478490,SAMN07573546,simple,9606,Homo sapiens,GSM2760264,GEO,SRA604097,05,2018,Lin,muscle and virus,"Infect, 6.25 h, mRNA, rep2",muscle and virus,RD,Enterovirus 71,SK-EV006/Malaysia/97,1.75 h,GSM2760248
SRR5990849,29762561,1458365489,49,567,SRX3146532,,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478491,SAMN07573545,simple,9606,Homo sapiens,GSM2760265,GEO,SRA604097,05,2018,Lin,muscle and virus,"Infect, 6.25 h, RPF, rep2",muscle and virus,RD,Enterovirus 71,SK-EV006/Malaysia/97,1.75 h,GSM2760249
