Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,agent,strain,substrain,genetic background,GEO Accession
SRR12337209,29221393,831085703,28,384,SRX8837164,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273894,PRJNA649104,1,"",SRS7100510,SAMN15659507,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4698024,GEO,SRA1104576,07,2023,Makar,rpsa1_cm,rpsa1_cm,rpsa1_cm,chloramphenicol,K-12,MG1655,rpsA1::kan,GSM4698024
SRR12337210,12012403,348814066,29,161,SRX8837165,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273894,PRJNA649104,1,"",SRS7100511,SAMN15659506,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4698025,GEO,SRA1104576,07,2023,Makar,delta6_cm,delta6_cm,delta6_cm,chloramphenicol,K-12,MG1655,rpsAdelta6::kan,GSM4698025
SRR12337211,43875052,1284845714,29,589,SRX8837166,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273894,PRJNA649104,1,"",SRS7100512,SAMN15659505,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4698026,GEO,SRA1104576,07,2023,Makar,delta56_cm,delta56_cm,delta56_cm,chloramphenicol,K-12,MG1655,rpsAdelta56::kan,GSM4698026
SRR12337212,40359459,1312029231,32,558,SRX8837167,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273894,PRJNA649104,1,"",SRS7100513,SAMN15659504,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4698027,GEO,SRA1104576,07,2023,Makar,WT_cap1_high,WT_cap1_high,WT_cap1_high,capreomycin 2000 microg/ml,K-12,MG1655,,GSM4698027
SRR12337213,38789950,1186194563,30,515,SRX8837168,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273894,PRJNA649104,1,"",SRS7100514,SAMN15659503,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4698028,GEO,SRA1104576,07,2023,Makar,WT_cap2_high,WT_cap2_high,WT_cap2_high,capreomycin 2000 microg/ml,K-12,MG1655,,GSM4698028
SRR12337214,13249540,412166639,31,177,SRX8837169,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273894,PRJNA649104,1,"",SRS7100515,SAMN15659502,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4698029,GEO,SRA1104576,07,2023,Makar,rpsa1_cap_high,rpsa1_cap_high,rpsa1_cap_high,capreomycin 2000 microg/ml,K-12,MG1655,rpsA1::kan,GSM4698029
SRR12337215,28671556,871492584,30,379,SRX8837170,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273894,PRJNA649104,1,"",SRS7100516,SAMN15659501,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4698030,GEO,SRA1104576,07,2023,Makar,delta6_cap_high,delta6_cap_high,delta6_cap_high,capreomycin 2000 microg/ml,K-12,MG1655,rpsAdelta6::kan,GSM4698030
SRR12337216,46459473,1317085529,28,583,SRX8837171,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273894,PRJNA649104,1,"",SRS7100517,SAMN15659500,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4698031,GEO,SRA1104576,07,2023,Makar,delta56_cap_high,delta56_cap_high,delta56_cap_high,capreomycin 2000 microg/ml,K-12,MG1655,rpsAdelta56::kan,GSM4698031
SRR12337217,344100,12613749,36,5,SRX8837172,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273894,PRJNA649104,1,"",SRS7100518,SAMN15659499,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4698032,GEO,SRA1104576,07,2023,Makar,tRNA_RNC1,tRNA_RNC1,tRNA_RNC1,,K-12,MG1655,,GSM4698032
SRR12337218,1075797,43514872,40,18,SRX8837173,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273894,PRJNA649104,1,"",SRS7100519,SAMN15659498,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4698033,GEO,SRA1104576,07,2023,Makar,tRNA_RNC2,tRNA_RNC2,tRNA_RNC2,,K-12,MG1655,,GSM4698033
SRR12337219,105387055,4616349911,43,1882,SRX8837174,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273894,PRJNA649104,1,"",SRS7100520,SAMN15659497,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4698034,GEO,SRA1104576,07,2023,Makar,tRNA_input,tRNA_input,tRNA_input,,K-12,MG1655,,GSM4698034
SRR12337220,8289110,231171564,27,110,SRX8837175,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273894,PRJNA649104,1,"",SRS7100521,SAMN15659496,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4698035,GEO,SRA1104576,07,2023,Makar,irCLIP_cm_1,irCLIP_cm_1,irCLIP_cm_1,chloramphenicol,K-12,MG1655,,GSM4698035
SRR12337221,9610758,281825988,29,132,SRX8837176,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273894,PRJNA649104,1,"",SRS7100522,SAMN15659495,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4698036,GEO,SRA1104576,07,2023,Makar,irCLIP_cm_2,irCLIP_cm_2,irCLIP_cm_2,chloramphenicol,K-12,MG1655,,GSM4698036
SRR12337222,3705835,102832977,27,49,SRX8837177,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273894,PRJNA649104,1,"",SRS7100523,SAMN15659518,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4698037,GEO,SRA1104576,07,2023,Makar,irCLIP_cap_1,irCLIP_cap_1,irCLIP_cap_1,capreomycin 2000 microg/ml,K-12,MG1655,,GSM4698037
SRR12337223,3378680,97362364,28,46,SRX8837178,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273894,PRJNA649104,1,"",SRS7100524,SAMN15659517,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4698038,GEO,SRA1104576,07,2023,Makar,irCLIP_cap_2,irCLIP_cap_2,irCLIP_cap_2,capreomycin 2000 microg/ml,K-12,MG1655,,GSM4698038
