Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,agent,time point,GEO Accession
SRR12764727,53161052,318966312,6,14,SRX9235417,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468767,SAMN16351539,simple,60711,Chlorocebus sabaeus,GSM4815898,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-SARS2-lowMOI-48hpi-rep2,Vero E6,Cycloheximide,SARS2-lowMOI,48hpi,GSM4815898
SRR12764728,29667661,178005966,6,9,SRX9235418,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468768,SAMN16351538,simple,60711,Chlorocebus sabaeus,GSM4815899,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-SARS2-lowMOI-72hpi-rep2,Vero E6,Cycloheximide,SARS2-lowMOI,72hpi,GSM4815899
SRR12764729,18556130,591070808,31,259,SRX9235419,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468769,SAMN16351537,simple,60711,Chlorocebus sabaeus,GSM4815900,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,Ribo-seq-mock-lowMOI-24hpi-rep1,Vero E6,Cycloheximide,mock-lowMOI,24hpi,GSM4815900
SRR12764730,15268068,494916433,32,215,SRX9235420,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468770,SAMN16351536,simple,60711,Chlorocebus sabaeus,GSM4815901,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,Ribo-seq-mock-lowMOI-48hpi-rep1,Vero E6,Cycloheximide,mock-lowMOI,48hpi,GSM4815901
SRR12764731,22968629,767836796,33,330,SRX9235421,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468771,SAMN16351535,simple,60711,Chlorocebus sabaeus,GSM4815902,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,Ribo-seq-mock-lowMOI-72hpi-rep1,Vero E6,Cycloheximide,mock-lowMOI,72hpi,GSM4815902
SRR12764732,27048479,851073381,31,375,SRX9235422,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468772,SAMN16351534,simple,60711,Chlorocebus sabaeus,GSM4815903,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,Ribo-seq-SARS2-lowMOI-24hpi-rep1,Vero E6,Cycloheximide,SARS2-lowMOI,24hpi,GSM4815903
SRR12764733,22153135,714891529,32,311,SRX9235423,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468773,SAMN16351533,simple,60711,Chlorocebus sabaeus,GSM4815904,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,Ribo-seq-SARS2-lowMOI-48hpi-rep1,Vero E6,Cycloheximide,SARS2-lowMOI,48hpi,GSM4815904
SRR12764734,7932753,236898077,29,107,SRX9235424,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468774,SAMN16351532,simple,60711,Chlorocebus sabaeus,GSM4815905,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,Ribo-seq-SARS2-lowMOI-72hpi-rep1,Vero E6,Cycloheximide,SARS2-lowMOI,72hpi,GSM4815905
SRR12764735,37263056,1147169733,30,488,SRX9235425,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468775,SAMN16351531,simple,60711,Chlorocebus sabaeus,GSM4815906,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,Ribo-seq-mock-lowMOI-24hpi-rep2,Vero E6,Cycloheximide,mock-lowMOI,24hpi,GSM4815906
SRR12764736,32581794,1018453788,31,432,SRX9235426,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468776,SAMN16351530,simple,60711,Chlorocebus sabaeus,GSM4815907,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,Ribo-seq-mock-lowMOI-48hpi-rep2,Vero E6,Cycloheximide,mock-lowMOI,48hpi,GSM4815907
SRR12764737,36353119,1115095421,30,471,SRX9235427,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468777,SAMN16351529,simple,60711,Chlorocebus sabaeus,GSM4815908,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,Ribo-seq-mock-lowMOI-72hpi-rep2,Vero E6,Cycloheximide,mock-lowMOI,72hpi,GSM4815908
SRR12764738,48602708,1460038607,30,632,SRX9235428,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468778,SAMN16351618,simple,60711,Chlorocebus sabaeus,GSM4815909,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,Ribo-seq-SARS2-lowMOI-24hpi-rep2,Vero E6,Cycloheximide,SARS2-lowMOI,24hpi,GSM4815909
SRR12764739,33969369,1021093360,30,440,SRX9235429,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468779,SAMN16351617,simple,60711,Chlorocebus sabaeus,GSM4815910,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,Ribo-seq-SARS2-lowMOI-48hpi-rep2,Vero E6,Cycloheximide,SARS2-lowMOI,48hpi,GSM4815910
SRR12764740,357375,9009039,25,4,SRX9235430,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468780,SAMN16351613,simple,60711,Chlorocebus sabaeus,GSM4815911,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,Ribo-seq-SARS2-lowMOI-72hpi-rep2,Vero E6,Cycloheximide,SARS2-lowMOI,72hpi,GSM4815911
SRR12764741,37338927,2800419525,75,984,SRX9235431,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468781,SAMN16351528,simple,60711,Chlorocebus sabaeus,GSM4815912,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-mock-highMOI-CHX-rep1,Vero E6,Cycloheximide,mock-highMOI,,GSM4815912
SRR12764742,39713421,2978506575,75,1045,SRX9235432,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468782,SAMN16351527,simple,60711,Chlorocebus sabaeus,GSM4815913,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-SARS2-highMOI-2hpi-CHX-rep1,Vero E6,Cycloheximide,SARS2-highMOI,2hpi,GSM4815913
SRR12764743,40516822,3038761650,75,1061,SRX9235433,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468783,SAMN16351526,simple,60711,Chlorocebus sabaeus,GSM4815914,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-SARS2-highMOI-6hpi-CHX-rep1,Vero E6,Cycloheximide,SARS2-highMOI,6hpi,GSM4815914
SRR12764744,37495946,2812195950,75,973,SRX9235434,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468784,SAMN16351525,simple,60711,Chlorocebus sabaeus,GSM4815915,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-SARS2-highMOI-12hpi-CHX-rep1,Vero E6,Cycloheximide,SARS2-highMOI,12hpi,GSM4815915
SRR12764745,33692344,2526925800,75,873,SRX9235435,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468785,SAMN16351616,simple,60711,Chlorocebus sabaeus,GSM4815916,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-SARS2-highMOI-24hpi-CHX-rep1,Vero E6,Cycloheximide,SARS2-highMOI,24hpi,GSM4815916
SRR12764746,49883029,3741227175,75,1284,SRX9235436,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468786,SAMN16351615,simple,60711,Chlorocebus sabaeus,GSM4815917,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-SARS2-highMOI-48hpi-CHX-rep1,Vero E6,Cycloheximide,SARS2-highMOI,48hpi,GSM4815917
SRR12764747,37957138,2846785350,75,951,SRX9235437,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468787,SAMN16351614,simple,60711,Chlorocebus sabaeus,GSM4815918,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-mock-highMOI-CHX-rep2,Vero E6,Cycloheximide,mock-highMOI,,GSM4815918
SRR12764748,36931129,2769834675,75,922,SRX9235438,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468788,SAMN16351524,simple,60711,Chlorocebus sabaeus,GSM4815919,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-SARS2-highMOI-2hpi-CHX-rep2,Vero E6,Cycloheximide,SARS2-highMOI,2hpi,GSM4815919
SRR12764749,35739671,2680475325,75,878,SRX9235439,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468789,SAMN16351523,simple,60711,Chlorocebus sabaeus,GSM4815920,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-SARS2-highMOI-6hpi-CHX-rep2,Vero E6,Cycloheximide,SARS2-highMOI,6hpi,GSM4815920
SRR12764750,35311033,2648327475,75,860,SRX9235440,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468790,SAMN16351521,simple,60711,Chlorocebus sabaeus,GSM4815921,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-SARS2-highMOI-12hpi-CHX-rep2,Vero E6,Cycloheximide,SARS2-highMOI,12hpi,GSM4815921
SRR12764751,37104973,2782872975,75,903,SRX9235441,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468791,SAMN16351520,simple,60711,Chlorocebus sabaeus,GSM4815922,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-SARS2-highMOI-24hpi-CHX-rep2,Vero E6,Cycloheximide,SARS2-highMOI,24hpi,GSM4815922
SRR12764752,42559697,3191977275,75,1023,SRX9235442,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468792,SAMN16351519,simple,60711,Chlorocebus sabaeus,GSM4815923,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-SARS2-highMOI-48hpi-CHX-rep2,Vero E6,Cycloheximide,SARS2-highMOI,48hpi,GSM4815923
SRR12764753,14980667,501332634,33,218,SRX9235443,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468793,SAMN16351517,simple,60711,Chlorocebus sabaeus,GSM4815924,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,Ribo-seq-mock-highMOI-CHX-rep1,Vero E6,Cycloheximide,mock-highMOI,,GSM4815924
SRR12764754,27948924,928434436,33,406,SRX9235444,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468794,SAMN16351516,simple,60711,Chlorocebus sabaeus,GSM4815925,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,Ribo-seq-SARS2-highMOI-2hpi-CHX-rep1,Vero E6,Cycloheximide,SARS2-highMOI,2hpi,GSM4815925
SRR12764755,43526992,1485280642,34,645,SRX9235445,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468795,SAMN16351515,simple,60711,Chlorocebus sabaeus,GSM4815926,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,Ribo-seq-SARS2-highMOI-6hpi-CHX-rep1,Vero E6,Cycloheximide,SARS2-highMOI,6hpi,GSM4815926
SRR12764756,37963432,1299407582,34,564,SRX9235446,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468796,SAMN16351514,simple,60711,Chlorocebus sabaeus,GSM4815927,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,Ribo-seq-SARS2-highMOI-12hpi-CHX-rep1,Vero E6,Cycloheximide,SARS2-highMOI,12hpi,GSM4815927
SRR12764757,24746845,794065525,32,351,SRX9235447,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468797,SAMN16351512,simple,60711,Chlorocebus sabaeus,GSM4815928,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,Ribo-seq-SARS2-highMOI-24hpi-CHX-rep1,Vero E6,Cycloheximide,SARS2-highMOI,24hpi,GSM4815928
SRR12764758,47283375,1652898544,34,713,SRX9235448,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468798,SAMN16351511,simple,60711,Chlorocebus sabaeus,GSM4815929,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,Ribo-seq-SARS2-highMOI-48hpi-CHX-rep1,Vero E6,Cycloheximide,SARS2-highMOI,48hpi,GSM4815929
SRR12764759,23882901,719158336,30,312,SRX9235449,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468799,SAMN16351509,simple,60711,Chlorocebus sabaeus,GSM4815930,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,Ribo-seq-mock-highMOI-CHX-rep2,Vero E6,Cycloheximide,mock-highMOI,,GSM4815930
SRR12764760,19952834,601788189,30,261,SRX9235450,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468800,SAMN16351508,simple,60711,Chlorocebus sabaeus,GSM4815931,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,Ribo-seq-SARS2-highMOI-2hpi-CHX-rep2,Vero E6,Cycloheximide,SARS2-highMOI,2hpi,GSM4815931
SRR12764761,21574214,656209983,30,284,SRX9235451,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468801,SAMN16351506,simple,60711,Chlorocebus sabaeus,GSM4815932,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,Ribo-seq-SARS2-highMOI-6hpi-CHX-rep2,Vero E6,Cycloheximide,SARS2-highMOI,6hpi,GSM4815932
SRR12764762,50510944,1532003682,30,670,SRX9235452,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468802,SAMN16351505,simple,60711,Chlorocebus sabaeus,GSM4815933,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,Ribo-seq-SARS2-highMOI-12hpi-CHX-rep2,Vero E6,Cycloheximide,SARS2-highMOI,12hpi,GSM4815933
SRR12764763,38403494,1170441060,30,516,SRX9235453,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468803,SAMN16351504,simple,60711,Chlorocebus sabaeus,GSM4815934,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,Ribo-seq-SARS2-highMOI-24hpi-CHX-rep2,Vero E6,Cycloheximide,SARS2-highMOI,24hpi,GSM4815934
SRR12764764,25175115,772740857,30,343,SRX9235454,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468804,SAMN16351503,simple,60711,Chlorocebus sabaeus,GSM4815935,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,Ribo-seq-SARS2-highMOI-48hpi-CHX-rep2,Vero E6,Cycloheximide,SARS2-highMOI,48hpi,GSM4815935
SRR12764765,41732306,3129922950,75,1095,SRX9235455,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468805,SAMN16351502,simple,60711,Chlorocebus sabaeus,GSM4815936,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-mock-highMOI-HT-rep1,Vero E6,Cycloheximide+Harringtonine,mock-highMOI-HT,,GSM4815936
SRR12764766,44082008,3306150600,75,1160,SRX9235456,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468806,SAMN16351501,simple,60711,Chlorocebus sabaeus,GSM4815937,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-SARS2-highMOI-2hpi-HT-rep1,Vero E6,Cycloheximide+Harringtonine,SARS2-highMOI,2hpi,GSM4815937
SRR12764767,45287025,3396526875,75,1180,SRX9235457,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468807,SAMN16351500,simple,60711,Chlorocebus sabaeus,GSM4815938,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-SARS2-highMOI-6hpi-HT-rep1,Vero E6,Cycloheximide+Harringtonine,SARS2-highMOI,6hpi,GSM4815938
SRR12764768,38446206,2883465450,75,994,SRX9235458,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468808,SAMN16351499,simple,60711,Chlorocebus sabaeus,GSM4815939,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-SARS2-highMOI-12hpi-HT-rep1,Vero E6,Cycloheximide+Harringtonine,SARS2-highMOI,12hpi,GSM4815939
SRR12764769,39400410,2955030750,75,1022,SRX9235459,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468809,SAMN16351497,simple,60711,Chlorocebus sabaeus,GSM4815940,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-SARS2-highMOI-24hpi-HT-rep1,Vero E6,Cycloheximide+Harringtonine,SARS2-highMOI,24hpi,GSM4815940
SRR12764770,50666409,3799980675,75,1298,SRX9235460,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468810,SAMN16351496,simple,60711,Chlorocebus sabaeus,GSM4815941,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-SARS2-highMOI-48hpi-HT-rep1,Vero E6,Cycloheximide+Harringtonine,SARS2-highMOI,48hpi,GSM4815941
SRR12764771,37169747,2787731025,75,934,SRX9235461,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468811,SAMN16351495,simple,60711,Chlorocebus sabaeus,GSM4815942,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-mock-highMOI-HT-rep2,Vero E6,Cycloheximide+Harringtonine,mock-highMOI,,GSM4815942
SRR12764772,36268071,2720105325,75,933,SRX9235462,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468812,SAMN16351494,simple,60711,Chlorocebus sabaeus,GSM4815943,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-SARS2-highMOI-2hpi-HT-rep2,Vero E6,Cycloheximide+Harringtonine,SARS2-highMOI,2hpi,GSM4815943
SRR12764773,37249573,2793717975,75,914,SRX9235463,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468813,SAMN16351574,simple,60711,Chlorocebus sabaeus,GSM4815944,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-SARS2-highMOI-6hpi-HT-rep2,Vero E6,Cycloheximide+Harringtonine,SARS2-highMOI,6hpi,GSM4815944
