Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,molecule subtype,GEO Accession
SRR11179736,76213283,2343310820,30,1069,SRX7800385,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP250700,PRJNA608705,34016977,"",SRS6215262,SAMN14206739,simple,4932,Saccharomyces cerevisiae,GSM4339095,GEO,SRA1048055,03,2021,Young,tma22∆ YCplac33-tma22-A105L_whole cells,tma22∆ YCplac33-tma22-A105L [DY161Ffx],tma22∆ YCplac33-tma22-A105L_whole cells,tma22{delta} YCplac33-tma22-A105L,40S Ribosome-protected RNA 15-80 nt,GSM4339095
SRR11179738,149909118,6516825606,43,2732,SRX7800387,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP250700,PRJNA608705,34016977,"",SRS6215264,SAMN14206736,simple,4932,Saccharomyces cerevisiae,GSM4339097,GEO,SRA1048055,03,2021,Young,WT_whole cells,WT [DY182Ffx],WT_whole cells,WT (BY4741),40S Ribosome-protected RNA 15-80 nt,GSM4339097
SRR11179739,183216386,7843088453,42,3285,SRX7800388,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP250700,PRJNA608705,34016977,"",SRS6215265,SAMN14206735,simple,4932,Saccharomyces cerevisiae,GSM4339098,GEO,SRA1048055,03,2021,Young,rpl11b∆_whole cells,rpl11b∆ [DY183Ffx],rpl11b∆_whole cells,rpl11b{delta},40S Ribosome-protected RNA 15-80 nt,GSM4339098
SRR11179740,269790688,11860796406,43,4961,SRX7800389,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP250700,PRJNA608705,34016977,"",SRS6215266,SAMN14206775,simple,4932,Saccharomyces cerevisiae,GSM4339099,GEO,SRA1048055,03,2021,Young,tma64∆/tma20∆_whole cells,tma64∆/tma20∆ [DY184Ffx],tma64∆/tma20∆_whole cells,tma64{delta}/tma20{delta},40S Ribosome-protected RNA 15-80 nt,GSM4339099
SRR11179741,129116115,5701223131,44,2379,SRX7800390,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP250700,PRJNA608705,34016977,"",SRS6215267,SAMN14206774,simple,4932,Saccharomyces cerevisiae,GSM4339100,GEO,SRA1048055,03,2021,Young,tma64∆/tma22∆_whole cells,tma64∆/tma22∆ [DY185Ffx],tma64∆/tma22∆_whole cells,tma64{delta}/tma22{delta},40S Ribosome-protected RNA 15-80 nt,GSM4339100
SRR11179742,151412331,6501353650,42,2678,SRX7800391,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP250700,PRJNA608705,34016977,"",SRS6215268,SAMN14206781,simple,4932,Saccharomyces cerevisiae,GSM4339101,GEO,SRA1048055,03,2021,Young,tma20∆_whole cells,tma20∆ [DY186Ffx],tma20∆_whole cells,tma20{delta},40S Ribosome-protected RNA 15-80 nt,GSM4339101
SRR11179743,176019532,7724355232,43,3150,SRX7800392,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP250700,PRJNA608705,34016977,"",SRS6215269,SAMN14206780,simple,4932,Saccharomyces cerevisiae,GSM4339102,GEO,SRA1048055,03,2021,Young,tma22∆_whole cells,tma22∆ [DY187Ffx],tma22∆_whole cells,tma22{delta},40S Ribosome-protected RNA 15-80 nt,GSM4339102
SRR11179744,230989916,9565703955,41,3988,SRX7800393,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP250700,PRJNA608705,34016977,"",SRS6215270,SAMN14206778,simple,4932,Saccharomyces cerevisiae,GSM4339103,GEO,SRA1048055,03,2021,Young,tma64∆_whole cells,tma64∆ [DY188Ffx],tma64∆_whole cells,tma64{delta},40S Ribosome-protected RNA 15-80 nt,GSM4339103
SRR11179745,134846259,5938643582,44,2423,SRX7800394,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP250700,PRJNA608705,34016977,"",SRS6215271,SAMN14206777,simple,4932,Saccharomyces cerevisiae,GSM4339104,GEO,SRA1048055,03,2021,Young,tma22∆ YCplac33_whole cells,tma22∆ YCplac33 [DY189Ffx],tma22∆ YCplac33_whole cells,tma22{delta} YCplac33,40S Ribosome-protected RNA 15-80 nt,GSM4339104
SRR11179746,151197766,6035659575,39,2542,SRX7800395,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP250700,PRJNA608705,34016977,"",SRS6215272,SAMN14206776,simple,4932,Saccharomyces cerevisiae,GSM4339105,GEO,SRA1048055,03,2021,Young,tma22∆ YCplac33-TMA22_whole cells,tma22∆ YCplac33-TMA22 [DY190Ffx],tma22∆ YCplac33-TMA22_whole cells,tma22{delta} YCplac33-TMA22,40S Ribosome-protected RNA 15-80 nt,GSM4339105
SRR11179747,141326950,5943423980,42,2451,SRX7800396,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP250700,PRJNA608705,34016977,"",SRS6215273,SAMN14206773,simple,4932,Saccharomyces cerevisiae,GSM4339106,GEO,SRA1048055,03,2021,Young,tma22∆ YCplac33-tma22-C11Y_whole cells,tma22∆ YCplac33-tma22-C11Y [DY191Ffx],tma22∆ YCplac33-tma22-C11Y_whole cells,tma22{delta} YCplac33-tma22-C11Y,40S Ribosome-protected RNA 15-80 nt,GSM4339106
SRR11179748,279189681,10925855409,39,4635,SRX7800397,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP250700,PRJNA608705,34016977,"",SRS6215274,SAMN14206772,simple,4932,Saccharomyces cerevisiae,GSM4339107,GEO,SRA1048055,03,2021,Young,tma22∆ YCplac33-tma22-A105L_whole cells,tma22∆ YCplac33-tma22-A105L [DY192Ffx],tma22∆ YCplac33-tma22-A105L_whole cells,tma22{delta} YCplac33-tma22-A105L,40S Ribosome-protected RNA 15-80 nt,GSM4339107
SRR11179749,122906664,5065237310,41,2110,SRX7800398,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP250700,PRJNA608705,34016977,"",SRS6215275,SAMN14206771,simple,4932,Saccharomyces cerevisiae,GSM4339108,GEO,SRA1048055,03,2021,Young,tma22∆ YCplac33-DENR_whole cells,tma22∆ YCplac33-DENR [DY193Ffx],tma22∆ YCplac33-DENR_whole cells,tma22{delta} YCplac33-DENR,40S Ribosome-protected RNA 15-80 nt,GSM4339108
SRR11179751,113036426,4269110431,37,1711,SRX7800400,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP250700,PRJNA608705,34016977,"",SRS6215277,SAMN14206769,simple,4932,Saccharomyces cerevisiae,GSM4339110,GEO,SRA1048055,03,2021,Young,rpl11b∆_whole cells,rpl11b∆ [DY180F],rpl11b∆_whole cells,rpl11b{delta},80S Ribosome-protected RNA 25-34 nt,GSM4339110
SRR11179752,64202799,2414333023,37,975,SRX7800401,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP250700,PRJNA608705,34016977,"",SRS6215278,SAMN14206768,simple,4932,Saccharomyces cerevisiae,GSM4339111,GEO,SRA1048055,03,2021,Young,rpl11b∆_whole cells,rpl11b∆ [DY181F],rpl11b∆_whole cells,rpl11b{delta},80S Ribosome-protected RNA 25-34 nt,GSM4339111
SRR11179753,76526004,2790109782,36,1147,SRX7800402,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP250700,PRJNA608705,34016977,"",SRS6215279,SAMN14206767,simple,4932,Saccharomyces cerevisiae,GSM4339112,GEO,SRA1048055,03,2021,Young,tma20∆_whole cells,tma20∆ [SM008F],tma20∆_whole cells,tma20{delta},80S Ribosome-protected RNA 25-34 nt,GSM4339112
SRR11179754,79732346,2951634889,37,1209,SRX7800403,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP250700,PRJNA608705,34016977,"",SRS6215280,SAMN14206766,simple,4932,Saccharomyces cerevisiae,GSM4339113,GEO,SRA1048055,03,2021,Young,tma22∆_whole cells,tma22∆ [SM009F],tma22∆_whole cells,tma22{delta},80S Ribosome-protected RNA 25-34 nt,GSM4339113
SRR11179755,140125445,5107991164,36,2106,SRX7800404,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP250700,PRJNA608705,34016977,"",SRS6215281,SAMN14206765,simple,4932,Saccharomyces cerevisiae,GSM4339114,GEO,SRA1048055,03,2021,Young,tma64∆_whole cells,tma64∆ [SM010F],tma64∆_whole cells,tma64{delta},80S Ribosome-protected RNA 25-34 nt,GSM4339114
