Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,vector,treatment,cell line
SRR18021505,71439997,20573899852,143,6409,SRX14175641,GSM5899132,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359802,PRJNA806948,36433934,"",SRS11999557,SAMN25941631,simple,9606,Homo sapiens,GSM5899132,"van Heesch, Princess Maxima Center",SRA1372940,12,2022,Palomar-Siles,epithelial,RNA-Seq H1299-EV5FUR-3,epithelial,EV,FUr,H1299
SRR18021504,56393157,16212806062,143,5015,SRX14175642,GSM5899133,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359802,PRJNA806948,36433934,"",SRS11999558,SAMN25941630,simple,9606,Homo sapiens,GSM5899133,"van Heesch, Princess Maxima Center",SRA1372940,12,2022,Palomar-Siles,epithelial,RNA-Seq H1299-EV5FUR-4,epithelial,EV,FUr,H1299
SRR18021503,76993237,21888928284,141,6709,SRX14175643,GSM5899134,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359802,PRJNA806948,36433934,"",SRS11999559,SAMN25941629,simple,9606,Homo sapiens,GSM5899134,"van Heesch, Princess Maxima Center",SRA1372940,12,2022,Palomar-Siles,epithelial,RNA-Seq H1299-R213X-1,epithelial,R213X,untreated,H1299
SRR18021502,72333497,20862652983,143,6453,SRX14175644,GSM5899135,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359802,PRJNA806948,36433934,"",SRS11999560,SAMN25941628,simple,9606,Homo sapiens,GSM5899135,"van Heesch, Princess Maxima Center",SRA1372940,12,2022,Palomar-Siles,epithelial,RNA-Seq H1299-R213X-2,epithelial,R213X,untreated,H1299
SRR18021501,53620053,15506223247,144,4772,SRX14175645,GSM5899136,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359802,PRJNA806948,36433934,"",SRS11999561,SAMN25941627,simple,9606,Homo sapiens,GSM5899136,"van Heesch, Princess Maxima Center",SRA1372940,12,2022,Palomar-Siles,epithelial,RNA-Seq H1299-R213X-3,epithelial,R213X,untreated,H1299
SRR18021500,64460156,18628109523,144,5729,SRX14175646,GSM5899137,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359802,PRJNA806948,36433934,"",SRS11999562,SAMN25941626,simple,9606,Homo sapiens,GSM5899137,"van Heesch, Princess Maxima Center",SRA1372940,12,2022,Palomar-Siles,epithelial,RNA-Seq H1299-R213X-5,epithelial,R213X,untreated,H1299
SRR18021499,52327784,15114490549,143,4664,SRX14175647,GSM5899138,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359802,PRJNA806948,36433934,"",SRS11999563,SAMN25941625,simple,9606,Homo sapiens,GSM5899138,"van Heesch, Princess Maxima Center",SRA1372940,12,2022,Palomar-Siles,epithelial,RNA-Seq H1299-R213XG418-1,epithelial,R213X,G418,H1299
SRR18021498,55661501,15545634065,139,4780,SRX14175648,GSM5899139,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359802,PRJNA806948,36433934,"",SRS11999564,SAMN25941624,simple,9606,Homo sapiens,GSM5899139,"van Heesch, Princess Maxima Center",SRA1372940,12,2022,Palomar-Siles,epithelial,RNA-Seq H1299-R213XG418-2,epithelial,R213X,G418,H1299
SRR18021497,56002975,16101925092,143,4959,SRX14175649,GSM5899140,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359802,PRJNA806948,36433934,"",SRS11999565,SAMN25941623,simple,9606,Homo sapiens,GSM5899140,"van Heesch, Princess Maxima Center",SRA1372940,12,2022,Palomar-Siles,epithelial,RNA-Seq H1299-R213XG418-3,epithelial,R213X,G418,H1299
SRR18021496,62918490,17351549916,137,5360,SRX14175650,GSM5899141,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359802,PRJNA806948,36433934,"",SRS11999566,SAMN25941622,simple,9606,Homo sapiens,GSM5899141,"van Heesch, Princess Maxima Center",SRA1372940,12,2022,Palomar-Siles,epithelial,RNA-Seq H1299-R213XG418-5,epithelial,R213X,G418,H1299
SRR18021495,50018713,14504320456,144,4474,SRX14175651,GSM5899142,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359802,PRJNA806948,36433934,"",SRS11999569,SAMN25941621,simple,9606,Homo sapiens,GSM5899142,"van Heesch, Princess Maxima Center",SRA1372940,12,2022,Palomar-Siles,epithelial,RNA-Seq H1299-R213X5FUR-1,epithelial,R213X,FUr,H1299
SRR18021494,65810460,18794443452,142,5792,SRX14175652,GSM5899143,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359802,PRJNA806948,36433934,"",SRS11999567,SAMN25941620,simple,9606,Homo sapiens,GSM5899143,"van Heesch, Princess Maxima Center",SRA1372940,12,2022,Palomar-Siles,epithelial,RNA-Seq H1299-R213X5FUR-2,epithelial,R213X,FUr,H1299
SRR18021493,62916511,17839576857,141,5653,SRX14175653,GSM5899144,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359802,PRJNA806948,36433934,"",SRS11999568,SAMN25941619,simple,9606,Homo sapiens,GSM5899144,"van Heesch, Princess Maxima Center",SRA1372940,12,2022,Palomar-Siles,epithelial,RNA-Seq H1299-R213X5FUR-4,epithelial,R213X,FUr,H1299
SRR18021492,73764576,21035500541,142,6509,SRX14175654,GSM5899145,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359802,PRJNA806948,36433934,"",SRS11999570,SAMN25941618,simple,9606,Homo sapiens,GSM5899145,"van Heesch, Princess Maxima Center",SRA1372940,12,2022,Palomar-Siles,epithelial,RNA-Seq H1299-R213X5FUR-5,epithelial,R213X,FUr,H1299
