Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,cell line,cell type,developmental stage,disease,infect,organism part,sample name,Experimental Factor: cell line,Experimental Factor: compound,Experimental Factor: dose,Experimental Factor: infect,Experimental Factor: time
ERR6109877,39337741,2989668316,76,1058,ERX5747098,noCHX_RNA_12hpi_WT_2_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130049,PRJEB45877,1,"",ERS6987168,SAMEA9252565,simple,60711,Chlorocebus sabaeus,SAMEA9252565,"Division of Virology, Department of Pathology, University of Cambridge",ERA4940031,03,2022,Makar,"",noCHX_RNA_12hpi_WT_2,2022-03-09,2022-03-09,SAMEA9252565,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2022-03-09T12:27:51Z,2022-03-09T12:27:51Z,public,E-MTAB-10623:noCHX_RNA_12hpi_WT_2,ArrayExpress,MARC-145,kidney cell,late embryo,normal,PRRSV-2 WT,kidney,E-MTAB-10623:noCHX_RNA_12hpi_WT_2,MARC-145,cycloheximide,0,PRRSV-2 WT,12
ERR6109878,37466917,2847485692,76,973,ERX5747099,noCHX_RNA_3hpi_KO2_1_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130049,PRJEB45877,1,"",ERS6987169,SAMEA9252566,simple,60711,Chlorocebus sabaeus,SAMEA9252566,"Division of Virology, Department of Pathology, University of Cambridge",ERA4940031,03,2022,Makar,"",noCHX_RNA_3hpi_KO2_1,2022-03-09,2022-03-09,SAMEA9252566,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2022-03-09T12:27:51Z,2022-03-09T12:27:51Z,public,E-MTAB-10623:noCHX_RNA_3hpi_KO2_1,ArrayExpress,MARC-145,kidney cell,late embryo,normal,PRRSV-2 KO2,kidney,E-MTAB-10623:noCHX_RNA_3hpi_KO2_1,MARC-145,cycloheximide,0,PRRSV-2 KO2,3
ERR6109879,41840323,3179864548,76,1093,ERX5747100,noCHX_RNA_3hpi_KO2_2_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130049,PRJEB45877,1,"",ERS6987170,SAMEA9252567,simple,60711,Chlorocebus sabaeus,SAMEA9252567,"Division of Virology, Department of Pathology, University of Cambridge",ERA4940031,03,2022,Makar,"",noCHX_RNA_3hpi_KO2_2,2022-03-09,2022-03-09,SAMEA9252567,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2022-03-09T12:27:51Z,2022-03-09T12:27:51Z,public,E-MTAB-10623:noCHX_RNA_3hpi_KO2_2,ArrayExpress,MARC-145,kidney cell,late embryo,normal,PRRSV-2 KO2,kidney,E-MTAB-10623:noCHX_RNA_3hpi_KO2_2,MARC-145,cycloheximide,0,PRRSV-2 KO2,3
ERR6109880,31574417,2399655692,76,827,ERX5747101,noCHX_RNA_3hpi_mock_1_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130049,PRJEB45877,1,"",ERS6987171,SAMEA9252569,simple,60711,Chlorocebus sabaeus,SAMEA9252569,"Division of Virology, Department of Pathology, University of Cambridge",ERA4940031,03,2022,Makar,"",noCHX_RNA_3hpi_mock_1,2022-03-09,2022-03-09,SAMEA9252569,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2022-03-09T12:27:51Z,2022-03-09T12:27:51Z,public,E-MTAB-10623:noCHX_RNA_3hpi_mock_1,ArrayExpress,MARC-145,kidney cell,late embryo,normal,mock,kidney,E-MTAB-10623:noCHX_RNA_3hpi_mock_1,MARC-145,cycloheximide,0,mock,3
ERR6109881,39018188,2965382288,76,1029,ERX5747102,noCHX_RNA_3hpi_mock_2_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130049,PRJEB45877,1,"",ERS6987172,SAMEA9252568,simple,60711,Chlorocebus sabaeus,SAMEA9252568,"Division of Virology, Department of Pathology, University of Cambridge",ERA4940031,03,2022,Makar,"",noCHX_RNA_3hpi_mock_2,2022-03-09,2022-03-09,SAMEA9252568,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2022-03-09T12:27:51Z,2022-03-09T12:27:51Z,public,E-MTAB-10623:noCHX_RNA_3hpi_mock_2,ArrayExpress,MARC-145,kidney cell,late embryo,normal,mock,kidney,E-MTAB-10623:noCHX_RNA_3hpi_mock_2,MARC-145,cycloheximide,0,mock,3
ERR6109882,38701477,2941312252,76,1003,ERX5747103,noCHX_RNA_3hpi_WT_1_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130049,PRJEB45877,1,"",ERS6987173,SAMEA9252570,simple,60711,Chlorocebus sabaeus,SAMEA9252570,"Division of Virology, Department of Pathology, University of Cambridge",ERA4940031,03,2022,Makar,"",noCHX_RNA_3hpi_WT_1,2022-03-09,2022-03-09,SAMEA9252570,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2022-03-09T12:27:51Z,2022-03-09T12:27:51Z,public,E-MTAB-10623:noCHX_RNA_3hpi_WT_1,ArrayExpress,MARC-145,kidney cell,late embryo,normal,PRRSV-2 WT,kidney,E-MTAB-10623:noCHX_RNA_3hpi_WT_1,MARC-145,cycloheximide,0,PRRSV-2 WT,3
ERR6109883,40014980,3041138480,76,1043,ERX5747104,noCHX_RNA_3hpi_WT_2_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130049,PRJEB45877,1,"",ERS6987174,SAMEA9252571,simple,60711,Chlorocebus sabaeus,SAMEA9252571,"Division of Virology, Department of Pathology, University of Cambridge",ERA4940031,03,2022,Makar,"",noCHX_RNA_3hpi_WT_2,2022-03-09,2022-03-09,SAMEA9252571,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2022-03-09T12:27:51Z,2022-03-09T12:27:51Z,public,E-MTAB-10623:noCHX_RNA_3hpi_WT_2,ArrayExpress,MARC-145,kidney cell,late embryo,normal,PRRSV-2 WT,kidney,E-MTAB-10623:noCHX_RNA_3hpi_WT_2,MARC-145,cycloheximide,0,PRRSV-2 WT,3
ERR6109884,31192739,2370648164,76,817,ERX5747105,noCHX_RNA_6hpi_KO2_1_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130049,PRJEB45877,1,"",ERS6987175,SAMEA9252572,simple,60711,Chlorocebus sabaeus,SAMEA9252572,"Division of Virology, Department of Pathology, University of Cambridge",ERA4940031,03,2022,Makar,"",noCHX_RNA_6hpi_KO2_1,2022-03-09,2022-03-09,SAMEA9252572,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2022-03-09T12:27:51Z,2022-03-09T12:27:51Z,public,E-MTAB-10623:noCHX_RNA_6hpi_KO2_1,ArrayExpress,MARC-145,kidney cell,late embryo,normal,PRRSV-2 KO2,kidney,E-MTAB-10623:noCHX_RNA_6hpi_KO2_1,MARC-145,cycloheximide,0,PRRSV-2 KO2,6
ERR6109885,26590938,2020911288,76,698,ERX5747106,noCHX_RNA_6hpi_KO2_2_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130049,PRJEB45877,1,"",ERS6987176,SAMEA9252573,simple,60711,Chlorocebus sabaeus,SAMEA9252573,"Division of Virology, Department of Pathology, University of Cambridge",ERA4940031,03,2022,Makar,"",noCHX_RNA_6hpi_KO2_2,2022-03-09,2022-03-09,SAMEA9252573,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2022-03-09T12:27:51Z,2022-03-09T12:27:51Z,public,E-MTAB-10623:noCHX_RNA_6hpi_KO2_2,ArrayExpress,MARC-145,kidney cell,late embryo,normal,PRRSV-2 KO2,kidney,E-MTAB-10623:noCHX_RNA_6hpi_KO2_2,MARC-145,cycloheximide,0,PRRSV-2 KO2,6
ERR6109886,36018428,2737400528,76,949,ERX5747107,noCHX_RNA_6hpi_mock_1_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130049,PRJEB45877,1,"",ERS6987177,SAMEA9252574,simple,60711,Chlorocebus sabaeus,SAMEA9252574,"Division of Virology, Department of Pathology, University of Cambridge",ERA4940031,03,2022,Makar,"",noCHX_RNA_6hpi_mock_1,2022-03-09,2022-03-09,SAMEA9252574,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2022-03-09T12:27:51Z,2022-03-09T12:27:51Z,public,E-MTAB-10623:noCHX_RNA_6hpi_mock_1,ArrayExpress,MARC-145,kidney cell,late embryo,normal,mock,kidney,E-MTAB-10623:noCHX_RNA_6hpi_mock_1,MARC-145,cycloheximide,0,mock,6
ERR6109887,29917792,2273752192,76,802,ERX5747108,noCHX_RNA_6hpi_mock_2_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130049,PRJEB45877,1,"",ERS6987178,SAMEA9252575,simple,60711,Chlorocebus sabaeus,SAMEA9252575,"Division of Virology, Department of Pathology, University of Cambridge",ERA4940031,03,2022,Makar,"",noCHX_RNA_6hpi_mock_2,2022-03-09,2022-03-09,SAMEA9252575,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2022-03-09T12:27:51Z,2022-03-09T12:27:51Z,public,E-MTAB-10623:noCHX_RNA_6hpi_mock_2,ArrayExpress,MARC-145,kidney cell,late embryo,normal,mock,kidney,E-MTAB-10623:noCHX_RNA_6hpi_mock_2,MARC-145,cycloheximide,0,mock,6
ERR6109888,30076468,2285811568,76,781,ERX5747109,noCHX_RNA_6hpi_WT_1_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130049,PRJEB45877,1,"",ERS6987179,SAMEA9252576,simple,60711,Chlorocebus sabaeus,SAMEA9252576,"Division of Virology, Department of Pathology, University of Cambridge",ERA4940031,03,2022,Makar,"",noCHX_RNA_6hpi_WT_1,2022-03-09,2022-03-09,SAMEA9252576,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2022-03-09T12:27:51Z,2022-03-09T12:27:51Z,public,E-MTAB-10623:noCHX_RNA_6hpi_WT_1,ArrayExpress,MARC-145,kidney cell,late embryo,normal,PRRSV-2 WT,kidney,E-MTAB-10623:noCHX_RNA_6hpi_WT_1,MARC-145,cycloheximide,0,PRRSV-2 WT,6
ERR6109889,31807698,2417385048,76,827,ERX5747110,noCHX_RNA_6hpi_WT_2_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130049,PRJEB45877,1,"",ERS6987180,SAMEA9252577,simple,60711,Chlorocebus sabaeus,SAMEA9252577,"Division of Virology, Department of Pathology, University of Cambridge",ERA4940031,03,2022,Makar,"",noCHX_RNA_6hpi_WT_2,2022-03-09,2022-03-09,SAMEA9252577,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2022-03-09T12:27:51Z,2022-03-09T12:27:51Z,public,E-MTAB-10623:noCHX_RNA_6hpi_WT_2,ArrayExpress,MARC-145,kidney cell,late embryo,normal,PRRSV-2 WT,kidney,E-MTAB-10623:noCHX_RNA_6hpi_WT_2,MARC-145,cycloheximide,0,PRRSV-2 WT,6
ERR6109890,64579731,4908059556,76,2053,ERX5747111,noCHX_RNA_9hpi_KO2_1_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130049,PRJEB45877,1,"",ERS6987181,SAMEA9252578,simple,60711,Chlorocebus sabaeus,SAMEA9252578,"Division of Virology, Department of Pathology, University of Cambridge",ERA4940031,03,2022,Makar,"",noCHX_RNA_9hpi_KO2_1,2022-03-09,2022-03-09,SAMEA9252578,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2022-03-09T12:27:51Z,2022-03-09T12:27:51Z,public,E-MTAB-10623:noCHX_RNA_9hpi_KO2_1,ArrayExpress,MARC-145,kidney cell,late embryo,normal,PRRSV-2 KO2,kidney,E-MTAB-10623:noCHX_RNA_9hpi_KO2_1,MARC-145,cycloheximide,0,PRRSV-2 KO2,9
ERR6109891,43769271,3326464596,76,1396,ERX5747112,noCHX_RNA_9hpi_KO2_2_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130049,PRJEB45877,1,"",ERS6987182,SAMEA9252579,simple,60711,Chlorocebus sabaeus,SAMEA9252579,"Division of Virology, Department of Pathology, University of Cambridge",ERA4940031,03,2022,Makar,"",noCHX_RNA_9hpi_KO2_2,2022-03-09,2022-03-09,SAMEA9252579,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2022-03-09T12:27:51Z,2022-03-09T12:27:51Z,public,E-MTAB-10623:noCHX_RNA_9hpi_KO2_2,ArrayExpress,MARC-145,kidney cell,late embryo,normal,PRRSV-2 KO2,kidney,E-MTAB-10623:noCHX_RNA_9hpi_KO2_2,MARC-145,cycloheximide,0,PRRSV-2 KO2,9
ERR6109892,38929700,2958657200,76,1071,ERX5747113,noCHX_RNA_9hpi_KO2_3_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130049,PRJEB45877,1,"",ERS6987183,SAMEA9252580,simple,60711,Chlorocebus sabaeus,SAMEA9252580,"Division of Virology, Department of Pathology, University of Cambridge",ERA4940031,03,2022,Makar,"",noCHX_RNA_9hpi_KO2_3,2022-03-09,2022-03-09,SAMEA9252580,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2022-03-09T12:27:51Z,2022-03-09T12:27:51Z,public,E-MTAB-10623:noCHX_RNA_9hpi_KO2_3,ArrayExpress,MARC-145,kidney cell,late embryo,normal,PRRSV-2 KO2,kidney,E-MTAB-10623:noCHX_RNA_9hpi_KO2_3,MARC-145,cycloheximide,0,PRRSV-2 KO2,9
ERR6109893,39311947,2987707972,76,1100,ERX5747114,noCHX_RNA_9hpi_KO2_4_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130049,PRJEB45877,1,"",ERS6987184,SAMEA9252581,simple,60711,Chlorocebus sabaeus,SAMEA9252581,"Division of Virology, Department of Pathology, University of Cambridge",ERA4940031,03,2022,Makar,"",noCHX_RNA_9hpi_KO2_4,2022-03-09,2022-03-09,SAMEA9252581,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2022-03-09T12:27:51Z,2022-03-09T12:27:51Z,public,E-MTAB-10623:noCHX_RNA_9hpi_KO2_4,ArrayExpress,MARC-145,kidney cell,late embryo,normal,PRRSV-2 KO2,kidney,E-MTAB-10623:noCHX_RNA_9hpi_KO2_4,MARC-145,cycloheximide,0,PRRSV-2 KO2,9
ERR6109894,59041931,4487186756,76,1885,ERX5747115,noCHX_RNA_9hpi_mock_1_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130049,PRJEB45877,1,"",ERS6987185,SAMEA9252582,simple,60711,Chlorocebus sabaeus,SAMEA9252582,"Division of Virology, Department of Pathology, University of Cambridge",ERA4940031,03,2022,Makar,"",noCHX_RNA_9hpi_mock_1,2022-03-09,2022-03-09,SAMEA9252582,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2022-03-09T12:27:51Z,2022-03-09T12:27:51Z,public,E-MTAB-10623:noCHX_RNA_9hpi_mock_1,ArrayExpress,MARC-145,kidney cell,late embryo,normal,mock,kidney,E-MTAB-10623:noCHX_RNA_9hpi_mock_1,MARC-145,cycloheximide,0,mock,9
ERR6109895,42679901,3243672476,76,1367,ERX5747116,noCHX_RNA_9hpi_mock_2_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130049,PRJEB45877,1,"",ERS6987186,SAMEA9252584,simple,60711,Chlorocebus sabaeus,SAMEA9252584,"Division of Virology, Department of Pathology, University of Cambridge",ERA4940031,03,2022,Makar,"",noCHX_RNA_9hpi_mock_2,2022-03-09,2022-03-09,SAMEA9252584,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2022-03-09T12:27:51Z,2022-03-09T12:27:51Z,public,E-MTAB-10623:noCHX_RNA_9hpi_mock_2,ArrayExpress,MARC-145,kidney cell,late embryo,normal,mock,kidney,E-MTAB-10623:noCHX_RNA_9hpi_mock_2,MARC-145,cycloheximide,0,mock,9
