Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,GEO Accession
SRR7471238,30595179,1560354129,51,793,SRX4340904,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501612,SAMN09601899,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244234,GEO,SRA733460,07,2018,Shiber,Yeast,"FAS1 deletion of MPT domain segment (Δ4989-6153bp), GFP tagged, Total translatome, replicate 2",Yeast,BY4741,whole organism,GSM3244235
SRR7471239,20645452,1052918052,51,539,SRX4340905,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501611,SAMN09601898,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244235,GEO,SRA733460,07,2018,Shiber,Yeast,"FAS1 deletion of MPT domain segment (Δ4989-6153bp), GFP tagged, IP translatome, replicate 2",Yeast,BY4741,whole organism,GSM3244236
SRR7471240,20600542,1050627642,51,538,SRX4340905,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501611,SAMN09601898,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244235,GEO,SRA733460,07,2018,Shiber,Yeast,"FAS1 deletion of MPT domain segment (Δ4989-6153bp), GFP tagged, IP translatome, replicate 2",Yeast,BY4741,whole organism,GSM3244237
SRR7471241,66352535,3383979285,51,1765,SRX4340906,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501614,SAMN09601897,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244236,GEO,SRA733460,07,2018,Shiber,Yeast,"FAS1-GFP, FAS2 deletion of MPT domain segment (Δ1-282bp),Total translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244238
SRR7471242,43062906,2196208206,51,1103,SRX4340907,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501613,SAMN09601896,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244237,GEO,SRA733460,07,2018,Shiber,Yeast,"FAS1-GFP, FAS2 deletion of MPT domain segment (Δ1-282bp), IP translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244239
SRR7471243,40374317,1286951402,31,736,SRX4340908,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501615,SAMN09601895,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244238,GEO,SRA733460,07,2018,Shiber,Yeast,"FAS1-GFP, FAS2 deletion of MPT domain segment (Δ1-282bp),Total translatome, replicate 2",Yeast,BY4741,whole organism,GSM3244240
SRR7471244,46056743,2348893893,51,1208,SRX4340909,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501616,SAMN09601894,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244239,GEO,SRA733460,07,2018,Shiber,Yeast,"FAS1-GFP, FAS2 deletion of MPT domain segment (Δ1-282bp), IP translatome, replicate 2",Yeast,BY4741,whole organism,GSM3244241
SRR7471245,38654546,1971381846,51,1091,SRX4340910,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501617,SAMN09601893,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244240,GEO,SRA733460,07,2018,Shiber,Yeast,"mix: FAS1-GFP & FAS2-TAP,Total translatomes, replicate 1",Yeast,BY4741,whole organism,GSM3244242
SRR7471246,189705939,9675002889,51,5306,SRX4340911,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501618,SAMN09601892,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244241,GEO,SRA733460,07,2018,Shiber,Yeast,"mix: FAS1-GFP & FAS2-TAP,IP translatomes, replicate 1",Yeast,BY4741,whole organism,GSM3244243
SRR7471247,19863403,1013033553,51,562,SRX4340912,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501619,SAMN09601891,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244242,GEO,SRA733460,07,2018,Shiber,Yeast,"mix: FAS1-GFP & FAS2-TAP,Total translatomes, replicate 2",Yeast,BY4741,whole organism,GSM3244244
SRR7471248,26600083,1356604233,51,751,SRX4340913,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501620,SAMN09601890,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244243,GEO,SRA733460,07,2018,Shiber,Yeast,"mix: FAS1-GFP & FAS2-TAP,IP translatomes, replicate 2",Yeast,BY4741,whole organism,GSM3244245
SRR7471249,7705913,220545743,28,153,SRX4340914,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501622,SAMN09601889,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244244,GEO,SRA733460,07,2018,Shiber,Yeast,"GUS1-GFP, Total translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244246
SRR7471250,19642215,577740543,29,401,SRX4340915,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501621,SAMN09601888,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244245,GEO,SRA733460,07,2018,Shiber,Yeast,"GUS1-GFP, IP translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244247
SRR7471251,42943161,2190101211,51,886,SRX4340916,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501623,SAMN09601887,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244246,GEO,SRA733460,07,2018,Shiber,Yeast,"GUS1-GFP, Total translatome, replicate 2",Yeast,BY4741,whole organism,GSM3244248
SRR7471252,54702770,2789841270,51,1199,SRX4340917,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501625,SAMN09601927,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244247,GEO,SRA733460,07,2018,Shiber,Yeast,"GUS1-GFP, IP translatome, replicate 2",Yeast,BY4741,whole organism,GSM3244249
SRR7471253,37299383,1010666852,27,685,SRX4340918,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501624,SAMN09601926,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244248,GEO,SRA733460,07,2018,Shiber,Yeast,"MES1-GFP, Total translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244250
SRR7471254,26504863,743064921,28,503,SRX4340919,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501626,SAMN09601925,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244249,GEO,SRA733460,07,2018,Shiber,Yeast,"MES1-GFP, IP, translatome replicate 1",Yeast,BY4741,whole organism,GSM3244251
SRR7471255,63565410,3241835910,51,1381,SRX4340920,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501627,SAMN09601922,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244250,GEO,SRA733460,07,2018,Shiber,Yeast,"MES1-GFP, Total translatome, replicate 2",Yeast,BY4741,whole organism,GSM3244252
SRR7471256,44644466,2276867766,51,1264,SRX4340921,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501629,SAMN09601921,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244251,GEO,SRA733460,07,2018,Shiber,Yeast,"MES1-GFP, IP translatome, replicate 2",Yeast,BY4741,whole organism,GSM3244253
SRR7471257,77188851,2106823797,27,1271,SRX4340922,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501628,SAMN09601886,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244252,GEO,SRA733460,07,2018,Shiber,Yeast,"ARC1-GFP, Total translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244254
SRR7471258,15900492,428697229,26,259,SRX4340923,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501631,SAMN09601885,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244253,GEO,SRA733460,07,2018,Shiber,Yeast,"ARC1-GFP, IP translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244255
SRR7471259,174082944,8878230144,51,3744,SRX4340924,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501630,SAMN09601924,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244254,GEO,SRA733460,07,2018,Shiber,Yeast,"ARC1-GFP, Total translatome, replicate 2",Yeast,BY4741,whole organism,GSM3244256
SRR7471260,9394316,479110116,51,276,SRX4340925,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501632,SAMN09601923,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244255,GEO,SRA733460,07,2018,Shiber,Yeast,"ARC1-GFP, IP translatome, replicate 2",Yeast,BY4741,whole organism,GSM3244257
SRR7471261,15935239,478863672,30,303,SRX4340926,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501633,SAMN09601884,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244256,GEO,SRA733460,07,2018,Shiber,Yeast,"PFK1-GFP, Total translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244258
SRR7471262,34041353,991230570,29,671,SRX4340927,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501634,SAMN09601883,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244257,GEO,SRA733460,07,2018,Shiber,Yeast,"PFK1-GFP, IP translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244259
SRR7471263,38052832,1940694432,51,794,SRX4340928,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501635,SAMN09601882,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244258,GEO,SRA733460,07,2018,Shiber,Yeast,"PFK1-GFP, Total translatome, replicate 2",Yeast,BY4741,whole organism,GSM3244260
SRR7471264,33633153,1715290803,51,732,SRX4340929,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501636,SAMN09601881,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244259,GEO,SRA733460,07,2018,Shiber,Yeast,"PFK1-GFP, IP translatome, replicate 2",Yeast,BY4741,whole organism,GSM3244261
SRR7471265,43882857,1317613255,30,833,SRX4340930,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501637,SAMN09601880,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244260,GEO,SRA733460,07,2018,Shiber,Yeast,"PFK2-GFP, Total translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244262
SRR7471266,18040168,507398886,28,223,SRX4340931,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501638,SAMN09601879,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244261,GEO,SRA733460,07,2018,Shiber,Yeast,"PFK2-GFP, IP translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244263
SRR7471267,33175273,1691938923,51,663,SRX4340932,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501639,SAMN09601878,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244262,GEO,SRA733460,07,2018,Shiber,Yeast,"PFK2-GFP, Total translatome, replicate 2",Yeast,BY4741,whole organism,GSM3244264
SRR7471268,26185227,1335446577,51,573,SRX4340933,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501641,SAMN09601877,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244263,GEO,SRA733460,07,2018,Shiber,Yeast,"PFK2-GFP, IP translatome, replicate 2",Yeast,BY4741,whole organism,GSM3244265
SRR7471269,37122430,1893243930,51,802,SRX4340934,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501642,SAMN09601876,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244264,GEO,SRA733460,07,2018,Shiber,Yeast,"TRP2-GFP, Total translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244266
SRR7471270,42655731,2175442281,51,914,SRX4340935,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501640,SAMN09601875,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244265,GEO,SRA733460,07,2018,Shiber,Yeast,"TRP2-GFP, IP translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244267
SRR7471271,39982269,1070889036,26,665,SRX4340936,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501644,SAMN09601874,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244266,GEO,SRA733460,07,2018,Shiber,Yeast,"TRP2-GFP, Total translatome, replicate 2",Yeast,BY4741,whole organism,GSM3244268
SRR7471272,8730478,247125775,28,150,SRX4340937,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501645,SAMN09601873,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244267,GEO,SRA733460,07,2018,Shiber,Yeast,"TRP2-GFP, IP translatome, replicate 2",Yeast,BY4741,whole organism,GSM3244269
SRR7471273,48809471,1397379139,28,874,SRX4340938,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501643,SAMN09601872,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244268,GEO,SRA733460,07,2018,Shiber,Yeast,"TRP3-GFP, Total translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244270
SRR7471274,46027416,1313378977,28,830,SRX4340939,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501648,SAMN09601871,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244269,GEO,SRA733460,07,2018,Shiber,Yeast,"TRP3-GFP, IP translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244271
SRR7471275,47138695,1308964809,27,889,SRX4340940,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501646,SAMN09601870,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244270,GEO,SRA733460,07,2018,Shiber,Yeast,"CPA1-GFP, Total translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244272
SRR7471276,51180261,1376122410,26,948,SRX4340941,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501647,SAMN09601869,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244271,GEO,SRA733460,07,2018,Shiber,Yeast,"CPA1-GFP, IP translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244273
SRR7471277,50147621,1376381250,27,923,SRX4340942,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501650,SAMN09601868,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244272,GEO,SRA733460,07,2018,Shiber,Yeast,"CPA2-GFP, Total translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244274
SRR7471278,27989844,749578524,26,512,SRX4340943,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501649,SAMN09601867,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244273,GEO,SRA733460,07,2018,Shiber,Yeast,"CPA2-GFP, IP translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244275
SRR7471279,6710861,342253911,51,200,SRX4340944,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501651,SAMN09601866,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244274,GEO,SRA733460,07,2018,Shiber,Yeast,"SUI2-GFP, Total translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244276
SRR7471280,94022976,2856320537,30,1724,SRX4340945,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501652,SAMN09601865,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244275,GEO,SRA733460,07,2018,Shiber,Yeast,"SUI2-GFP, IP translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244277
SRR7471281,192893866,5251693961,27,3138,SRX4340946,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501653,SAMN09601864,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244276,GEO,SRA733460,07,2018,Shiber,Yeast,"SUI3-GFP, Total translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244278
SRR7471282,71142190,2057425883,28,1255,SRX4340947,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501654,SAMN09601863,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244277,GEO,SRA733460,07,2018,Shiber,Yeast,"SUI3-GFP, IP translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244279
SRR7471283,24896330,645488890,25,442,SRX4340948,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501655,SAMN09601862,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244278,GEO,SRA733460,07,2018,Shiber,Yeast,"GCD11-GFP, Total translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244280
SRR7471284,51801884,1398436658,27,949,SRX4340949,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501657,SAMN09601861,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244279,GEO,SRA733460,07,2018,Shiber,Yeast,"GCD11-GFP, IP translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244281
SRR7471285,7406044,377708244,51,180,SRX4340950,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501656,SAMN09601860,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244280,GEO,SRA733460,07,2018,Shiber,Yeast,"NAA10-GFP, Total translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244282
SRR7471286,7352944,375000144,51,196,SRX4340950,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501656,SAMN09601860,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244280,GEO,SRA733460,07,2018,Shiber,Yeast,"NAA10-GFP, Total translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244283
SRR7471287,7484653,381717303,51,199,SRX4340950,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501656,SAMN09601860,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244280,GEO,SRA733460,07,2018,Shiber,Yeast,"NAA10-GFP, Total translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244284
