Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,developmental stage,GEO Accession
SRR8794302,8382877,236744033,28,133,SRX5583606,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545143,SAMN11267625,simple,10090,Mus musculus,GSM3688792,GEO,SRA866693,09,2019,Hebras,Kidney,Kidney_adult_1,Kidney,Kidney,adult,GSM3688792
SRR8794303,7389195,200527193,27,114,SRX5583607,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545144,SAMN11267624,simple,10090,Mus musculus,GSM3688793,GEO,SRA866693,09,2019,Hebras,Kidney,Kidney_adult_2,Kidney,Kidney,adult,GSM3688793
SRR8794305,11723822,321715431,27,186,SRX5583608,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545145,SAMN11267623,simple,10090,Mus musculus,GSM3688794,GEO,SRA866693,09,2019,Hebras,Kidney,Kidney_adult_3,Kidney,Kidney,adult,GSM3688794
SRR8794306,2767871,77836771,28,42,SRX5583609,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545146,SAMN11267622,simple,10090,Mus musculus,GSM3688795,GEO,SRA866693,09,2019,Hebras,Kidney,Kidney_E16.5_1,Kidney,Kidney,E16.5,GSM3688795
SRR8794307,1059888,29925449,28,16,SRX5583610,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545147,SAMN11267621,simple,10090,Mus musculus,GSM3688796,GEO,SRA866693,09,2019,Hebras,Kidney,Kidney_E16.5_2,Kidney,Kidney,E16.5,GSM3688796
SRR8794309,4309834,119793867,27,66,SRX5583611,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545148,SAMN11267620,simple,10090,Mus musculus,GSM3688797,GEO,SRA866693,09,2019,Hebras,Kidney,Kidney_E16.5_3,Kidney,Kidney,E16.5,GSM3688797
SRR8794310,12872811,389517730,30,214,SRX5583612,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545149,SAMN11267619,simple,10090,Mus musculus,GSM3688798,GEO,SRA866693,09,2019,Hebras,Liver,Liver_adult_1,Liver,Liver,adult,GSM3688798
SRR8794311,11902119,355899432,29,194,SRX5583613,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545150,SAMN11267618,simple,10090,Mus musculus,GSM3688799,GEO,SRA866693,09,2019,Hebras,Liver,Liver_adult_2,Liver,Liver,adult,GSM3688799
SRR8794313,11831279,410987373,34,227,SRX5583614,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545151,SAMN11267617,simple,10090,Mus musculus,GSM3688800,GEO,SRA866693,09,2019,Hebras,Liver,Liver_adult_3,Liver,Liver,adult,GSM3688800
SRR8794314,1403951,40678008,28,23,SRX5583615,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545152,SAMN11267616,simple,10090,Mus musculus,GSM3688801,GEO,SRA866693,09,2019,Hebras,Liver,Liver_E16.5_1,Liver,Liver,E16.5,GSM3688801
SRR8794315,5674784,163072864,28,90,SRX5583616,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545153,SAMN11267615,simple,10090,Mus musculus,GSM3688802,GEO,SRA866693,09,2019,Hebras,Liver,Liver_E16.5_2,Liver,Liver,E16.5,GSM3688802
SRR8794317,1279035,35471778,27,19,SRX5583617,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545154,SAMN11267614,simple,10090,Mus musculus,GSM3688803,GEO,SRA866693,09,2019,Hebras,Liver,Liver_E16.5_3,Liver,Liver,E16.5,GSM3688803
SRR8794318,3726008,116251949,31,68,SRX5583618,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545155,SAMN11267613,simple,10090,Mus musculus,GSM3688804,GEO,SRA866693,09,2019,Hebras,Lung,Lung_adult_1,Lung,Lung,adult,GSM3688804
SRR8794319,2191114,65345713,29,38,SRX5583619,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545156,SAMN11267646,simple,10090,Mus musculus,GSM3688805,GEO,SRA866693,09,2019,Hebras,Lung,Lung_adult_2,Lung,Lung,adult,GSM3688805
SRR8794320,27999646,845280469,30,485,SRX5583620,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545157,SAMN11267645,simple,10090,Mus musculus,GSM3688806,GEO,SRA866693,09,2019,Hebras,Lung,Lung_adult_3,Lung,Lung,adult,GSM3688806
SRR8794322,6208015,178478841,28,99,SRX5583621,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545158,SAMN11267643,simple,10090,Mus musculus,GSM3688807,GEO,SRA866693,09,2019,Hebras,Lung,Lung_E16.5_1,Lung,Lung,E16.5,GSM3688807
SRR8794323,4232447,124642190,29,70,SRX5583623,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545160,SAMN11267642,simple,10090,Mus musculus,GSM3688808,GEO,SRA866693,09,2019,Hebras,Lung,Lung_E16.5_2,Lung,Lung,E16.5,GSM3688808
SRR8794324,885813,21321605,24,14,SRX5583624,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545161,SAMN11267641,simple,10090,Mus musculus,GSM3688809,GEO,SRA866693,09,2019,Hebras,Lung,Lung_E16.5_3,Lung,Lung,E16.5,GSM3688809
