Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,common name,fraction,genotype,replicate,sample name,stimulus,Experimental Factor: genotype,Experimental Factor: compound,Experimental Factor: dose,Experimental Factor: fraction
ERR3850626,22445307,6733592100,150,2485,ERX3863208,sty1delta.cd.rna.1_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119665,PRJEB36468,1,"",ERS4270400,SAMEA6505966,simple,4896,Schizosaccharomyces pombe,SAMEA6505966,Department of Biochemistry University of Cambridge Cambridge,ERA2360036,11,2020,Makar,"",sty1delta.cd.rna.1,2020-06-01,2020-01-28,SAMEA6505966,Department of Biochemistry University of Cambridge Cambridge,Department of Biochemistry University of Cambridge Cambridge,2020-06-01T04:03:53Z,2020-01-28T14:44:29Z,public,E-MTAB-8746:sty1delta.cd.rna.1,ArrayExpress,fission yeast,rRNA depleted total RNA,sty1delta,1,E-MTAB-8746:sty1delta.cd.rna.1,cadmium,sty1delta,cadmium sulfate,0.5,rRNA depleted total RNA
ERR3850627,14846047,4453814100,150,1709,ERX3863209,sty1delta.cd.rna.2_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119665,PRJEB36468,1,"",ERS4270401,SAMEA6505967,simple,4896,Schizosaccharomyces pombe,SAMEA6505967,Department of Biochemistry University of Cambridge Cambridge,ERA2360036,11,2020,Makar,"",sty1delta.cd.rna.2,2020-06-01,2020-01-28,SAMEA6505967,Department of Biochemistry University of Cambridge Cambridge,Department of Biochemistry University of Cambridge Cambridge,2020-06-01T04:03:53Z,2020-01-28T14:44:29Z,public,E-MTAB-8746:sty1delta.cd.rna.2,ArrayExpress,fission yeast,rRNA depleted total RNA,sty1delta,2,E-MTAB-8746:sty1delta.cd.rna.2,cadmium,sty1delta,cadmium sulfate,0.5,rRNA depleted total RNA
ERR3850616,52337782,2616889100,50,749,ERX3863210,sty1delta.control.ribo.1_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119665,PRJEB36468,1,"",ERS4270402,SAMEA6505968,simple,4896,Schizosaccharomyces pombe,SAMEA6505968,Department of Biochemistry University of Cambridge Cambridge,ERA2360036,11,2020,Makar,"",sty1delta.control.ribo.1,2020-06-01,2020-01-28,SAMEA6505968,Department of Biochemistry University of Cambridge Cambridge,Department of Biochemistry University of Cambridge Cambridge,2020-06-01T04:03:53Z,2020-01-28T14:44:29Z,public,E-MTAB-8746:sty1delta.control.ribo.1,ArrayExpress,fission yeast,ribosome protected fragments,sty1delta,1,E-MTAB-8746:sty1delta.control.ribo.1,untreated,sty1delta,none,,ribosome protected fragments
ERR3850617,46905053,2345252650,50,679,ERX3863211,sty1delta.control.ribo.2_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119665,PRJEB36468,1,"",ERS4270403,SAMEA6505969,simple,4896,Schizosaccharomyces pombe,SAMEA6505969,Department of Biochemistry University of Cambridge Cambridge,ERA2360036,11,2020,Makar,"",sty1delta.control.ribo.2,2020-06-01,2020-01-28,SAMEA6505969,Department of Biochemistry University of Cambridge Cambridge,Department of Biochemistry University of Cambridge Cambridge,2020-06-01T04:03:53Z,2020-01-28T14:44:29Z,public,E-MTAB-8746:sty1delta.control.ribo.2,ArrayExpress,fission yeast,ribosome protected fragments,sty1delta,2,E-MTAB-8746:sty1delta.control.ribo.2,untreated,sty1delta,none,,ribosome protected fragments
ERR3850628,7549233,2264769900,150,837,ERX3863212,sty1delta.control.rna.1_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119665,PRJEB36468,1,"",ERS4270404,SAMEA6505970,simple,4896,Schizosaccharomyces pombe,SAMEA6505970,Department of Biochemistry University of Cambridge Cambridge,ERA2360036,11,2020,Makar,"",sty1delta.control.rna.1,2020-06-01,2020-01-28,SAMEA6505970,Department of Biochemistry University of Cambridge Cambridge,Department of Biochemistry University of Cambridge Cambridge,2020-06-01T04:03:53Z,2020-01-28T14:44:29Z,public,E-MTAB-8746:sty1delta.control.rna.1,ArrayExpress,fission yeast,rRNA depleted total RNA,sty1delta,1,E-MTAB-8746:sty1delta.control.rna.1,untreated,sty1delta,none,,rRNA depleted total RNA
ERR3850629,16377089,4913126700,150,1855,ERX3863213,sty1delta.control.rna.2_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119665,PRJEB36468,1,"",ERS4270405,SAMEA6505971,simple,4896,Schizosaccharomyces pombe,SAMEA6505971,Department of Biochemistry University of Cambridge Cambridge,ERA2360036,11,2020,Makar,"",sty1delta.control.rna.2,2020-06-01,2020-01-28,SAMEA6505971,Department of Biochemistry University of Cambridge Cambridge,Department of Biochemistry University of Cambridge Cambridge,2020-06-01T04:03:53Z,2020-01-28T14:44:29Z,public,E-MTAB-8746:sty1delta.control.rna.2,ArrayExpress,fission yeast,rRNA depleted total RNA,sty1delta,2,E-MTAB-8746:sty1delta.control.rna.2,untreated,sty1delta,none,,rRNA depleted total RNA
ERR3850618,69613949,3480697450,50,993,ERX3863214,wt.cd.ribo.1_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119665,PRJEB36468,1,"",ERS4270406,SAMEA6505972,simple,4896,Schizosaccharomyces pombe,SAMEA6505972,Department of Biochemistry University of Cambridge Cambridge,ERA2360036,11,2020,Makar,"",wt.cd.ribo.1,2020-06-01,2020-01-28,SAMEA6505972,Department of Biochemistry University of Cambridge Cambridge,Department of Biochemistry University of Cambridge Cambridge,2020-06-01T04:03:53Z,2020-01-28T14:44:30Z,public,E-MTAB-8746:wt.cd.ribo.1,ArrayExpress,fission yeast,ribosome protected fragments,wild type,1,E-MTAB-8746:wt.cd.ribo.1,cadmium,wild type,cadmium sulfate,0.5,ribosome protected fragments
ERR3850619,73456140,3672807000,50,1063,ERX3863215,wt.cd.ribo.2_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119665,PRJEB36468,1,"",ERS4270407,SAMEA6505973,simple,4896,Schizosaccharomyces pombe,SAMEA6505973,Department of Biochemistry University of Cambridge Cambridge,ERA2360036,11,2020,Makar,"",wt.cd.ribo.2,2020-06-01,2020-01-28,SAMEA6505973,Department of Biochemistry University of Cambridge Cambridge,Department of Biochemistry University of Cambridge Cambridge,2020-06-01T04:03:53Z,2020-01-28T14:44:30Z,public,E-MTAB-8746:wt.cd.ribo.2,ArrayExpress,fission yeast,ribosome protected fragments,wild type,2,E-MTAB-8746:wt.cd.ribo.2,cadmium,wild type,cadmium sulfate,0.5,ribosome protected fragments
ERR3850630,12518198,3755459400,150,1390,ERX3863216,wt.cd.rna.1_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119665,PRJEB36468,1,"",ERS4270408,SAMEA6505974,simple,4896,Schizosaccharomyces pombe,SAMEA6505974,Department of Biochemistry University of Cambridge Cambridge,ERA2360036,11,2020,Makar,"",wt.cd.rna.1,2020-06-01,2020-01-28,SAMEA6505974,Department of Biochemistry University of Cambridge Cambridge,Department of Biochemistry University of Cambridge Cambridge,2020-06-01T04:03:53Z,2020-01-28T14:44:30Z,public,E-MTAB-8746:wt.cd.rna.1,ArrayExpress,fission yeast,rRNA depleted total RNA,wild type,1,E-MTAB-8746:wt.cd.rna.1,cadmium,wild type,cadmium sulfate,0.5,rRNA depleted total RNA
ERR3850631,12772211,3831663300,150,1571,ERX3863217,wt.cd.rna.2_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119665,PRJEB36468,1,"",ERS4270409,SAMEA6505975,simple,4896,Schizosaccharomyces pombe,SAMEA6505975,Department of Biochemistry University of Cambridge Cambridge,ERA2360036,11,2020,Makar,"",wt.cd.rna.2,2020-06-01,2020-01-28,SAMEA6505975,Department of Biochemistry University of Cambridge Cambridge,Department of Biochemistry University of Cambridge Cambridge,2020-06-01T04:03:53Z,2020-01-28T14:44:30Z,public,E-MTAB-8746:wt.cd.rna.2,ArrayExpress,fission yeast,rRNA depleted total RNA,wild type,2,E-MTAB-8746:wt.cd.rna.2,cadmium,wild type,cadmium sulfate,0.5,rRNA depleted total RNA
ERR3850620,78315327,3915766350,50,1142,ERX3863218,wt.control.ribo.1_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119665,PRJEB36468,1,"",ERS4270410,SAMEA6505976,simple,4896,Schizosaccharomyces pombe,SAMEA6505976,Department of Biochemistry University of Cambridge Cambridge,ERA2360036,11,2020,Makar,"",wt.control.ribo.1,2020-06-01,2020-01-28,SAMEA6505976,Department of Biochemistry University of Cambridge Cambridge,Department of Biochemistry University of Cambridge Cambridge,2020-06-01T04:03:53Z,2020-01-28T14:44:30Z,public,E-MTAB-8746:wt.control.ribo.1,ArrayExpress,fission yeast,ribosome protected fragments,wild type,1,E-MTAB-8746:wt.control.ribo.1,untreated,wild type,none,,ribosome protected fragments
ERR3850621,69780472,3489023600,50,996,ERX3863219,wt.control.ribo.2_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119665,PRJEB36468,1,"",ERS4270411,SAMEA6505977,simple,4896,Schizosaccharomyces pombe,SAMEA6505977,Department of Biochemistry University of Cambridge Cambridge,ERA2360036,11,2020,Makar,"",wt.control.ribo.2,2020-06-01,2020-01-28,SAMEA6505977,Department of Biochemistry University of Cambridge Cambridge,Department of Biochemistry University of Cambridge Cambridge,2020-06-01T04:03:53Z,2020-01-28T14:44:30Z,public,E-MTAB-8746:wt.control.ribo.2,ArrayExpress,fission yeast,ribosome protected fragments,wild type,2,E-MTAB-8746:wt.control.ribo.2,untreated,wild type,none,,ribosome protected fragments
ERR3850632,27248555,8174566500,150,3007,ERX3863220,wt.control.rna.1_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119665,PRJEB36468,1,"",ERS4270412,SAMEA6505978,simple,4896,Schizosaccharomyces pombe,SAMEA6505978,Department of Biochemistry University of Cambridge Cambridge,ERA2360036,11,2020,Makar,"",wt.control.rna.1,2020-06-01,2020-01-28,SAMEA6505978,Department of Biochemistry University of Cambridge Cambridge,Department of Biochemistry University of Cambridge Cambridge,2020-06-01T04:03:53Z,2020-01-28T14:44:30Z,public,E-MTAB-8746:wt.control.rna.1,ArrayExpress,fission yeast,rRNA depleted total RNA,wild type,1,E-MTAB-8746:wt.control.rna.1,untreated,wild type,none,,rRNA depleted total RNA
ERR3850633,16125259,4837577700,150,1899,ERX3863221,wt.control.rna.2_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119665,PRJEB36468,1,"",ERS4270413,SAMEA6505979,simple,4896,Schizosaccharomyces pombe,SAMEA6505979,Department of Biochemistry University of Cambridge Cambridge,ERA2360036,11,2020,Makar,"",wt.control.rna.2,2020-06-01,2020-01-28,SAMEA6505979,Department of Biochemistry University of Cambridge Cambridge,Department of Biochemistry University of Cambridge Cambridge,2020-06-01T04:03:53Z,2020-01-28T14:44:30Z,public,E-MTAB-8746:wt.control.rna.2,ArrayExpress,fission yeast,rRNA depleted total RNA,wild type,2,E-MTAB-8746:wt.control.rna.2,untreated,wild type,none,,rRNA depleted total RNA
