Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,background,GEO Accession
SRR4163299,81398401,3988521649,49,1543,SRX2136131,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP086113,PRJNA341846,28209632,"",SRS1670265,SAMN05729628,simple,4932,Saccharomyces cerevisiae,GSM2302402,GEO,SRA461989,12,2016,Celik,culture grown in YEPD,UPF3-delta-2,culture grown in YEPD,HFY861,W303,GSM2302402
SRR4163300,84330001,4132170049,49,1563,SRX2136132,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP086113,PRJNA341846,28209632,"",SRS1670266,SAMN05729627,simple,4932,Saccharomyces cerevisiae,GSM2302403,GEO,SRA461989,12,2016,Celik,culture grown in YEPD,UPF3-delta-3,culture grown in YEPD,HFY861,W303,GSM2302403
SRR4163301,95230223,4666280927,49,1550,SRX2136133,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP086113,PRJNA341846,28209632,"",SRS1670267,SAMN05729626,simple,4932,Saccharomyces cerevisiae,GSM2302404,GEO,SRA461989,12,2016,Celik,culture grown in YEPD,DCP1-delta-1,culture grown in YEPD,HFY1067,W303,GSM2302404
SRR4163302,92305052,4522947548,49,1659,SRX2136134,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP086113,PRJNA341846,28209632,"",SRS1670268,SAMN05729625,simple,4932,Saccharomyces cerevisiae,GSM2302405,GEO,SRA461989,12,2016,Celik,culture grown in YEPD,DCP1-delta-2,culture grown in YEPD,HFY1067,W303,GSM2302405
SRR4163303,82980825,4066060425,49,1488,SRX2136135,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP086113,PRJNA341846,28209632,"",SRS1670269,SAMN05729624,simple,4932,Saccharomyces cerevisiae,GSM2302406,GEO,SRA461989,12,2016,Celik,culture grown in YEPD,DCP1-delta-3,culture grown in YEPD,HFY1067,W303,GSM2302406
SRR4163304,100807168,4939551232,49,1636,SRX2136136,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP086113,PRJNA341846,28209632,"",SRS1670270,SAMN05729623,simple,4932,Saccharomyces cerevisiae,GSM2302407,GEO,SRA461989,12,2016,Celik,culture grown in YEPD,DCP2-delta-1,culture grown in YEPD,CFY1016,W303,GSM2302407
SRR4163305,98493626,4826187674,49,1772,SRX2136137,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP086113,PRJNA341846,28209632,"",SRS1670271,SAMN05729622,simple,4932,Saccharomyces cerevisiae,GSM2302408,GEO,SRA461989,12,2016,Celik,culture grown in YEPD,DCP2-delta-2,culture grown in YEPD,CFY1016,W303,GSM2302408
SRR4163306,118531666,5808051634,49,2120,SRX2136138,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP086113,PRJNA341846,28209632,"",SRS1670272,SAMN05729621,simple,4932,Saccharomyces cerevisiae,GSM2302409,GEO,SRA461989,12,2016,Celik,culture grown in YEPD,DCP2-delta-3,culture grown in YEPD,CFY1016,W303,GSM2302409
SRR4163307,107422498,5263702402,,1734,SRX2136139,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP086113,PRJNA341846,28209632,"",SRS1670273,SAMN05729620,simple,4932,Saccharomyces cerevisiae,GSM2302410,GEO,SRA461989,12,2016,Celik,culture grown in YEPD,XRN1-delta-1,culture grown in YEPD,HFY1080,W303,GSM2302410
SRR4163308,89869454,4403603246,49,1608,SRX2136140,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP086113,PRJNA341846,28209632,"",SRS1670274,SAMN05729619,simple,4932,Saccharomyces cerevisiae,GSM2302411,GEO,SRA461989,12,2016,Celik,culture grown in YEPD,XRN1-delta-2,culture grown in YEPD,HFY1080,W303,GSM2302411
SRR4163309,73344443,3593877707,49,1309,SRX2136141,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP086113,PRJNA341846,28209632,"",SRS1670275,SAMN05729618,simple,4932,Saccharomyces cerevisiae,GSM2302412,GEO,SRA461989,12,2016,Celik,culture grown in YEPD,XRN1-delta-3,culture grown in YEPD,HFY1080,W303,GSM2302412
