Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,strain,GEO Accession
SRR15283622,36139419,1843110369,51,755,SRX11588504,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP330265,PRJNA750456,34887587,"",SRS9622983,SAMN20458437,simple,10090,Mus musculus,GSM5482351,GEO,SRA1266273,11,2021,Shu,Mouse embryonic fibroblasts,Ribo-seq_ThiametG_Starvation_rep1,Mouse embryonic fibroblasts,Mouse embryonic fibroblasts,C57BL/6J,GSM5482351
SRR15283623,42363116,3558501744,84,1613,SRX11588505,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP330265,PRJNA750456,34887587,"",SRS9622984,SAMN20458438,simple,10090,Mus musculus,GSM5482352,GEO,SRA1266273,11,2021,Shu,Mouse embryonic fibroblasts,Ribo-seq_ThiametG_Starvation_rep2,Mouse embryonic fibroblasts,Mouse embryonic fibroblasts,C57BL/6J,GSM5482352
SRR15283624,32676272,1666489872,51,800,SRX11588506,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP330265,PRJNA750456,34887587,"",SRS9622985,SAMN20458442,simple,10090,Mus musculus,GSM5482353,GEO,SRA1266273,11,2021,Shu,Mouse embryonic fibroblasts,eIF3-80S_Control_rep1,Mouse embryonic fibroblasts,Mouse embryonic fibroblasts,C57BL/6J,GSM5482353
SRR15283625,45179639,2304161589,51,1119,SRX11588507,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP330265,PRJNA750456,34887587,"",SRS9622986,SAMN20458457,simple,10090,Mus musculus,GSM5482354,GEO,SRA1266273,11,2021,Shu,Mouse embryonic fibroblasts,eIF3-80S_Control_rep2,Mouse embryonic fibroblasts,Mouse embryonic fibroblasts,C57BL/6J,GSM5482354
SRR15283626,49249162,2511707262,51,1168,SRX11588508,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP330265,PRJNA750456,34887587,"",SRS9622988,SAMN20458458,simple,10090,Mus musculus,GSM5482355,GEO,SRA1266273,11,2021,Shu,Mouse embryonic fibroblasts,eIF3-80S_Starv_rep1,Mouse embryonic fibroblasts,Mouse embryonic fibroblasts,C57BL/6J,GSM5482355
SRR15283627,47661888,2430756288,51,1191,SRX11588509,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP330265,PRJNA750456,34887587,"",SRS9622987,SAMN20458459,simple,10090,Mus musculus,GSM5482356,GEO,SRA1266273,11,2021,Shu,Mouse embryonic fibroblasts,eIF3-80S_Starv_rep2,Mouse embryonic fibroblasts,Mouse embryonic fibroblasts,C57BL/6J,GSM5482356
SRR15283628,42250387,2154769737,51,988,SRX11588510,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP330265,PRJNA750456,34887587,"",SRS9622989,SAMN20458460,simple,10090,Mus musculus,GSM5482357,GEO,SRA1266273,11,2021,Shu,Mouse embryonic fibroblasts,eIF3-80S_OGT_KO_rep1,Mouse embryonic fibroblasts,Mouse embryonic fibroblasts,C57BL/6J,GSM5482357
SRR15283629,33405741,1703692791,51,827,SRX11588511,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP330265,PRJNA750456,34887587,"",SRS9622990,SAMN20458461,simple,10090,Mus musculus,GSM5482358,GEO,SRA1266273,11,2021,Shu,Mouse embryonic fibroblasts,eIF3-80S_OGT_KO_Starvation,Mouse embryonic fibroblasts,Mouse embryonic fibroblasts,C57BL/6J,GSM5482358
SRR15283630,48305255,2463568005,51,1164,SRX11588512,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP330265,PRJNA750456,34887587,"",SRS9622991,SAMN20458443,simple,10090,Mus musculus,GSM5482359,GEO,SRA1266273,11,2021,Shu,Mouse embryonic fibroblasts,eIF3-80S_ThiametG,Mouse embryonic fibroblasts,Mouse embryonic fibroblasts,C57BL/6J,GSM5482359
SRR15283631,44069521,2247545571,51,1073,SRX11588513,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP330265,PRJNA750456,34887587,"",SRS9622992,SAMN20458444,simple,10090,Mus musculus,GSM5482360,GEO,SRA1266273,11,2021,Shu,Mouse embryonic fibroblasts,eIF3-80S_ThiametG_Starvation,Mouse embryonic fibroblasts,Mouse embryonic fibroblasts,C57BL/6J,GSM5482360
