Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype/variation,molecule subtype,strain,cell line,tissue,plasmid,GEO Accession
SRR7241896,24892365,1244618250,50,624,SRX4147669,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149443,PRJNA473986,31858614,"",SRS3361260,SAMN09288742,simple,4932,Saccharomyces cerevisiae,GSM3168373,GEO,SRA713163,01,2019,Tesina,Whole Cells,"lysate ANI_90mM_DMS, DMSMaP-seq",Whole Cells,Wild-Type,Fragmented total RNA,,,,,GSM3168373
SRR7241897,14511785,725589250,50,331,SRX4147670,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149444,PRJNA473988,31858614,"",SRS3361261,SAMN09288731,simple,4932,Saccharomyces cerevisiae,GSM3168374,GEO,SRA713164,01,2019,Tesina,Whole Cells,"lysate dilute no_drug_NO_DMS, DMSMaP-seq",Whole Cells,Wild-Type,Fragmented total RNA,,,,,GSM3168374
SRR7241898,17952691,897634550,50,410,SRX4147671,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149444,PRJNA473988,31858614,"",SRS3361262,SAMN09288730,simple,4932,Saccharomyces cerevisiae,GSM3168375,GEO,SRA713164,01,2019,Tesina,Whole Cells,"lysate dilute no_drug_40mM_DMS, DMSMaP-seq",Whole Cells,Wild-Type,Fragmented total RNA,,,,,GSM3168375
SRR7241899,13277799,663889950,50,303,SRX4147672,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149444,PRJNA473988,31858614,"",SRS3361264,SAMN09288729,simple,4932,Saccharomyces cerevisiae,GSM3168376,GEO,SRA713164,01,2019,Tesina,Whole Cells,"lysate dilute no_drug_90mM_DMS, DMSMaP-seq",Whole Cells,Wild-Type,Fragmented total RNA,,,,,GSM3168376
SRR7241900,14220215,711010750,50,326,SRX4147673,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149444,PRJNA473988,31858614,"",SRS3361263,SAMN09288741,simple,4932,Saccharomyces cerevisiae,GSM3168377,GEO,SRA713164,01,2019,Tesina,Whole Cells,"lysate dilute TIG_NO_DMS, DMSMaP-seq",Whole Cells,Wild-Type,Fragmented total RNA,,,,,GSM3168377
SRR7241901,14156510,707825500,50,322,SRX4147674,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149444,PRJNA473988,31858614,"",SRS3361265,SAMN09288740,simple,4932,Saccharomyces cerevisiae,GSM3168378,GEO,SRA713164,01,2019,Tesina,Whole Cells,"lysate dilute TIG_40mM_DMS, DMSMaP-seq",Whole Cells,Wild-Type,Fragmented total RNA,,,,,GSM3168378
SRR7241902,12512854,625642700,50,287,SRX4147675,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149444,PRJNA473988,31858614,"",SRS3361266,SAMN09288734,simple,4932,Saccharomyces cerevisiae,GSM3168379,GEO,SRA713164,01,2019,Tesina,Whole Cells,"lysate dilute TIG_90mM_DMS, DMSMaP-seq",Whole Cells,Wild-Type,Fragmented total RNA,,,,,GSM3168379
SRR7241903,54157010,2707850500,50,1500,SRX4147676,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149445,PRJNA473987,31858614,"",SRS3361267,SAMN09288733,simple,4932,Saccharomyces cerevisiae,GSM3168380,GEO,SRA713166,01,2019,Tesina,Whole Cells,WT_CHX1,Whole Cells,,Ribosome Protected mRNA (15-34 nt),yCW30,,,,GSM3168380
SRR7241904,32548315,1627415750,50,641,SRX4147677,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149445,PRJNA473987,31858614,"",SRS3361268,SAMN09288732,simple,4932,Saccharomyces cerevisiae,GSM3168381,GEO,SRA713166,01,2019,Tesina,Whole Cells,WT_CHX2,Whole Cells,,Ribosome Protected mRNA (15-34 nt),yCW30,,,,GSM3168381
SRR7241905,43179224,2158961200,50,1169,SRX4147678,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149445,PRJNA473987,31858614,"",SRS3361269,SAMN09288728,simple,4932,Saccharomyces cerevisiae,GSM3168382,GEO,SRA713166,01,2019,Tesina,Whole Cells,3AT_CHX,Whole Cells,,Ribosome Protected mRNA (15-34 nt),yCW19,,,,GSM3168382
SRR7241907,20753614,1037680700,50,485,SRX4147680,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149445,PRJNA473987,31858614,"",SRS3361272,SAMN09288726,simple,4932,Saccharomyces cerevisiae,GSM3168384,GEO,SRA713166,01,2019,Tesina,Whole Cells,vector_CHX,Whole Cells,,Ribosome Protected mRNA (15-34 nt),Wild-Type,,,,GSM3168384
SRR7241908,46687648,2334382400,50,1155,SRX4147681,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149445,PRJNA473987,31858614,"",SRS3361271,SAMN09288725,simple,4932,Saccharomyces cerevisiae,GSM3168385,GEO,SRA713166,01,2019,Tesina,Whole Cells,eRF1 depletion CHX replicate 1,Whole Cells,,Ribosome Protected mRNA (15-34 nt),yKW13,,,,GSM3168385
SRR7241909,32916353,1645817650,50,940,SRX4147682,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149445,PRJNA473987,31858614,"",SRS3361273,SAMN09288724,simple,4932,Saccharomyces cerevisiae,GSM3168386,GEO,SRA713166,01,2019,Tesina,Whole Cells,eRF1 depletion CHX replicate 2,Whole Cells,,Ribosome Protected mRNA (15-34 nt),yKW13,,,,GSM3168386
SRR7241910,27002674,1350133700,50,628,SRX4147683,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361275,SAMN09288723,simple,9606,Homo sapiens,GSM3168387,GEO,SRA713167,01,2019,Tesina,MDA-MB-231 ribosome profiling,MDA-MB-231 ribosome profiling,MDA-MB-231 ribosome profiling,,Ribosome Protected mRNA (15-34 nt),,MDA-MB-231,,,GSM3168387
SRR7241911,76408239,3820411950,50,1663,SRX4147684,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361274,SAMN09288722,simple,6239,Caenorhabditis elegans,GSM3168388,GEO,SRA713167,01,2019,Tesina,C. elegans embryos ribosome profiling,C. elegans embryos ribosome profiling,C. elegans embryos ribosome profiling,,Ribosome Protected mRNA (15-34 nt),,,embryos,,GSM3168388
SRR7241912,53902947,2695147350,50,1222,SRX4147685,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361276,SAMN09288721,simple,9606,Homo sapiens,GSM3168389,GEO,SRA713167,01,2019,Tesina,HeLa ribosome profiling,HeLa ribosome profiling 1,HeLa ribosome profiling,,Ribosome Protected mRNA (15-34 nt),,HeLa,,,GSM3168389
SRR7241913,45242293,2262114650,50,1199,SRX4147686,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361277,SAMN09288720,simple,9606,Homo sapiens,GSM3168390,GEO,SRA713167,01,2019,Tesina,HeLa ribosome profiling,HeLa ribosome profiling 2,HeLa ribosome profiling,,Ribosome Protected mRNA (15-34 nt),,HeLa,,,GSM3168390
SRR7241914,21159643,1057982150,50,494,SRX4147687,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361278,SAMN09288719,simple,9606,Homo sapiens,GSM3168391,GEO,SRA713167,01,2019,Tesina,HeLa Gln starvation 6hr,HeLa Gln starvation 6hr,HeLa Gln starvation 6hr,,Ribosome Protected mRNA (15-34 nt),,HeLa,,,GSM3168391
SRR7241915,21865700,1093285000,50,494,SRX4147688,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361279,SAMN09288718,simple,9606,Homo sapiens,GSM3168392,GEO,SRA713167,01,2019,Tesina,HeLa Gln starvation 6hr CHXTIG,HeLa Gln starvation 6hr CHXTIG,HeLa Gln starvation 6hr CHXTIG,,Ribosome Protected mRNA (15-34 nt),,HeLa,,,GSM3168392
SRR7241916,21297037,1064851850,50,554,SRX4147689,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361280,SAMN09288717,simple,9606,Homo sapiens,GSM3168393,GEO,SRA713167,01,2019,Tesina,HeLa Gln starvation 9hr,HeLa Gln starvation 9hr,HeLa Gln starvation 9hr,,Ribosome Protected mRNA (15-34 nt),,HeLa,,,GSM3168393
SRR13091900,36981722,1849086100,50,949,SRX4147690,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361281,SAMN09288716,simple,4932,Saccharomyces cerevisiae,GSM3168394,GEO,SRA713167,11,2020,Tesina,gamma toxin CHX profiling,gamma toxin CHX profiling,gamma toxin CHX profiling,,Ribosome Protected mRNA (15-34 nt),yCW66,,,None,GSM3168395
SRR7241918,22738671,1136933550,50,612,SRX4147691,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361282,SAMN09288715,simple,4932,Saccharomyces cerevisiae,GSM3168395,GEO,SRA713167,01,2019,Tesina,3-AT CHXTIG profiling,3-AT CHXTIG profiling,3-AT CHXTIG profiling,,Ribosome Protected mRNA (15-34 nt),yCW19,,,,GSM3168396
SRR7241919,25969815,1298490750,50,640,SRX4147692,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361283,SAMN09288714,simple,4932,Saccharomyces cerevisiae,GSM3168396,GEO,SRA713167,01,2019,Tesina,Wild-Type CHXTIG profiling,Wild-Type CHXTIG profiling 1,Wild-Type CHXTIG profiling,Wild-Type,Ribosome Protected mRNA (15-34 nt),,,,,GSM3168397
SRR7241920,18564891,928244550,50,464,SRX4147693,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361285,SAMN09288713,simple,4932,Saccharomyces cerevisiae,GSM3168397,GEO,SRA713167,01,2019,Tesina,Wild-Type CHXTIG profiling,Wild-Type CHXTIG profiling 2,Wild-Type CHXTIG profiling,Wild-Type,Ribosome Protected mRNA (15-34 nt),,,,,GSM3168399
SRR7241922,26131471,1306573550,50,705,SRX4147695,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361286,SAMN09288711,simple,4932,Saccharomyces cerevisiae,GSM3168399,GEO,SRA713167,01,2019,Tesina,Wild-Type CHXANS profiling,Wild-Type CHXANS profiling 1,Wild-Type CHXANS profiling,Wild-Type,Ribosome Protected mRNA (15-34 nt),,,,,GSM3168400
SRR7241923,31263283,1563164150,50,844,SRX4147696,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361287,SAMN09288710,simple,4932,Saccharomyces cerevisiae,GSM3168400,GEO,SRA713167,01,2019,Tesina,Wild-Type CHXANS profiling,Wild-Type CHXANS profiling 2,Wild-Type CHXANS profiling,Wild-Type,Ribosome Protected mRNA (15-34 nt),,,,,GSM3168401
SRR7241924,19831598,991579900,50,464,SRX4147697,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361288,SAMN09288709,simple,4932,Saccharomyces cerevisiae,GSM3168401,GEO,SRA713167,01,2019,Tesina,Wild-Type stationary phase profiling,Wild-Type stationary phase profiling 1,Wild-Type stationary phase profiling,Wild-Type,Ribosome Protected mRNA (15-34 nt),,,,,GSM3168402
SRR7241925,29530791,1476539550,50,799,SRX4147698,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361289,SAMN09288708,simple,4932,Saccharomyces cerevisiae,GSM3168402,GEO,SRA713167,01,2019,Tesina,Wild-Type stationary phase profiling,Wild-Type stationary phase profiling 2,Wild-Type stationary phase profiling,Wild-Type,Ribosome Protected mRNA (15-34 nt),,,,,GSM3168403
SRR7241926,24535892,1226794600,50,656,SRX4147699,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361290,SAMN09288707,simple,4932,Saccharomyces cerevisiae,GSM3168403,GEO,SRA713167,01,2019,Tesina,Wild-Type oxidative stress profiling,Wild-Type oxidative stress profiling 1,Wild-Type oxidative stress profiling,Wild-Type,Ribosome Protected mRNA (15-34 nt),,,,,GSM3168404
SRR7241927,29177985,1458899250,50,704,SRX4147700,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361291,SAMN09288737,simple,4932,Saccharomyces cerevisiae,GSM3168404,GEO,SRA713167,01,2019,Tesina,Wild-Type oxidative stress profiling,Wild-Type oxidative stress profiling 2,Wild-Type oxidative stress profiling,Wild-Type,Ribosome Protected mRNA (15-34 nt),,,,,GSM3168405
SRR7241928,24219303,1210965150,50,649,SRX4147701,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361292,SAMN09288736,simple,4932,Saccharomyces cerevisiae,GSM3168405,GEO,SRA713167,01,2019,Tesina,rck2∆ oxidative stress profiling,rck2∆ oxidative stress profiling 1,rck2∆ oxidative stress profiling,rck2{delta},Ribosome Protected mRNA (15-34 nt),,,,,GSM3168406
SRR7241929,27949850,1397492500,50,748,SRX4147702,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361293,SAMN09288735,simple,4932,Saccharomyces cerevisiae,GSM3168406,GEO,SRA713167,01,2019,Tesina,rck2∆ oxidative stress profiling,rck2∆ oxidative stress profiling 2,rck2∆ oxidative stress profiling,rck2{delta},Ribosome Protected mRNA (15-34 nt),,,,,GSM3168407
SRR7241930,26790983,1339549150,50,718,SRX4147703,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361294,SAMN09288706,simple,4932,Saccharomyces cerevisiae,GSM3168407,GEO,SRA713167,01,2019,Tesina,Wild-Type hyperosmotic stress profiling,Wild-Type hyperosmotic stress profiling 1,Wild-Type hyperosmotic stress profiling,Wild-Type,Ribosome Protected mRNA (15-34 nt),,,,,GSM3168408
SRR7241931,34474258,1723712900,50,928,SRX4147704,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361295,SAMN09288705,simple,4932,Saccharomyces cerevisiae,GSM3168408,GEO,SRA713167,01,2019,Tesina,Wild-Type hyperosmotic stress profiling,Wild-Type hyperosmotic stress profiling 2,Wild-Type hyperosmotic stress profiling,Wild-Type,Ribosome Protected mRNA (15-34 nt),,,,,GSM3168409
SRR7241932,24786500,1239325000,50,665,SRX4147705,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361296,SAMN09288739,simple,4932,Saccharomyces cerevisiae,GSM3168409,GEO,SRA713167,01,2019,Tesina,rck2∆ hyperosmotic stress profiling,rck2∆ hyperosmotic stress profiling 1,rck2∆ hyperosmotic stress profiling,rck2{delta},Ribosome Protected mRNA (15-34 nt),,,,,GSM3168410
SRR7241933,33382094,1669104700,50,867,SRX4147706,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361297,SAMN09288738,simple,4932,Saccharomyces cerevisiae,GSM3168410,GEO,SRA713167,01,2019,Tesina,rck2∆ hyperosmotic stress profiling,rck2∆ hyperosmotic stress profiling 2,rck2∆ hyperosmotic stress profiling,rck2{delta},Ribosome Protected mRNA (15-34 nt),,,,,GSM3442054
SRR8093855,22566920,1128346000,50,613,SRX4920713,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3966049,SAMN10278471,simple,4932,Saccharomyces cerevisiae,GSM3442054,GEO,SRA713167,01,2019,Tesina,gamma toxin CHXTIG profiling,gamma toxin CHXTIG profiling 1,gamma toxin CHXTIG profiling,,Ribosome Protected mRNA (15-34 nt),yCW66,,,,GSM3442055
SRR8093856,32561945,1628097250,50,822,SRX4920714,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3966050,SAMN10278470,simple,4932,Saccharomyces cerevisiae,GSM3442055,GEO,SRA713167,01,2019,Tesina,gamma toxin CHXTIG profiling,gamma toxin CHXTIG profiling 2,gamma toxin CHXTIG profiling,,Ribosome Protected mRNA (15-34 nt),yCW66,,,,GSM3442056
SRR8093857,28117461,1405873050,50,698,SRX4920715,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3966051,SAMN10278469,simple,4932,Saccharomyces cerevisiae,GSM3442056,GEO,SRA713167,01,2019,Tesina,3AT_CHXTIG profiling,3AT_CHXTIG profiling 2,3AT_CHXTIG profiling,,Ribosome Protected mRNA (15-34 nt),yCW19,,,,GSM3442057
SRR8093858,20320256,1016012800,50,508,SRX4920716,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3966052,SAMN10278468,simple,4932,Saccharomyces cerevisiae,GSM3442057,GEO,SRA713167,01,2019,Tesina,Wild-Type CHXTIG profiling,Wild-Type CHXTIG profiling 4,Wild-Type CHXTIG profiling,,Ribosome Protected mRNA (15-34 nt),Wild-Type,,,,GSM3442058
SRR8093859,22358456,1117922800,50,561,SRX4920717,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3966053,SAMN10278467,simple,4932,Saccharomyces cerevisiae,GSM3442058,GEO,SRA713167,01,2019,Tesina,Wild-Type oxidative stress profiling,Wild-Type oxidative stress profiling 3,Wild-Type oxidative stress profiling,,Ribosome Protected mRNA (15-34 nt),Wild-Type,,,,GSM3442053
