Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain background,genotype/variation,temperature,molecule subtype,treatment,strain,substrain,GEO Accession
SRR6001749,12537556,639415356,51,436,SRX3157118,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488610,SAMN07602613,simple,562,Escherichia coli,GSM2771000,GEO,SRA605192,04,2018,Zhang,MG1655 ∆cspABEG,Ribosome profiling 8 hr after shift to 10°C in ∆cspABEG cells,MG1655,MG1655,wild type,37°C,Ribosome protected mRNA,,,,GSM2771001
SRR6001750,12383731,631570281,51,399,SRX3157118,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488610,SAMN07602613,simple,562,Escherichia coli,GSM2771000,GEO,SRA605192,04,2018,Zhang,MG1655 ∆cspABEG,Ribosome profiling 8 hr after shift to 10°C in ∆cspABEG cells,MG1655 ∆cspABCEG,MG1655,{delta}cspABCEG,37°C,Ribosome protected mRNA,,,,GSM2771002
SRR6001751,61258516,3124184316,51,1969,SRX3157119,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488609,SAMN07602612,simple,562,Escherichia coli,GSM2771001,GEO,SRA605192,04,2018,Zhang,MG1655,Ribosome profiling at 37°C in WT cells_2,MG1655,MG1655,wild type,37°C,mRNA,,,,GSM2771003
SRR6001752,59003587,3009182937,51,1898,SRX3157120,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488611,SAMN07602611,simple,562,Escherichia coli,GSM2771002,GEO,SRA605192,04,2018,Zhang,MG1655 ∆cspABCEG,Ribosome profiling at 37°C in ∆cspABCEG cells,MG1655,MG1655,wild type,10°C,mRNA,,,,GSM2771004
SRR6001753,17725247,509733411,28,317,SRX3157121,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP117035,PRJNA401857,29628307,"",SRS2488612,SAMN07602610,simple,562,Escherichia coli,GSM2771003,GEO,SRA605192,04,2018,Zhang,MG1655,mRNA-seq at 37°C in WT cells_1,MG1655,MG1655,wild type,10°C,mRNA,,,,GSM2771005
SRR6001754,16295360,467922958,28,294,SRX3157122,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP117035,PRJNA401857,29628307,"",SRS2488614,SAMN07602627,simple,562,Escherichia coli,GSM2771004,GEO,SRA605192,04,2018,Zhang,MG1655,mRNA-seq 10 min after shift to 10°C in WT cells,MG1655,MG1655,wild type,10°C,mRNA,,,,GSM2771006
SRR6001755,18866824,574508153,30,407,SRX3157123,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP117035,PRJNA401857,29628307,"",SRS2488613,SAMN07602626,simple,562,Escherichia coli,GSM2771005,GEO,SRA605192,04,2018,Zhang,MG1655,mRNA-seq 30 min after shift to 10°C in WT cells,MG1655,MG1655,wild type,10°C,mRNA,,,,GSM2771007
SRR6001756,19438201,555548941,28,394,SRX3157124,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP117035,PRJNA401857,29628307,"",SRS2488616,SAMN07602625,simple,562,Escherichia coli,GSM2771006,GEO,SRA605192,04,2018,Zhang,MG1655,mRNA-seq 2 hr after shift to 10°C in WT cells,MG1655,MG1655,wild type,10°C,mRNA,,,,GSM2771008
SRR6001757,13035565,355396902,27,220,SRX3157125,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP117035,PRJNA401857,29628307,"",SRS2488615,SAMN07602609,simple,562,Escherichia coli,GSM2771007,GEO,SRA605192,04,2018,Zhang,MG1655,mRNA-seq 3 hr after shift to 10°C in WT cells,MG1655,MG1655,wild type,10°C,mRNA,,,,GSM2771009
SRR6001758,17769459,517810876,29,365,SRX3157126,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP117035,PRJNA401857,29628307,"",SRS2488618,SAMN07602608,simple,562,Escherichia coli,GSM2771008,GEO,SRA605192,04,2018,Zhang,MG1655,mRNA-seq 4 hr after shift to 10°C in WT cells,MG1655,MG1655,wild type,10°C,mRNA,,,,GSM2771010
SRR6001759,5436062,154142123,28,108,SRX3157127,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP117035,PRJNA401857,29628307,"",SRS2488617,SAMN07602607,simple,562,Escherichia coli,GSM2771009,GEO,SRA605192,04,2018,Zhang,MG1655,mRNA-seq 6 hr after shift to 10°C in WT cells,MG1655 ∆cspABEG,MG1655,{delta}cspABEG,10°C,mRNA,,,,GSM2771011
SRR6001760,13457767,686346117,51,466,SRX3157128,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488620,SAMN07602606,simple,562,Escherichia coli,GSM2771010,GEO,SRA605192,04,2018,Zhang,MG1655,mRNA-seq 8 hr after shift to 10°C in WT cells,MG1655,MG1655,wild type,37°C,mRNA,,,,GSM2771012
SRR6001761,14244382,726463482,51,456,SRX3157128,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488620,SAMN07602606,simple,562,Escherichia coli,GSM2771010,GEO,SRA605192,04,2018,Zhang,MG1655,mRNA-seq 8 hr after shift to 10°C in WT cells,MG1655 ∆cspABCEG,MG1655,{delta}cspABCEG,37°C,mRNA,,,,GSM2771013
SRR6001762,18953595,966633345,51,662,SRX3157129,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488619,SAMN07602605,simple,562,Escherichia coli,GSM2771011,GEO,SRA605192,04,2018,Zhang,MG1655 ∆cspABEG,mRNA-seq 8 hr after shift to 10°C in ∆cspABEG cells,MG1655,MG1655,wild type,10°C,DMS-modified mRNA,,,,GSM2771014
SRR6001763,20647012,1052997612,51,663,SRX3157129,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488619,SAMN07602605,simple,562,Escherichia coli,GSM2771011,GEO,SRA605192,04,2018,Zhang,MG1655 ∆cspABEG,mRNA-seq 8 hr after shift to 10°C in ∆cspABEG cells,MG1655,MG1655,wild type,10°C,DMS-modified mRNA,,,,GSM2771015
SRR6001764,19442652,991575252,51,595,SRX3157130,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488621,SAMN07602604,simple,562,Escherichia coli,GSM2771012,GEO,SRA605192,04,2018,Zhang,MG1655,mRNA-seq at 37°C in WT cells_2,MG1655,MG1655,wild type,10°C,DMS-modified mRNA,,,,GSM2771016
SRR6001765,22690717,1157226567,51,696,SRX3157131,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488622,SAMN07602603,simple,562,Escherichia coli,GSM2771013,GEO,SRA605192,04,2018,Zhang,MG1655 ∆cspABCEG,mRNA-seq at 37°C in ∆cspABCEG cells,MG1655 ∆cspABEG,MG1655,{delta}cspABEG,10°C,DMS-modified mRNA,,,,GSM2771017
SRR6001766,52834700,2694569700,51,1925,SRX3157132,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488623,SAMN07602602,simple,562,Escherichia coli,GSM2771014,GEO,SRA605192,04,2018,Zhang,MG1655,DMS-seq 30 min after shift to 10°C in WT cells,MG1655 ∆cspBG,MG1655,{delta}cspBG,10°C,DMS-modified mRNA,,,,GSM2771018
SRR6001767,61169016,2142157940,35,1440,SRX3157132,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488623,SAMN07602602,simple,562,Escherichia coli,GSM2771014,GEO,SRA605192,04,2018,Zhang,MG1655,DMS-seq 30 min after shift to 10°C in WT cells,MG1655,MG1655,wild type,10°C,Total RNA,,,,GSM2771019
SRR6001768,161415537,8232192387,51,5441,SRX3157132,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488623,SAMN07602602,simple,562,Escherichia coli,GSM2771014,GEO,SRA605192,04,2018,Zhang,MG1655,DMS-seq 30 min after shift to 10°C in WT cells,MG1655,MG1655,wild type,10°C,Total RNA,,,,GSM2771020
SRR6001769,23390724,1192926924,51,856,SRX3157133,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488624,SAMN07602601,simple,562,Escherichia coli,GSM2771015,GEO,SRA605192,04,2018,Zhang,MG1655,DMS-seq 6 hr after shift to 10°C in WT cells,MG1655,MG1655,wild type,10°C,Total RNA,,,,GSM2771021
SRR6001770,41212894,1414048518,34,951,SRX3157133,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488624,SAMN07602601,simple,562,Escherichia coli,GSM2771015,GEO,SRA605192,04,2018,Zhang,MG1655,DMS-seq 6 hr after shift to 10°C in WT cells,MG1655 ∆rnr,MG1655,{delta}rnr,10°C,Total RNA,,,,GSM2771022
SRR6001771,56010936,2856557736,51,1894,SRX3157133,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488624,SAMN07602601,simple,562,Escherichia coli,GSM2771015,GEO,SRA605192,04,2018,Zhang,MG1655,DMS-seq 6 hr after shift to 10°C in WT cells,MG1655 ∆rnr,MG1655,{delta}rnr,10°C,Total RNA,,,,GSM2771023
SRR6001772,82501015,4207551765,51,2727,SRX3157134,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488625,SAMN07602600,simple,562,Escherichia coli,GSM2771016,GEO,SRA605192,04,2018,Zhang,MG1655,DMS-seq 8 hr after shift to 10°C in WT cells,MG1655 ∆rnr,MG1655,{delta}rnr,10°C,Total RNA,,,,GSM2771024
SRR6001773,59420770,3030459270,51,1959,SRX3157135,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488626,SAMN07602599,simple,562,Escherichia coli,GSM2771017,GEO,SRA605192,04,2018,Zhang,MG1655 ∆cspABEG,DMS-seq 8 hr after shift to 10°C in ∆cspABEG cells,MG1655,MG1655,wild type,10°C,Total RNA,Before rifampicin treatment,,,GSM2771025
SRR6001774,25258886,1288203186,51,868,SRX3157136,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488627,SAMN07602598,simple,562,Escherichia coli,GSM2771018,GEO,SRA605192,04,2018,Zhang,MG1655 ∆cspBG,DMS-seq 8 hr after shift to 10°C in ∆cspBG cells,MG1655,MG1655,wild type,10°C,Total RNA,After 250 µg/mL rifampicin treatment for 2 hr,,,GSM2771026
SRR6001775,16735357,853503207,51,549,SRX3157137,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488628,SAMN07602597,simple,562,Escherichia coli,GSM2771019,GEO,SRA605192,04,2018,Zhang,MG1655,Total RNA-seq 20 min after shift to 10°C in WT cells,MG1655 ∆rnr,MG1655,{delta}rnr,10°C,Total RNA,Before rifampicin treatment,,,GSM2771027
SRR6001776,15714232,801425832,51,517,SRX3157138,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488629,SAMN07602596,simple,562,Escherichia coli,GSM2771020,GEO,SRA605192,04,2018,Zhang,MG1655,Total RNA-seq 4 hr after shift to 10°C in WT cells,MG1655 ∆rnr,MG1655,{delta}rnr,10°C,Total RNA,After 250 µg/mL rifampicin treatment for 2 hr,,,GSM2771028
SRR6001777,19850154,1012357854,51,654,SRX3157139,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488630,SAMN07602595,simple,562,Escherichia coli,GSM2771021,GEO,SRA605192,04,2018,Zhang,MG1655,Total RNA-seq 8 hr after shift to 10°C in WT cells,"DMS-seq of purified mRNA in vitro at 10°C, rep1",,,10°C,,NA,K-12,MG1655,GSM2801048
SRR6001778,15375406,784145706,51,507,SRX3157140,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488631,SAMN07602594,simple,562,Escherichia coli,GSM2771022,GEO,SRA605192,04,2018,Zhang,MG1655 ∆rnr,Total RNA-seq 20 min after shift to 10°C in ∆rnr cells,"DMS-seq of purified mRNA in vitro at 10°C, rep2",,,10°C,,NA,K-12,MG1655,GSM2801049
SRR6001779,14000964,714049164,51,462,SRX3157141,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488632,SAMN07602593,simple,562,Escherichia coli,GSM2771023,GEO,SRA605192,04,2018,Zhang,MG1655 ∆rnr,Total RNA-seq 4 hr after shift to 10°C in ∆rnr cells,DMS-seq of WT cells after kasugamycin treatment at 10°C,,,10°C,,After 10 mg/mL kasugamycin treatment for 40 min,K-12,MG1655,GSM2801050
SRR6001780,17669788,901159188,51,580,SRX3157142,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488633,SAMN07602592,simple,562,Escherichia coli,GSM2771024,GEO,SRA605192,04,2018,Zhang,MG1655 ∆rnr,Total RNA-seq 8 hr after shift to 10°C in ∆rnr cells,DMS-MaPSeq of purified cspA mRNA at 37°C,,,37°C,,NA,K-12,MG1655,GSM2801051
SRR6001781,12718774,635938700,50,380,SRX3157143,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488634,SAMN07602591,simple,562,Escherichia coli,GSM2771025,GEO,SRA605192,04,2018,Zhang,MG1655,Total RNA-seq before rifampicin treatment -- 2 hr after shift to 10°C in WT cells,"DMS-MaPSeq of purified cspA mRNA at 10°C, rep1",,,10°C,,NA,K-12,MG1655,GSM2801052
SRR6001782,12839255,641962750,50,385,SRX3157144,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488635,SAMN07602590,simple,562,Escherichia coli,GSM2771026,GEO,SRA605192,04,2018,Zhang,MG1655,Total RNA-seq after rifampicin treatment -- 4 hr after shift to 10°C in WT cells,"DMS-MaPSeq of purified cspA mRNA at 10°C, rep2",,,10°C,,NA,K-12,MG1655,GSM2801053
SRR6001783,14042554,702127700,50,418,SRX3157145,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488636,SAMN07602589,simple,562,Escherichia coli,GSM2771027,GEO,SRA605192,04,2018,Zhang,MG1655 ∆rnr,Total RNA-seq before rifampicin treatment -- 2 hr after shift to 10°C in ∆rnr cells,DMS-MaPSeq of purified cspA mRNA at 10°C with 0.025mM CspA protein,,,10°C,,0.025mM CspA protein,K-12,MG1655,GSM2801054
SRR6001784,8991603,449580150,50,267,SRX3157146,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488637,SAMN07602588,simple,562,Escherichia coli,GSM2771028,GEO,SRA605192,04,2018,Zhang,MG1655 ∆rnr,Total RNA-seq after rifampicin treatment -- 4 hr after shift to 10°C in ∆rnr cells,DMS-MaPSeq of purified cspA mRNA at 10°C with 0.1mM CspA protein,,,10°C,,0.1mM CspA protein,K-12,MG1655,GSM2801055
SRR6123770,37695705,1922480955,51,1200,SRX3236423,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2560191,SAMN07728433,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2801048,GEO,SRA605192,04,2018,Zhang,"DMS-seq of purified mRNA in vitro at 10°C, rep1","DMS-seq of purified mRNA in vitro at 10°C, rep1",DMS-MaPSeq of purified cspA mRNA at 37°C,,,37°C,,NA,K-12,MG1655,GSM2946865
SRR6123771,84131124,4290687324,51,2789,SRX3236424,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2560183,SAMN07728432,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2801049,GEO,SRA605192,04,2018,Zhang,"DMS-seq of purified mRNA in vitro at 10°C, rep2","DMS-seq of purified mRNA in vitro at 10°C, rep2",DMS-MaPSeq of purified cspA mRNA at 10°C,,,10°C,,NA,K-12,MG1655,GSM2946866
SRR6123772,40134867,2046878217,51,1274,SRX3236425,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2560184,SAMN07728431,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2801050,GEO,SRA605192,04,2018,Zhang,DMS-seq of WT cells after kasugamycin treatment at 10°C,DMS-seq of WT cells after kasugamycin treatment at 10°C,DMS-MaPSeq of purified cspA mRNA at 10°C,,,10°C,,NA,K-12,MG1655,GSM2946867
SRR6123773,4231493,1458123130,250,672,SRX3236426,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP117035,PRJNA401857,29628307,"",SRS2560186,SAMN07728444,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2801051,GEO,SRA605192,04,2018,Zhang,DMS-MaPSeq of purified cspA mRNA at 37°C,"DMS-MaPSeq of purified cspA mRNA at 37°C, rep1",DMS-MaPSeq of purified cspA mRNA at 10°C with 0.05mM CspA protein,,,10°C,,0.05mM CspA protein,K-12,MG1655,GSM2946868
SRR6123774,642018,385210800,300,172,SRX3236427,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP117035,PRJNA401857,29628307,"",SRS2560187,SAMN07728443,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2801052,GEO,SRA605192,04,2018,Zhang,"DMS-MaPSeq of purified cspA mRNA at 10°C, rep1","DMS-MaPSeq of purified cspA mRNA at 10°C, rep1",DMS-MaPSeq of purified cspA mRNA at 10°C with 0.1mM CspA protein,,,10°C,,0.1mM CspA protein,K-12,MG1655,GSM2946869
SRR6123775,1716150,858075000,250,427,SRX3236428,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP117035,PRJNA401857,29628307,"",SRS2560188,SAMN07728442,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2801053,GEO,SRA605192,04,2018,Zhang,"DMS-MaPSeq of purified cspA mRNA at 10°C, rep2","DMS-MaPSeq of purified cspA mRNA at 10°C, rep2",DMS-MaPSeq of purified cspA mRNA at 10°C with 0.1mM CspA protein,,,10°C,,0.1mM CspA protein,K-12,MG1655,GSM2946870
