Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,sample_name,age,biological_replicate,ecotype
DRR222518,67006470,1451998458,21,686,DRX212803,RP_sgs3_rep1_3,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,DRP007250,PRJDB9689,1,"",DRS183682,SAMD00220202,simple,3702,Arabidopsis thaliana,SAMD00220202,UT_IQB,DRA010034,05,2021,Makar,"",sgs3-11_replicate 1,sgs3-11_rep1,3-day-old,sgs3-11_biological replicate 1,Col-0
DRR222519,58324109,1266318177,21,617,DRX212804,RP_sgs3_rep1_4,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,DRP007250,PRJDB9689,1,"",DRS183682,SAMD00220202,simple,3702,Arabidopsis thaliana,SAMD00220202,UT_IQB,DRA010034,05,2021,Makar,"",sgs3-11_replicate 1,sgs3-11_rep1,3-day-old,sgs3-11_biological replicate 1,Col-0
DRR222520,56888394,1180320830,20,588,DRX212805,RP_sgs3_rep2_1,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,DRP007250,PRJDB9689,1,"",DRS183683,SAMD00220203,simple,3702,Arabidopsis thaliana,SAMD00220203,UT_IQB,DRA010034,05,2021,Makar,"",sgs3-11_replicate 2,sgs3-11_rep2,3-day-old,sgs3-11_biological replicate 2,Col-0
DRR222521,58145988,1209297754,20,575,DRX212806,RP_sgs3_rep2_2,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,DRP007250,PRJDB9689,1,"",DRS183683,SAMD00220203,simple,3702,Arabidopsis thaliana,SAMD00220203,UT_IQB,DRA010034,05,2021,Makar,"",sgs3-11_replicate 2,sgs3-11_rep2,3-day-old,sgs3-11_biological replicate 2,Col-0
DRR222522,57176860,1188879698,20,562,DRX212807,RP_sgs3_rep2_3,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,DRP007250,PRJDB9689,1,"",DRS183683,SAMD00220203,simple,3702,Arabidopsis thaliana,SAMD00220203,UT_IQB,DRA010034,05,2021,Makar,"",sgs3-11_replicate 2,sgs3-11_rep2,3-day-old,sgs3-11_biological replicate 2,Col-0
DRR222523,49642127,1034204064,20,507,DRX212808,RP_sgs3_rep2_4,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,DRP007250,PRJDB9689,1,"",DRS183683,SAMD00220203,simple,3702,Arabidopsis thaliana,SAMD00220203,UT_IQB,DRA010034,05,2021,Makar,"",sgs3-11_replicate 2,sgs3-11_rep2,3-day-old,sgs3-11_biological replicate 2,Col-0
DRR222524,48782753,14634825900,150,4405,DRX212809,RNA-seq_Col-0_rep1,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,DRP007250,PRJDB9689,1,"",DRS183680,SAMD00220200,simple,3702,Arabidopsis thaliana,SAMD00220200,UT_IQB,DRA010034,05,2021,Makar,"",Col-0_replicate 1,Col-0_rep1,3-day-old,Wild-type biological replicate 1,Col-0
DRR222525,43751754,13125526200,150,3956,DRX212810,RNA-seq_Col-0_rep2,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,DRP007250,PRJDB9689,1,"",DRS183681,SAMD00220201,simple,3702,Arabidopsis thaliana,SAMD00220201,UT_IQB,DRA010034,05,2021,Makar,"",Col-0_replicate 2,Col-0_rep2,3-day-old,Wild-type biological replicate 2,Col-0
DRR222526,46672677,14001803100,150,4173,DRX212811,RNA-seq_sgs3_rep1,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,DRP007250,PRJDB9689,1,"",DRS183682,SAMD00220202,simple,3702,Arabidopsis thaliana,SAMD00220202,UT_IQB,DRA010034,05,2021,Makar,"",sgs3-11_replicate 1,sgs3-11_rep1,3-day-old,sgs3-11_biological replicate 1,Col-0
DRR222527,47349636,14204890800,150,4239,DRX212812,RNA-seq_sgs3_rep2,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,DRP007250,PRJDB9689,1,"",DRS183683,SAMD00220203,simple,3702,Arabidopsis thaliana,SAMD00220203,UT_IQB,DRA010034,05,2021,Makar,"",sgs3-11_replicate 2,sgs3-11_rep2,3-day-old,sgs3-11_biological replicate 2,Col-0
