Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,media,sample type,GEO Accession
SRR6348563,2549437,76483110,30,28,SRX3445558,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP126173,PRJNA421178,29377894,"",SRS2735966,SAMN08134025,simple,4932,Saccharomyces cerevisiae,GSM2877029,GEO,SRA636102,01,2018,Diament,Saccharomyces cerevisiae,"Ribo-seq, mRPF",Saccharomyces cerevisiae,YPD,ribosome protected RNA fragment,GSM2877030
SRR6348564,2857748,85732440,30,29,SRX3445558,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP126173,PRJNA421178,29377894,"",SRS2735966,SAMN08134025,simple,4932,Saccharomyces cerevisiae,GSM2877029,GEO,SRA636102,01,2018,Diament,Saccharomyces cerevisiae,"Ribo-seq, mRPF",Saccharomyces cerevisiae,YPD,total RNA,GSM2877031
SRR6348565,2765395,82961850,30,28,SRX3445558,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP126173,PRJNA421178,29377894,"",SRS2735966,SAMN08134025,simple,4932,Saccharomyces cerevisiae,GSM2877029,GEO,SRA636102,01,2018,Diament,Saccharomyces cerevisiae,"Ribo-seq, mRPF",Saccharomyces cerevisiae,YPD,ribosome protected RNA fragment,GSM2877029
SRR6348566,2821637,84649110,30,29,SRX3445558,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP126173,PRJNA421178,29377894,"",SRS2735966,SAMN08134025,simple,4932,Saccharomyces cerevisiae,GSM2877029,GEO,SRA636102,01,2018,Diament,Saccharomyces cerevisiae,"Ribo-seq, mRPF",Saccharomyces cerevisiae,YPD,ribosome protected RNA fragment,GSM2877030
SRR6348567,2782423,83472690,30,28,SRX3445558,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP126173,PRJNA421178,29377894,"",SRS2735966,SAMN08134025,simple,4932,Saccharomyces cerevisiae,GSM2877029,GEO,SRA636102,01,2018,Diament,Saccharomyces cerevisiae,"Ribo-seq, mRPF",Saccharomyces cerevisiae,YPD,total RNA,GSM2877031
SRR6348568,2461170,184587750,75,71,SRX3445558,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP126173,PRJNA421178,29377894,"",SRS2735966,SAMN08134025,simple,4932,Saccharomyces cerevisiae,GSM2877029,GEO,SRA636102,01,2018,Diament,Saccharomyces cerevisiae,"Ribo-seq, mRPF",Saccharomyces cerevisiae,YPD,ribosome protected RNA fragment,GSM2877029
SRR6348569,5023085,249341245,49,97,SRX3445559,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP126173,PRJNA421178,29377894,"",SRS2735967,SAMN08134024,simple,4932,Saccharomyces cerevisiae,GSM2877030,GEO,SRA636102,01,2018,Diament,Saccharomyces cerevisiae,"Ribo-seq, dRPF",Saccharomyces cerevisiae,YPD,ribosome protected RNA fragment,GSM2877030
SRR6348570,4941847,245178227,49,95,SRX3445559,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP126173,PRJNA421178,29377894,"",SRS2735967,SAMN08134024,simple,4932,Saccharomyces cerevisiae,GSM2877030,GEO,SRA636102,01,2018,Diament,Saccharomyces cerevisiae,"Ribo-seq, dRPF",Saccharomyces cerevisiae,YPD,total RNA,GSM2877031
SRR6348571,5076913,251972639,49,98,SRX3445559,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP126173,PRJNA421178,29377894,"",SRS2735967,SAMN08134024,simple,4932,Saccharomyces cerevisiae,GSM2877030,GEO,SRA636102,01,2018,Diament,Saccharomyces cerevisiae,"Ribo-seq, dRPF",Saccharomyces cerevisiae,YPD,ribosome protected RNA fragment,GSM2877029
SRR6348572,4925658,244379750,49,95,SRX3445559,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP126173,PRJNA421178,29377894,"",SRS2735967,SAMN08134024,simple,4932,Saccharomyces cerevisiae,GSM2877030,GEO,SRA636102,01,2018,Diament,Saccharomyces cerevisiae,"Ribo-seq, dRPF",Saccharomyces cerevisiae,YPD,ribosome protected RNA fragment,GSM2877030
SRR6348573,8562505,395885417,46,158,SRX3445560,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP126173,PRJNA421178,29377894,"",SRS2735968,SAMN08134023,simple,4932,Saccharomyces cerevisiae,GSM2877031,GEO,SRA636102,01,2018,Diament,Saccharomyces cerevisiae,RNA-seq,Saccharomyces cerevisiae,YPD,total RNA,GSM2877031
SRR6348574,8377025,386827679,46,154,SRX3445560,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP126173,PRJNA421178,29377894,"",SRS2735968,SAMN08134023,simple,4932,Saccharomyces cerevisiae,GSM2877031,GEO,SRA636102,01,2018,Diament,Saccharomyces cerevisiae,RNA-seq,Saccharomyces cerevisiae,YPD,ribosome protected RNA fragment,GSM2877029
SRR6348575,8637368,399351363,46,159,SRX3445560,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP126173,PRJNA421178,29377894,"",SRS2735968,SAMN08134023,simple,4932,Saccharomyces cerevisiae,GSM2877031,GEO,SRA636102,01,2018,Diament,Saccharomyces cerevisiae,RNA-seq,Saccharomyces cerevisiae,YPD,ribosome protected RNA fragment,GSM2877030
SRR6348576,8311803,383813710,46,152,SRX3445560,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP126173,PRJNA421178,29377894,"",SRS2735968,SAMN08134023,simple,4932,Saccharomyces cerevisiae,GSM2877031,GEO,SRA636102,01,2018,Diament,Saccharomyces cerevisiae,RNA-seq,Saccharomyces cerevisiae,YPD,total RNA,GSM2877031
