Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,common name,sample name
ERR8054946,32571930,2768614050,85,1060,ERX7621667,Nup170_IP_No2,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990370,SAMEA12383590,simple,4932,Saccharomyces cerevisiae,SAMEA12383590,European Molecular Biology Laboratory,ERA8436142,02,2022,Makar,"",Nup170_IP_No2,2022-02-01,2022-02-01,SAMEA12383590,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,Nup170_IP_No2,baker's yeast,Nup170_IP_No2
ERR8054947,34783285,2956579225,85,1128,ERX7621668,Nup170_total_No1,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990371,SAMEA12383591,simple,4932,Saccharomyces cerevisiae,SAMEA12383591,European Molecular Biology Laboratory,ERA8436142,02,2022,Makar,"",Nup170_total_No1,2022-02-01,2022-02-01,SAMEA12383591,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,Nup170_total_No1,baker's yeast,Nup170_total_No1
ERR8054948,46655008,3965675680,85,1445,ERX7621669,Nup170_total_No2,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990372,SAMEA12383592,simple,4932,Saccharomyces cerevisiae,SAMEA12383592,European Molecular Biology Laboratory,ERA8436142,02,2022,Makar,"",Nup170_total_No2,2022-02-01,2022-02-01,SAMEA12383592,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,Nup170_total_No2,baker's yeast,Nup170_total_No2
ERR8054949,2425717,206185945,85,74,ERX7621670,Nup53_IP_No1,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990373,SAMEA12383593,simple,4932,Saccharomyces cerevisiae,SAMEA12383593,European Molecular Biology Laboratory,ERA8436142,02,2022,Makar,"",Nup53_IP_No1,2022-02-01,2022-02-01,SAMEA12383593,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,Nup53_IP_No1,baker's yeast,Nup53_IP_No1
ERR8054950,6570325,558477625,85,218,ERX7621671,Nup53_IP_No2,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990374,SAMEA12383594,simple,4932,Saccharomyces cerevisiae,SAMEA12383594,European Molecular Biology Laboratory,ERA8436142,02,2022,Makar,"",Nup53_IP_No2,2022-02-01,2022-02-01,SAMEA12383594,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,Nup53_IP_No2,baker's yeast,Nup53_IP_No2
ERR8054951,67757933,5759424305,85,2137,ERX7621672,Nup53_total_No1,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990375,SAMEA12383595,simple,4932,Saccharomyces cerevisiae,SAMEA12383595,European Molecular Biology Laboratory,ERA8436142,02,2022,Makar,"",Nup53_total_No1,2022-02-01,2022-02-01,SAMEA12383595,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,Nup53_total_No1,baker's yeast,Nup53_total_No1
ERR8054952,32219175,2738629875,85,1053,ERX7621673,Nup53_total_No2,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990376,SAMEA12383596,simple,4932,Saccharomyces cerevisiae,SAMEA12383596,European Molecular Biology Laboratory,ERA8436142,02,2022,Makar,"",Nup53_total_No2,2022-02-01,2022-02-01,SAMEA12383596,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,Nup53_total_No2,baker's yeast,Nup53_total_No2
ERR8054953,31299657,2660470845,85,1048,ERX7621674,ox_IP_No1,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990377,SAMEA12383597,simple,4932,Saccharomyces cerevisiae,SAMEA12383597,European Molecular Biology Laboratory,ERA8436142,02,2022,Makar,"",ox_IP_No1,2022-02-01,2022-02-01,SAMEA12383597,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,ox_IP_No1,baker's yeast,ox_IP_No1
ERR8054954,21716571,1845908535,85,729,ERX7621675,ox_IP_No2,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990378,SAMEA12383598,simple,4932,Saccharomyces cerevisiae,SAMEA12383598,European Molecular Biology Laboratory,ERA8436142,02,2022,Makar,"",ox_IP_No2,2022-02-01,2022-02-01,SAMEA12383598,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,ox_IP_No2,baker's yeast,ox_IP_No2
ERR8054955,29294983,2490073555,85,925,ERX7621676,ox_IP_No3,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990379,SAMEA12383599,simple,4932,Saccharomyces cerevisiae,SAMEA12383599,European Molecular Biology Laboratory,ERA8436142,02,2022,Makar,"",ox_IP_No3,2022-02-01,2022-02-01,SAMEA12383599,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,ox_IP_No3,baker's yeast,ox_IP_No3
ERR8054956,38654644,3285644740,85,1200,ERX7621677,ox_total_No1,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990380,SAMEA12383600,simple,4932,Saccharomyces cerevisiae,SAMEA12383600,European Molecular Biology Laboratory,ERA8436142,02,2022,Makar,"",ox_total_No1,2022-02-01,2022-02-01,SAMEA12383600,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,ox_total_No1,baker's yeast,ox_total_No1
ERR8054957,17216389,1463393065,85,578,ERX7621678,ox_total_No2,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990381,SAMEA12383601,simple,4932,Saccharomyces cerevisiae,SAMEA12383601,European Molecular Biology Laboratory,ERA8436142,02,2022,Makar,"",ox_total_No2,2022-02-01,2022-02-01,SAMEA12383601,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,ox_total_No2,baker's yeast,ox_total_No2
ERR8054958,30717866,2611018610,85,973,ERX7621679,ox_total_No3,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990382,SAMEA12383602,simple,4932,Saccharomyces cerevisiae,SAMEA12383602,European Molecular Biology Laboratory,ERA8436142,02,2022,Makar,"",ox_total_No3,2022-02-01,2022-02-01,SAMEA12383602,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,ox_total_No3,baker's yeast,ox_total_No3
ERR8054959,18561790,1577752150,85,605,ERX7621680,Sec13_IP_No1,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990383,SAMEA12383603,simple,4932,Saccharomyces cerevisiae,SAMEA12383603,European Molecular Biology Laboratory,ERA8436142,02,2022,Makar,"",Sec13_IP_No1,2022-02-01,2022-02-01,SAMEA12383603,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,Sec13_IP_No1,baker's yeast,Sec13_IP_No1
ERR8054960,18962428,1611806380,85,636,ERX7621681,Sec13_IP_No2,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990384,SAMEA12383604,simple,4932,Saccharomyces cerevisiae,SAMEA12383604,European Molecular Biology Laboratory,ERA8436142,02,2022,Makar,"",Sec13_IP_No2,2022-02-01,2022-02-01,SAMEA12383604,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,Sec13_IP_No2,baker's yeast,Sec13_IP_No2
ERR8054961,7166011,609110935,85,231,ERX7621682,Sec13_IP_No3,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990385,SAMEA12383605,simple,4932,Saccharomyces cerevisiae,SAMEA12383605,European Molecular Biology Laboratory,ERA8436142,02,2022,Makar,"",Sec13_IP_No3,2022-02-01,2022-02-01,SAMEA12383605,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,Sec13_IP_No3,baker's yeast,Sec13_IP_No3
ERR8054962,27778270,2361152950,85,849,ERX7621683,Sec13_total_No1,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990386,SAMEA12383606,simple,4932,Saccharomyces cerevisiae,SAMEA12383606,European Molecular Biology Laboratory,ERA8436142,02,2022,Makar,"",Sec13_total_No1,2022-02-01,2022-02-01,SAMEA12383606,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,Sec13_total_No1,baker's yeast,Sec13_total_No1
ERR8054963,47221010,4013785850,85,1434,ERX7621684,Sec13_total_No2,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990387,SAMEA12383607,simple,4932,Saccharomyces cerevisiae,SAMEA12383607,European Molecular Biology Laboratory,ERA8436142,02,2022,Makar,"",Sec13_total_No2,2022-02-01,2022-02-01,SAMEA12383607,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,Sec13_total_No2,baker's yeast,Sec13_total_No2
ERR8054964,28682293,2437994905,85,871,ERX7621685,Sec13_total_No3,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990388,SAMEA12383608,simple,4932,Saccharomyces cerevisiae,SAMEA12383608,European Molecular Biology Laboratory,ERA8436142,02,2022,Makar,"",Sec13_total_No3,2022-02-01,2022-02-01,SAMEA12383608,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,Sec13_total_No3,baker's yeast,Sec13_total_No3
ERR8054965,19424894,1651115990,85,594,ERX7621686,Sec31_IP_No1,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990389,SAMEA12383609,simple,4932,Saccharomyces cerevisiae,SAMEA12383609,European Molecular Biology Laboratory,ERA8436142,02,2022,Makar,"",Sec31_IP_No1,2022-02-01,2022-02-01,SAMEA12383609,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,Sec31_IP_No1,baker's yeast,Sec31_IP_No1
ERR8054966,2538991,215814235,85,86,ERX7621687,Sec31_IP_No2,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990390,SAMEA12383610,simple,4932,Saccharomyces cerevisiae,SAMEA12383610,European Molecular Biology Laboratory,ERA8436142,02,2022,Makar,"",Sec31_IP_No2,2022-02-01,2022-02-01,SAMEA12383610,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,Sec31_IP_No2,baker's yeast,Sec31_IP_No2
ERR8054967,25262309,2147296265,85,772,ERX7621688,Sec31_IP_No3,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990391,SAMEA12383611,simple,4932,Saccharomyces cerevisiae,SAMEA12383611,European Molecular Biology Laboratory,ERA8436142,02,2022,Makar,"",Sec31_IP_No3,2022-02-01,2022-02-01,SAMEA12383611,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,Sec31_IP_No3,baker's yeast,Sec31_IP_No3
ERR8054968,53100131,4513511135,85,1599,ERX7621689,Sec31_total_No1,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990392,SAMEA12383612,simple,4932,Saccharomyces cerevisiae,SAMEA12383612,European Molecular Biology Laboratory,ERA8436142,02,2022,Makar,"",Sec31_total_No1,2022-02-01,2022-02-01,SAMEA12383612,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,Sec31_total_No1,baker's yeast,Sec31_total_No1
ERR8054969,6506549,553056665,85,214,ERX7621690,Sec31_total_No2,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990393,SAMEA12383613,simple,4932,Saccharomyces cerevisiae,SAMEA12383613,European Molecular Biology Laboratory,ERA8436142,02,2022,Makar,"",Sec31_total_No2,2022-02-01,2022-02-01,SAMEA12383613,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,Sec31_total_No2,baker's yeast,Sec31_total_No2
ERR8054970,25148235,2137599975,85,786,ERX7621691,Sec31_total_No3,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990394,SAMEA12383614,simple,4932,Saccharomyces cerevisiae,SAMEA12383614,European Molecular Biology Laboratory,ERA8436142,02,2022,Makar,"",Sec31_total_No3,2022-02-01,2022-02-01,SAMEA12383614,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,Sec31_total_No3,baker's yeast,Sec31_total_No3
