Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,fraction,shRNA,strain,genotype,GEO Accession
SRR14722538,34971039,2657798964,76,899,SRX11059548,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126776,SAMN19550853,simple,10090,Mus musculus,GSM5356668,GEO,SRA1240518,01,2022,Makar,4T07,polysome profiling shCtrl-high-3,4T07,breast cancer cell line,high-translated mRNAs (3+ polysomes),shCtrl,,,GSM5356668
SRR14722539,16055355,1220206980,76,544,SRX11059549,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126777,SAMN19550852,simple,10090,Mus musculus,GSM5356669,GEO,SRA1240518,01,2022,Makar,4T07,polysome profiling shLars3-low-1,4T07,breast cancer cell line,low-translated mRNAs (1-2 polysomes),shLars3,,,GSM5356669
SRR14722540,32323933,2456618908,76,1101,SRX11059550,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126778,SAMN19550851,simple,10090,Mus musculus,GSM5356670,GEO,SRA1240518,01,2022,Makar,4T07,polysome profiling shLars3-low-2,4T07,breast cancer cell line,low-translated mRNAs (1-2 polysomes),shLars3,,,GSM5356670
SRR14722541,41014439,3117097364,76,1053,SRX11059551,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126779,SAMN19550850,simple,10090,Mus musculus,GSM5356671,GEO,SRA1240518,01,2022,Makar,4T07,polysome profiling shLars3-low-3,4T07,breast cancer cell line,low-translated mRNAs (1-2 polysomes),shLars3,,,GSM5356671
SRR14722542,16046755,1219553380,76,543,SRX11059552,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126780,SAMN19550849,simple,10090,Mus musculus,GSM5356672,GEO,SRA1240518,01,2022,Makar,4T07,polysome profiling shLars3-high-1,4T07,breast cancer cell line,high-translated mRNAs (3+ polysomes),shLars3,,,GSM5356672
SRR14722543,15978175,1214341300,76,542,SRX11059553,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126781,SAMN19550848,simple,10090,Mus musculus,GSM5356673,GEO,SRA1240518,01,2022,Makar,4T07,polysome profiling shLars3-high-2,4T07,breast cancer cell line,high-translated mRNAs (3+ polysomes),shLars3,,,GSM5356673
SRR14722544,19311775,1467694900,76,496,SRX11059554,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126782,SAMN19550884,simple,10090,Mus musculus,GSM5356674,GEO,SRA1240518,01,2022,Makar,4T07,polysome profiling shLars3-high-3,4T07,breast cancer cell line,high-translated mRNAs (3+ polysomes),shLars3,,,GSM5356674
SRR14722545,22221670,1688846920,76,758,SRX11059555,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126783,SAMN19550883,simple,10090,Mus musculus,GSM5356675,GEO,SRA1240518,01,2022,Makar,4T07,polysome profiling shLars4-low-1,4T07,breast cancer cell line,low-translated mRNAs (1-2 polysomes),shLars4,,,GSM5356675
SRR14722546,11002803,836213028,76,373,SRX11059556,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126784,SAMN19550882,simple,10090,Mus musculus,GSM5356676,GEO,SRA1240518,01,2022,Makar,4T07,polysome profiling shLars4-low-2,4T07,breast cancer cell line,low-translated mRNAs (1-2 polysomes),shLars4,,,GSM5356676
SRR14722547,14655607,1113826132,76,375,SRX11059557,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126785,SAMN19550881,simple,10090,Mus musculus,GSM5356677,GEO,SRA1240518,01,2022,Makar,4T07,polysome profiling shLars4-low-3,4T07,breast cancer cell line,low-translated mRNAs (1-2 polysomes),shLars4,,,GSM5356677
SRR14722548,28835904,2191528704,76,976,SRX11059558,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126786,SAMN19550880,simple,10090,Mus musculus,GSM5356678,GEO,SRA1240518,01,2022,Makar,4T07,polysome profiling shLars4-high-1,4T07,breast cancer cell line,high-translated mRNAs (3+ polysomes),shLars4,,,GSM5356678
SRR14722549,26163155,1988399780,76,885,SRX11059559,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126787,SAMN19550879,simple,10090,Mus musculus,GSM5356679,GEO,SRA1240518,01,2022,Makar,4T07,polysome profiling shLars4-high-2,4T07,breast cancer cell line,high-translated mRNAs (3+ polysomes),shLars4,,,GSM5356679
SRR14722550,35817584,2722136384,76,919,SRX11059560,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126788,SAMN19550878,simple,10090,Mus musculus,GSM5356680,GEO,SRA1240518,01,2022,Makar,4T07,polysome profiling shLars4-high-3,4T07,breast cancer cell line,high-translated mRNAs (3+ polysomes),shLars4,,,GSM5356680
SRR14722551,66631904,5064024704,76,2130,SRX11059561,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126789,SAMN19550877,simple,10090,Mus musculus,GSM5356681,GEO,SRA1240518,01,2022,Makar,4T07,RNA-Seq 4T07 shCtrl-1,4T07,breast cancer cell line,,shCtrl,,,GSM5356681
SRR14722552,90871265,6906216140,76,2902,SRX11059562,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126790,SAMN19550876,simple,10090,Mus musculus,GSM5356682,GEO,SRA1240518,01,2022,Makar,4T07,RNA-Seq 4T07 shCtrl-2,4T07,breast cancer cell line,,shCtrl,,,GSM5356682
SRR14722553,83838279,6371709204,76,2686,SRX11059563,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126791,SAMN19550875,simple,10090,Mus musculus,GSM5356683,GEO,SRA1240518,01,2022,Makar,4T07,RNA-Seq 4T07 shLars3-1,4T07,breast cancer cell line,,shLars3,,,GSM5356683
SRR14722554,81683940,6207979440,76,2613,SRX11059564,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126792,SAMN19550874,simple,10090,Mus musculus,GSM5356684,GEO,SRA1240518,01,2022,Makar,4T07,RNA-Seq 4T07 shLars3-2,4T07,breast cancer cell line,,shLars3,,,GSM5356684
SRR14722555,90615077,6886745852,76,2895,SRX11059565,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126793,SAMN19550873,simple,10090,Mus musculus,GSM5356685,GEO,SRA1240518,01,2022,Makar,4T07,RNA-Seq 4T07 shLars4-1,4T07,breast cancer cell line,,shLars4,,,GSM5356685
SRR14722556,89540684,6805091984,76,2854,SRX11059566,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126794,SAMN19550872,simple,10090,Mus musculus,GSM5356686,GEO,SRA1240518,01,2022,Makar,4T07,RNA-Seq 4T07 shLars4-2,4T07,breast cancer cell line,,shLars4,,,GSM5356686
SRR14722557,379256339,28823481764,76,11308,SRX11059567,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126795,SAMN19550871,simple,10090,Mus musculus,GSM5356687,GEO,SRA1240518,01,2022,Makar,4T07,RiboSeq RPF-Pool,4T07,breast cancer cell line,,,,,GSM5356687
SRR14722558,28655656,2177829856,76,798,SRX11059568,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126796,SAMN19550870,simple,10090,Mus musculus,GSM5356688,GEO,SRA1240518,01,2022,Makar,PyMT Tumor,RiboTag Lars Het-1,PyMT Tumor,,,,C57BL/6J,Lars fl/wt; rpl22HA fl/wt; MMTV-Cre+; MMTV-PyMT+,GSM5356688
SRR14722559,17346104,1318303904,76,483,SRX11059569,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126797,SAMN19550869,simple,10090,Mus musculus,GSM5356689,GEO,SRA1240518,01,2022,Makar,PyMT Tumor,RiboTag Lars Het-2,PyMT Tumor,,,,C57BL/6J,Lars fl/wt; rpl22HA fl/wt; MMTV-Cre+; MMTV-PyMT+,GSM5356689
SRR14722560,25436445,1933169820,76,708,SRX11059570,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126798,SAMN19550868,simple,10090,Mus musculus,GSM5356690,GEO,SRA1240518,01,2022,Makar,PyMT Tumor,RiboTag Lars Het-3,PyMT Tumor,,,,C57BL/6J,Lars fl/wt; rpl22HA fl/wt; MMTV-Cre+; MMTV-PyMT+,GSM5356690
SRR14722561,27194000,2066744000,76,757,SRX11059571,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126799,SAMN19550867,simple,10090,Mus musculus,GSM5356691,GEO,SRA1240518,01,2022,Makar,PyMT Tumor,RiboTag wt-1,PyMT Tumor,,,,C57BL/6J,Lars wt; rpl22HA fl/wt; MMTV-Cre+; MMTV-PyMT+,GSM5356691
SRR14722562,30447903,2314040628,76,850,SRX11059572,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126800,SAMN19550885,simple,10090,Mus musculus,GSM5356692,GEO,SRA1240518,01,2022,Makar,PyMT Tumor,RiboTag wt-2,PyMT Tumor,,,,C57BL/6J,Lars wt; rpl22HA fl/wt; MMTV-Cre+; MMTV-PyMT+,GSM5356692
SRR14722563,30671711,2331050036,76,851,SRX11059573,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126801,SAMN19550856,simple,10090,Mus musculus,GSM5356693,GEO,SRA1240518,01,2022,Makar,PyMT Tumor,RiboTag wt-3,PyMT Tumor,,,,C57BL/6J,Lars wt; rpl22HA fl/wt; MMTV-Cre+; MMTV-PyMT+,GSM5356693
