Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,induced mirna,batch,molecule subtype,GEO Accession
SRR10441352,11913184,671760254,56,108,SRX7136098,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229758,PRJNA589465,32821933,"",SRS5645016,SAMN13281635,simple,9606,Homo sapiens,GSM4160120,GEO,SRA995631,08,2020,Patel,miR-155 expressing cells,miR-155 expressing cells rep 1 (batch 2) [PRO-seq],miR-155 expressing cells,Flp-In T-REx 293 Cell,has-miR-155,2,Nascent RNA,GSM4160120
SRR10441353,10570658,591541207,55,99,SRX7136099,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229758,PRJNA589465,32821933,"",SRS5645017,SAMN13281634,simple,9606,Homo sapiens,GSM4160121,GEO,SRA995631,08,2020,Patel,miR-155 expressing cells,miR-155 expressing cells rep 2 (batch 2) [PRO-seq],miR-155 expressing cells,Flp-In T-REx 293 Cell,has-miR-155,2,Nascent RNA,GSM4160121
SRR10441354,14941515,815225450,54,130,SRX7136100,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229758,PRJNA589465,32821933,"",SRS5645018,SAMN13281633,simple,9606,Homo sapiens,GSM4160122,GEO,SRA995631,08,2020,Patel,miR-155 expressing cells,miR-155 expressing cells rep 3 (batch 2) [PRO-seq],miR-155 expressing cells,Flp-In T-REx 293 Cell,has-miR-155,2,Nascent RNA,GSM4160122
SRR10441355,10830512,614344782,56,98,SRX7136101,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229758,PRJNA589465,32821933,"",SRS5645019,SAMN13281632,simple,9606,Homo sapiens,GSM4160123,GEO,SRA995631,08,2020,Patel,miR-302a expressing cells,miR-302a expressing cells rep 1 (batch 2) [PRO-seq],miR-302a expressing cells,Flp-In T-REx 293 Cell,has-miR-302a,2,Nascent RNA,GSM4160123
SRR10441356,5130771,282908050,55,50,SRX7136102,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229758,PRJNA589465,32821933,"",SRS5645020,SAMN13281642,simple,9606,Homo sapiens,GSM4160124,GEO,SRA995631,08,2020,Patel,miR-302a expressing cells,miR-302a expressing cells rep 2 (batch 2) [PRO-seq],miR-302a expressing cells,Flp-In T-REx 293 Cell,has-miR-302a,2,Nascent RNA,GSM4160124
SRR10441357,16285377,890478397,54,145,SRX7136103,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229758,PRJNA589465,32821933,"",SRS5645021,SAMN13281641,simple,9606,Homo sapiens,GSM4160125,GEO,SRA995631,08,2020,Patel,miR-302a expressing cells,miR-302a expressing cells rep 3 (batch 2) [PRO-seq],miR-302a expressing cells,Flp-In T-REx 293 Cell,has-miR-302a,2,Nascent RNA,GSM4160125
SRR10441358,5739830,325517183,56,55,SRX7136104,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229758,PRJNA589465,32821933,"",SRS5645022,SAMN13281648,simple,9606,Homo sapiens,GSM4160126,GEO,SRA995631,08,2020,Patel,miR-372 expressing cells,miR-372 expressing cells rep 1 (batch 2) [PRO-seq],miR-372 expressing cells,Flp-In T-REx 293 Cell,has-miR-372,2,Nascent RNA,GSM4160126
SRR10441359,17152725,952688040,55,163,SRX7136105,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229758,PRJNA589465,32821933,"",SRS5645023,SAMN13281647,simple,9606,Homo sapiens,GSM4160127,GEO,SRA995631,08,2020,Patel,miR-372 expressing cells,miR-372 expressing cells rep 2 (batch 2) [PRO-seq],miR-372 expressing cells,Flp-In T-REx 293 Cell,has-miR-372,2,Nascent RNA,GSM4160127
SRR10441360,20357288,1111858581,54,175,SRX7136106,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229758,PRJNA589465,32821933,"",SRS5645024,SAMN13281646,simple,9606,Homo sapiens,GSM4160128,GEO,SRA995631,08,2020,Patel,miR-372 expressing cells,miR-372 expressing cells rep 3 (batch 2) [PRO-seq],miR-372 expressing cells,Flp-In T-REx 293 Cell,has-miR-372,2,Nascent RNA,GSM4160128
SRR10441361,8478461,481756200,56,80,SRX7136107,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229758,PRJNA589465,32821933,"",SRS5645025,SAMN13281645,simple,9606,Homo sapiens,GSM4160129,GEO,SRA995631,08,2020,Patel,miR-373 expressing cells,miR-373 expressing cells rep 1 (batch 2) [PRO-seq],miR-373 expressing cells,Flp-In T-REx 293 Cell,has-miR-373,2,Nascent RNA,GSM4160129
SRR10441362,21820848,1227009523,56,205,SRX7136108,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229758,PRJNA589465,32821933,"",SRS5645026,SAMN13281644,simple,9606,Homo sapiens,GSM4160130,GEO,SRA995631,08,2020,Patel,miR-373 expressing cells,miR-373 expressing cells rep 2 (batch 2) [PRO-seq],miR-373 expressing cells,Flp-In T-REx 293 Cell,has-miR-373,2,Nascent RNA,GSM4160130
SRR10441363,12899899,697279225,54,117,SRX7136109,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229758,PRJNA589465,32821933,"",SRS5645027,SAMN13281643,simple,9606,Homo sapiens,GSM4160131,GEO,SRA995631,08,2020,Patel,miR-373 expressing cells,miR-373 expressing cells rep 3 (batch 2) [PRO-seq],miR-373 expressing cells,Flp-In T-REx 293 Cell,has-miR-373,2,Nascent RNA,GSM4160131
